Date,Close
2024-01-01,
2024-01-02,25.66
2024-01-03,25.46
2024-01-04,25.38
2024-01-05,25.55
2024-01-06,
2024-01-07,
2024-01-08,25.64
2024-01-09,25.43
2024-01-10,25.4
2024-01-11,25.32
2024-01-12,25.25
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,25.0
2024-01-17,24.8
2024-01-18,24.81
2024-01-19,24.81
2024-01-20,
2024-01-21,
2024-01-22,25.19
2024-01-23,25.25
2024-01-24,25.27
2024-01-25,25.49
2024-01-26,25.62
2024-01-27,
2024-01-28,
2024-01-29,25.71
2024-01-30,25.89
2024-01-31,25.55
2024-02-01,25.6
2024-02-02,25.53
2024-02-03,
2024-02-04,
2024-02-05,25.27
2024-02-06,25.45
2024-02-07,25.47
2024-02-08,25.46
2024-02-09,25.47
2024-02-10,
2024-02-11,
2024-02-12,25.71
2024-02-13,25.22
2024-02-14,25.43
2024-02-15,25.83
2024-02-16,25.77
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,25.7
2024-02-21,25.8
2024-02-22,25.98
2024-02-23,26.02
2024-02-24,
2024-02-25,
2024-02-26,25.91
2024-02-27,26.06
2024-02-28,25.98
2024-02-29,26.12
2024-03-01,26.18
2024-03-02,
2024-03-03,
2024-03-04,26.21
2024-03-05,26.21
2024-03-06,26.36
2024-03-07,26.51
2024-03-08,26.53
2024-03-09,
2024-03-10,
2024-03-11,26.65
2024-03-12,26.7
2024-03-13,26.83
2024-03-14,26.67
2024-03-15,26.73
2024-03-16,
2024-03-17,
2024-03-18,26.8
2024-03-19,26.97
2024-03-20,27.31
2024-03-21,27.54
2024-03-22,27.4
2024-03-23,
2024-03-24,
2024-03-25,27.44
2024-03-26,27.43
2024-03-27,27.83
2024-03-28,27.99
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,27.91
2024-04-02,27.66
2024-04-03,27.79
2024-04-04,27.49
2024-04-05,27.69
2024-04-06,
2024-04-07,
2024-04-08,27.72
2024-04-09,27.73
2024-04-10,27.35
2024-04-11,27.29
2024-04-12,26.88
2024-04-13,
2024-04-14,
2024-04-15,26.73
2024-04-16,26.54
2024-04-17,26.46
2024-04-18,26.55
2024-04-19,26.78
2024-04-20,
2024-04-21,
2024-04-22,27.06
2024-04-23,27.27
2024-04-24,27.21
2024-04-25,27.11
2024-04-26,27.19
2024-04-27,
2024-04-28,
2024-04-29,27.32
2024-04-30,26.72
2024-05-01,26.63
2024-05-02,26.82
2024-05-03,26.96
2024-05-04,
2024-05-05,
2024-05-06,27.17
2024-05-07,27.31
2024-05-08,27.36
2024-05-09,27.58
2024-05-10,27.63
2024-05-11,
2024-05-12,
2024-05-13,27.57
2024-05-14,27.74
2024-05-15,27.9
2024-05-16,27.9
2024-05-17,27.97
2024-05-18,
2024-05-19,
2024-05-20,27.82
2024-05-21,27.89
2024-05-22,27.73
2024-05-23,27.32
2024-05-24,27.38
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,27.21
2024-05-29,26.94
2024-05-30,27.12
2024-05-31,27.63
2024-06-01,
2024-06-02,
2024-06-03,27.42
2024-06-04,27.24
2024-06-05,27.31
2024-06-06,27.29
2024-06-07,27.25
2024-06-08,
2024-06-09,
2024-06-10,27.28
2024-06-11,27.04
2024-06-12,27.16
2024-06-13,26.96
2024-06-14,26.71
2024-06-15,
2024-06-16,
2024-06-17,26.92
2024-06-18,26.99
2024-06-19,
2024-06-20,27.14
2024-06-21,27.14
2024-06-22,
2024-06-23,
2024-06-24,27.45
2024-06-25,27.22
2024-06-26,27.13
2024-06-27,27.2
2024-06-28,27.37
2024-06-29,
2024-06-30,
2024-07-01,27.27
2024-07-02,27.38
2024-07-03,27.38
2024-07-04,
2024-07-05,27.23
2024-07-06,
2024-07-07,
2024-07-08,27.3
2024-07-09,27.34
2024-07-10,27.57
2024-07-11,27.89
2024-07-12,28.04
2024-07-13,
2024-07-14,
2024-07-15,28.21
2024-07-16,28.78
2024-07-17,28.86
2024-07-18,28.53
2024-07-19,28.24
2024-07-20,
2024-07-21,
2024-07-22,28.34
2024-07-23,28.15
2024-07-24,27.92
2024-07-25,28.13
2024-07-26,28.58
2024-07-27,
2024-07-28,
2024-07-29,28.57
2024-07-30,28.91
2024-07-31,28.96
2024-08-01,28.44
2024-08-02,27.7
2024-08-03,
2024-08-04,
2024-08-05,26.94
2024-08-06,27.04
2024-08-07,26.91
2024-08-08,27.42
2024-08-09,27.45
2024-08-10,
2024-08-11,
2024-08-12,27.3
2024-08-13,27.62
2024-08-14,27.73
2024-08-15,28.19
2024-08-16,28.33
2024-08-17,
2024-08-18,
2024-08-19,28.55
2024-08-20,28.35
2024-08-21,28.44
2024-08-22,28.4
2024-08-23,28.99
2024-08-24,
2024-08-25,
2024-08-26,29.04
2024-08-27,28.99
2024-08-28,28.94
2024-08-29,29.08
2024-08-30,29.24
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,28.8
2024-09-04,28.74
2024-09-05,28.55
2024-09-06,28.09
2024-09-07,
2024-09-08,
2024-09-09,28.25
2024-09-10,27.99
2024-09-11,27.93
2024-09-12,28.06
2024-09-13,28.29
2024-09-14,
2024-09-15,
2024-09-16,28.5
2024-09-17,28.61
2024-09-18,28.64
2024-09-19,29.06
2024-09-20,28.89
2024-09-21,
2024-09-22,
2024-09-23,28.95
2024-09-24,28.99
2024-09-25,28.6
2024-09-26,28.77
2024-09-27,28.99
2024-09-28,
2024-09-29,
2024-09-30,28.99
2024-10-01,28.86
2024-10-02,28.76
2024-10-03,28.69
2024-10-04,29.07
2024-10-05,
2024-10-06,
2024-10-07,28.91
2024-10-08,28.87
2024-10-09,29.09
2024-10-10,29.1
2024-10-11,29.4
2024-10-12,
2024-10-13,
2024-10-14,29.58
2024-10-15,29.34
2024-10-16,29.61
2024-10-17,29.55
2024-10-18,29.53
2024-10-19,
2024-10-20,
2024-10-21,29.19
2024-10-22,29.3
2024-10-23,29.21
2024-10-24,29.2
2024-10-25,29.1
2024-10-26,
2024-10-27,
2024-10-28,29.25
2024-10-29,29.19
2024-10-30,29.25
2024-10-31,28.99
2024-11-01,28.99
2024-11-02,
2024-11-03,
2024-11-04,28.95
2024-11-05,29.17
2024-11-06,30.31
2024-11-07,30.07
2024-11-08,29.97
2024-11-09,
2024-11-10,
2024-11-11,30.25
2024-11-12,29.99
2024-11-13,30.01
2024-11-14,29.85
2024-11-15,29.68
2024-11-16,
2024-11-17,
2024-11-18,29.83
2024-11-19,29.63
2024-11-20,29.74
2024-11-21,30.1
2024-11-22,30.39
2024-11-23,
2024-11-24,
2024-11-25,30.6
2024-11-26,30.41
2024-11-27,30.44
2024-11-28,
2024-11-29,30.47
2024-11-30,
2024-12-01,
2024-12-02,30.37
2024-12-03,30.24
2024-12-04,30.19
2024-12-05,30.11
2024-12-06,29.92
2024-12-07,
2024-12-08,
2024-12-09,29.96
2024-12-10,29.84
2024-12-11,29.79
2024-12-12,29.69
2024-12-13,29.63
2024-12-14,
2024-12-15,
2024-12-16,29.43
2024-12-17,29.09
2024-12-18,28.38
2024-12-19,28.28
2024-12-20,28.63
2024-12-21,
2024-12-22,
2024-12-23,28.7
2024-12-24,28.93
2024-12-25,
2024-12-26,28.99
2024-12-27,28.89
2024-12-28,
2024-12-29,
2024-12-30,28.68
2024-12-31,28.77
2025-01-01,
2025-01-02,28.69
2025-01-03,28.93
2025-01-04,
2025-01-05,
2025-01-06,29.08
2025-01-07,29.09
2025-01-08,29.09
2025-01-09,
2025-01-10,28.64
2025-01-11,
2025-01-12,
2025-01-13,28.99
2025-01-14,29.23
2025-01-15,29.69
2025-01-16,29.77
2025-01-17,29.92
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,30.24
2025-01-22,30.05
2025-01-23,30.3
2025-01-24,30.17
2025-01-25,
2025-01-26,
2025-01-27,30.35
2025-01-28,30.16
2025-01-29,30.25
2025-01-30,30.4
2025-01-31,30.07
2025-02-01,
2025-02-02,
2025-02-03,29.71
2025-02-04,29.88
2025-02-05,30.13
2025-02-06,30.12
2025-02-07,30.0
2025-02-08,
2025-02-09,
2025-02-10,30.07
2025-02-11,30.13
2025-02-12,30.03
2025-02-13,30.26
2025-02-14,30.28
2025-02-15,
2025-02-16,
2025-02-17,
2025-02-18,30.43
2025-02-19,30.48
2025-02-20,30.42
2025-02-21,29.95
2025-02-22,
2025-02-23,
2025-02-24,29.98
2025-02-25,30.02
2025-02-26,29.97
2025-02-27,29.82
2025-02-28,30.16
2025-03-01,
2025-03-02,
2025-03-03,29.66
2025-03-04,29.01
2025-03-05,29.38
2025-03-06,29.18
2025-03-07,29.51
2025-03-08,
2025-03-09,
2025-03-10,29.03
2025-03-11,28.79
2025-03-12,28.67
2025-03-13,28.39
2025-03-14,28.96
2025-03-15,
2025-03-16,
2025-03-17,29.33
2025-03-18,29.34
2025-03-19,29.61
2025-03-20,29.55
2025-03-21,29.36
2025-03-22,
2025-03-23,
2025-03-24,29.75
