Date,Close
2024-01-01,
2024-01-02,34.07
2024-01-03,33.89
2024-01-04,34.0
2024-01-05,34.75
2024-01-06,
2024-01-07,
2024-01-08,35.11
2024-01-09,35.12
2024-01-10,35.02
2024-01-11,35.26
2024-01-12,35.12
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,34.79
2024-01-17,34.4
2024-01-18,34.21
2024-01-19,34.26
2024-01-20,
2024-01-21,
2024-01-22,33.89
2024-01-23,34.04
2024-01-24,33.73
2024-01-25,35.1
2024-01-26,35.03
2024-01-27,
2024-01-28,
2024-01-29,34.24
2024-01-30,33.86
2024-01-31,33.41
2024-02-01,32.04
2024-02-02,31.2
2024-02-03,
2024-02-04,
2024-02-05,30.74
2024-02-06,30.9
2024-02-07,31.57
2024-02-08,32.53
2024-02-09,32.88
2024-02-10,
2024-02-11,
2024-02-12,33.1
2024-02-13,32.27
2024-02-14,32.19
2024-02-15,32.7
2024-02-16,33.38
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,33.32
2024-02-21,32.81
2024-02-22,32.58
2024-02-23,32.81
2024-02-24,
2024-02-25,
2024-02-26,31.93
2024-02-27,32.31
2024-02-28,32.7
2024-02-29,33.4
2024-03-01,33.11
2024-03-02,
2024-03-03,
2024-03-04,33.9
2024-03-05,33.86
2024-03-06,33.73
2024-03-07,33.89
2024-03-08,34.23
2024-03-09,
2024-03-10,
2024-03-11,34.59
2024-03-12,34.13
2024-03-13,34.28
2024-03-14,34.19
2024-03-15,34.34
2024-03-16,
2024-03-17,
2024-03-18,33.0
2024-03-19,36.62
2024-03-20,37.06
2024-03-21,37.67
2024-03-22,37.34
2024-03-23,
2024-03-24,
2024-03-25,38.59
2024-03-26,36.08
2024-03-27,37.21
2024-03-28,36.86
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,36.87
2024-04-02,36.56
2024-04-03,36.91
2024-04-04,37.11
2024-04-05,36.52
2024-04-06,
2024-04-07,
2024-04-08,36.09
2024-04-09,36.03
2024-04-10,36.13
2024-04-11,35.72
2024-04-12,35.08
2024-04-13,
2024-04-14,
2024-04-15,34.73
2024-04-16,33.92
2024-04-17,33.12
2024-04-18,33.31
2024-04-19,33.41
2024-04-20,
2024-04-21,
2024-04-22,32.83
2024-04-23,32.5
2024-04-24,32.52
2024-04-25,31.66
2024-04-26,31.96
2024-04-27,
2024-04-28,
2024-04-29,33.36
2024-04-30,33.0
2024-05-01,33.33
2024-05-02,33.83
2024-05-03,34.27
2024-05-04,
2024-05-05,
2024-05-06,34.87
2024-05-07,36.69
2024-05-08,37.1
2024-05-09,37.63
2024-05-10,36.44
2024-05-11,
2024-05-12,
2024-05-13,37.33
2024-05-14,37.64
2024-05-15,37.51
2024-05-16,38.28
2024-05-17,38.39
2024-05-18,
2024-05-19,
2024-05-20,38.9
2024-05-21,39.57
2024-05-22,39.77
2024-05-23,42.18
2024-05-24,43.42
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,43.12
2024-05-29,42.41
2024-05-30,42.58
2024-05-31,43.07
2024-06-01,
