Date,Close
2024-01-01,
2024-01-02,106.58
2024-01-03,103.35
2024-01-04,101.31
2024-01-05,101.82
2024-01-06,
2024-01-07,
2024-01-08,102.96
2024-01-09,102.09
2024-01-10,100.82
2024-01-11,100.68
2024-01-12,99.5
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,99.7
2024-01-17,97.18
2024-01-18,99.31
2024-01-19,98.63
2024-01-20,
2024-01-21,
2024-01-22,99.34
2024-01-23,98.91
2024-01-24,98.2
2024-01-25,100.7
2024-01-26,99.2
2024-01-27,
2024-01-28,
2024-01-29,99.92
2024-01-30,99.5
2024-01-31,97.89
2024-02-01,99.15
2024-02-02,98.8
2024-02-03,
2024-02-04,
2024-02-05,97.64
2024-02-06,99.78
2024-02-07,100.03
2024-02-08,101.01
2024-02-09,102.82
2024-02-10,
2024-02-11,
2024-02-12,103.63
2024-02-13,86.99
2024-02-14,87.86
2024-02-15,88.99
2024-02-16,86.48
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,86.28
2024-02-21,86.45
2024-02-22,86.54
2024-02-23,85.58
2024-02-24,
2024-02-25,
2024-02-26,85.19
2024-02-27,86.38
2024-02-28,85.66
2024-02-29,86.35
2024-03-01,87.67
2024-03-02,
2024-03-03,
2024-03-04,87.83
2024-03-05,87.99
2024-03-06,89.11
2024-03-07,89.44
2024-03-08,90.24
2024-03-09,
2024-03-10,
2024-03-11,90.28
2024-03-12,90.49
2024-03-13,89.3
2024-03-14,87.04
2024-03-15,87.24
2024-03-16,
2024-03-17,
2024-03-18,86.87
2024-03-19,87.78
2024-03-20,89.15
2024-03-21,91.02
2024-03-22,90.0
2024-03-23,
2024-03-24,
2024-03-25,89.96
2024-03-26,89.24
2024-03-27,90.57
2024-03-28,90.69
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,90.16
2024-04-02,88.23
2024-04-03,87.96
2024-04-04,87.25
2024-04-05,86.27
2024-04-06,
2024-04-07,
2024-04-08,87.39
2024-04-09,90.63
2024-04-10,87.67
2024-04-11,89.86
2024-04-12,85.75
2024-04-13,
2024-04-14,
2024-04-15,84.4
2024-04-16,84.84
2024-04-17,84.37
2024-04-18,84.59
2024-04-19,84.27
2024-04-20,
2024-04-21,
2024-04-22,85.1
2024-04-23,85.37
2024-04-24,88.05
2024-04-25,88.24
2024-04-26,88.4
2024-04-27,
2024-04-28,
2024-04-29,88.58
2024-04-30,83.98
2024-05-01,83.55
2024-05-02,86.7
2024-05-03,86.76
2024-05-04,
2024-05-05,
2024-05-06,88.37
2024-05-07,89.49
2024-05-08,89.17
2024-05-09,89.86
2024-05-10,88.26
2024-05-11,
2024-05-12,
2024-05-13,89.29
2024-05-14,89.76
2024-05-15,90.17
2024-05-16,88.6
2024-05-17,88.61
2024-05-18,
2024-05-19,
2024-05-20,88.55
2024-05-21,87.47
2024-05-22,87.82
2024-05-23,86.03
2024-05-24,85.63
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,83.74
2024-05-29,83.55
2024-05-30,85.1
2024-05-31,86.73
2024-06-01,
2024-06-02,
2024-06-03,87.1
2024-06-04,84.26
2024-06-05,86.83
2024-06-06,86.47
2024-06-07,85.85
2024-06-08,
2024-06-09,
2024-06-10,86.22
2024-06-11,85.24
2024-06-12,87.63
2024-06-13,86.84
2024-06-14,84.86
2024-06-15,
2024-06-16,
2024-06-17,86.25
2024-06-18,82.71
2024-06-19,
2024-06-20,81.58
2024-06-21,83.35
2024-06-22,
2024-06-23,
2024-06-24,81.61
2024-06-25,81.68
2024-06-26,82.62
2024-06-27,83.5
2024-06-28,84.39
2024-06-29,
2024-06-30,
2024-07-01,83.33
2024-07-02,84.91
2024-07-03,84.58
2024-07-04,
2024-07-05,84.36
2024-07-06,
2024-07-07,
2024-07-08,85.46
2024-07-09,84.45
2024-07-10,86.07
2024-07-11,88.05
2024-07-12,89.63
2024-07-13,
2024-07-14,
2024-07-15,89.38
2024-07-16,90.65
2024-07-17,90.45
2024-07-18,89.07
2024-07-19,88.03
2024-07-20,
2024-07-21,
2024-07-22,90.04
2024-07-23,89.06
2024-07-24,87.91
2024-07-25,85.49
2024-07-26,86.59
2024-07-27,
2024-07-28,
2024-07-29,87.61
2024-07-30,81.2
2024-07-31,80.4
2024-08-01,77.08
2024-08-02,71.38
2024-08-03,
2024-08-04,
2024-08-05,67.43
2024-08-06,67.79
2024-08-07,66.01
2024-08-08,67.32
2024-08-09,66.67
2024-08-10,
2024-08-11,
2024-08-12,65.7
2024-08-13,67.3
2024-08-14,66.02
2024-08-15,67.98
2024-08-16,67.5
2024-08-17,
2024-08-18,
2024-08-19,68.19
2024-08-20,69.89
2024-08-21,71.23
2024-08-22,69.84
2024-08-23,71.05
2024-08-24,
2024-08-25,
2024-08-26,69.8
2024-08-27,69.11
2024-08-28,69.34
2024-08-29,69.2
2024-08-30,68.37
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,65.43
2024-09-04,65.77
2024-09-05,65.54
2024-09-06,62.84
2024-09-07,
2024-09-08,
2024-09-09,62.52
2024-09-10,62.31
2024-09-11,63.15
2024-09-12,64.78
2024-09-13,67.67
2024-09-14,
2024-09-15,
2024-09-16,68.77
2024-09-17,68.81
2024-09-18,68.92
2024-09-19,70.87
2024-09-20,70.25
2024-09-21,
2024-09-22,
2024-09-23,70.43
2024-09-24,71.14
2024-09-25,70.41
2024-09-26,74.52
2024-09-27,74.89
2024-09-28,
2024-09-29,
2024-09-30,74.32
2024-10-01,71.85
2024-10-02,73.16
2024-10-03,72.38
2024-10-04,74.4
2024-10-05,
2024-10-06,
2024-10-07,73.28
2024-10-08,74.45
2024-10-09,74.8
2024-10-10,74.11
2024-10-11,75.63
2024-10-12,
2024-10-13,
2024-10-14,76.22
2024-10-15,75.14
2024-10-16,74.62
2024-10-17,75.35
2024-10-18,75.59
2024-10-19,
2024-10-20,
2024-10-21,74.76
2024-10-22,74.63
2024-10-23,74.76
2024-10-24,75.92
2024-10-25,76.82
2024-10-26,
2024-10-27,
2024-10-28,79.27
2024-10-29,85.05
2024-10-30,83.31
2024-10-31,80.96
2024-11-01,82.29
2024-11-02,
2024-11-03,
2024-11-04,80.57
2024-11-05,81.63
2024-11-06,85.6
2024-11-07,85.75
2024-11-08,83.86
2024-11-09,
2024-11-10,
2024-11-11,81.93
2024-11-12,78.33
2024-11-13,76.39
2024-11-14,75.06
2024-11-15,73.45
2024-11-16,
2024-11-17,
2024-11-18,72.99
2024-11-19,72.74
2024-11-20,73.52
2024-11-21,74.81
2024-11-22,77.79
2024-11-23,
2024-11-24,
2024-11-25,78.92
2024-11-26,77.12
2024-11-27,77.3
2024-11-28,
2024-11-29,78.04
2024-11-30,
2024-12-01,
2024-12-02,79.71
2024-12-03,77.81
2024-12-04,75.36
2024-12-05,75.19
2024-12-06,76.67
2024-12-07,
2024-12-08,
2024-12-09,81.31
2024-12-10,78.53
2024-12-11,77.73
2024-12-12,78.12
2024-12-13,77.63
2024-12-14,
2024-12-15,
2024-12-16,78.19
2024-12-17,76.34
2024-12-18,74.01
2024-12-19,74.45
2024-12-20,73.84
2024-12-21,
2024-12-22,
2024-12-23,74.84
2024-12-24,76.33
2024-12-25,
2024-12-26,76.41
2024-12-27,73.42
2024-12-28,
2024-12-29,
2024-12-30,72.25
2024-12-31,72.72
2025-01-01,
2025-01-02,72.67
2025-01-03,72.76
2025-01-04,
2025-01-05,
2025-01-06,76.01
2025-01-07,74.81
2025-01-08,73.93
2025-01-09,
2025-01-10,72.2
2025-01-11,
2025-01-12,
2025-01-13,72.31
2025-01-14,72.88
2025-01-15,73.47
2025-01-16,72.8
2025-01-17,74.4
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,76.9
2025-01-22,77.8
2025-01-23,77.07
2025-01-24,74.06
2025-01-25,
2025-01-26,
2025-01-27,70.62
2025-01-28,71.18
2025-01-29,72.04
2025-01-30,73.53
2025-01-31,73.33
2025-02-01,
2025-02-02,
2025-02-03,70.17
2025-02-04,70.93
2025-02-05,71.72
2025-02-06,70.82
2025-02-07,68.91
2025-02-08,
2025-02-09,
2025-02-10,67.4
2025-02-11,63.72
2025-02-12,62.97
2025-02-13,62.88
2025-02-14,63.53
2025-02-15,
2025-02-16,
2025-02-17,
2025-02-18,63.98
2025-02-19,64.83
2025-02-20,64.6
2025-02-21,63.17
2025-02-22,
2025-02-23,
2025-02-24,62.89
2025-02-25,60.44
2025-02-26,59.58
2025-02-27,57.86
2025-02-28,58.19
2025-03-01,
2025-03-02,
2025-03-03,58.27
2025-03-04,60.37
2025-03-05,63.42
2025-03-06,62.58
2025-03-07,63.04
2025-03-08,
2025-03-09,
2025-03-10,61.51
2025-03-11,58.78
2025-03-12,59.73
2025-03-13,59.51
2025-03-14,62.25
2025-03-15,
2025-03-16,
2025-03-17,63.32
2025-03-18,66.1
2025-03-19,66.26
2025-03-20,65.35
2025-03-21,64.06
2025-03-22,
2025-03-23,
2025-03-24,67.62
2025-03-25,66.41
2025-03-26,66.61
2025-03-27,65.69
2025-03-28,65.13
2025-03-29,
2025-03-30,
2025-03-31,63.14
2025-04-01,63.11
2025-04-02,63.48
2025-04-03,55.09
2025-04-04,52.12
2025-04-05,
2025-04-06,
2025-04-07,52.04
2025-04-08,49.68
2025-04-09,57.47
2025-04-10,52.88
2025-04-11,53.77
2025-04-12,
2025-04-13,
2025-04-14,54.5
2025-04-15,53.4
2025-04-16,51.83
2025-04-17,53.3
2025-04-18,
2025-04-19,
2025-04-20,
2025-04-21,51.98
2025-04-22,53.53
2025-04-23,55.09
2025-04-24,57.94
2025-04-25,58.15
2025-04-26,
2025-04-27,
2025-04-28,58.85
2025-04-29,59.19
2025-04-30,59.89
2025-05-01,61.8
2025-05-02,63.8
2025-05-03,
2025-05-04,
2025-05-05,63.13
2025-05-06,54.91
2025-05-07,57.88
2025-05-08,58.73
2025-05-09,60.15
2025-05-10,
2025-05-11,
2025-05-12,64.81
2025-05-13,65.59
2025-05-14,65.35
2025-05-15,65.4
2025-05-16,66.49
2025-05-17,
2025-05-18,
2025-05-19,65.51
2025-05-20,66.49
2025-05-21,65.45
2025-05-22,65.49
2025-05-23,64.6
2025-05-24,
2025-05-25,
2025-05-26,
2025-05-27,66.96
2025-05-28,66.78
2025-05-29,67.04
2025-05-30,66.26
2025-05-31,
2025-06-01,
2025-06-02,66.46
2025-06-03,68.97
2025-06-04,68.23
2025-06-05,68.44
2025-06-06,68.94
2025-06-07,
2025-06-08,
2025-06-09,69.26
2025-06-10,68.11
2025-06-11,67.97
2025-06-12,68.19
2025-06-13,65.91
2025-06-14,
2025-06-15,
2025-06-16,68.1
2025-06-17,66.81
2025-06-18,66.74
2025-06-19,
2025-06-20,66.01
2025-06-21,
2025-06-22,
2025-06-23,67.43
2025-06-24,68.48
2025-06-25,67.79
2025-06-26,68.84
2025-06-27,68.52
2025-06-28,
2025-06-29,
2025-06-30,68.65
2025-07-01,71.05
2025-07-02,73.38
2025-07-03,73.63
2025-07-04,
2025-07-05,
2025-07-06,
2025-07-07,71.35
2025-07-08,73.0
2025-07-09,73.83
2025-07-10,75.04
2025-07-11,74.15
2025-07-12,
2025-07-13,
2025-07-14,74.21
2025-07-15,73.33
2025-07-16,73.63
2025-07-17,74.44
2025-07-18,74.63
2025-07-19,
2025-07-20,
2025-07-21,74.43
2025-07-22,75.46
2025-07-23,76.88
2025-07-24,75.6
2025-07-25,78.03
2025-07-26,
2025-07-27,
2025-07-28,79.61
2025-07-29,78.64
2025-07-30,77.04
2025-07-31,74.89
2025-08-01,75.22
2025-08-02,
2025-08-03,
2025-08-04,77.46
2025-08-05,74.63
2025-08-06,72.14
2025-08-07,74.73
2025-08-08,75.26
2025-08-09,
2025-08-10,
2025-08-11,75.46
2025-08-12,78.26
2025-08-13,80.34
2025-08-14,79.46
2025-08-15,78.67
2025-08-16,
2025-08-17,
