Date,Close
2024-01-01,
2024-01-02,437.25
2024-01-03,427.54
2024-01-04,426.54
2024-01-05,425.37
2024-01-06,
2024-01-07,
2024-01-08,435.82
2024-01-09,436.98
2024-01-10,441.56
2024-01-11,444.66
2024-01-12,454.21
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,453.1
2024-01-17,454.38
2024-01-18,463.09
2024-01-19,464.88
2024-01-20,
2024-01-21,
2024-01-22,468.0
2024-01-23,466.22
2024-01-24,463.08
2024-01-25,461.19
2024-01-26,460.83
2024-01-27,
2024-01-28,
2024-01-29,463.69
2024-01-30,465.54
2024-01-31,457.44
2024-02-01,467.01
2024-02-02,469.89
2024-02-03,
2024-02-04,
2024-02-05,469.79
2024-02-06,461.7
2024-02-07,449.95
2024-02-08,456.18
2024-02-09,463.52
2024-02-10,
2024-02-11,
2024-02-12,450.97
2024-02-13,446.24
2024-02-14,449.86
2024-02-15,453.81
2024-02-16,448.61
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,445.0
2024-02-21,440.76
2024-02-22,453.46
2024-02-23,460.64
2024-02-24,
2024-02-25,
2024-02-26,460.97
2024-02-27,461.05
2024-02-28,465.69
2024-02-29,465.56
2024-03-01,471.48
2024-03-02,
2024-03-03,
2024-03-04,469.75
2024-03-05,460.23
2024-03-06,468.97
2024-03-07,470.0
2024-03-08,463.56
2024-03-09,
2024-03-10,
2024-03-11,465.0
2024-03-12,476.16
2024-03-13,476.7
2024-03-14,468.94
2024-03-15,470.97
2024-03-16,
2024-03-17,
2024-03-18,474.75
2024-03-19,477.02
2024-03-20,480.28
2024-03-21,483.11
2024-03-22,479.34
2024-03-23,
2024-03-24,
2024-03-25,473.61
2024-03-26,475.45
2024-03-27,480.84
2024-03-28,476.67
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,477.44
2024-04-02,469.48
2024-04-03,472.09
2024-04-04,464.34
2024-04-05,470.36
2024-04-06,
2024-04-07,
2024-04-08,471.87
2024-04-09,469.89
2024-04-10,463.78
2024-04-11,474.72
2024-04-12,465.45
2024-04-13,
2024-04-14,
2024-04-15,463.59
2024-04-16,458.13
2024-04-17,449.31
2024-04-18,449.61
2024-04-19,440.38
2024-04-20,
2024-04-21,
2024-04-22,443.06
2024-04-23,450.26
2024-04-24,451.06
2024-04-25,446.31
2024-04-26,448.78
2024-04-27,
2024-04-28,
2024-04-29,448.65
2024-04-30,412.59
2024-05-01,422.39
2024-05-02,419.04
2024-05-03,428.64
2024-05-04,
2024-05-05,
2024-05-06,436.38
2024-05-07,437.13
2024-05-08,434.27
2024-05-09,436.75
2024-05-10,439.27
2024-05-11,
2024-05-12,
2024-05-13,440.09
2024-05-14,436.57
2024-05-15,442.15
2024-05-16,447.78
2024-05-17,450.26
2024-05-18,
2024-05-19,
2024-05-20,456.3
2024-05-21,449.35
2024-05-22,451.93
2024-05-23,445.69
2024-05-24,439.04
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,434.7
2024-05-29,427.74
2024-05-30,414.48
2024-05-31,419.67
2024-06-01,
2024-06-02,
2024-06-03,424.01
2024-06-04,428.12
2024-06-05,435.95
2024-06-06,432.2
2024-06-07,434.44
2024-06-08,
2024-06-09,
2024-06-10,436.3
2024-06-11,433.85
2024-06-12,435.76
2024-06-13,432.67
2024-06-14,432.21
2024-06-15,
2024-06-16,
2024-06-17,442.69
2024-06-18,446.3
2024-06-19,
2024-06-20,450.48
2024-06-21,452.13
2024-06-22,
2024-06-23,
2024-06-24,451.09
2024-06-25,449.91
2024-06-26,446.5
2024-06-27,444.77
2024-06-28,449.06
2024-06-29,
2024-06-30,
2024-07-01,441.32
2024-07-02,446.12
2024-07-03,447.75
2024-07-04,
2024-07-05,452.01
2024-07-06,
2024-07-07,
2024-07-08,449.14
2024-07-09,448.09
2024-07-10,448.51
2024-07-11,447.62
2024-07-12,455.38
2024-07-13,
2024-07-14,
2024-07-15,455.02
2024-07-16,466.1
2024-07-17,459.8
2024-07-18,459.27
2024-07-19,458.55
2024-07-20,
2024-07-21,
2024-07-22,471.69
2024-07-23,467.5
2024-07-24,457.42
2024-07-25,461.99
2024-07-26,470.92
2024-07-27,
2024-07-28,
2024-07-29,470.84
2024-07-30,498.77
2024-07-31,501.19
2024-08-01,493.27
2024-08-02,479.29
2024-08-03,
2024-08-04,
2024-08-05,457.47
2024-08-06,473.07
2024-08-07,467.26
2024-08-08,479.0
2024-08-09,480.67
2024-08-10,
2024-08-11,
2024-08-12,475.6
2024-08-13,479.82
2024-08-14,478.67
2024-08-15,484.11
2024-08-16,482.7
2024-08-17,
2024-08-18,
2024-08-19,485.0
2024-08-20,483.86
