Date,Close
2024-01-01,
2024-01-02,39.78
2024-01-03,39.38
2024-01-04,39.3
2024-01-05,39.37
2024-01-06,
2024-01-07,
2024-01-08,40.16
2024-01-09,40.26
2024-01-10,40.64
2024-01-11,40.71
2024-01-12,40.72
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,40.63
2024-01-17,40.44
2024-01-18,40.89
2024-01-19,41.5
2024-01-20,
2024-01-21,
2024-01-22,41.52
2024-01-23,41.67
2024-01-24,41.97
2024-01-25,42.11
2024-01-26,42.17
2024-01-27,
2024-01-28,
2024-01-29,42.63
2024-01-30,42.5
2024-01-31,41.78
2024-02-01,42.4
2024-02-02,43.31
2024-02-03,
2024-02-04,
2024-02-05,43.24
2024-02-06,43.21
2024-02-07,43.72
2024-02-08,43.75
2024-02-09,44.11
2024-02-10,
2024-02-11,
2024-02-12,43.98
2024-02-13,43.4
2024-02-14,43.98
2024-02-15,44.06
2024-02-16,43.78
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,43.37
2024-02-21,43.42
2024-02-22,44.67
2024-02-23,44.45
2024-02-24,
2024-02-25,
2024-02-26,44.34
2024-02-27,44.32
2024-02-28,44.25
2024-02-29,44.5
2024-03-01,45.04
2024-03-02,
2024-03-03,
2024-03-04,44.84
2024-03-05,44.29
2024-03-06,44.58
2024-03-07,45.14
2024-03-08,44.69
2024-03-09,
2024-03-10,
2024-03-11,44.4
2024-03-12,45.06
2024-03-13,45.02
2024-03-14,44.99
2024-03-15,44.57
2024-03-16,
2024-03-17,
2024-03-18,44.84
2024-03-19,45.03
2024-03-20,45.45
2024-03-21,45.66
2024-03-22,45.67
2024-03-23,
2024-03-24,
2024-03-25,45.45
2024-03-26,45.3
2024-03-27,45.5
2024-03-28,45.46
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,45.43
2024-04-02,45.11
2024-04-03,45.24
2024-04-04,44.57
2024-04-05,45.3
2024-04-06,
2024-04-07,
2024-04-08,45.21
2024-04-09,45.18
2024-04-10,44.84
2024-04-11,45.32
2024-04-12,44.52
2024-04-13,
2024-04-14,
2024-04-15,43.93
2024-04-16,43.98
2024-04-17,43.56
2024-04-18,43.33
2024-04-19,42.51
2024-04-20,
2024-04-21,
2024-04-22,42.92
2024-04-23,43.62
2024-04-24,43.5
2024-04-25,43.08
2024-04-26,43.79
2024-04-27,
2024-04-28,
2024-04-29,43.72
2024-04-30,43.02
2024-05-01,42.93
2024-05-02,43.48
2024-05-03,44.26
2024-05-04,
2024-05-05,
2024-05-06,44.88
2024-05-07,44.87
2024-05-08,44.84
2024-05-09,44.97
2024-05-10,45.01
2024-05-11,
2024-05-12,
2024-05-13,44.89
2024-05-14,45.18
2024-05-15,45.87
2024-05-16,45.68
2024-05-17,45.67
2024-05-18,
2024-05-19,
2024-05-20,45.9
2024-05-21,45.99
2024-05-22,45.88
2024-05-23,45.84
2024-05-24,46.08
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,46.36
2024-05-29,45.94
2024-05-30,45.5
2024-05-31,45.5
2024-06-01,
2024-06-02,
2024-06-03,45.97
2024-06-04,46.03
2024-06-05,46.97
2024-06-06,46.98
2024-06-07,46.89
2024-06-08,
2024-06-09,
2024-06-10,47.06
2024-06-11,47.24
2024-06-12,47.92
2024-06-13,47.92
2024-06-14,47.86
2024-06-15,
2024-06-16,
2024-06-17,48.12
2024-06-18,48.24
2024-06-19,
2024-06-20,48.07
2024-06-21,48.02
2024-06-22,
2024-06-23,
2024-06-24,47.71
2024-06-25,48.18
2024-06-26,48.26
2024-06-27,48.41
2024-06-28,48.06
2024-06-29,
2024-06-30,
2024-07-01,48.19
2024-07-02,48.46
2024-07-03,48.72
2024-07-04,
2024-07-05,49.21
2024-07-06,
2024-07-07,
2024-07-08,49.31
2024-07-09,49.28
2024-07-10,49.8
2024-07-11,49.13
2024-07-12,49.42
2024-07-13,
2024-07-14,
2024-07-15,49.4
2024-07-16,49.47
2024-07-17,48.18
2024-07-18,47.83
2024-07-19,47.58
2024-07-20,
2024-07-21,
2024-07-22,48.21
2024-07-23,48.31
2024-07-24,46.8
2024-07-25,46.44
2024-07-26,47.01
2024-07-27,
2024-07-28,
2024-07-29,46.94
2024-07-30,46.74
2024-07-31,47.86
2024-08-01,47.18
2024-08-02,46.1
2024-08-03,
2024-08-04,
2024-08-05,44.66
2024-08-06,45.24
2024-08-07,44.87
2024-08-08,46.06
2024-08-09,46.06
2024-08-10,
2024-08-11,
2024-08-12,46.46
2024-08-13,47.41
2024-08-14,47.6
2024-08-15,48.62
2024-08-16,48.62
2024-08-17,
2024-08-18,
2024-08-19,49.08
2024-08-20,49.03
2024-08-21,49.25
2024-08-22,48.61
2024-08-23,49.29
2024-08-24,
2024-08-25,
2024-08-26,48.99
2024-08-27,49.12
2024-08-28,48.74
2024-08-29,48.69
2024-08-30,49.25
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,47.9
