Date,Close
2024-01-01,
2024-01-02,65.64
2024-01-03,65.32
2024-01-04,66.01
2024-01-05,66.02
2024-01-06,
2024-01-07,
2024-01-08,67.42
2024-01-09,67.65
2024-01-10,67.76
2024-01-11,67.39
2024-01-12,67.2
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,66.85
2024-01-17,66.72
2024-01-18,66.31
2024-01-19,66.35
2024-01-20,
2024-01-21,
2024-01-22,66.95
2024-01-23,66.78
2024-01-24,66.12
2024-01-25,66.18
2024-01-26,66.5
2024-01-27,
2024-01-28,
2024-01-29,67.29
2024-01-30,67.02
2024-01-31,66.99
2024-02-01,67.95
2024-02-02,67.51
2024-02-03,
2024-02-04,
2024-02-05,68.1
2024-02-06,68.41
2024-02-07,68.22
2024-02-08,68.0
2024-02-09,68.36
2024-02-10,
2024-02-11,
2024-02-12,68.66
2024-02-13,67.76
2024-02-14,68.62
2024-02-15,69.18
2024-02-16,69.63
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,69.36
2024-02-21,69.27
2024-02-22,70.29
2024-02-23,70.7
2024-02-24,
2024-02-25,
2024-02-26,70.73
2024-02-27,71.28
2024-02-28,70.36
2024-02-29,69.56
2024-03-01,70.69
2024-03-02,
2024-03-03,
2024-03-04,70.85
2024-03-05,70.13
2024-03-06,70.41
2024-03-07,71.01
2024-03-08,70.85
2024-03-09,
2024-03-10,
2024-03-11,70.5
2024-03-12,70.85
2024-03-13,70.85
2024-03-14,70.11
2024-03-15,69.95
2024-03-16,
2024-03-17,
2024-03-18,69.85
2024-03-19,70.17
2024-03-20,70.12
2024-03-21,70.23
2024-03-22,70.0
2024-03-23,
2024-03-24,
2024-03-25,69.78
2024-03-26,70.05
2024-03-27,70.84
2024-03-28,70.76
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,69.98
2024-04-02,68.62
2024-04-03,68.86
2024-04-04,67.99
2024-04-05,68.54
2024-04-06,
2024-04-07,
2024-04-08,68.49
2024-04-09,68.72
2024-04-10,68.0
2024-04-11,68.05
2024-04-12,66.97
2024-04-13,
2024-04-14,
2024-04-15,66.51
2024-04-16,66.52
2024-04-17,66.38
2024-04-18,65.96
2024-04-19,65.96
2024-04-20,
2024-04-21,
2024-04-22,66.46
2024-04-23,67.36
2024-04-24,67.1
2024-04-25,66.92
2024-04-26,67.03
2024-04-27,
2024-04-28,
2024-04-29,67.55
2024-04-30,67.47
2024-05-01,68.08
2024-05-02,68.14
2024-05-03,68.51
2024-05-04,
2024-05-05,
2024-05-06,68.88
2024-05-07,69.34
2024-05-08,68.86
2024-05-09,69.29
2024-05-10,69.0
2024-05-11,
2024-05-12,
2024-05-13,69.0
2024-05-14,69.31
2024-05-15,70.45
2024-05-16,70.34
2024-05-17,70.08
2024-05-18,
2024-05-19,
2024-05-20,70.43
2024-05-21,70.5
2024-05-22,70.45
2024-05-23,69.65
2024-05-24,69.38
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,68.98
2024-05-29,68.44
2024-05-30,68.96
2024-05-31,68.96
2024-06-01,
2024-06-02,
2024-06-03,70.54
2024-06-04,70.65
2024-06-05,71.37
2024-06-06,71.41
2024-06-07,71.31
2024-06-08,
2024-06-09,
2024-06-10,71.67
2024-06-11,71.52
2024-06-12,71.8
2024-06-13,71.71
2024-06-14,71.36
2024-06-15,
2024-06-16,
2024-06-17,71.05
