Date,Close
2024-01-01,
2024-01-02,26.29
2024-01-03,26.1
2024-01-04,26.04
2024-01-05,26.07
2024-01-06,
2024-01-07,
2024-01-08,26.4
2024-01-09,26.35
2024-01-10,26.49
2024-01-11,26.52
2024-01-12,26.54
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,26.44
2024-01-17,26.31
2024-01-18,26.55
2024-01-19,26.93
2024-01-20,
2024-01-21,
2024-01-22,26.98
2024-01-23,27.06
2024-01-24,27.15
2024-01-25,27.31
2024-01-26,27.25
2024-01-27,
2024-01-28,
2024-01-29,27.45
2024-01-30,27.39
2024-01-31,26.92
2024-02-01,27.31
2024-02-02,27.77
2024-02-03,
2024-02-04,
2024-02-05,27.69
2024-02-06,27.72
2024-02-07,27.95
2024-02-08,28.02
2024-02-09,28.19
2024-02-10,
2024-02-11,
2024-02-12,28.15
2024-02-13,27.77
2024-02-14,27.97
2024-02-15,28.08
2024-02-16,27.95
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,27.79
2024-02-21,27.83
2024-02-22,28.39
2024-02-23,28.34
2024-02-24,
2024-02-25,
2024-02-26,28.23
2024-02-27,28.22
2024-02-28,28.16
2024-02-29,28.28
2024-03-01,28.55
2024-03-02,
2024-03-03,
2024-03-04,28.53
2024-03-05,28.3
2024-03-06,28.45
2024-03-07,28.71
2024-03-08,28.53
2024-03-09,
2024-03-10,
2024-03-11,28.53
2024-03-12,28.88
2024-03-13,28.87
2024-03-14,28.84
2024-03-15,28.59
2024-03-16,
2024-03-17,
2024-03-18,28.78
2024-03-19,28.98
2024-03-20,29.24
2024-03-21,29.37
2024-03-22,29.34
2024-03-23,
2024-03-24,
2024-03-25,29.25
2024-03-26,29.14
2024-03-27,29.36
2024-03-28,29.36
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,29.32
2024-04-02,29.14
2024-04-03,29.19
2024-04-04,28.88
2024-04-05,29.21
2024-04-06,
2024-04-07,
2024-04-08,29.17
2024-04-09,29.22
2024-04-10,28.98
2024-04-11,29.16
2024-04-12,28.72
2024-04-13,
2024-04-14,
2024-04-15,28.45
2024-04-16,28.42
2024-04-17,28.25
2024-04-18,28.21
2024-04-19,28.02
2024-04-20,
2024-04-21,
2024-04-22,28.27
2024-04-23,28.54
2024-04-24,28.54
2024-04-25,28.43
2024-04-26,28.74
2024-04-27,
2024-04-28,
2024-04-29,28.75
2024-04-30,28.33
2024-05-01,28.25
2024-05-02,28.51
2024-05-03,28.89
2024-05-04,
2024-05-05,
2024-05-06,29.17
2024-05-07,29.22
2024-05-08,29.28
2024-05-09,29.47
2024-05-10,29.54
2024-05-11,
2024-05-12,
2024-05-13,29.52
2024-05-14,29.67
2024-05-15,30.02
2024-05-16,29.95
2024-05-17,29.98
2024-05-18,
2024-05-19,
2024-05-20,29.96
2024-05-21,30.02
2024-05-22,29.95
2024-05-23,29.78
2024-05-24,29.97
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,29.97
2024-05-29,29.74
2024-05-30,29.57
2024-05-31,29.82
2024-06-01,
2024-06-02,
2024-06-03,29.86
2024-06-04,29.88
2024-06-05,30.26
2024-06-06,30.21
2024-06-07,30.2
2024-06-08,
2024-06-09,
2024-06-10,30.28
2024-06-11,30.35
2024-06-12,30.67
2024-06-13,30.77
2024-06-14,30.8
2024-06-15,
2024-06-16,
2024-06-17,31.05
2024-06-18,31.16
2024-06-19,
2024-06-20,31.06
2024-06-21,30.94
2024-06-22,
2024-06-23,
2024-06-24,30.86
2024-06-25,30.93
2024-06-26,30.93
2024-06-27,30.97
2024-06-28,30.88
2024-06-29,
2024-06-30,
2024-07-01,30.99
2024-07-02,31.15
2024-07-03,31.31
2024-07-04,
2024-07-05,31.48
2024-07-06,
2024-07-07,
2024-07-08,31.52
2024-07-09,31.54
2024-07-10,31.88
2024-07-11,31.63
2024-07-12,31.77
2024-07-13,
2024-07-14,
2024-07-15,31.87
2024-07-16,32.03
2024-07-17,31.54
2024-07-18,31.29
2024-07-19,31.08
2024-07-20,
2024-07-21,
2024-07-22,31.39
2024-07-23,31.39
2024-07-24,30.72
2024-07-25,30.68
2024-07-26,31.09
2024-07-27,
2024-07-28,
2024-07-29,31.05
2024-07-30,30.93
2024-07-31,31.4
2024-08-01,30.99
2024-08-02,30.36
2024-08-03,
2024-08-04,
2024-08-05,29.54
2024-08-06,29.78
2024-08-07,29.53
2024-08-08,30.16
2024-08-09,30.31
2024-08-10,
2024-08-11,
2024-08-12,30.33
2024-08-13,30.8
2024-08-14,30.94
2024-08-15,31.44
2024-08-16,31.46
2024-08-17,
2024-08-18,
2024-08-19,31.74
2024-08-20,31.67
2024-08-21,31.83
2024-08-22,31.57
2024-08-23,31.92
2024-08-24,
2024-08-25,
2024-08-26,31.8
2024-08-27,31.85
2024-08-28,31.69
2024-08-29,31.72
2024-08-30,32.01
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,31.33
2024-09-04,31.3
2024-09-05,31.24
2024-09-06,30.73
2024-09-07,
2024-09-08,
2024-09-09,31.09
2024-09-10,31.2
2024-09-11,31.51
2024-09-12,31.76
2024-09-13,31.88
2024-09-14,
2024-09-15,
2024-09-16,32.0
2024-09-17,31.99
2024-09-18,31.89
2024-09-19,32.44
2024-09-20,32.41
2024-09-21,
2024-09-22,
2024-09-23,32.48
2024-09-24,32.53
2024-09-25,32.46
2024-09-26,32.59
2024-09-27,32.55
2024-09-28,
2024-09-29,
2024-09-30,32.67
2024-10-01,32.4
2024-10-02,32.45
2024-10-03,32.41
2024-10-04,32.72
2024-10-05,
2024-10-06,
2024-10-07,32.44
2024-10-08,32.72
2024-10-09,32.99
2024-10-10,32.93
2024-10-11,33.17
2024-10-12,
2024-10-13,
2024-10-14,33.44
2024-10-15,33.14
2024-10-16,33.27
2024-10-17,33.26
2024-10-18,33.32
2024-10-19,
2024-10-20,
2024-10-21,33.21
2024-10-22,33.2
2024-10-23,32.9
2024-10-24,32.89
2024-10-25,32.88
2024-10-26,
2024-10-27,
2024-10-28,32.96
2024-10-29,32.99
2024-10-30,32.88
2024-10-31,32.32
2024-11-01,32.47
2024-11-02,
2024-11-03,
2024-11-04,32.38
2024-11-05,32.79
2024-11-06,33.69
2024-11-07,33.85
2024-11-08,33.93
2024-11-09,
2024-11-10,
2024-11-11,33.93
2024-11-12,33.87
2024-11-13,33.87
2024-11-14,33.7
2024-11-15,33.21
2024-11-16,
2024-11-17,
2024-11-18,33.32
2024-11-19,33.41
2024-11-20,33.34
2024-11-21,33.55
2024-11-22,33.65
2024-11-23,
2024-11-24,
2024-11-25,33.72
2024-11-26,33.9
2024-11-27,33.77
2024-11-28,
2024-11-29,33.95
2024-11-30,
2024-12-01,
2024-12-02,34.02
2024-12-03,34.08
2024-12-04,34.24
2024-12-05,34.17
2024-12-06,34.25
2024-12-07,
2024-12-08,
2024-12-09,34.08
2024-12-10,33.87
2024-12-11,34.09
2024-12-12,33.83
2024-12-13,33.88
2024-12-14,
2024-12-15,
2024-12-16,33.96
2024-12-17,33.77
2024-12-18,32.82
2024-12-19,32.79
2024-12-20,33.13
2024-12-21,
2024-12-22,
2024-12-23,33.37
2024-12-24,33.7
2024-12-25,
2024-12-26,33.73
2024-12-27,33.42
2024-12-28,
2024-12-29,
2024-12-30,33.09
2024-12-31,32.99
2025-01-01,
2025-01-02,32.99
2025-01-03,33.32
2025-01-04,
2025-01-05,
2025-01-06,33.57
2025-01-07,33.24
2025-01-08,33.29
2025-01-09,
2025-01-10,32.78
2025-01-11,
2025-01-12,
2025-01-13,32.88
2025-01-14,32.93
2025-01-15,33.46
2025-01-16,33.52
2025-01-17,33.87
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,34.19
2025-01-22,34.39
2025-01-23,34.6
2025-01-24,34.51
2025-01-25,
2025-01-26,
2025-01-27,33.87
2025-01-28,34.16
2025-01-29,34.01
2025-01-30,34.21
2025-01-31,34.03
2025-02-01,
2025-02-02,
2025-02-03,33.81
2025-02-04,33.98
2025-02-05,34.19
2025-02-06,34.29
2025-02-07,34.02
2025-02-08,
2025-02-09,
2025-02-10,34.26
2025-02-11,34.35
2025-02-12,34.21
2025-02-13,34.45
2025-02-14,34.37
2025-02-15,
2025-02-16,
2025-02-17,
