Date,Close
2024-01-01,
2024-01-02,15.96
2024-01-03,15.41
2024-01-04,15.42
2024-01-05,15.64
2024-01-06,
2024-01-07,
2024-01-08,16.02
2024-01-09,15.88
2024-01-10,15.97
2024-01-11,15.84
2024-01-12,16.01
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,15.73
2024-01-17,15.27
2024-01-18,15.09
2024-01-19,15.5
2024-01-20,
2024-01-21,
2024-01-22,15.81
2024-01-23,15.6
2024-01-24,15.38
2024-01-25,15.53
2024-01-26,15.44
2024-01-27,
2024-01-28,
2024-01-29,15.65
2024-01-30,15.4
2024-01-31,14.84
2024-02-01,14.93
2024-02-02,14.91
2024-02-03,
2024-02-04,
2024-02-05,14.81
2024-02-06,14.9
2024-02-07,15.15
2024-02-08,15.63
2024-02-09,15.69
2024-02-10,
2024-02-11,
2024-02-12,15.9
2024-02-13,14.99
2024-02-14,15.05
2024-02-15,15.34
2024-02-16,15.2
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,14.88
2024-02-21,15.32
2024-02-22,15.26
2024-02-23,15.11
2024-02-24,
2024-02-25,
2024-02-26,14.99
2024-02-27,15.21
2024-02-28,15.12
2024-02-29,15.54
2024-03-01,15.9
2024-03-02,
2024-03-03,
2024-03-04,16.18
2024-03-05,16.27
2024-03-06,16.23
2024-03-07,16.19
2024-03-08,16.33
2024-03-09,
2024-03-10,
2024-03-11,16.18
2024-03-12,16.08
2024-03-13,16.11
2024-03-14,15.55
2024-03-15,15.6
2024-03-16,
2024-03-17,
2024-03-18,15.61
2024-03-19,15.49
2024-03-20,15.76
2024-03-21,15.85
2024-03-22,15.41
2024-03-23,
2024-03-24,
2024-03-25,15.07
2024-03-26,14.82
2024-03-27,15.24
2024-03-28,15.04
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,14.52
2024-04-02,14.39
2024-04-03,14.49
2024-04-04,14.53
2024-04-05,14.4
2024-04-06,
2024-04-07,
2024-04-08,14.87
2024-04-09,15.15
2024-04-10,14.3
2024-04-11,14.44
2024-04-12,14.32
2024-04-13,
2024-04-14,
2024-04-15,14.0
2024-04-16,13.69
2024-04-17,13.6
2024-04-18,13.71
2024-04-19,13.91
2024-04-20,
2024-04-21,
2024-04-22,13.97
2024-04-23,14.2
2024-04-24,14.33
2024-04-25,14.14
2024-04-26,14.18
2024-04-27,
2024-04-28,
2024-04-29,14.49
2024-04-30,14.07
2024-05-01,13.56
2024-05-02,14.02
2024-05-03,13.93
2024-05-04,
2024-05-05,
2024-05-06,13.98
2024-05-07,13.74
2024-05-08,13.6
2024-05-09,13.89
2024-05-10,13.76
2024-05-11,
