Date,Close
2020-01-01,
2020-01-02,36.72
2020-01-03,36.06
2020-01-04,
2020-01-05,
2020-01-06,36.52
2020-01-07,36.14
2020-01-08,36.43
2020-01-09,36.65
2020-01-10,36.34
2020-01-11,
2020-01-12,
2020-01-13,36.5
2020-01-14,36.34
2020-01-15,36.3
2020-01-16,36.4
2020-01-17,36.35
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,36.39
2020-01-22,36.69
2020-01-23,37.03
2020-01-24,36.67
2020-01-25,
2020-01-26,
2020-01-27,35.74
2020-01-28,36.19
2020-01-29,35.91
2020-01-30,35.93
2020-01-31,34.99
2020-02-01,
2020-02-02,
2020-02-03,34.84
2020-02-04,34.8
2020-02-05,35.31
2020-02-06,35.4
2020-02-07,35.31
2020-02-08,
2020-02-09,
2020-02-10,35.95
2020-02-11,36.15
2020-02-12,37.06
2020-02-13,36.48
2020-02-14,37.21
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,37.24
2020-02-19,37.22
2020-02-20,37.46
2020-02-21,37.65
2020-02-22,
2020-02-23,
2020-02-24,36.92
2020-02-25,34.99
2020-02-26,34.86
2020-02-27,33.61
2020-02-28,32.43
2020-02-29,
2020-03-01,
2020-03-02,33.76
2020-03-03,33.21
2020-03-04,34.9
2020-03-05,34.43
2020-03-06,33.84
2020-03-07,
2020-03-08,
2020-03-09,31.68
2020-03-10,33.3
2020-03-11,31.23
2020-03-12,27.07
2020-03-13,29.35
2020-03-14,
2020-03-15,
2020-03-16,27.37
2020-03-17,26.41
2020-03-18,23.54
2020-03-19,23.33
2020-03-20,22.28
2020-03-21,
2020-03-22,
2020-03-23,21.02
2020-03-24,22.68
2020-03-25,23.37
2020-03-26,24.15
2020-03-27,23.2
2020-03-28,
2020-03-29,
2020-03-30,23.69
2020-03-31,24.11
2020-04-01,22.5
2020-04-02,23.3
2020-04-03,22.78
2020-04-04,
2020-04-05,
2020-04-06,24.52
2020-04-07,25.29
2020-04-08,26.22
2020-04-09,27.37
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,26.26
2020-04-14,27.55
2020-04-15,26.03
2020-04-16,25.49
2020-04-17,26.42
2020-04-18,
2020-04-19,
2020-04-20,25.47
2020-04-21,24.68
2020-04-22,24.82
2020-04-23,24.91
2020-04-24,24.96
2020-04-25,
2020-04-26,
2020-04-27,25.98
2020-04-28,26.59
2020-04-29,27.4
2020-04-30,26.04
2020-05-01,24.92
2020-05-02,
2020-05-03,
2020-05-04,25.52
2020-05-05,25.63
2020-05-06,25.32
2020-05-07,25.51
2020-05-08,26.65
2020-05-09,
2020-05-10,
2020-05-11,25.55
2020-05-12,24.96
2020-05-13,24.35
2020-05-14,25.57
2020-05-15,25.46
2020-05-16,
2020-05-17,
2020-05-18,26.41
2020-05-19,25.94
2020-05-20,25.71
2020-05-21,26.31
2020-05-22,26.41
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,27.79
2020-05-27,28.51
2020-05-28,28.2
2020-05-29,28.1
2020-05-30,
2020-05-31,
2020-06-01,28.42
2020-06-02,28.94
2020-06-03,30.03
2020-06-04,30.78
2020-06-05,32.25
2020-06-06,
2020-06-07,
2020-06-08,32.93
2020-06-09,31.97
2020-06-10,30.8
2020-06-11,30.07
2020-06-12,30.81
2020-06-13,
2020-06-14,
2020-06-15,31.62
2020-06-16,31.69
2020-06-17,31.53
2020-06-18,31.05
2020-06-19,30.93
2020-06-20,
2020-06-21,
2020-06-22,31.48
2020-06-23,31.35
2020-06-24,30.0
2020-06-25,30.15
2020-06-26,30.06
2020-06-27,
2020-06-28,
2020-06-29,30.48
2020-06-30,30.77
2020-07-01,30.54
2020-07-02,30.95
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,31.3
2020-07-07,30.87
2020-07-08,30.78
2020-07-09,30.08
2020-07-10,30.52
2020-07-11,
2020-07-12,
2020-07-13,30.64
2020-07-14,31.52
2020-07-15,32.84
2020-07-16,33.5
2020-07-17,33.95
2020-07-18,
2020-07-19,
2020-07-20,33.16
2020-07-21,33.08
2020-07-22,33.39
2020-07-23,33.66
2020-07-24,33.16
2020-07-25,
2020-07-26,
2020-07-27,33.41
2020-07-28,32.97
2020-07-29,34.24
2020-07-30,33.56
2020-07-31,34.68
2020-08-01,
2020-08-02,
2020-08-03,35.08
2020-08-04,34.57
2020-08-05,34.55
2020-08-06,34.6
2020-08-07,35.19
2020-08-08,
2020-08-09,
2020-08-10,36.14
2020-08-11,36.76
2020-08-12,37.0
2020-08-13,36.63
2020-08-14,36.82
2020-08-15,
2020-08-16,
2020-08-17,36.71
2020-08-18,36.35
2020-08-19,36.26
2020-08-20,36.15
2020-08-21,36.58
2020-08-22,
2020-08-23,
2020-08-24,36.94
2020-08-25,37.13
2020-08-26,37.01
2020-08-27,36.86
2020-08-28,37.22
2020-08-29,
2020-08-30,
2020-08-31,36.71
2020-09-01,37.11
2020-09-02,38.01
2020-09-03,36.54
2020-09-04,37.23
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,36.72
2020-09-09,37.14
2020-09-10,37.07
2020-09-11,37.55
2020-09-12,
2020-09-13,
2020-09-14,38.31
2020-09-15,38.11
2020-09-16,38.66
2020-09-17,38.73
2020-09-18,38.55
2020-09-19,
2020-09-20,
2020-09-21,36.87
2020-09-22,37.25
2020-09-23,36.36
2020-09-24,36.89
2020-09-25,36.72
2020-09-26,
2020-09-27,
2020-09-28,37.59
2020-09-29,37.15
2020-09-30,37.05
2020-10-01,36.9
2020-10-02,37.72
2020-10-03,
2020-10-04,
2020-10-05,38.23
2020-10-06,37.78
2020-10-07,38.55
