Date,Close
2024-01-01,
2024-01-02,115.24
2024-01-03,113.5
2024-01-04,113.28
2024-01-05,113.56
2024-01-06,
2024-01-07,
2024-01-08,115.32
2024-01-09,115.06
2024-01-10,115.37
2024-01-11,115.16
2024-01-12,115.13
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,114.71
2024-01-17,113.79
2024-01-18,114.88
2024-01-19,115.93
2024-01-20,
2024-01-21,
2024-01-22,116.96
2024-01-23,117.19
2024-01-24,116.41
2024-01-25,117.18
2024-01-26,117.14
2024-01-27,
2024-01-28,
2024-01-29,118.21
2024-01-30,118.29
2024-01-31,116.78
2024-02-01,118.83
2024-02-02,118.86
2024-02-03,
2024-02-04,
2024-02-05,118.13
2024-02-06,118.45
2024-02-07,118.96
2024-02-08,119.56
2024-02-09,120.58
2024-02-10,
2024-02-11,
2024-02-12,121.01
2024-02-13,119.08
2024-02-14,121.27
2024-02-15,122.59
2024-02-16,122.15
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,121.43
2024-02-21,121.62
2024-02-22,123.41
2024-02-23,123.8
2024-02-24,
2024-02-25,
2024-02-26,123.55
2024-02-27,123.58
2024-02-28,123.29
2024-02-29,123.85
2024-03-01,124.75
2024-03-02,
2024-03-03,
2024-03-04,124.79
2024-03-05,123.43
2024-03-06,123.96
2024-03-07,125.76
2024-03-08,124.89
2024-03-09,
2024-03-10,
2024-03-11,124.75
2024-03-12,125.47
2024-03-13,124.89
2024-03-14,123.77
2024-03-15,123.11
2024-03-16,
2024-03-17,
2024-03-18,123.2
2024-03-19,123.97
2024-03-20,125.0
2024-03-21,126.05
2024-03-22,125.2
2024-03-23,
2024-03-24,
2024-03-25,124.61
2024-03-26,124.62
2024-03-27,125.95
2024-03-28,126.11
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,125.26
2024-04-02,124.14
2024-04-03,124.53
2024-04-04,123.4
2024-04-05,124.31
2024-04-06,
2024-04-07,
2024-04-08,124.79
2024-04-09,125.39
2024-04-10,123.46
