Date,Close
2020-01-01,
2020-01-02,89.7
2020-01-03,89.13
2020-01-04,
2020-01-05,
2020-01-06,89.2
2020-01-07,89.44
2020-01-08,89.69
2020-01-09,90.33
2020-01-10,90.12
2020-01-11,
2020-01-12,
2020-01-13,90.74
2020-01-14,90.77
2020-01-15,90.87
2020-01-16,91.84
2020-01-17,92.06
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,92.07
2020-01-22,92.25
2020-01-23,92.19
2020-01-24,91.53
2020-01-25,
2020-01-26,
2020-01-27,90.22
2020-01-28,91.22
2020-01-29,91.06
2020-01-30,91.07
2020-01-31,89.27
2020-02-01,
2020-02-02,
2020-02-03,89.64
2020-02-04,90.99
2020-02-05,91.71
2020-02-06,91.59
2020-02-07,90.71
2020-02-08,
2020-02-09,
2020-02-10,91.23
2020-02-11,91.95
2020-02-12,92.63
2020-02-13,92.79
2020-02-14,93.03
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,92.49
2020-02-19,92.98
2020-02-20,92.74
2020-02-21,91.73
2020-02-22,
2020-02-23,
2020-02-24,88.96
2020-02-25,86.35
2020-02-26,85.73
2020-02-27,83.16
2020-02-28,83.16
2020-02-29,
2020-03-01,
2020-03-02,84.71
2020-03-03,82.79
2020-03-04,85.19
2020-03-05,82.06
2020-03-06,80.67
2020-03-07,
2020-03-08,
2020-03-09,73.83
2020-03-10,77.22
2020-03-11,73.49
2020-03-12,66.81
2020-03-13,71.29
2020-03-14,
2020-03-15,
2020-03-16,62.42
2020-03-17,64.15
2020-03-18,58.71
2020-03-19,60.49
2020-03-20,58.96
2020-03-21,
2020-03-22,
2020-03-23,57.46
2020-03-24,63.99
2020-03-25,66.0
2020-03-26,69.16
2020-03-27,66.55
2020-03-28,
2020-03-29,
2020-03-30,68.41
2020-03-31,67.49
2020-04-01,64.29
2020-04-02,65.23
2020-04-03,64.1
2020-04-04,
2020-04-05,
2020-04-06,69.25
2020-04-07,69.5
2020-04-08,72.28
2020-04-09,73.64
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,72.07
2020-04-14,73.93
2020-04-15,71.82
2020-04-16,71.91
2020-04-17,74.77
2020-04-18,
2020-04-19,
2020-04-20,73.65
2020-04-21,71.22
2020-04-22,72.86
2020-04-23,72.98
2020-04-24,74.09
2020-04-25,
2020-04-26,
2020-04-27,75.95
2020-04-28,76.17
2020-04-29,78.82
2020-04-30,77.07
2020-05-01,74.95
2020-05-02,
2020-05-03,
2020-05-04,75.04
2020-05-05,76.39
2020-05-06,76.42
2020-05-07,77.61
2020-05-08,79.34
2020-05-09,
2020-05-10,
2020-05-11,79.04
2020-05-12,77.21
2020-05-13,75.44
2020-05-14,76.32
2020-05-15,76.43
2020-05-16,
2020-05-17,
2020-05-18,79.45
2020-05-19,78.88
2020-05-20,80.15
2020-05-21,79.3
2020-05-22,79.59
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,81.52
2020-05-27,82.79
2020-05-28,82.66
2020-05-29,83.07
2020-05-30,
2020-05-31,
2020-06-01,83.46
2020-06-02,84.25
2020-06-03,86.14
2020-06-04,85.54
2020-06-05,87.4
2020-06-06,
2020-06-07,
2020-06-08,88.5
2020-06-09,86.68
2020-06-10,85.59
2020-06-11,80.82
2020-06-12,82.04
2020-06-13,
2020-06-14,
2020-06-15,82.91
2020-06-16,84.43
2020-06-17,84.63
2020-06-18,84.64
2020-06-19,84.02
2020-06-20,
2020-06-21,
2020-06-22,84.4
2020-06-23,84.54
2020-06-24,81.71
2020-06-25,82.38
2020-06-26,80.92
2020-06-27,
2020-06-28,
2020-06-29,81.97
2020-06-30,83.19
2020-07-01,83.12
2020-07-02,83.3
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,84.22
2020-07-07,83.07
2020-07-08,83.59
2020-07-09,83.23
2020-07-10,83.63
2020-07-11,
2020-07-12,
2020-07-13,82.97
2020-07-14,84.17
2020-07-15,86.33
2020-07-16,85.81
2020-07-17,86.45
2020-07-18,
2020-07-19,
2020-07-20,86.94
2020-07-21,87.02
2020-07-22,87.6
2020-07-23,87.09
2020-07-24,86.15
2020-07-25,
2020-07-26,
2020-07-27,87.22
2020-07-28,86.3
2020-07-29,88.15
2020-07-30,88.18
2020-07-31,87.83
2020-08-01,
2020-08-02,
2020-08-03,88.74
2020-08-04,88.94
2020-08-05,89.37
2020-08-06,89.82
2020-08-07,89.91
2020-08-08,
2020-08-09,
2020-08-10,90.07
2020-08-11,90.44
2020-08-12,90.95
2020-08-13,90.89
2020-08-14,90.62
2020-08-15,
2020-08-16,
2020-08-17,90.94
2020-08-18,90.64
2020-08-19,90.32
2020-08-20,89.82
2020-08-21,89.71
2020-08-22,
2020-08-23,
2020-08-24,90.37
2020-08-25,90.77
2020-08-26,91.25
2020-08-27,91.46
2020-08-28,92.13
2020-08-29,
2020-08-30,
2020-08-31,91.52
2020-09-01,92.3
2020-09-02,93.77
2020-09-03,90.82
2020-09-04,89.91
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,87.78
2020-09-09,89.05
2020-09-10,87.97
2020-09-11,87.95
2020-09-12,
2020-09-13,
2020-09-14,89.4
2020-09-15,89.71
2020-09-16,89.94
2020-09-17,89.77
2020-09-18,89.1
2020-09-19,
2020-09-20,
2020-09-21,87.84
2020-09-22,88.5
2020-09-23,86.96
2020-09-24,86.54
2020-09-25,87.82
2020-09-26,
2020-09-27,
2020-09-28,89.18
2020-09-29,88.91
2020-09-30,89.13
2020-10-01,90.22
2020-10-02,89.86
2020-10-03,
2020-10-04,
2020-10-05,91.53
2020-10-06,90.99
2020-10-07,92.43
2020-10-08,93.48
2020-10-09,94.44
2020-10-10,
2020-10-11,
2020-10-12,95.02
2020-10-13,94.33
2020-10-14,93.69
2020-10-15,93.87
2020-10-16,94.12
2020-10-17,
2020-10-18,
2020-10-19,93.17
2020-10-20,93.36
2020-10-21,92.92
2020-10-22,93.56
2020-10-23,94.03
2020-10-24,
2020-10-25,
2020-10-26,92.46
2020-10-27,91.69
2020-10-28,89.23
2020-10-29,89.66
2020-10-30,88.99
2020-10-31,
2020-11-01,
2020-11-02,90.25
2020-11-03,92.51
2020-11-04,94.21
2020-11-05,95.57
2020-11-06,95.85
2020-11-07,
2020-11-08,
2020-11-09,98.25
2020-11-10,97.93
2020-11-11,98.43
2020-11-12,97.54
2020-11-13,99.19
2020-11-14,
2020-11-15,
2020-11-16,100.38
2020-11-17,100.24
2020-11-18,99.31
2020-11-19,100.09
2020-11-20,99.96
2020-11-21,
2020-11-22,
2020-11-23,100.91
2020-11-24,101.9
2020-11-25,101.42
2020-11-26,
2020-11-27,102.06
2020-11-28,
2020-11-29,
2020-11-30,101.59
2020-12-01,102.59
2020-12-02,102.66
2020-12-03,102.99
2020-12-04,104.65
2020-12-05,
2020-12-06,
2020-12-07,104.26
2020-12-08,104.68
2020-12-09,103.67
2020-12-10,103.88
2020-12-11,103.52
2020-12-12,
2020-12-13,
2020-12-14,103.54
2020-12-15,105.1
2020-12-16,104.98
2020-12-17,106.19
2020-12-18,106.25
2020-12-19,
2020-12-20,
2020-12-21,105.79
2020-12-22,105.94
2020-12-23,106.02
2020-12-24,106.45
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,106.29
2020-12-29,105.81
2020-12-30,106.47
2020-12-31,107.1
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,105.4
2021-01-05,106.53
2021-01-06,107.99
2021-01-07,109.42
2021-01-08,109.65
2021-01-09,
2021-01-10,
2021-01-11,109.32
2021-01-12,109.82
2021-01-13,109.47
2021-01-14,109.7
2021-01-15,108.74
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,109.78
2021-01-20,110.63
2021-01-21,110.12
2021-01-22,109.75
2021-01-23,
2021-01-24,
2021-01-25,109.35
2021-01-26,108.22
2021-01-27,104.41
2021-01-28,106.07
2021-01-29,104.0
2021-01-30,
2021-01-31,
2021-02-01,106.52
2021-02-02,108.28
2021-02-03,107.74
2021-02-04,109.38
2021-02-05,109.87
2021-02-06,
2021-02-07,
2021-02-08,111.26
2021-02-09,111.31
2021-02-10,111.44
2021-02-11,112.43
2021-02-12,113.07
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,112.96
2021-02-17,112.58
2021-02-18,111.53
2021-02-19,112.16
2021-02-20,
2021-02-21,
2021-02-22,110.91
2021-02-23,110.79
2021-02-24,112.22
2021-02-25,109.55
2021-02-26,109.53
2021-02-27,
2021-02-28,
2021-03-01,112.35
2021-03-02,110.92
2021-03-03,109.49
2021-03-04,107.12
2021-03-05,109.59
2021-03-06,
2021-03-07,
2021-03-08,109.05
2021-03-09,110.65
2021-03-10,110.87
2021-03-11,112.48
2021-03-12,112.68
2021-03-13,
2021-03-14,
2021-03-15,114.02
2021-03-16,113.37
2021-03-17,113.66
2021-03-18,112.0
2021-03-19,112.0
