Date,Close
2020-01-01,
2020-01-02,79.87
2020-01-03,79.36
2020-01-04,
2020-01-05,
2020-01-06,79.42
2020-01-07,79.63
2020-01-08,79.86
2020-01-09,80.42
2020-01-10,80.23
2020-01-11,
2020-01-12,
2020-01-13,80.78
2020-01-14,80.81
2020-01-15,80.9
2020-01-16,81.75
2020-01-17,81.94
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,81.95
2020-01-22,82.11
2020-01-23,82.05
2020-01-24,81.46
2020-01-25,
2020-01-26,
2020-01-27,80.29
2020-01-28,81.18
2020-01-29,81.04
2020-01-30,81.05
2020-01-31,79.44
2020-02-01,
2020-02-02,
2020-02-03,79.77
2020-02-04,80.97
2020-02-05,81.6
2020-02-06,81.49
2020-02-07,80.71
2020-02-08,
2020-02-09,
2020-02-10,81.17
2020-02-11,81.81
2020-02-12,82.4
2020-02-13,82.55
2020-02-14,82.76
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,82.27
2020-02-19,82.71
2020-02-20,82.49
2020-02-21,81.59
2020-02-22,
2020-02-23,
2020-02-24,79.12
2020-02-25,76.81
2020-02-26,76.25
2020-02-27,73.96
2020-02-28,73.96
2020-02-29,
2020-03-01,
2020-03-02,75.33
2020-03-03,73.63
2020-03-04,75.76
2020-03-05,72.97
2020-03-06,71.73
2020-03-07,
2020-03-08,
2020-03-09,65.65
2020-03-10,68.66
2020-03-11,65.35
2020-03-12,59.4
2020-03-13,63.38
2020-03-14,
2020-03-15,
2020-03-16,55.5
2020-03-17,57.03
2020-03-18,52.2
2020-03-19,53.77
2020-03-20,52.41
2020-03-21,
2020-03-22,
2020-03-23,51.08
2020-03-24,56.88
2020-03-25,58.66
2020-03-26,61.48
2020-03-27,59.15
2020-03-28,
2020-03-29,
2020-03-30,60.8
2020-03-31,59.99
2020-04-01,57.14
2020-04-02,57.98
2020-04-03,56.96
2020-04-04,
2020-04-05,
2020-04-06,61.54
2020-04-07,61.76
2020-04-08,64.23
2020-04-09,65.44
2020-04-10,
2020-04-11,
2020-04-12,
