Date,Close
2024-01-01,
2024-01-02,52.36
2024-01-03,51.95
2024-01-04,51.76
2024-01-05,51.63
2024-01-06,
2024-01-07,
2024-01-08,52.28
2024-01-09,52.3
2024-01-10,52.62
2024-01-11,52.63
2024-01-12,52.81
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,52.61
2024-01-17,52.48
2024-01-18,52.98
2024-01-19,53.43
2024-01-20,
2024-01-21,
2024-01-22,53.58
2024-01-23,53.8
2024-01-24,53.69
2024-01-25,53.74
2024-01-26,53.73
2024-01-27,
2024-01-28,
2024-01-29,54.03
2024-01-30,53.95
2024-01-31,53.38
2024-02-01,53.94
2024-02-02,54.03
2024-02-03,
2024-02-04,
2024-02-05,53.82
2024-02-06,54.02
2024-02-07,54.4
2024-02-08,54.6
2024-02-09,54.82
2024-02-10,
2024-02-11,
2024-02-12,54.73
2024-02-13,54.06
2024-02-14,54.52
2024-02-15,54.72
2024-02-16,54.48
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,54.33
2024-02-21,54.45
2024-02-22,55.27
2024-02-23,55.4
2024-02-24,
2024-02-25,
2024-02-26,55.06
2024-02-27,55.06
2024-02-28,54.83
2024-02-29,54.93
2024-03-01,55.05
2024-03-02,
2024-03-03,
2024-03-04,54.75
2024-03-05,53.93
2024-03-06,54.18
2024-03-07,54.56
2024-03-08,54.43
2024-03-09,
2024-03-10,
2024-03-11,54.61
2024-03-12,55.03
2024-03-13,54.84
2024-03-14,54.85
2024-03-15,54.38
2024-03-16,
2024-03-17,
2024-03-18,54.66
2024-03-19,55.03
2024-03-20,55.38
2024-03-21,55.09
2024-03-22,54.77
2024-03-23,
2024-03-24,
2024-03-25,54.37
2024-03-26,54.3
2024-03-27,54.91
2024-03-28,55.04
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,54.7
2024-04-02,54.04
2024-04-03,53.84
2024-04-04,53.28
2024-04-05,53.75
2024-04-06,
2024-04-07,
2024-04-08,53.91
2024-04-09,54.2
2024-04-10,53.41
2024-04-11,53.59
2024-04-12,52.97
2024-04-13,
2024-04-14,
2024-04-15,52.57
2024-04-16,52.63
2024-04-17,52.64
2024-04-18,52.52
2024-04-19,52.35
2024-04-20,
2024-04-21,
2024-04-22,52.62
2024-04-23,53.04
2024-04-24,53.36
2024-04-25,53.2
2024-04-26,53.77
2024-04-27,
2024-04-28,
2024-04-29,53.74
2024-04-30,53.04
2024-05-01,52.61
2024-05-02,52.99
2024-05-03,53.54
2024-05-04,
2024-05-05,
2024-05-06,53.88
2024-05-07,54.3
2024-05-08,54.12
2024-05-09,54.37
2024-05-10,54.51
2024-05-11,
2024-05-12,
2024-05-13,54.54
2024-05-14,54.72
2024-05-15,55.39
2024-05-16,55.58
2024-05-17,55.7
2024-05-18,
2024-05-19,
2024-05-20,55.76
2024-05-21,55.79
2024-05-22,56.02
2024-05-23,55.3
2024-05-24,55.11
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,54.72
2024-05-29,54.23
2024-05-30,53.92
2024-05-31,54.39
2024-06-01,
2024-06-02,
2024-06-03,54.25
2024-06-04,54.61
2024-06-05,54.98
2024-06-06,55.04
2024-06-07,54.89
2024-06-08,
2024-06-09,
2024-06-10,54.89
2024-06-11,55.22
2024-06-12,55.53
2024-06-13,55.41
2024-06-14,55.39
2024-06-15,
2024-06-16,
2024-06-17,55.86
2024-06-18,55.83
2024-06-19,
2024-06-20,55.89
2024-06-21,56.22
2024-06-22,
2024-06-23,
2024-06-24,56.14
2024-06-25,56.1
2024-06-26,56.03
2024-06-27,56.17
2024-06-28,55.73
2024-06-29,
2024-06-30,
2024-07-01,55.61
2024-07-02,55.99
2024-07-03,56.11
2024-07-04,
2024-07-05,56.46
2024-07-06,
2024-07-07,
2024-07-08,56.32
2024-07-09,56.13
2024-07-10,56.48
2024-07-11,56.34
2024-07-12,56.91
2024-07-13,
