Date,Close
2024-01-01,
2024-01-02,65.74
2024-01-03,65.42
2024-01-04,66.11
2024-01-05,66.12
2024-01-06,
2024-01-07,
2024-01-08,67.53
2024-01-09,67.76
2024-01-10,67.87
2024-01-11,67.5
2024-01-12,67.31
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,66.96
2024-01-17,66.83
2024-01-18,66.41
2024-01-19,66.46
2024-01-20,
2024-01-21,
2024-01-22,67.06
2024-01-23,66.9
2024-01-24,66.23
2024-01-25,66.29
2024-01-26,66.61
2024-01-27,
2024-01-28,
2024-01-29,67.4
2024-01-30,67.13
2024-01-31,67.11
2024-02-01,68.07
2024-02-02,67.63
2024-02-03,
2024-02-04,
2024-02-05,68.22
2024-02-06,68.52
2024-02-07,68.34
2024-02-08,68.13
2024-02-09,68.49
2024-02-10,
2024-02-11,
2024-02-12,68.79
2024-02-13,67.88
2024-02-14,68.74
2024-02-15,69.31
2024-02-16,69.76
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,69.5
2024-02-21,69.4
2024-02-22,70.42
2024-02-23,70.84
2024-02-24,
2024-02-25,
2024-02-26,70.87
2024-02-27,71.41
2024-02-28,70.5
2024-02-29,69.7
2024-03-01,70.82
2024-03-02,
2024-03-03,
2024-03-04,70.99
2024-03-05,70.28
2024-03-06,70.55
2024-03-07,71.16
2024-03-08,70.99
2024-03-09,
2024-03-10,
2024-03-11,70.64
2024-03-12,70.99
2024-03-13,70.99
2024-03-14,70.24
2024-03-15,70.1
2024-03-16,
2024-03-17,
2024-03-18,69.99
2024-03-19,70.31
2024-03-20,70.27
2024-03-21,70.37
2024-03-22,70.14
2024-03-23,
2024-03-24,
2024-03-25,69.93
2024-03-26,70.2
2024-03-27,70.99
2024-03-28,70.91
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,70.13
2024-04-02,68.76
2024-04-03,69.01
2024-04-04,68.14
2024-04-05,68.69
2024-04-06,
2024-04-07,
2024-04-08,68.65
2024-04-09,68.87
2024-04-10,68.16
2024-04-11,68.19
2024-04-12,67.12
2024-04-13,
2024-04-14,
2024-04-15,66.66
2024-04-16,66.67
2024-04-17,66.53
2024-04-18,66.11
2024-04-19,66.11
2024-04-20,
2024-04-21,
2024-04-22,66.61
2024-04-23,67.51
2024-04-24,67.25
2024-04-25,67.08
2024-04-26,67.19
2024-04-27,
2024-04-28,
2024-04-29,67.71
2024-04-30,67.63
2024-05-01,68.24
2024-05-02,68.3
2024-05-03,68.68
2024-05-04,
2024-05-05,
2024-05-06,69.04
2024-05-07,69.5
2024-05-08,69.03
2024-05-09,69.45
2024-05-10,69.17
2024-05-11,
2024-05-12,
2024-05-13,69.18
2024-05-14,69.48
2024-05-15,70.62
2024-05-16,70.52
2024-05-17,70.25
2024-05-18,
2024-05-19,
2024-05-20,70.6
2024-05-21,70.68
2024-05-22,70.63
2024-05-23,69.82
2024-05-24,69.56
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,69.15
2024-05-29,68.62
2024-05-30,69.13
2024-05-31,69.13
2024-06-01,
2024-06-02,
2024-06-03,70.72
2024-06-04,70.82
2024-06-05,71.54
2024-06-06,71.6
2024-06-07,71.5
2024-06-08,
2024-06-09,
2024-06-10,71.85
2024-06-11,71.7
2024-06-12,71.99
2024-06-13,71.89
2024-06-14,71.54
2024-06-15,
2024-06-16,
2024-06-17,71.24
2024-06-18,71.11
2024-06-19,
2024-06-20,71.16
2024-06-21,71.96
2024-06-22,
2024-06-23,
2024-06-24,72.6
2024-06-25,72.6
2024-06-26,72.14
2024-06-27,72.34
2024-06-28,72.3
2024-06-29,
2024-06-30,
2024-07-01,72.25
2024-07-02,71.53
2024-07-03,71.08
2024-07-04,
2024-07-05,71.75
2024-07-06,
2024-07-07,
2024-07-08,72.08
2024-07-09,72.55
2024-07-10,73.59
2024-07-11,74.43
