Date,Close
2020-01-01,
2020-01-02,45.09
2020-01-03,44.72
2020-01-04,
2020-01-05,
2020-01-06,45.09
2020-01-07,44.86
2020-01-08,45.18
2020-01-09,45.37
2020-01-10,45.14
2020-01-11,
2020-01-12,
2020-01-13,44.96
2020-01-14,45.21
2020-01-15,45.55
2020-01-16,45.73
2020-01-17,45.67
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,45.65
2020-01-22,45.68
2020-01-23,45.44
2020-01-24,44.67
2020-01-25,
2020-01-26,
2020-01-27,44.23
2020-01-28,44.79
2020-01-29,44.71
2020-01-30,44.43
2020-01-31,43.85
2020-02-01,
2020-02-02,
2020-02-03,44.42
2020-02-04,45.27
2020-02-05,45.81
2020-02-06,46.02
2020-02-07,45.54
2020-02-08,
2020-02-09,
2020-02-10,45.87
2020-02-11,46.03
2020-02-12,46.21
2020-02-13,46.01
2020-02-14,45.94
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,46.02
2020-02-19,46.27
2020-02-20,46.0
2020-02-21,46.12
2020-02-22,
2020-02-23,
2020-02-24,44.43
2020-02-25,43.15
2020-02-26,43.04
2020-02-27,41.74
2020-02-28,41.74
2020-02-29,
2020-03-01,
2020-03-02,43.12
2020-03-03,42.17
2020-03-04,44.39
2020-03-05,43.32
2020-03-06,42.84
2020-03-07,
2020-03-08,
2020-03-09,40.27
2020-03-10,41.54
2020-03-11,39.67
2020-03-12,36.43
2020-03-13,38.58
2020-03-14,
2020-03-15,
2020-03-16,34.58
2020-03-17,36.72
2020-03-18,35.51
2020-03-19,35.64
2020-03-20,34.39
2020-03-21,
2020-03-22,
2020-03-23,33.59
2020-03-24,35.93
2020-03-25,36.6
2020-03-26,38.44
2020-03-27,37.72
2020-03-28,
2020-03-29,
2020-03-30,39.23
2020-03-31,38.94
2020-04-01,37.4
2020-04-02,38.4
2020-04-03,37.98
2020-04-04,
2020-04-05,
2020-04-06,39.91
2020-04-07,39.4
2020-04-08,40.58
2020-04-09,41.16
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,40.85
2020-04-14,42.0
2020-04-15,41.6
2020-04-16,42.38
2020-04-17,43.46
2020-04-18,
2020-04-19,
2020-04-20,43.69
2020-04-21,42.54
2020-04-22,43.28
2020-04-23,43.37
2020-04-24,44.12
2020-04-25,
2020-04-26,
2020-04-27,44.8
2020-04-28,43.9
2020-04-29,44.32
2020-04-30,43.83
2020-05-01,42.82
2020-05-02,
2020-05-03,
2020-05-04,43.3
2020-05-05,44.02
2020-05-06,44.02
2020-05-07,43.96
2020-05-08,44.2
2020-05-09,
2020-05-10,
2020-05-11,45.15
2020-05-12,44.7
2020-05-13,44.02
2020-05-14,44.18
2020-05-15,44.8
2020-05-16,
2020-05-17,
2020-05-18,45.43
2020-05-19,44.7
2020-05-20,45.32
2020-05-21,44.95
2020-05-22,45.19
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,45.14
2020-05-27,45.28
2020-05-28,45.67
2020-05-29,46.07
2020-05-30,
2020-05-31,
2020-06-01,45.99
2020-06-02,46.23
2020-06-03,46.05
2020-06-04,45.48
2020-06-05,45.9
2020-06-06,
2020-06-07,
2020-06-08,46.4
2020-06-09,46.21
2020-06-10,46.19
2020-06-11,44.09
2020-06-12,44.45
2020-06-13,
2020-06-14,
2020-06-15,44.92
2020-06-16,46.12
2020-06-17,46.43
2020-06-18,46.52
2020-06-19,47.07
2020-06-20,
2020-06-21,
2020-06-22,47.4
2020-06-23,47.68
2020-06-24,46.62
2020-06-25,47.3
2020-06-26,46.4
2020-06-27,
2020-06-28,
2020-06-29,46.52
2020-06-30,47.08
2020-07-01,47.53
2020-07-02,47.69
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,48.1
2020-07-07,47.86
2020-07-08,48.15
2020-07-09,47.82
2020-07-10,47.61
2020-07-11,
2020-07-12,
2020-07-13,47.23
2020-07-14,48.09
2020-07-15,48.95
2020-07-16,48.63
2020-07-17,49.35
2020-07-18,
2020-07-19,
2020-07-20,49.72
2020-07-21,49.19
2020-07-22,49.25
2020-07-23,48.8
2020-07-24,48.26
2020-07-25,
2020-07-26,
2020-07-27,48.7
2020-07-28,48.27
2020-07-29,48.54
2020-07-30,48.64
2020-07-31,48.11
2020-08-01,
2020-08-02,
2020-08-03,49.12
2020-08-04,48.84
2020-08-05,49.28
2020-08-06,49.11
2020-08-07,49.19
2020-08-08,
2020-08-09,
2020-08-10,49.11
2020-08-11,48.78
2020-08-12,49.43
2020-08-13,49.5
2020-08-14,49.29
2020-08-15,
2020-08-16,
2020-08-17,49.99
2020-08-18,49.77
2020-08-19,49.35
2020-08-20,49.33
2020-08-21,49.18
2020-08-22,
2020-08-23,
2020-08-24,48.8
2020-08-25,49.19
2020-08-26,48.98
2020-08-27,49.14
2020-08-28,49.46
2020-08-29,
2020-08-30,
2020-08-31,49.88
2020-09-01,49.43
2020-09-02,50.21
2020-09-03,48.89
2020-09-04,48.46
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,48.06
2020-09-09,48.81
2020-09-10,48.17
2020-09-11,48.3
2020-09-12,
2020-09-13,
2020-09-14,49.69
2020-09-15,50.03
2020-09-16,50.11
2020-09-17,50.09
2020-09-18,50.35
2020-09-19,
2020-09-20,
2020-09-21,49.32
2020-09-22,49.3
2020-09-23,48.67
2020-09-24,48.15
2020-09-25,48.96
2020-09-26,
2020-09-27,
2020-09-28,49.2
2020-09-29,49.07
2020-09-30,49.53
2020-10-01,49.63
2020-10-02,49.07
2020-10-03,
2020-10-04,
2020-10-05,50.2
2020-10-06,49.78
2020-10-07,50.88
2020-10-08,51.35
2020-10-09,51.91
2020-10-10,
2020-10-11,
2020-10-12,52.15
2020-10-13,52.04
2020-10-14,51.52
2020-10-15,51.12
2020-10-16,51.55
2020-10-17,
