Date,Close
2024-01-01,
2024-01-02,60.68
2024-01-03,60.16
2024-01-04,59.94
2024-01-05,60.13
2024-01-06,
2024-01-07,
2024-01-08,61.42
2024-01-09,61.61
2024-01-10,62.33
2024-01-11,62.57
2024-01-12,62.72
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,62.67
2024-01-17,62.3
2024-01-18,63.04
2024-01-19,63.98
2024-01-20,
2024-01-21,
2024-01-22,64.15
2024-01-23,64.29
2024-01-24,64.82
2024-01-25,65.02
2024-01-26,65.02
2024-01-27,
2024-01-28,
2024-01-29,65.84
2024-01-30,65.6
2024-01-31,64.36
2024-02-01,65.4
2024-02-02,67.27
2024-02-03,
2024-02-04,
2024-02-05,67.3
2024-02-06,67.14
2024-02-07,68.21
2024-02-08,68.42
2024-02-09,69.16
2024-02-10,
2024-02-11,
2024-02-12,68.67
2024-02-13,67.65
2024-02-14,68.9
2024-02-15,69.05
2024-02-16,68.55
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,67.65
2024-02-21,67.31
2024-02-22,69.65
2024-02-23,69.48
2024-02-24,
2024-02-25,
2024-02-26,69.46
2024-02-27,69.54
2024-02-28,69.28
2024-02-29,70.09
2024-03-01,71.18
2024-03-02,
2024-03-03,
2024-03-04,71.16
2024-03-05,69.88
2024-03-06,70.26
2024-03-07,71.37
2024-03-08,70.41
2024-03-09,
2024-03-10,
2024-03-11,69.64
2024-03-12,71.2
2024-03-13,71.01
2024-03-14,71.03
2024-03-15,70.03
2024-03-16,
2024-03-17,
2024-03-18,70.59
2024-03-19,71.01
2024-03-20,71.93
2024-03-21,72.31
2024-03-22,72.5
2024-03-23,
2024-03-24,
2024-03-25,72.21
2024-03-26,71.93
2024-03-27,71.77
2024-03-28,71.62
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,71.78
2024-04-02,71.32
2024-04-03,71.76
2024-04-04,70.74
2024-04-05,72.12
2024-04-06,
2024-04-07,
2024-04-08,71.87
2024-04-09,71.66
2024-04-10,71.34
2024-04-11,72.25
2024-04-12,71.09
2024-04-13,
2024-04-14,
2024-04-15,69.73
2024-04-16,69.88
2024-04-17,69.06
2024-04-18,68.63
2024-04-19,66.82
2024-04-20,
2024-04-21,
2024-04-22,67.44
2024-04-23,68.81
2024-04-24,68.49
2024-04-25,67.99
2024-04-26,69.3
2024-04-27,
2024-04-28,
2024-04-29,69.27
2024-04-30,68.18
2024-05-01,67.84
2024-05-02,68.6
2024-05-03,69.72
2024-05-04,
2024-05-05,
2024-05-06,71.03
2024-05-07,70.96
2024-05-08,70.73
2024-05-09,70.92
2024-05-10,70.97
2024-05-11,
2024-05-12,
2024-05-13,70.79
2024-05-14,71.29
2024-05-15,72.62
2024-05-16,72.07
2024-05-17,72.16
2024-05-18,
2024-05-19,
2024-05-20,72.75
2024-05-21,72.94
2024-05-22,72.69
2024-05-23,72.64
2024-05-24,73.33
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,73.63
2024-05-29,73.26
2024-05-30,72.02
2024-05-31,72.02
2024-06-01,
2024-06-02,
2024-06-03,72.25
2024-06-04,72.29
2024-06-05,73.86
2024-06-06,73.76
2024-06-07,73.67
2024-06-08,
2024-06-09,
2024-06-10,74.12
2024-06-11,74.44
2024-06-12,75.73
2024-06-13,76.21
2024-06-14,76.36
2024-06-15,
2024-06-16,
2024-06-17,77.12
2024-06-18,77.4
2024-06-19,
2024-06-20,76.82
2024-06-21,76.66
2024-06-22,
2024-06-23,
2024-06-24,75.78
2024-06-25,76.8
2024-06-26,77.03
2024-06-27,77.19
2024-06-28,76.68
2024-06-29,
2024-06-30,
2024-07-01,77.09
2024-07-02,77.61
2024-07-03,78.31
2024-07-04,
2024-07-05,79.12
2024-07-06,
2024-07-07,
2024-07-08,79.19
2024-07-09,79.21
2024-07-10,79.92
2024-07-11,78.41
2024-07-12,78.71
2024-07-13,
2024-07-14,
2024-07-15,78.65
2024-07-16,78.65
2024-07-17,75.81
2024-07-18,75.35
2024-07-19,75.05
2024-07-20,
2024-07-21,
2024-07-22,76.32
2024-07-23,76.54
2024-07-24,73.55
2024-07-25,72.6
2024-07-26,73.23
2024-07-27,
2024-07-28,
2024-07-29,73.28
2024-07-30,72.26
2024-07-31,74.56
2024-08-01,73.29
2024-08-02,71.45
2024-08-03,
2024-08-04,
2024-08-05,69.38
2024-08-06,70.46
2024-08-07,69.72
2024-08-08,71.88
2024-08-09,72.59
2024-08-10,
2024-08-11,
2024-08-12,72.77
2024-08-13,74.43
2024-08-14,74.78
2024-08-15,76.25
2024-08-16,76.19
2024-08-17,
2024-08-18,
2024-08-19,77.08
2024-08-20,77.04
2024-08-21,77.42
2024-08-22,76.38
2024-08-23,77.12
2024-08-24,
2024-08-25,
2024-08-26,76.47
2024-08-27,76.68
2024-08-28,75.97
