Date,Close
2020-01-01,
2020-01-02,16.12
2020-01-03,16.04
2020-01-04,
2020-01-05,
2020-01-06,16.01
2020-01-07,16.05
2020-01-08,16.09
2020-01-09,16.18
2020-01-10,16.13
2020-01-11,
2020-01-12,
2020-01-13,16.26
2020-01-14,16.23
2020-01-15,16.21
2020-01-16,16.33
2020-01-17,16.35
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,16.24
2020-01-22,16.32
2020-01-23,16.29
2020-01-24,16.1
2020-01-25,
2020-01-26,
2020-01-27,15.83
2020-01-28,15.99
2020-01-29,15.95
2020-01-30,15.95
2020-01-31,15.66
2020-02-01,
2020-02-02,
2020-02-03,15.92
2020-02-04,16.27
2020-02-05,16.49
2020-02-06,16.51
2020-02-07,16.4
2020-02-08,
2020-02-09,
2020-02-10,16.48
2020-02-11,16.6
2020-02-12,16.68
2020-02-13,16.68
2020-02-14,16.68
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,16.6
2020-02-19,16.65
2020-02-20,16.69
2020-02-21,16.51
2020-02-22,
2020-02-23,
2020-02-24,15.98
2020-02-25,15.46
2020-02-26,15.27
2020-02-27,14.76
2020-02-28,14.76
2020-02-29,
2020-03-01,
2020-03-02,15.06
2020-03-03,14.64
2020-03-04,15.07
2020-03-05,14.46
2020-03-06,14.14
2020-03-07,
2020-03-08,
2020-03-09,12.76
2020-03-10,13.34
2020-03-11,12.58
2020-03-12,11.24
2020-03-13,12.07
2020-03-14,
2020-03-15,
2020-03-16,10.36
2020-03-17,10.89
2020-03-18,10.1
2020-03-19,10.41
2020-03-20,10.15
2020-03-21,
2020-03-22,
2020-03-23,9.98
2020-03-24,11.16
2020-03-25,11.66
2020-03-26,12.26
2020-03-27,11.88
2020-03-28,
2020-03-29,
2020-03-30,12.1
2020-03-31,12.01
2020-04-01,11.47
2020-04-02,11.59
2020-04-03,11.29
2020-04-04,
2020-04-05,
2020-04-06,12.07
2020-04-07,12.13
2020-04-08,12.61
2020-04-09,13.0
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,12.77
2020-04-14,13.05
2020-04-15,12.73
2020-04-16,12.73
2020-04-17,13.23
2020-04-18,
2020-04-19,
2020-04-20,13.04
2020-04-21,12.62
2020-04-22,12.9
2020-04-23,12.95
2020-04-24,13.13
2020-04-25,
2020-04-26,
2020-04-27,13.56
2020-04-28,13.55
2020-04-29,14.02
2020-04-30,13.73
2020-05-01,13.25
2020-05-02,
2020-05-03,
2020-05-04,13.34
2020-05-05,13.42
2020-05-06,13.31
2020-05-07,13.42
2020-05-08,13.75
2020-05-09,
2020-05-10,
2020-05-11,13.63
2020-05-12,13.34
2020-05-13,12.96
2020-05-14,13.13
2020-05-15,13.19
2020-05-16,
2020-05-17,
2020-05-18,13.82
2020-05-19,13.72
2020-05-20,14.0
2020-05-21,13.88
2020-05-22,13.99
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,14.37
2020-05-27,14.65
2020-05-28,14.59
2020-05-29,14.71
2020-05-30,
2020-05-31,
2020-06-01,14.81
2020-06-02,15.03
2020-06-03,15.41
2020-06-04,15.39
2020-06-05,15.65
2020-06-06,
2020-06-07,
2020-06-08,15.87
2020-06-09,15.59
2020-06-10,15.38
2020-06-11,14.54
2020-06-12,14.88
2020-06-13,
2020-06-14,
2020-06-15,15.1
2020-06-16,15.3
2020-06-17,15.27
2020-06-18,15.27
2020-06-19,15.15
2020-06-20,
2020-06-21,
2020-06-22,15.21
2020-06-23,15.26
2020-06-24,14.87
2020-06-25,15.03
2020-06-26,14.68
2020-06-27,
2020-06-28,
2020-06-29,14.97
2020-06-30,15.13
2020-07-01,15.22
2020-07-02,15.29
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,15.48
2020-07-07,15.31
2020-07-08,15.47
2020-07-09,15.38
2020-07-10,15.57
2020-07-11,
2020-07-12,
2020-07-13,15.35
2020-07-14,15.57
2020-07-15,15.84
2020-07-16,15.79
2020-07-17,15.9
2020-07-18,
2020-07-19,
2020-07-20,15.97
2020-07-21,16.05
2020-07-22,16.1
2020-07-23,15.94
2020-07-24,15.83
2020-07-25,
2020-07-26,
2020-07-27,15.86
2020-07-28,15.73
2020-07-29,16.01
2020-07-30,16.03
2020-07-31,15.98
2020-08-01,
2020-08-02,
2020-08-03,16.14
2020-08-04,16.2
2020-08-05,16.46
2020-08-06,16.48
2020-08-07,16.59
2020-08-08,
2020-08-09,
2020-08-10,16.69
2020-08-11,16.58
2020-08-12,16.74
2020-08-13,16.68
2020-08-14,16.63
2020-08-15,
2020-08-16,
2020-08-17,16.7
2020-08-18,16.67
2020-08-19,16.64
2020-08-20,16.61
2020-08-21,16.53
2020-08-22,
2020-08-23,
2020-08-24,16.68
2020-08-25,16.74
2020-08-26,16.77
2020-08-27,16.85
2020-08-28,17.04
2020-08-29,
2020-08-30,
2020-08-31,16.97
2020-09-01,17.19
2020-09-02,17.51
