Date,Close
2020-01-01,
2020-01-02,52.43
2020-01-03,52.71
2020-01-04,
2020-01-05,
2020-01-06,52.67
2020-01-07,53.34
2020-01-08,53.4
2020-01-09,53.6
2020-01-10,53.7
2020-01-11,
2020-01-12,
2020-01-13,54.04
2020-01-14,54.26
2020-01-15,54.47
2020-01-16,54.84
2020-01-17,54.94
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,54.73
2020-01-22,54.46
2020-01-23,54.6
2020-01-24,53.75
2020-01-25,
2020-01-26,
2020-01-27,53.51
2020-01-28,53.47
2020-01-29,53.05
2020-01-30,53.39
2020-01-31,52.87
2020-02-01,
2020-02-02,
2020-02-03,53.36
2020-02-04,53.24
2020-02-05,53.77
2020-02-06,49.19
2020-02-07,49.74
2020-02-08,
2020-02-09,
2020-02-10,50.65
2020-02-11,51.37
2020-02-12,51.3
2020-02-13,52.05
2020-02-14,52.49
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,52.05
2020-02-19,51.39
2020-02-20,50.91
2020-02-21,50.79
2020-02-22,
2020-02-23,
2020-02-24,50.0
2020-02-25,49.14
2020-02-26,48.66
2020-02-27,47.3
2020-02-28,46.88
2020-02-29,
2020-03-01,
2020-03-02,49.41
2020-03-03,49.03
2020-03-04,50.51
2020-03-05,49.82
2020-03-06,49.45
2020-03-07,
2020-03-08,
2020-03-09,48.84
2020-03-10,49.21
2020-03-11,48.28
2020-03-12,45.54
2020-03-13,49.82
2020-03-14,
2020-03-15,
2020-03-16,48.96
2020-03-17,54.17
2020-03-18,53.97
2020-03-19,48.07
2020-03-20,43.67
2020-03-21,
2020-03-22,
2020-03-23,41.91
2020-03-24,44.03
2020-03-25,43.96
2020-03-26,45.98
2020-03-27,46.54
2020-03-28,
2020-03-29,
2020-03-30,47.67
2020-03-31,46.95
2020-04-01,47.81
2020-04-02,47.99
2020-04-03,49.75
2020-04-04,
2020-04-05,
2020-04-06,49.7
2020-04-07,48.95
2020-04-08,48.1
2020-04-09,49.1
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,49.14
2020-04-14,49.79
2020-04-15,49.26
2020-04-16,50.19
2020-04-17,50.88
2020-04-18,
2020-04-19,
2020-04-20,51.84
2020-04-21,51.27
2020-04-22,50.62
2020-04-23,50.47
2020-04-24,50.16
2020-04-25,
2020-04-26,
2020-04-27,50.94
2020-04-28,51.46
2020-04-29,50.79
2020-04-30,51.26
2020-05-01,50.76
2020-05-02,
2020-05-03,
2020-05-04,49.83
2020-05-05,49.49
2020-05-06,50.15
2020-05-07,49.06
2020-05-08,49.83
2020-05-09,
2020-05-10,
2020-05-11,49.5
2020-05-12,49.72
2020-05-13,50.22
2020-05-14,49.81
2020-05-15,50.14
2020-05-16,
2020-05-17,
2020-05-18,49.89
2020-05-19,48.85
2020-05-20,48.89
2020-05-21,48.03
2020-05-22,48.59
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,48.61
2020-05-27,50.56
2020-05-28,51.19
2020-05-29,51.56
2020-05-30,
2020-05-31,
2020-06-01,52.19
2020-06-02,52.74
2020-06-03,51.65
2020-06-04,51.08
2020-06-05,51.8
2020-06-06,
2020-06-07,
2020-06-08,53.03
2020-06-09,52.26
2020-06-10,52.51
2020-06-11,50.34
2020-06-12,50.2
2020-06-13,
2020-06-14,
2020-06-15,51.7
2020-06-16,52.64
2020-06-17,52.96
2020-06-18,53.48
2020-06-19,53.51
2020-06-20,
2020-06-21,
2020-06-22,52.66
2020-06-23,52.36
2020-06-24,51.22
2020-06-25,51.72
2020-06-26,50.41
2020-06-27,
2020-06-28,
2020-06-29,51.38
2020-06-30,52.15
2020-07-01,52.05
2020-07-02,52.35
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,52.26
2020-07-07,52.58
2020-07-08,52.58
2020-07-09,52.02
2020-07-10,53.04
2020-07-11,
2020-07-12,
2020-07-13,52.85
2020-07-14,54.0
2020-07-15,53.75
2020-07-16,53.87
2020-07-17,54.18
2020-07-18,
2020-07-19,
2020-07-20,53.22
2020-07-21,53.42
2020-07-22,53.26
2020-07-23,54.01
2020-07-24,54.22
2020-07-25,
2020-07-26,
2020-07-27,55.24
2020-07-28,55.98
2020-07-29,56.0
2020-07-30,55.73
2020-07-31,54.46
2020-08-01,
2020-08-02,
2020-08-03,54.75
2020-08-04,55.03
2020-08-05,54.68
2020-08-06,54.65
2020-08-07,54.88
2020-08-08,
2020-08-09,
2020-08-10,54.49
2020-08-11,53.78
2020-08-12,54.69
2020-08-13,54.49
2020-08-14,54.55
2020-08-15,
2020-08-16,
2020-08-17,55.01
2020-08-18,55.35
2020-08-19,54.35
2020-08-20,54.27
2020-08-21,54.38
2020-08-22,
2020-08-23,
2020-08-24,54.93
2020-08-25,54.86
2020-08-26,55.56
2020-08-27,55.62
2020-08-28,55.69
2020-08-29,
2020-08-30,
2020-08-31,56.43
2020-09-01,55.11
2020-09-02,56.04
2020-09-03,55.66
2020-09-04,55.09
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,52.8
2020-09-09,52.95
2020-09-10,52.53
2020-09-11,52.08
2020-09-12,
2020-09-13,
2020-09-14,52.07
2020-09-15,52.23
2020-09-16,50.88
2020-09-17,50.55
2020-09-18,50.08
2020-09-19,
2020-09-20,
2020-09-21,49.92
2020-09-22,49.88
2020-09-23,48.65
2020-09-24,49.86
2020-09-25,50.2
2020-09-26,
2020-09-27,
2020-09-28,50.44
2020-09-29,50.49
2020-09-30,51.4
2020-10-01,51.24
2020-10-02,51.5
2020-10-03,
2020-10-04,
2020-10-05,52.09
2020-10-06,51.86
2020-10-07,51.62
2020-10-08,51.91
2020-10-09,52.41
2020-10-10,
2020-10-11,
2020-10-12,52.77
2020-10-13,53.18
2020-10-14,53.21
2020-10-15,53.43
2020-10-16,53.4
2020-10-17,
2020-10-18,
2020-10-19,53.08
2020-10-20,52.73
2020-10-21,52.5
2020-10-22,52.81
2020-10-23,53.13
2020-10-24,
2020-10-25,
