Date,Close
2024-01-01,
2024-01-02,65.43
2024-01-03,61.43
2024-01-04,60.71
2024-01-05,60.18
2024-01-06,
2024-01-07,
2024-01-08,61.5
2024-01-09,59.5
2024-01-10,59.09
2024-01-11,59.27
2024-01-12,59.42
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,57.7
2024-01-17,56.12
2024-01-18,56.32
2024-01-19,58.27
2024-01-20,
2024-01-21,
2024-01-22,60.67
2024-01-23,61.98
2024-01-24,62.08
2024-01-25,62.96
2024-01-26,63.97
2024-01-27,
2024-01-28,
2024-01-29,64.72
2024-01-30,63.55
2024-01-31,61.11
2024-02-01,62.42
2024-02-02,61.82
2024-02-03,
2024-02-04,
2024-02-05,59.51
2024-02-06,60.74
2024-02-07,59.81
2024-02-08,61.06
2024-02-09,60.9
2024-02-10,
2024-02-11,
2024-02-12,61.66
2024-02-13,57.85
2024-02-14,59.68
2024-02-15,61.72
2024-02-16,62.2
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,61.93
2024-02-21,62.22
2024-02-22,66.48
2024-02-23,66.97
2024-02-24,
2024-02-25,
2024-02-26,67.88
2024-02-27,66.68
2024-02-28,66.17
2024-02-29,68.28
2024-03-01,69.29
2024-03-02,
2024-03-03,
2024-03-04,67.1
2024-03-05,67.57
2024-03-06,68.48
2024-03-07,71.07
2024-03-08,71.05
2024-03-09,
2024-03-10,
2024-03-11,72.26
2024-03-12,71.74
2024-03-13,73.18
2024-03-14,72.58
2024-03-15,73.72
2024-03-16,
2024-03-17,
2024-03-18,73.6
2024-03-19,74.6
2024-03-20,77.28
2024-03-21,77.26
2024-03-22,76.39
2024-03-23,
2024-03-24,
2024-03-25,79.15
2024-03-26,80.18
2024-03-27,83.04
2024-03-28,84.14
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,83.49
2024-04-02,85.58
2024-04-03,86.86
2024-04-04,85.63
2024-04-05,87.54
2024-04-06,
2024-04-07,
2024-04-08,88.28
2024-04-09,87.99
2024-04-10,85.32
2024-04-11,85.93
2024-04-12,83.94
2024-04-13,
2024-04-14,
2024-04-15,83.64
2024-04-16,85.18
2024-04-17,84.7
2024-04-18,84.9
2024-04-19,84.26
2024-04-20,
2024-04-21,
2024-04-22,84.57
2024-04-23,84.39
2024-04-24,82.94
2024-04-25,84.04
2024-04-26,90.15
2024-04-27,
2024-04-28,
2024-04-29,90.36
2024-04-30,85.94
2024-05-01,87.23
2024-05-02,89.59
2024-05-03,91.28
2024-05-04,
2024-05-05,
2024-05-06,92.87
2024-05-07,92.89
2024-05-08,91.16
2024-05-09,92.66
2024-05-10,93.73
2024-05-11,
2024-05-12,
2024-05-13,95.15
2024-05-14,95.45
2024-05-15,96.11
2024-05-16,93.66
2024-05-17,95.9
2024-05-18,
2024-05-19,
2024-05-20,95.04
2024-05-21,95.38
2024-05-22,90.87
2024-05-23,90.64
2024-05-24,90.88
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,93.01
2024-05-29,93.0
2024-05-30,94.49
2024-05-31,92.88
2024-06-01,
2024-06-02,
2024-06-03,91.18
2024-06-04,87.43
2024-06-05,86.71
2024-06-06,88.65
2024-06-07,86.44
2024-06-08,
2024-06-09,
2024-06-10,87.45
2024-06-11,86.46
2024-06-12,87.98
2024-06-13,86.94
2024-06-14,84.71
2024-06-15,
2024-06-16,
2024-06-17,83.82
2024-06-18,84.44
2024-06-19,
2024-06-20,83.53
2024-06-21,84.17
2024-06-22,
2024-06-23,
2024-06-24,84.65
2024-06-25,83.25
2024-06-26,82.95
2024-06-27,81.62
2024-06-28,83.48
2024-06-29,
2024-06-30,
2024-07-01,82.88
2024-07-02,83.81
2024-07-03,86.4
2024-07-04,
2024-07-05,83.16
2024-07-06,
2024-07-07,
2024-07-08,85.89
2024-07-09,84.78
2024-07-10,85.65
2024-07-11,86.65
2024-07-12,88.79
2024-07-13,
2024-07-14,
2024-07-15,90.58
2024-07-16,94.35
2024-07-17,93.26
2024-07-18,91.21
2024-07-19,88.27
2024-07-20,
2024-07-21,
2024-07-22,90.62
2024-07-23,92.32
2024-07-24,88.12
2024-07-25,74.75
2024-07-26,74.47
2024-07-27,
2024-07-28,
