Date,Close
2020-01-01,
2020-01-02,27.69
2020-01-03,27.36
2020-01-04,
2020-01-05,
2020-01-06,27.39
2020-01-07,27.4
2020-01-08,27.96
2020-01-09,28.22
2020-01-10,28.26
2020-01-11,
2020-01-12,
2020-01-13,28.28
2020-01-14,27.61
2020-01-15,27.84
2020-01-16,28.76
2020-01-17,29.41
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,28.97
2020-01-22,29.69
2020-01-23,29.41
2020-01-24,28.93
2020-01-25,
2020-01-26,
2020-01-27,28.57
2020-01-28,28.69
2020-01-29,29.24
2020-01-30,28.65
2020-01-31,30.07
2020-02-01,
2020-02-02,
2020-02-03,29.92
2020-02-04,30.73
2020-02-05,31.24
2020-02-06,31.76
2020-02-07,31.53
2020-02-08,
2020-02-09,
2020-02-10,31.79
2020-02-11,32.0
2020-02-12,31.57
2020-02-13,31.71
2020-02-14,31.74
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,31.76
2020-02-19,32.1
2020-02-20,31.89
2020-02-21,31.33
2020-02-22,
2020-02-23,
2020-02-24,29.93
2020-02-25,28.57
2020-02-26,28.54
2020-02-27,27.3
2020-02-28,27.06
2020-02-29,
2020-03-01,
2020-03-02,28.38
2020-03-03,27.4
2020-03-04,27.85
2020-03-05,26.67
2020-03-06,25.5
2020-03-07,
2020-03-08,
2020-03-09,22.57
2020-03-10,24.05
2020-03-11,22.82
2020-03-12,20.84
2020-03-13,23.99
2020-03-14,
2020-03-15,
2020-03-16,20.7
2020-03-17,20.54
2020-03-18,18.49
2020-03-19,19.49
2020-03-20,18.04
2020-03-21,
2020-03-22,
2020-03-23,17.5
2020-03-24,20.67
2020-03-25,22.71
2020-03-26,24.22
2020-03-27,23.24
2020-03-28,
2020-03-29,
2020-03-30,23.2
2020-03-31,22.21
2020-04-01,20.74
2020-04-02,20.78
2020-04-03,21.02
2020-04-04,
2020-04-05,
2020-04-06,23.05
2020-04-07,22.82
2020-04-08,23.36
2020-04-09,23.94
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,22.66
2020-04-14,22.91
2020-04-15,22.0
2020-04-16,21.88
2020-04-17,22.63
2020-04-18,
2020-04-19,
2020-04-20,21.72
2020-04-21,20.67
2020-04-22,20.98
2020-04-23,21.86
2020-04-24,22.34
2020-04-25,
2020-04-26,
2020-04-27,23.62
2020-04-28,24.05
2020-04-29,25.06
2020-04-30,23.85
2020-05-01,23.07
2020-05-02,
2020-05-03,
2020-05-04,22.96
2020-05-05,23.28
2020-05-06,24.63
2020-05-07,25.44
2020-05-08,25.23
2020-05-09,
2020-05-10,
2020-05-11,24.98
2020-05-12,24.33
2020-05-13,23.06
2020-05-14,23.51
2020-05-15,23.53
2020-05-16,
2020-05-17,
2020-05-18,24.59
2020-05-19,24.61
2020-05-20,25.39
2020-05-21,25.26
2020-05-22,25.53
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,27.17
2020-05-27,27.28
2020-05-28,26.9
2020-05-29,26.4
2020-05-30,
2020-05-31,
2020-06-01,26.91
2020-06-02,27.91
2020-06-03,28.71
2020-06-04,28.84
2020-06-05,28.88
2020-06-06,
2020-06-07,
2020-06-08,30.16
2020-06-09,30.02
2020-06-10,29.15
2020-06-11,26.59
2020-06-12,27.73
2020-06-13,
2020-06-14,
2020-06-15,28.65
2020-06-16,29.16
2020-06-17,29.33
2020-06-18,30.17
2020-06-19,30.25
2020-06-20,
2020-06-21,
2020-06-22,29.81
2020-06-23,29.96
2020-06-24,28.84
2020-06-25,29.94
2020-06-26,28.15
2020-06-27,
2020-06-28,
2020-06-29,28.7
2020-06-30,29.38
2020-07-01,29.35
2020-07-02,29.68
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,30.04
2020-07-07,29.3
2020-07-08,32.23
2020-07-09,33.04
2020-07-10,33.19
2020-07-11,
2020-07-12,
2020-07-13,32.53
2020-07-14,32.81
2020-07-15,33.31
2020-07-16,32.98
2020-07-17,33.28
2020-07-18,
2020-07-19,
2020-07-20,33.31
2020-07-21,33.89
2020-07-22,33.84
2020-07-23,33.35
2020-07-24,33.0
2020-07-25,
2020-07-26,
2020-07-27,33.49
2020-07-28,33.26
2020-07-29,34.16
2020-07-30,33.69
2020-07-31,33.65
2020-08-01,
2020-08-02,
2020-08-03,34.06
2020-08-04,34.47
2020-08-05,34.54
2020-08-06,34.86
2020-08-07,35.11
2020-08-08,
2020-08-09,
2020-08-10,35.21
2020-08-11,33.3
2020-08-12,34.59
2020-08-13,34.6
2020-08-14,34.98
2020-08-15,
2020-08-16,
2020-08-17,34.41
2020-08-18,34.12
2020-08-19,34.16
2020-08-20,32.78
2020-08-21,33.25
2020-08-22,
2020-08-23,
2020-08-24,33.22
2020-08-25,33.15
2020-08-26,33.41
2020-08-27,33.25
2020-08-28,33.36
2020-08-29,
2020-08-30,
2020-08-31,34.21
2020-09-01,34.63
2020-09-02,35.12
2020-09-03,34.06
2020-09-04,34.09
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,32.72
2020-09-09,33.38
2020-09-10,33.12
2020-09-11,33.09
2020-09-12,
2020-09-13,
2020-09-14,33.6
2020-09-15,34.41
2020-09-16,34.51
2020-09-17,33.8
2020-09-18,33.46
2020-09-19,
2020-09-20,
2020-09-21,32.97
2020-09-22,33.09
2020-09-23,32.56
2020-09-24,31.57
2020-09-25,32.38
2020-09-26,
2020-09-27,
2020-09-28,33.37
2020-09-29,32.65
2020-09-30,32.79
2020-10-01,33.13
2020-10-02,33.53
2020-10-03,
2020-10-04,
2020-10-05,34.43
2020-10-06,33.37
2020-10-07,33.66
2020-10-08,34.42
2020-10-09,34.21
2020-10-10,
2020-10-11,
2020-10-12,34.63
2020-10-13,34.66
2020-10-14,34.77
2020-10-15,35.42
2020-10-16,35.27
2020-10-17,
2020-10-18,
2020-10-19,35.14
2020-10-20,35.78
2020-10-21,35.48
2020-10-22,35.57
2020-10-23,35.71
2020-10-24,
2020-10-25,
2020-10-26,34.85
2020-10-27,34.2
2020-10-28,33.2
2020-10-29,33.22
2020-10-30,32.61
2020-10-31,
2020-11-01,
2020-11-02,33.47
2020-11-03,33.32
2020-11-04,35.48
2020-11-05,36.47
2020-11-06,36.51
2020-11-07,
2020-11-08,
2020-11-09,36.3
2020-11-10,36.65
2020-11-11,35.06
2020-11-12,35.08
2020-11-13,35.95
2020-11-14,
2020-11-15,
2020-11-16,36.17
2020-11-17,36.39
2020-11-18,36.48
2020-11-19,36.87
2020-11-20,36.6
2020-11-21,
2020-11-22,
2020-11-23,37.01
2020-11-24,36.6
2020-11-25,37.25
2020-11-26,
2020-11-27,37.1
2020-11-28,
2020-11-29,
2020-11-30,36.35
2020-12-01,37.3
2020-12-02,37.59
2020-12-03,37.59
2020-12-04,37.93
2020-12-05,
2020-12-06,
2020-12-07,38.21
2020-12-08,38.09
2020-12-09,37.52
2020-12-10,37.39
2020-12-11,37.97
2020-12-12,
2020-12-13,
2020-12-14,37.59
2020-12-15,37.98
2020-12-16,38.54
2020-12-17,38.74
2020-12-18,38.38
2020-12-19,
2020-12-20,
2020-12-21,38.05
2020-12-22,37.85
2020-12-23,38.0
2020-12-24,38.18
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,37.84
2020-12-29,37.79
2020-12-30,38.04
2020-12-31,38.81
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,38.0
2021-01-05,37.64
2021-01-06,37.71
2021-01-07,38.5
2021-01-08,38.81
2021-01-09,
2021-01-10,
2021-01-11,38.89
2021-01-12,38.74
2021-01-13,39.49
2021-01-14,39.28
2021-01-15,39.03
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,39.27
2021-01-20,39.74
2021-01-21,39.43
2021-01-22,38.53
2021-01-23,
2021-01-24,
2021-01-25,37.91
2021-01-26,37.52
2021-01-27,36.0
2021-01-28,37.32
2021-01-29,37.33
2021-01-30,
2021-01-31,
2021-02-01,38.76
2021-02-02,40.55
2021-02-03,40.35
2021-02-04,42.04
2021-02-05,42.79
2021-02-06,
2021-02-07,
2021-02-08,43.39
2021-02-09,44.62
2021-02-10,46.54
2021-02-11,46.21
2021-02-12,46.21
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,45.96
2021-02-17,45.57
2021-02-18,45.13
2021-02-19,44.95
2021-02-20,
2021-02-21,
2021-02-22,43.59
2021-02-23,43.37
2021-02-24,43.68
2021-02-25,43.22
2021-02-26,43.79
2021-02-27,
2021-02-28,
2021-03-01,44.5
2021-03-02,44.65
2021-03-03,45.19
2021-03-04,44.88
2021-03-05,45.08
2021-03-06,
2021-03-07,
2021-03-08,45.25
2021-03-09,45.24
2021-03-10,45.92
2021-03-11,46.34
2021-03-12,46.55
2021-03-13,
2021-03-14,
2021-03-15,47.43
2021-03-16,47.03
2021-03-17,47.08
2021-03-18,45.95
2021-03-19,46.33
2021-03-20,
2021-03-21,
2021-03-22,46.87
2021-03-23,46.01
2021-03-24,46.12
2021-03-25,46.06
2021-03-26,46.59
2021-03-27,
2021-03-28,
2021-03-29,46.66
2021-03-30,47.28
2021-03-31,46.95
2021-04-01,48.4
2021-04-02,
2021-04-03,
2021-04-04,
2021-04-05,49.17
2021-04-06,49.19
2021-04-07,49.07
2021-04-08,49.61
2021-04-09,49.34
2021-04-10,
2021-04-11,
2021-04-12,49.99
2021-04-13,50.01
2021-04-14,51.05
2021-04-15,50.87
2021-04-16,51.24
2021-04-17,
2021-04-18,
2021-04-19,51.24
2021-04-20,50.56
2021-04-21,51.04
2021-04-22,51.64
2021-04-23,52.96
2021-04-24,
2021-04-25,
2021-04-26,53.41
2021-04-27,54.44
2021-04-28,54.51
2021-04-29,54.61
2021-04-30,54.38
2021-05-01,
2021-05-02,
2021-05-03,54.09
2021-05-04,53.47
2021-05-05,55.85
2021-05-06,55.44
2021-05-07,56.44
2021-05-08,
2021-05-09,
2021-05-10,54.87
2021-05-11,54.09
2021-05-12,52.0
2021-05-13,52.98
2021-05-14,54.1
2021-05-15,
2021-05-16,
2021-05-17,53.43
2021-05-18,53.0
2021-05-19,52.81
2021-05-20,53.38
2021-05-21,53.24
2021-05-22,
2021-05-23,
2021-05-24,53.31
2021-05-25,53.56
2021-05-26,53.52
2021-05-27,53.68
2021-05-28,53.67
2021-05-29,
2021-05-30,
2021-05-31,
2021-06-01,53.71
2021-06-02,53.0
2021-06-03,53.57
2021-06-04,53.39
2021-06-05,
2021-06-06,
2021-06-07,52.17
2021-06-08,53.29
2021-06-09,53.27
2021-06-10,53.99
2021-06-11,54.45
2021-06-12,
2021-06-13,
2021-06-14,53.28
2021-06-15,53.67
2021-06-16,54.96
2021-06-17,55.07
2021-06-18,54.34
2021-06-19,
2021-06-20,
2021-06-21,55.8
2021-06-22,56.44
2021-06-23,57.21
2021-06-24,57.95
2021-06-25,58.56
2021-06-26,
2021-06-27,
2021-06-28,58.32
2021-06-29,58.19
2021-06-30,57.09
2021-07-01,57.58
2021-07-02,57.62
2021-07-03,
2021-07-04,
2021-07-05,
2021-07-06,57.76
2021-07-07,57.22
2021-07-08,55.93
2021-07-09,56.96
2021-07-10,
2021-07-11,
2021-07-12,58.27
2021-07-13,57.26
2021-07-14,56.77
2021-07-15,56.69
2021-07-16,56.13
2021-07-17,
2021-07-18,
2021-07-19,55.29
2021-07-20,56.44
2021-07-21,57.23
2021-07-22,58.51
2021-07-23,59.19
2021-07-24,
2021-07-25,
2021-07-26,59.59
2021-07-27,60.07
2021-07-28,60.18
2021-07-29,61.5
2021-07-30,61.45
2021-07-31,
2021-08-01,
2021-08-02,61.24
2021-08-03,62.45
2021-08-04,63.63
2021-08-05,64.8
2021-08-06,65.13
2021-08-07,
2021-08-08,
2021-08-09,64.42
2021-08-10,63.41
2021-08-11,63.42
2021-08-12,63.7
2021-08-13,63.78
2021-08-14,
2021-08-15,
2021-08-16,63.17
2021-08-17,61.35
2021-08-18,61.03
2021-08-19,60.08
2021-08-20,61.15
2021-08-21,
2021-08-22,
2021-08-23,62.22
2021-08-24,62.25
2021-08-25,62.32
2021-08-26,62.04
2021-08-27,62.01
2021-08-28,
2021-08-29,
2021-08-30,62.11
2021-08-31,62.09
2021-09-01,62.32
2021-09-02,62.25
2021-09-03,62.24
2021-09-04,
2021-09-05,
2021-09-06,
2021-09-07,60.63
2021-09-08,60.92
2021-09-09,60.76
2021-09-10,60.62
2021-09-11,
2021-09-12,
2021-09-13,61.16
2021-09-14,61.22
2021-09-15,62.41
2021-09-16,64.36
2021-09-17,64.21
2021-09-18,
2021-09-19,
2021-09-20,60.32
2021-09-21,61.37
2021-09-22,61.43
2021-09-23,61.48
2021-09-24,59.91
2021-09-25,
2021-09-26,
2021-09-27,59.43
2021-09-28,57.97
2021-09-29,58.76
2021-09-30,58.8
2021-10-01,59.57
2021-10-02,
2021-10-03,
2021-10-04,58.21
2021-10-05,59.77
2021-10-06,59.75
2021-10-07,61.22
2021-10-08,63.27
2021-10-09,
2021-10-10,
2021-10-11,63.2
2021-10-12,63.06
2021-10-13,63.52
2021-10-14,64.53
2021-10-15,63.95
2021-10-16,
2021-10-17,
2021-10-18,64.84
2021-10-19,66.17
2021-10-20,68.17
2021-10-21,70.62
