Date,Close
2024-01-01,
2024-01-02,51.24
2024-01-03,49.64
2024-01-04,49.62
2024-01-05,49.36
2024-01-06,
2024-01-07,
2024-01-08,50.18
2024-01-09,49.59
2024-01-10,49.64
2024-01-11,49.35
2024-01-12,49.1
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,49.07
2024-01-17,49.27
2024-01-18,51.08
2024-01-19,52.03
2024-01-20,
2024-01-21,
2024-01-22,53.9
2024-01-23,53.4
2024-01-24,53.84
2024-01-25,53.61
2024-01-26,51.68
2024-01-27,
2024-01-28,
2024-01-29,52.1
2024-01-30,51.17
2024-01-31,48.88
2024-02-01,44.18
2024-02-02,44.74
2024-02-03,
2024-02-04,
2024-02-05,45.55
2024-02-06,46.25
2024-02-07,45.8
2024-02-08,46.19
2024-02-09,48.7
2024-02-10,
2024-02-11,
2024-02-12,48.74
2024-02-13,46.54
2024-02-14,48.07
2024-02-15,49.09
2024-02-16,48.92
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,47.2
2024-02-21,47.07
2024-02-22,47.96
2024-02-23,47.57
2024-02-24,
2024-02-25,
2024-02-26,47.49
2024-02-27,47.45
2024-02-28,46.73
2024-02-29,46.26
2024-03-01,47.47
2024-03-02,
2024-03-03,
2024-03-04,48.29
2024-03-05,47.29
2024-03-06,48.05
2024-03-07,50.33
2024-03-08,49.16
2024-03-09,
2024-03-10,
2024-03-11,48.55
2024-03-12,48.57
2024-03-13,47.25
2024-03-14,46.09
2024-03-15,46.24
2024-03-16,
2024-03-17,
2024-03-18,46.43
2024-03-19,45.99
2024-03-20,47.22
2024-03-21,47.97
2024-03-22,48.25
2024-03-23,
2024-03-24,
2024-03-25,47.71
2024-03-26,47.39
2024-03-27,48.37
2024-03-28,49.07
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,49.23
2024-04-02,48.02
2024-04-03,48.14
2024-04-04,46.88
2024-04-05,46.99
2024-04-06,
2024-04-07,
2024-04-08,47.44
2024-04-09,48.43
2024-04-10,46.65
2024-04-11,47.52
2024-04-12,46.6
2024-04-13,
2024-04-14,
2024-04-15,46.31
2024-04-16,46.3
2024-04-17,44.96
2024-04-18,44.96
2024-04-19,43.8
2024-04-20,
2024-04-21,
2024-04-22,44.41
2024-04-23,45.03
2024-04-24,45.58
2024-04-25,45.02
2024-04-26,45.86
2024-04-27,
2024-04-28,
2024-04-29,46.0
2024-04-30,45.14
2024-05-01,43.27
2024-05-02,44.89
2024-05-03,45.84
2024-05-04,
2024-05-05,
2024-05-06,46.32
2024-05-07,46.84
2024-05-08,47.02
2024-05-09,46.77
2024-05-10,46.93
2024-05-11,
2024-05-12,
2024-05-13,46.81
2024-05-14,47.04
2024-05-15,47.18
2024-05-16,46.79
2024-05-17,46.34
2024-05-18,
2024-05-19,
2024-05-20,46.46
2024-05-21,46.3
2024-05-22,46.26
2024-05-23,45.18
2024-05-24,45.99
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,45.63
2024-05-29,44.06
2024-05-30,43.91
2024-05-31,44.55
2024-06-01,
2024-06-02,
2024-06-03,43.84
2024-06-04,43.04
2024-06-05,45.09
2024-06-06,44.95
2024-06-07,44.26
2024-06-08,
2024-06-09,
2024-06-10,44.29
2024-06-11,44.4
2024-06-12,45.14
2024-06-13,44.98
2024-06-14,44.46
2024-06-15,
2024-06-16,
2024-06-17,46.51
2024-06-18,46.44
2024-06-19,
2024-06-20,46.08
2024-06-21,45.75
2024-06-22,
2024-06-23,
2024-06-24,45.71
2024-06-25,46.15
2024-06-26,45.7
2024-06-27,46.24
2024-06-28,48.18
2024-06-29,
2024-06-30,
2024-07-01,47.22
2024-07-02,48.12
2024-07-03,48.23
2024-07-04,
2024-07-05,47.88
2024-07-06,
2024-07-07,
2024-07-08,48.39
2024-07-09,47.54
2024-07-10,48.69
2024-07-11,50.56
2024-07-12,51.4
2024-07-13,
2024-07-14,
2024-07-15,50.99
2024-07-16,52.15
2024-07-17,49.59
2024-07-18,47.85
2024-07-19,46.79
2024-07-20,
2024-07-21,
2024-07-22,49.26
2024-07-23,48.94
2024-07-24,46.02
2024-07-25,44.82
2024-07-26,45.92
2024-07-27,
2024-07-28,
2024-07-29,45.25
2024-07-30,44.02
2024-07-31,46.2
2024-08-01,43.23
2024-08-02,39.89
2024-08-03,
2024-08-04,
2024-08-05,40.16
2024-08-06,40.24
2024-08-07,38.8
2024-08-08,40.02
2024-08-09,39.63
2024-08-10,
2024-08-11,
2024-08-12,40.29
2024-08-13,40.68
2024-08-14,40.17
2024-08-15,42.15
2024-08-16,42.55
2024-08-17,
2024-08-18,
2024-08-19,43.04
2024-08-20,42.09
2024-08-21,42.88
2024-08-22,41.38
2024-08-23,42.68
2024-08-24,
2024-08-25,
2024-08-26,42.04
2024-08-27,42.11
2024-08-28,41.36
2024-08-29,42.29
2024-08-30,42.91
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,39.69
2024-09-04,39.5
2024-09-05,38.96
2024-09-06,37.78
2024-09-07,
2024-09-08,
2024-09-09,37.94
2024-09-10,38.22
2024-09-11,38.79
2024-09-12,38.51
2024-09-13,39.45
2024-09-14,
2024-09-15,
2024-09-16,39.54
2024-09-17,40.15
2024-09-18,40.07
2024-09-19,41.97
2024-09-20,40.91
2024-09-21,
2024-09-22,
2024-09-23,41.01
2024-09-24,41.5
2024-09-25,41.38
2024-09-26,43.95
2024-09-27,44.07
2024-09-28,
2024-09-29,
2024-09-30,44.42
2024-10-01,43.18
2024-10-02,45.3
2024-10-03,44.02
2024-10-04,44.37
2024-10-05,
2024-10-06,
2024-10-07,44.26
2024-10-08,43.73
2024-10-09,43.75
2024-10-10,43.21
2024-10-11,44.56
2024-10-12,
2024-10-13,
2024-10-14,45.88
2024-10-15,43.53
2024-10-16,43.84
2024-10-17,44.47
2024-10-18,43.85
2024-10-19,
2024-10-20,
2024-10-21,43.16
2024-10-22,42.26
2024-10-23,41.75
2024-10-24,42.58
2024-10-25,43.89
2024-10-26,
2024-10-27,
2024-10-28,45.41
2024-10-29,46.7
2024-10-30,45.34
2024-10-31,44.16
2024-11-01,44.87
2024-11-02,
2024-11-03,
2024-11-04,45.2
2024-11-05,46.35
2024-11-06,48.59
2024-11-07,47.97
2024-11-08,47.41
2024-11-09,
2024-11-10,
2024-11-11,47.85
2024-11-12,47.29
2024-11-13,46.31
2024-11-14,44.89
2024-11-15,45.47
2024-11-16,
2024-11-17,
2024-11-18,45.6
2024-11-19,44.87
2024-11-20,45.97
2024-11-21,47.7
2024-11-22,48.4
2024-11-23,
2024-11-24,
2024-11-25,49.17
2024-11-26,48.23
2024-11-27,46.67
2024-11-28,
2024-11-29,47.66
2024-11-30,
2024-12-01,
2024-12-02,49.75
2024-12-03,49.57
2024-12-04,48.69
2024-12-05,47.39
2024-12-06,47.47
2024-12-07,
2024-12-08,
2024-12-09,49.35
2024-12-10,48.07
2024-12-11,48.82
2024-12-12,48.65
2024-12-13,48.7
2024-12-14,
2024-12-15,
2024-12-16,49.32
2024-12-17,49.05
2024-12-18,47.97
2024-12-19,46.53
2024-12-20,46.41
2024-12-21,
2024-12-22,
2024-12-23,46.89
2024-12-24,47.45
2024-12-25,
2024-12-26,47.79
2024-12-27,47.21
2024-12-28,
2024-12-29,
2024-12-30,45.96
2024-12-31,46.12
2025-01-01,
2025-01-02,46.49
2025-01-03,46.77
2025-01-04,
2025-01-05,
2025-01-06,46.96
2025-01-07,47.43
2025-01-08,46.99
2025-01-09,
2025-01-10,45.68
2025-01-11,
2025-01-12,
2025-01-13,44.69
2025-01-14,45.31
2025-01-15,45.82
2025-01-16,46.17
2025-01-17,46.78
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,46.96
2025-01-22,46.03
2025-01-23,45.29
2025-01-24,44.63
2025-01-25,
2025-01-26,
2025-01-27,42.39
2025-01-28,42.2
2025-01-29,43.39
2025-01-30,43.82
2025-01-31,43.84
2025-02-01,
2025-02-02,
2025-02-03,42.81
2025-02-04,42.9
2025-02-05,42.89
2025-02-06,42.1
2025-02-07,41.07
2025-02-08,
2025-02-09,
2025-02-10,40.94
2025-02-11,40.72
2025-02-12,40.11
2025-02-13,40.83
2025-02-14,40.6
2025-02-15,
2025-02-16,
2025-02-17,
2025-02-18,42.08
2025-02-19,42.93
2025-02-20,42.56
2025-02-21,41.21
2025-02-22,
2025-02-23,
2025-02-24,40.03
2025-02-25,39.31
2025-02-26,39.85
2025-02-27,37.41
2025-02-28,37.83
2025-03-01,
2025-03-02,
2025-03-03,35.93
2025-03-04,36.11
2025-03-05,37.09
2025-03-06,36.93
2025-03-07,37.61
2025-03-08,
2025-03-09,
2025-03-10,35.77
2025-03-11,35.2
2025-03-12,35.48
2025-03-13,35.18
2025-03-14,36.32
2025-03-15,
2025-03-16,
2025-03-17,36.43
2025-03-18,35.95
2025-03-19,36.07
2025-03-20,35.68
2025-03-21,35.55
2025-03-22,
2025-03-23,
2025-03-24,36.29
2025-03-25,36.23
2025-03-26,35.26
2025-03-27,34.3
2025-03-28,32.86
2025-03-29,
2025-03-30,
2025-03-31,32.78
2025-04-01,33.3
2025-04-02,33.67
2025-04-03,29.37
2025-04-04,28.95
2025-04-05,
2025-04-06,
2025-04-07,29.06
2025-04-08,27.49
2025-04-09,31.93
2025-04-10,29.23
2025-04-11,29.69
2025-04-12,
2025-04-13,
2025-04-14,29.92
2025-04-15,30.29
2025-04-16,29.13
2025-04-17,28.93
2025-04-18,
2025-04-19,
2025-04-20,
2025-04-21,29.25
2025-04-22,29.92
2025-04-23,30.44
2025-04-24,31.81
2025-04-25,31.89
2025-04-26,
2025-04-27,
2025-04-28,32.13
2025-04-29,32.43
2025-04-30,32.04
2025-05-01,32.03
2025-05-02,33.02
2025-05-03,
2025-05-04,
2025-05-05,32.57
2025-05-06,31.55
2025-05-07,30.67
2025-05-08,31.53
2025-05-09,31.64
2025-05-10,
2025-05-11,
