Date,Close
2024-01-01,
2024-01-02,42.67
2024-01-03,42.41
2024-01-04,42.23
2024-01-05,42.27
2024-01-06,
2024-01-07,
2024-01-08,42.41
2024-01-09,42.18
2024-01-10,42.46
2024-01-11,42.42
2024-01-12,42.34
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,41.63
2024-01-17,41.5
2024-01-18,41.17
2024-01-19,41.17
2024-01-20,
2024-01-21,
2024-01-22,41.4
2024-01-23,41.02
2024-01-24,41.5
2024-01-25,41.45
2024-01-26,41.8
2024-01-27,
2024-01-28,
2024-01-29,42.4
2024-01-30,42.29
2024-01-31,41.53
2024-02-01,41.54
2024-02-02,41.34
2024-02-03,
2024-02-04,
2024-02-05,40.98
2024-02-06,41.3
2024-02-07,42.16
2024-02-08,42.31
2024-02-09,42.55
2024-02-10,
2024-02-11,
2024-02-12,43.07
2024-02-13,42.26
2024-02-14,42.93
2024-02-15,43.64
2024-02-16,43.96
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,43.69
2024-02-21,43.83
2024-02-22,44.58
2024-02-23,44.41
2024-02-24,
2024-02-25,
2024-02-26,45.04
2024-02-27,45.86
2024-02-28,45.94
2024-02-29,46.69
2024-03-01,46.76
2024-03-02,
2024-03-03,
2024-03-04,47.24
2024-03-05,45.9
2024-03-06,46.51
2024-03-07,46.83
2024-03-08,47.51
2024-03-09,
2024-03-10,
2024-03-11,48.31
2024-03-12,48.47
2024-03-13,49.33
2024-03-14,48.94
2024-03-15,49.22
2024-03-16,
2024-03-17,
2024-03-18,48.85
2024-03-19,48.43
2024-03-20,48.9
2024-03-21,48.86
2024-03-22,48.44
2024-03-23,
2024-03-24,
2024-03-25,50.25
2024-03-26,49.3
2024-03-27,49.83
2024-03-28,50.42
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,49.9
2024-04-02,49.33
2024-04-03,49.79
2024-04-04,50.69
2024-04-05,50.48
2024-04-06,
2024-04-07,
2024-04-08,50.66
2024-04-09,50.42
2024-04-10,50.78
2024-04-11,51.12
2024-04-12,50.53
2024-04-13,
2024-04-14,
2024-04-15,48.9
2024-04-16,48.87
2024-04-17,48.49
2024-04-18,48.89
2024-04-19,49.09
2024-04-20,
2024-04-21,
2024-04-22,49.51
2024-04-23,49.67
2024-04-24,49.21
2024-04-25,49.46
2024-04-26,49.47
2024-04-27,
2024-04-28,
2024-04-29,49.59
2024-04-30,47.71
2024-05-01,46.64
2024-05-02,47.14
2024-05-03,47.84
2024-05-04,
2024-05-05,
2024-05-06,48.52
2024-05-07,48.45
2024-05-08,48.06
2024-05-09,50.22
2024-05-10,50.14
2024-05-11,
2024-05-12,
2024-05-13,49.92
2024-05-14,49.76
2024-05-15,50.46
2024-05-16,50.57
2024-05-17,51.07
2024-05-18,
2024-05-19,
2024-05-20,51.92
2024-05-21,51.79
2024-05-22,51.44
2024-05-23,50.89
2024-05-24,51.47
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,51.56
2024-05-29,51.08
2024-05-30,51.48
2024-05-31,51.25
2024-06-01,
2024-06-02,
2024-06-03,50.9
2024-06-04,50.54
2024-06-05,51.11
2024-06-06,51.04
2024-06-07,50.28
2024-06-08,
2024-06-09,
2024-06-10,55.77
2024-06-11,57.01
2024-06-12,57.43
2024-06-13,56.6
2024-06-14,55.8
2024-06-15,
2024-06-16,
2024-06-17,56.38
2024-06-18,56.22
2024-06-19,
2024-06-20,56.74
2024-06-21,55.73
2024-06-22,
2024-06-23,
2024-06-24,54.58
2024-06-25,55.19
2024-06-26,54.76
2024-06-27,54.5
2024-06-28,54.27
2024-06-29,
2024-06-30,
2024-07-01,54.91
2024-07-02,55.09
2024-07-03,55.45
2024-07-04,
2024-07-05,54.61
2024-07-06,
2024-07-07,
2024-07-08,54.81
2024-07-09,54.93
2024-07-10,56.13
2024-07-11,56.46
2024-07-12,57.24
2024-07-13,
2024-07-14,
2024-07-15,59.23
2024-07-16,59.82
2024-07-17,59.51
2024-07-18,59.18
2024-07-19,59.7
2024-07-20,
2024-07-21,
2024-07-22,59.62
2024-07-23,58.79
2024-07-24,58.58
2024-07-25,58.95
2024-07-26,60.12
2024-07-27,
2024-07-28,
2024-07-29,59.93
2024-07-30,60.02
2024-07-31,60.65
2024-08-01,59.3
2024-08-02,57.52
2024-08-03,
2024-08-04,
2024-08-05,54.52
2024-08-06,55.88
2024-08-07,55.48
2024-08-08,58.39
2024-08-09,58.45
2024-08-10,
2024-08-11,
2024-08-12,58.56
2024-08-13,58.6
2024-08-14,58.11
2024-08-15,58.37
2024-08-16,58.72
2024-08-17,
2024-08-18,
2024-08-19,59.32
2024-08-20,58.52
2024-08-21,59.35
2024-08-22,59.26
2024-08-23,61.18
2024-08-24,
2024-08-25,
2024-08-26,61.13
2024-08-27,60.71
2024-08-28,60.66
2024-08-29,60.66
2024-08-30,60.49
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,58.19
2024-09-04,57.79
2024-09-05,57.03
2024-09-06,56.68
2024-09-07,
2024-09-08,
2024-09-09,57.16
2024-09-10,57.14
2024-09-11,57.18
2024-09-12,57.65
2024-09-13,58.53
2024-09-14,
2024-09-15,
2024-09-16,59.33
2024-09-17,61.22
2024-09-18,61.34
2024-09-19,63.48
2024-09-20,63.96
2024-09-21,
2024-09-22,
2024-09-23,64.8
2024-09-24,64.61
2024-09-25,63.89
2024-09-26,62.17
2024-09-27,62.93
2024-09-28,
2024-09-29,
2024-09-30,62.27
2024-10-01,63.21
2024-10-02,63.58
2024-10-03,65.29
2024-10-04,66.06
2024-10-05,
2024-10-06,
2024-10-07,66.33
2024-10-08,65.67
2024-10-09,65.93
2024-10-10,66.51
2024-10-11,69.51
2024-10-12,
2024-10-13,
2024-10-14,70.45
2024-10-15,69.4
2024-10-16,70.2
2024-10-17,70.87
2024-10-18,71.13
2024-10-19,
2024-10-20,
2024-10-21,71.5
2024-10-22,72.06
2024-10-23,71.46
2024-10-24,72.09
2024-10-25,72.06
2024-10-26,
2024-10-27,
2024-10-28,72.33
2024-10-29,73.57
2024-10-30,75.12
2024-10-31,75.08
2024-11-01,75.13
2024-11-02,
2024-11-03,
2024-11-04,76.05
2024-11-05,77.99
2024-11-06,82.54
2024-11-07,83.09
2024-11-08,84.77
2024-11-09,
2024-11-10,
2024-11-11,87.55
2024-11-12,88.24
2024-11-13,86.71
2024-11-14,86.03
2024-11-15,86.81
2024-11-16,
2024-11-17,
2024-11-18,88.52
2024-11-19,89.41
2024-11-20,90.98
2024-11-21,94.21
2024-11-22,102.69
2024-11-23,
2024-11-24,
2024-11-25,97.44
2024-11-26,95.29
2024-11-27,98.92
2024-11-28,
2024-11-29,97.65
2024-11-30,
2024-12-01,
2024-12-02,93.54
2024-12-03,96.25
2024-12-04,89.99
2024-12-05,88.49
2024-12-06,88.58
2024-12-07,
2024-12-08,
2024-12-09,87.04
2024-12-10,85.94
2024-12-11,83.59
2024-12-12,82.84
2024-12-13,83.32
2024-12-14,
2024-12-15,
2024-12-16,84.72
2024-12-17,84.23
2024-12-18,79.27
2024-12-19,77.72
2024-12-20,79.31
2024-12-21,
2024-12-22,
2024-12-23,78.68
2024-12-24,80.75
2024-12-25,
2024-12-26,80.39
2024-12-27,79.45
2024-12-28,
2024-12-29,
2024-12-30,77.99
2024-12-31,77.72
2025-01-01,
2025-01-02,81.33
2025-01-03,82.93
2025-01-04,
2025-01-05,
2025-01-06,84.17
2025-01-07,84.15
2025-01-08,84.38
2025-01-09,
2025-01-10,85.36
2025-01-11,
2025-01-12,
2025-01-13,84.92
2025-01-14,86.63
2025-01-15,89.25
2025-01-16,90.13
2025-01-17,91.72
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,92.49
2025-01-22,91.93
2025-01-23,91.53
2025-01-24,90.19
2025-01-25,
2025-01-26,
2025-01-27,85.22
2025-01-28,85.99
2025-01-29,86.44
2025-01-30,87.46
2025-01-31,86.88
2025-02-01,
2025-02-02,
2025-02-03,87.85
2025-02-04,88.43
2025-02-05,89.84
2025-02-06,87.84
2025-02-07,87.78
2025-02-08,
2025-02-09,
2025-02-10,89.66
2025-02-11,88.46
2025-02-12,88.22
2025-02-13,88.61
2025-02-14,89.28
2025-02-15,
2025-02-16,
2025-02-17,
2025-02-18,90.33
2025-02-19,90.58
2025-02-20,91.91
2025-02-21,87.86
2025-02-22,
2025-02-23,
2025-02-24,86.02
2025-02-25,84.53
2025-02-26,86.11
2025-02-27,86.07
2025-02-28,88.83
2025-03-01,
2025-03-02,
2025-03-03,86.77
2025-03-04,87.07
2025-03-05,87.77
2025-03-06,85.47
2025-03-07,87.6
2025-03-08,
2025-03-09,
2025-03-10,85.04
2025-03-11,85.2
2025-03-12,85.78
2025-03-13,82.67
2025-03-14,85.54
2025-03-15,
2025-03-16,
2025-03-17,86.1
2025-03-18,85.83
2025-03-19,87.71
2025-03-20,87.24
2025-03-21,84.31
2025-03-22,
2025-03-23,
2025-03-24,87.16
2025-03-25,87.48
2025-03-26,87.26
2025-03-27,86.65
2025-03-28,85.21
2025-03-29,
2025-03-30,
2025-03-31,85.56
2025-04-01,86.69
2025-04-02,88.05
2025-04-03,82.28
2025-04-04,77.69
2025-04-05,
2025-04-06,
2025-04-07,78.72
2025-04-08,77.43
2025-04-09,82.69
2025-04-10,80.03
2025-04-11,82.25
2025-04-12,
2025-04-13,
2025-04-14,82.96
2025-04-15,83.37
2025-04-16,83.77
2025-04-17,84.52
2025-04-18,
2025-04-19,
2025-04-20,
2025-04-21,83.24
2025-04-22,85.67
2025-04-23,86.52
2025-04-24,86.87
2025-04-25,86.95
2025-04-26,
2025-04-27,
2025-04-28,87.44
2025-04-29,87.14
2025-04-30,85.93
2025-05-01,86.61
2025-05-02,87.99
2025-05-03,
2025-05-04,
2025-05-05,86.87
2025-05-06,87.36
2025-05-07,87.36
2025-05-08,86.77
2025-05-09,87.54
2025-05-10,
2025-05-11,
2025-05-12,88.49
2025-05-13,90.23
2025-05-14,90.44
2025-05-15,90.93
2025-05-16,91.62
2025-05-17,
2025-05-18,
2025-05-19,91.61
2025-05-20,90.61
2025-05-21,90.29
2025-05-22,88.4
2025-05-23,87.98
2025-05-24,
2025-05-25,
2025-05-26,
2025-05-27,87.59
2025-05-28,86.53
2025-05-29,85.82
2025-05-30,83.18
2025-05-31,
2025-06-01,
2025-06-02,83.36
2025-06-03,84.17
2025-06-04,83.2
2025-06-05,82.62
2025-06-06,83.49
2025-06-07,
2025-06-08,
2025-06-09,83.8
2025-06-10,83.79
2025-06-11,83.73
2025-06-12,83.51
2025-06-13,83.72
2025-06-14,
2025-06-15,
2025-06-16,83.34
2025-06-17,82.61
2025-06-18,82.34
2025-06-19,
2025-06-20,82.34
2025-06-21,
2025-06-22,
2025-06-23,81.57
2025-06-24,81.57
2025-06-25,81.63
2025-06-26,82.8
2025-06-27,82.13
2025-06-28,
2025-06-29,
2025-06-30,82.41
2025-07-01,82.58
2025-07-02,83.38
2025-07-03,83.5
2025-07-04,
2025-07-05,
2025-07-06,
2025-07-07,81.82
2025-07-08,82.2
2025-07-09,82.63
2025-07-10,83.04
2025-07-11,83.37
2025-07-12,
2025-07-13,
2025-07-14,83.41
2025-07-15,80.91
2025-07-16,81.81
2025-07-17,81.97
2025-07-18,81.95
2025-07-19,
2025-07-20,
2025-07-21,80.98
2025-07-22,80.52
2025-07-23,80.36
2025-07-24,81.64
2025-07-25,81.73
2025-07-26,
2025-07-27,
2025-07-28,81.58
2025-07-29,81.96
2025-07-30,81.67
2025-07-31,80.99
2025-08-01,79.36
2025-08-02,
2025-08-03,
2025-08-04,80.43
2025-08-05,80.65
2025-08-06,80.68
2025-08-07,78.27
2025-08-08,77.93
2025-08-09,
2025-08-10,
2025-08-11,78.21
2025-08-12,78.63
2025-08-13,79.91
2025-08-14,80.05
2025-08-15,79.01
2025-08-16,
2025-08-17,
