Date,Close
2020-01-01,
2020-01-02,40.45
2020-01-03,41.03
2020-01-04,
2020-01-05,
2020-01-06,41.15
2020-01-07,41.3
2020-01-08,41.39
2020-01-09,41.27
2020-01-10,41.16
2020-01-11,
2020-01-12,
2020-01-13,41.27
2020-01-14,41.4
2020-01-15,41.49
2020-01-16,41.59
2020-01-17,41.64
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,41.54
2020-01-22,41.12
2020-01-23,40.78
2020-01-24,40.51
2020-01-25,
2020-01-26,
2020-01-27,40.14
2020-01-28,40.48
2020-01-29,40.38
2020-01-30,40.21
2020-01-31,40.54
2020-02-01,
2020-02-02,
2020-02-03,40.49
2020-02-04,41.24
2020-02-05,41.81
2020-02-06,42.01
2020-02-07,41.89
2020-02-08,
2020-02-09,
2020-02-10,41.54
2020-02-11,41.79
2020-02-12,42.02
2020-02-13,41.9
2020-02-14,41.85
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,41.83
2020-02-19,42.07
2020-02-20,42.23
2020-02-21,41.82
2020-02-22,
2020-02-23,
2020-02-24,41.0
2020-02-25,39.75
2020-02-26,39.27
2020-02-27,37.94
2020-02-28,37.93
2020-02-29,
2020-03-01,
2020-03-02,38.22
2020-03-03,37.73
2020-03-04,38.22
2020-03-05,37.47
2020-03-06,36.7
2020-03-07,
2020-03-08,
2020-03-09,31.99
2020-03-10,33.78
2020-03-11,31.35
2020-03-12,28.69
2020-03-13,30.07
2020-03-14,
2020-03-15,
2020-03-16,27.55
2020-03-17,26.88
2020-03-18,24.36
2020-03-19,25.79
2020-03-20,25.12
2020-03-21,
2020-03-22,
2020-03-23,23.84
2020-03-24,26.75
2020-03-25,27.12
2020-03-26,27.54
2020-03-27,27.5
2020-03-28,
2020-03-29,
2020-03-30,27.79
2020-03-31,27.47
2020-04-01,26.68
2020-04-02,27.83
2020-04-03,28.2
2020-04-04,
2020-04-05,
2020-04-06,29.55
2020-04-07,29.25
2020-04-08,30.01
2020-04-09,31.19
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,30.95
2020-04-14,31.7
