Date,Close
2024-01-01,
2024-01-02,100.74
2024-01-03,100.32
2024-01-04,99.25
2024-01-05,99.79
2024-01-06,
2024-01-07,
2024-01-08,99.74
2024-01-09,99.38
2024-01-10,99.13
2024-01-11,98.98
2024-01-12,99.52
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,97.62
2024-01-17,97.05
2024-01-18,97.45
2024-01-19,97.45
2024-01-20,
2024-01-21,
2024-01-22,98.13
2024-01-23,97.98
2024-01-24,98.29
2024-01-25,98.22
2024-01-26,98.42
2024-01-27,
2024-01-28,
2024-01-29,99.72
2024-01-30,98.95
2024-01-31,97.34
2024-02-01,97.2
2024-02-02,96.68
2024-02-03,
2024-02-04,
2024-02-05,96.07
2024-02-06,96.78
2024-02-07,98.32
2024-02-08,98.47
2024-02-09,98.24
2024-02-10,
2024-02-11,
2024-02-12,98.78
2024-02-13,96.49
2024-02-14,97.32
2024-02-15,99.18
2024-02-16,99.89
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,98.88
2024-02-21,99.87
2024-02-22,101.24
2024-02-23,101.32
2024-02-24,
2024-02-25,
2024-02-26,101.27
2024-02-27,102.71
2024-02-28,101.46
2024-02-29,103.14
2024-03-01,103.03
2024-03-02,
2024-03-03,
2024-03-04,102.64
2024-03-05,101.2
2024-03-06,101.14
2024-03-07,101.87
2024-03-08,102.96
2024-03-09,
2024-03-10,
2024-03-11,104.0
2024-03-12,104.49
2024-03-13,105.87
2024-03-14,106.14
2024-03-15,107.13
2024-03-16,
2024-03-17,
2024-03-18,106.54
2024-03-19,106.77
2024-03-20,107.53
2024-03-21,107.75
2024-03-22,106.8
2024-03-23,
2024-03-24,
2024-03-25,108.98
2024-03-26,107.29
2024-03-27,109.22
2024-03-28,109.72
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,108.75
2024-04-02,108.39
2024-04-03,109.47
2024-04-04,110.46
2024-04-05,110.51
2024-04-06,
2024-04-07,
2024-04-08,109.74
2024-04-09,110.13
2024-04-10,110.25
2024-04-11,110.71
2024-04-12,110.25
2024-04-13,
2024-04-14,
2024-04-15,107.59
2024-04-16,107.68
2024-04-17,107.13
2024-04-18,107.2
2024-04-19,107.65
2024-04-20,
2024-04-21,
2024-04-22,108.46
2024-04-23,109.16
2024-04-24,108.87
2024-04-25,109.3
2024-04-26,109.55
2024-04-27,
2024-04-28,
2024-04-29,109.65
2024-04-30,106.48
2024-05-01,104.92
2024-05-02,105.47
2024-05-03,106.43
2024-05-04,
2024-05-05,
2024-05-06,107.88
2024-05-07,107.67
2024-05-08,106.85
2024-05-09,111.98
2024-05-10,112.44
2024-05-11,
2024-05-12,
2024-05-13,110.93
2024-05-14,111.09
2024-05-15,111.3
2024-05-16,112.07
2024-05-17,112.53
2024-05-18,
2024-05-19,
2024-05-20,113.53
2024-05-21,113.7
2024-05-22,112.59
2024-05-23,111.67
2024-05-24,112.48
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,112.82
2024-05-29,111.78
2024-05-30,112.35
2024-05-31,112.4
2024-06-01,
2024-06-02,
2024-06-03,110.87
2024-06-04,109.97
2024-06-05,111.04
2024-06-06,110.79
2024-06-07,109.31
2024-06-08,
2024-06-09,
2024-06-10,122.17
2024-06-11,125.85
2024-06-12,127.07
2024-06-13,125.42
2024-06-14,123.49
2024-06-15,
2024-06-16,
2024-06-17,124.74
2024-06-18,125.35
2024-06-19,
2024-06-20,126.32
2024-06-21,124.28
2024-06-22,
2024-06-23,
2024-06-24,123.43
2024-06-25,124.41
2024-06-26,123.68
2024-06-27,122.99
2024-06-28,122.94
2024-06-29,
2024-06-30,
2024-07-01,123.62
2024-07-02,124.63
2024-07-03,125.36
2024-07-04,
2024-07-05,125.01
2024-07-06,
2024-07-07,
2024-07-08,125.33
2024-07-09,125.39
2024-07-10,128.02
2024-07-11,129.73
2024-07-12,131.68
2024-07-13,
2024-07-14,
2024-07-15,134.74
2024-07-16,135.58
2024-07-17,134.8
2024-07-18,134.54
2024-07-19,134.43
2024-07-20,
2024-07-21,
2024-07-22,134.29
2024-07-23,133.52
2024-07-24,132.73
2024-07-25,134.0
2024-07-26,135.48
2024-07-27,
2024-07-28,
2024-07-29,135.59
2024-07-30,136.41
2024-07-31,138.66
2024-08-01,136.06
2024-08-02,131.79
2024-08-03,
2024-08-04,
2024-08-05,127.28
2024-08-06,129.52
2024-08-07,129.39
2024-08-08,135.56
2024-08-09,135.4
2024-08-10,
2024-08-11,
2024-08-12,136.2
2024-08-13,135.56
2024-08-14,135.95
2024-08-15,136.91
2024-08-16,137.04
2024-08-17,
2024-08-18,
2024-08-19,138.64
2024-08-20,136.45
2024-08-21,137.72
2024-08-22,138.0
2024-08-23,142.34
2024-08-24,
2024-08-25,
2024-08-26,142.08
2024-08-27,141.44
2024-08-28,142.51
2024-08-29,142.32
2024-08-30,142.45
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,136.62
2024-09-04,135.81
2024-09-05,134.73
