Date,Close
2020-01-01,
2020-01-02,49.99
2020-01-03,50.59
2020-01-04,
2020-01-05,
2020-01-06,52.0
2020-01-07,51.19
2020-01-08,51.59
2020-01-09,51.68
2020-01-10,53.5
2020-01-11,
2020-01-12,
2020-01-13,54.24
2020-01-14,55.21
2020-01-15,56.25
2020-01-16,56.6
2020-01-17,56.52
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,58.17
2020-01-22,58.92
2020-01-23,60.37
2020-01-24,59.81
2020-01-25,
2020-01-26,
2020-01-27,60.39
2020-01-28,60.83
2020-01-29,60.83
2020-01-30,60.37
2020-01-31,59.56
2020-02-01,
2020-02-02,
2020-02-03,59.83
2020-02-04,58.89
2020-02-05,60.99
2020-02-06,61.16
2020-02-07,61.92
2020-02-08,
2020-02-09,
2020-02-10,62.9
2020-02-11,63.92
2020-02-12,63.15
2020-02-13,62.61
2020-02-14,63.14
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,62.93
2020-02-19,63.22
2020-02-20,63.75
2020-02-21,63.41
2020-02-22,
2020-02-23,
2020-02-24,62.07
2020-02-25,59.64
2020-02-26,58.18
2020-02-27,56.53
2020-02-28,54.15
2020-02-29,
2020-03-01,
2020-03-02,56.2
2020-03-03,57.66
2020-03-04,59.81
2020-03-05,58.07
2020-03-06,56.14
2020-03-07,
2020-03-08,
2020-03-09,49.68
2020-03-10,53.27
2020-03-11,47.94
2020-03-12,41.66
2020-03-13,41.0
2020-03-14,
2020-03-15,
2020-03-16,32.96
2020-03-17,31.39
2020-03-18,27.75
2020-03-19,28.37
2020-03-20,30.59
2020-03-21,
2020-03-22,
2020-03-23,26.34
2020-03-24,31.95
2020-03-25,36.54
2020-03-26,38.07
2020-03-27,36.13
2020-03-28,
2020-03-29,
2020-03-30,35.86
2020-03-31,34.28
2020-04-01,31.17
2020-04-02,29.99
2020-04-03,29.97
2020-04-04,
2020-04-05,
2020-04-06,35.2
2020-04-07,35.24
2020-04-08,38.92
2020-04-09,40.21
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,37.11
2020-04-14,38.61
2020-04-15,35.74
2020-04-16,36.71
2020-04-17,38.53
2020-04-18,
2020-04-19,
2020-04-20,35.99
2020-04-21,36.14
2020-04-22,36.96
2020-04-23,37.13
2020-04-24,38.6
2020-04-25,
2020-04-26,
2020-04-27,40.83
2020-04-28,44.57
2020-04-29,47.92
2020-04-30,45.07
2020-05-01,44.52
2020-05-02,
2020-05-03,
2020-05-04,44.48
2020-05-05,46.0
2020-05-06,45.97
2020-05-07,45.76
2020-05-08,48.62
2020-05-09,
2020-05-10,
2020-05-11,47.71
2020-05-12,45.8
2020-05-13,44.03
2020-05-14,43.88
2020-05-15,45.58
2020-05-16,
2020-05-17,
2020-05-18,50.95
2020-05-19,52.59
2020-05-20,51.8
2020-05-21,53.11
2020-05-22,54.09
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,55.6
2020-05-27,58.5
2020-05-28,54.18
2020-05-29,54.42
2020-05-30,
2020-05-31,
