Date,Close
2024-01-01,
2024-01-02,31.83
2024-01-03,31.43
2024-01-04,31.36
2024-01-05,31.5
2024-01-06,
2024-01-07,
2024-01-08,32.5
2024-01-09,32.73
2024-01-10,33.17
2024-01-11,33.3
2024-01-12,33.33
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,33.52
2024-01-17,33.33
2024-01-18,33.83
2024-01-19,34.53
2024-01-20,
2024-01-21,
2024-01-22,34.72
2024-01-23,34.71
2024-01-24,34.96
2024-01-25,35.08
2024-01-26,35.02
2024-01-27,
2024-01-28,
2024-01-29,35.59
2024-01-30,35.36
2024-01-31,34.56
2024-02-01,35.09
2024-02-02,36.27
2024-02-03,
2024-02-04,
2024-02-05,36.35
2024-02-06,36.07
2024-02-07,36.72
2024-02-08,37.02
2024-02-09,37.65
2024-02-10,
2024-02-11,
2024-02-12,37.32
2024-02-13,36.68
2024-02-14,37.54
2024-02-15,37.61
2024-02-16,37.25
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,36.54
2024-02-21,36.0
2024-02-22,37.55
2024-02-23,37.41
2024-02-24,
2024-02-25,
2024-02-26,37.51
2024-02-27,37.53
2024-02-28,37.37
2024-02-29,37.75
2024-03-01,38.35
2024-03-02,
2024-03-03,
2024-03-04,38.43
2024-03-05,37.68
2024-03-06,38.05
2024-03-07,38.68
2024-03-08,37.94
2024-03-09,
2024-03-10,
2024-03-11,37.42
2024-03-12,38.37
2024-03-13,38.24
2024-03-14,38.07
2024-03-15,37.58
2024-03-16,
2024-03-17,
2024-03-18,37.84
2024-03-19,38.01
2024-03-20,38.62
2024-03-21,38.94
2024-03-22,38.98
2024-03-23,
2024-03-24,
2024-03-25,38.89
2024-03-26,38.75
2024-03-27,38.51
2024-03-28,38.46
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,38.56
2024-04-02,38.18
2024-04-03,38.44
2024-04-04,37.86
2024-04-05,38.71
2024-04-06,
2024-04-07,
2024-04-08,38.61
2024-04-09,38.42
2024-04-10,38.22
2024-04-11,38.81
2024-04-12,37.95
2024-04-13,
2024-04-14,
2024-04-15,37.12
2024-04-16,37.3
2024-04-17,36.7
2024-04-18,36.51
2024-04-19,35.29
2024-04-20,
2024-04-21,
2024-04-22,35.75
2024-04-23,36.7
2024-04-24,36.38
2024-04-25,36.25
2024-04-26,36.96
2024-04-27,
2024-04-28,
2024-04-29,36.86
2024-04-30,36.2
2024-05-01,36.05
2024-05-02,36.56
2024-05-03,37.12
2024-05-04,
2024-05-05,
2024-05-06,37.91
2024-05-07,37.71
2024-05-08,37.43
2024-05-09,37.4
2024-05-10,37.42
2024-05-11,
2024-05-12,
2024-05-13,37.25
2024-05-14,37.46
2024-05-15,38.39
2024-05-16,38.11
2024-05-17,38.13
2024-05-18,
2024-05-19,
2024-05-20,38.51
2024-05-21,38.52
2024-05-22,38.4
