Date,Close
2024-01-01,
2024-01-02,211.39
2024-01-03,205.22
2024-01-04,204.2
2024-01-05,205.45
2024-01-06,
2024-01-07,
2024-01-08,209.93
2024-01-09,209.8
2024-01-10,212.9
2024-01-11,212.85
2024-01-12,211.64
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,213.11
2024-01-17,210.81
2024-01-18,210.98
2024-01-19,212.7
2024-01-20,
2024-01-21,
2024-01-22,212.56
2024-01-23,208.39
2024-01-24,204.58
2024-01-25,206.07
2024-01-26,205.97
2024-01-27,
2024-01-28,
2024-01-29,205.83
2024-01-30,208.44
2024-01-31,206.8
2024-02-01,213.98
2024-02-02,213.27
2024-02-03,
2024-02-04,
2024-02-05,211.83
2024-02-06,211.93
2024-02-07,215.4
2024-02-08,214.14
2024-02-09,215.96
2024-02-10,
2024-02-11,
2024-02-12,223.34
2024-02-13,219.04
2024-02-14,220.49
2024-02-15,221.86
2024-02-16,220.42
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,219.12
2024-02-21,221.33
2024-02-22,223.97
2024-02-23,225.97
2024-02-24,
2024-02-25,
2024-02-26,224.76
2024-02-27,228.72
2024-02-28,232.03
2024-02-29,233.85
2024-03-01,237.75
2024-03-02,
2024-03-03,
2024-03-04,235.23
2024-03-05,233.99
2024-03-06,234.28
2024-03-07,234.87
2024-03-08,235.09
2024-03-09,
2024-03-10,
2024-03-11,234.13
2024-03-12,236.36
2024-03-13,240.39
2024-03-14,237.69
2024-03-15,237.79
2024-03-16,
2024-03-17,
2024-03-18,236.58
2024-03-19,240.99
2024-03-20,244.82
2024-03-21,253.6
2024-03-22,251.17
2024-03-23,
2024-03-24,
2024-03-25,246.8
2024-03-26,244.29
2024-03-27,246.15
2024-03-28,247.51
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,242.21
2024-04-02,237.52
2024-04-03,233.87
2024-04-04,231.26
2024-04-05,232.53
2024-04-06,
2024-04-07,
2024-04-08,235.71
2024-04-09,237.46
2024-04-10,230.43
2024-04-11,228.76
2024-04-12,225.47
2024-04-13,
2024-04-14,
2024-04-15,223.49
2024-04-16,221.87
2024-04-17,222.37
2024-04-18,222.3
2024-04-19,223.71
2024-04-20,
2024-04-21,
2024-04-22,224.67
2024-04-23,228.02
2024-04-24,224.83
2024-04-25,224.51
2024-04-26,224.42
2024-04-27,
2024-04-28,
2024-04-29,225.46
2024-04-30,222.58
2024-05-01,222.12
2024-05-02,224.14
2024-05-03,226.63
2024-05-04,
2024-05-05,
2024-05-06,226.21
2024-05-07,225.97
2024-05-08,226.57
2024-05-09,230.53
2024-05-10,229.46
2024-05-11,
2024-05-12,
2024-05-13,227.46
2024-05-14,226.09
2024-05-15,230.48
2024-05-16,226.75
2024-05-17,225.63
2024-05-18,
2024-05-19,
2024-05-20,223.74
2024-05-21,219.53
2024-05-22,215.89
2024-05-23,212.32
2024-05-24,210.11
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,210.26
2024-05-29,209.19
2024-05-30,210.35
2024-05-31,216.04
2024-06-01,
2024-06-02,
2024-06-03,211.59
2024-06-04,211.4
2024-06-05,214.27
2024-06-06,213.27
2024-06-07,211.53
2024-06-08,
2024-06-09,
2024-06-10,212.93
2024-06-11,213.17
2024-06-12,219.68
2024-06-13,221.48
2024-06-14,218.05
2024-06-15,
2024-06-16,
2024-06-17,221.39
2024-06-18,222.37
2024-06-19,
2024-06-20,222.13
2024-06-21,223.17
2024-06-22,
2024-06-23,
2024-06-24,222.97
2024-06-25,212.1
2024-06-26,213.59
2024-06-27,214.59
2024-06-28,215.23
2024-06-29,
2024-06-30,
2024-07-01,208.5
2024-07-02,208.63
2024-07-03,208.24
2024-07-04,
2024-07-05,208.82
2024-07-06,
2024-07-07,
2024-07-08,212.0
2024-07-09,211.2
2024-07-10,215.51
2024-07-11,224.3
2024-07-12,228.53
2024-07-13,
2024-07-14,
2024-07-15,226.66
2024-07-16,235.26
2024-07-17,237.28
2024-07-18,233.69
2024-07-19,232.86
2024-07-20,
2024-07-21,
2024-07-22,234.57
2024-07-23,232.66
2024-07-24,227.27
2024-07-25,230.31
2024-07-26,234.34
2024-07-27,
2024-07-28,
2024-07-29,235.25
2024-07-30,236.82
2024-07-31,240.85
2024-08-01,236.78
2024-08-02,235.86
2024-08-03,
2024-08-04,
2024-08-05,232.52
2024-08-06,236.08
2024-08-07,227.19
2024-08-08,231.84
2024-08-09,231.35
2024-08-10,
2024-08-11,
2024-08-12,226.68
2024-08-13,231.71
2024-08-14,233.13
2024-08-15,235.5
2024-08-16,236.57
2024-08-17,
2024-08-18,
2024-08-19,238.59
2024-08-20,235.77
2024-08-21,237.77
2024-08-22,235.75
2024-08-23,245.32
2024-08-24,
2024-08-25,
2024-08-26,245.75
2024-08-27,243.85
2024-08-28,244.22
2024-08-29,242.09
2024-08-30,243.78
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,240.8
2024-09-04,240.79
2024-09-05,239.48
2024-09-06,239.18
2024-09-07,
2024-09-08,
2024-09-09,240.09
2024-09-10,242.69
2024-09-11,242.69
2024-09-12,247.27
2024-09-13,250.56
2024-09-14,
2024-09-15,
2024-09-16,251.77
2024-09-17,251.85
2024-09-18,251.76
2024-09-19,256.05
2024-09-20,255.2
2024-09-21,
2024-09-22,
2024-09-23,257.31
2024-09-24,260.99
2024-09-25,259.94
2024-09-26,260.57
2024-09-27,262.07
2024-09-28,
2024-09-29,
2024-09-30,265.71
2024-10-01,267.47
2024-10-02,266.7
2024-10-03,265.08
2024-10-04,262.68
2024-10-05,
2024-10-06,
2024-10-07,263.44
2024-10-08,268.08
2024-10-09,271.92
2024-10-10,268.02
2024-10-11,270.53
2024-10-12,
2024-10-13,
2024-10-14,275.4
2024-10-15,276.48
2024-10-16,278.66
2024-10-17,275.97
2024-10-18,276.29
2024-10-19,
2024-10-20,
2024-10-21,271.59
2024-10-22,267.05
2024-10-23,266.11
2024-10-24,267.34
2024-10-25,263.67
2024-10-26,
2024-10-27,
2024-10-28,264.0
2024-10-29,259.07
2024-10-30,257.52
2024-10-31,257.95
2024-11-01,258.06
2024-11-02,
2024-11-03,
2024-11-04,261.05
2024-11-05,265.19
2024-11-06,257.85
2024-11-07,262.35
2024-11-08,267.08
2024-11-09,
2024-11-10,
2024-11-11,270.44
2024-11-12,265.9
2024-11-13,268.29
2024-11-14,266.34
2024-11-15,265.41
2024-11-16,
2024-11-17,
2024-11-18,267.74
2024-11-19,255.42
2024-11-20,259.13
2024-11-21,261.29
2024-11-22,260.76
2024-11-23,
2024-11-24,
2024-11-25,271.24
2024-11-26,270.4
2024-11-27,269.14
2024-11-28,
2024-11-29,268.39
2024-11-30,
2024-12-01,
2024-12-02,268.02
2024-12-03,270.32
2024-12-04,268.24
2024-12-05,266.07
2024-12-06,269.38
2024-12-07,
2024-12-08,
2024-12-09,270.09
2024-12-10,266.11
2024-12-11,263.93
2024-12-12,259.6
2024-12-13,258.5
2024-12-14,
2024-12-15,
2024-12-16,256.25
2024-12-17,253.93
2024-12-18,246.11
2024-12-19,240.9
2024-12-20,244.05
2024-12-21,
2024-12-22,
2024-12-23,243.7
2024-12-24,246.51
2024-12-25,
2024-12-26,245.73
2024-12-27,244.66
2024-12-28,
2024-12-29,
2024-12-30,243.07
2024-12-31,243.14
2025-01-01,
2025-01-02,243.32
2025-01-03,244.8
2025-01-04,
2025-01-05,
2025-01-06,246.04
2025-01-07,242.92
2025-01-08,243.23
2025-01-09,
2025-01-10,244.23
2025-01-11,
2025-01-12,
2025-01-13,244.98
2025-01-14,247.47
2025-01-15,252.92
2025-01-16,254.95
2025-01-17,257.19
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,260.43
2025-01-22,255.29
2025-01-23,258.57
2025-01-24,259.44
2025-01-25,
2025-01-26,
2025-01-27,265.6
2025-01-28,261.63
2025-01-29,258.98
2025-01-30,261.22
2025-01-31,257.31
2025-02-01,
2025-02-02,
2025-02-03,253.8
2025-02-04,254.53
2025-02-05,255.75
2025-02-06,254.25
2025-02-07,249.29
