Date,Close
2020-01-01,
2020-01-02,28.8
2020-01-03,28.49
2020-01-04,
2020-01-05,
2020-01-06,27.96
2020-01-07,28.64
2020-01-08,29.0
2020-01-09,28.81
2020-01-10,28.46
2020-01-11,
2020-01-12,
2020-01-13,28.74
2020-01-14,29.08
2020-01-15,28.85
2020-01-16,29.58
2020-01-17,29.78
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,29.85
2020-01-22,30.1
2020-01-23,30.21
2020-01-24,29.64
2020-01-25,
2020-01-26,
2020-01-27,28.41
2020-01-28,29.17
2020-01-29,28.83
2020-01-30,30.07
2020-01-31,28.83
2020-02-01,
2020-02-02,
2020-02-03,29.82
2020-02-04,31.46
2020-02-05,31.48
2020-02-06,31.28
2020-02-07,30.5
2020-02-08,
2020-02-09,
2020-02-10,30.92
2020-02-11,31.49
2020-02-12,32.35
2020-02-13,33.03
2020-02-14,32.81
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,31.46
2020-02-19,32.28
2020-02-20,31.76
2020-02-21,30.63
2020-02-22,
2020-02-23,
2020-02-24,29.05
2020-02-25,28.25
2020-02-26,28.68
2020-02-27,27.62
2020-02-28,28.37
2020-02-29,
2020-03-01,
2020-03-02,29.04
2020-03-03,28.18
2020-03-04,29.61
2020-03-05,28.92
2020-03-06,28.47
2020-03-07,
2020-03-08,
2020-03-09,25.87
2020-03-10,27.8
2020-03-11,26.75
2020-03-12,23.0
2020-03-13,25.31
2020-03-14,
2020-03-15,
2020-03-16,20.65
2020-03-17,22.17
2020-03-18,18.77
2020-03-19,18.86
2020-03-20,18.17
2020-03-21,
2020-03-22,
2020-03-23,18.65
2020-03-24,22.3
2020-03-25,22.58
2020-03-26,25.17
2020-03-27,23.32
2020-03-28,
2020-03-29,
2020-03-30,24.68
2020-03-31,23.21
2020-04-01,21.59
2020-04-02,21.33
2020-04-03,21.09
2020-04-04,
2020-04-05,
2020-04-06,24.24
2020-04-07,24.77
2020-04-08,25.79
2020-04-09,24.97
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,25.02
2020-04-14,26.35
2020-04-15,25.41
2020-04-16,26.17
2020-04-17,26.98
2020-04-18,
2020-04-19,
2020-04-20,25.79
2020-04-21,23.56
2020-04-22,26.28
2020-04-23,25.52
2020-04-24,25.78
2020-04-25,
2020-04-26,
2020-04-27,25.57
2020-04-28,25.32
2020-04-29,27.07
2020-04-30,24.68
2020-05-01,22.72
2020-05-02,
2020-05-03,
2020-05-04,22.68
2020-05-05,23.48
2020-05-06,23.65
2020-05-07,23.94
2020-05-08,25.66
2020-05-09,
2020-05-10,
2020-05-11,25.35
2020-05-12,24.75
2020-05-13,24.0
2020-05-14,26.01
2020-05-15,24.35
2020-05-16,
2020-05-17,
2020-05-18,24.89
2020-05-19,25.3
2020-05-20,26.22
2020-05-21,25.21
2020-05-22,25.25
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,25.75
2020-05-27,26.7
2020-05-28,25.8
2020-05-29,26.46
2020-05-30,
2020-05-31,
2020-06-01,26.2
2020-06-02,26.25
2020-06-03,27.74
2020-06-04,28.22
2020-06-05,29.48
2020-06-06,
2020-06-07,
2020-06-08,28.77
2020-06-09,29.23
2020-06-10,29.13
2020-06-11,27.31
2020-06-12,27.51
2020-06-13,
2020-06-14,
2020-06-15,28.15
2020-06-16,29.65
2020-06-17,30.46
2020-06-18,30.56
2020-06-19,30.6
2020-06-20,
2020-06-21,
2020-06-22,30.32
2020-06-23,30.67
2020-06-24,29.68
2020-06-25,30.34
2020-06-26,29.37
2020-06-27,
2020-06-28,
2020-06-29,29.94
2020-06-30,31.4
2020-07-01,30.82
2020-07-02,31.42
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,32.52
2020-07-07,31.83
2020-07-08,32.4
2020-07-09,32.59
2020-07-10,33.0
2020-07-11,
2020-07-12,
2020-07-13,32.73
2020-07-14,33.59
2020-07-15,33.32
2020-07-16,33.48
2020-07-17,33.61
2020-07-18,
2020-07-19,
2020-07-20,34.34
2020-07-21,34.66
2020-07-22,35.14
2020-07-23,34.44
2020-07-24,33.56
2020-07-25,
2020-07-26,
2020-07-27,34.76
2020-07-28,33.87
2020-07-29,35.03
2020-07-30,36.75
2020-07-31,36.61
2020-08-01,
2020-08-02,
2020-08-03,37.02
2020-08-04,37.37
2020-08-05,37.22
2020-08-06,36.67
2020-08-07,36.15
2020-08-08,
2020-08-09,
2020-08-10,36.48
2020-08-11,35.82
2020-08-12,37.03
2020-08-13,36.6
2020-08-14,36.27
2020-08-15,
2020-08-16,
2020-08-17,36.8
2020-08-18,36.36
2020-08-19,36.13
2020-08-20,34.8
2020-08-21,34.31
2020-08-22,
2020-08-23,
2020-08-24,34.07
2020-08-25,34.22
2020-08-26,34.15
2020-08-27,33.15
2020-08-28,34.05
2020-08-29,
2020-08-30,
2020-08-31,32.65
2020-09-01,33.06
2020-09-02,35.21
2020-09-03,33.15
2020-09-04,32.34
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,29.39
2020-09-09,29.21
2020-09-10,28.88
2020-09-11,28.54
2020-09-12,
2020-09-13,
2020-09-14,29.65
2020-09-15,29.99
2020-09-16,29.76
2020-09-17,29.69
2020-09-18,29.82
2020-09-19,
2020-09-20,
2020-09-21,30.57
2020-09-22,30.94
2020-09-23,30.77
2020-09-24,31.76
2020-09-25,32.06
2020-09-26,
2020-09-27,
2020-09-28,32.68
2020-09-29,32.78
2020-09-30,32.2
2020-10-01,32.92
2020-10-02,31.91
2020-10-03,
2020-10-04,
2020-10-05,33.22
2020-10-06,33.1
2020-10-07,33.56
2020-10-08,34.5
