Date,Close
2024-01-01,
2024-01-02,17.8
2024-01-03,17.72
2024-01-04,17.41
2024-01-05,17.43
2024-01-06,
2024-01-07,
2024-01-08,17.32
2024-01-09,17.26
2024-01-10,17.15
2024-01-11,17.14
2024-01-12,17.33
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,16.94
2024-01-17,16.88
2024-01-18,16.98
2024-01-19,16.98
2024-01-20,
2024-01-21,
2024-01-22,17.08
2024-01-23,17.05
2024-01-24,17.11
2024-01-25,17.07
2024-01-26,17.02
2024-01-27,
2024-01-28,
2024-01-29,17.29
2024-01-30,17.21
2024-01-31,16.83
2024-02-01,16.8
2024-02-02,16.71
2024-02-03,
2024-02-04,
2024-02-05,16.58
2024-02-06,16.68
2024-02-07,17.08
2024-02-08,17.01
2024-02-09,16.96
2024-02-10,
2024-02-11,
2024-02-12,16.95
2024-02-13,16.53
2024-02-14,16.67
2024-02-15,17.08
2024-02-16,17.28
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,17.11
2024-02-21,17.3
2024-02-22,17.6
2024-02-23,17.62
2024-02-24,
2024-02-25,
2024-02-26,17.59
2024-02-27,17.8
2024-02-28,17.46
2024-02-29,17.75
2024-03-01,17.67
2024-03-02,
2024-03-03,
2024-03-04,17.52
2024-03-05,17.32
2024-03-06,17.14
2024-03-07,17.31
2024-03-08,17.47
2024-03-09,
2024-03-10,
2024-03-11,17.65
2024-03-12,17.8
2024-03-13,18.03
2024-03-14,18.25
2024-03-15,18.44
2024-03-16,
2024-03-17,
2024-03-18,18.44
2024-03-19,18.57
2024-03-20,18.67
2024-03-21,18.75
2024-03-22,18.58
2024-03-23,
2024-03-24,
2024-03-25,18.84
2024-03-26,18.49
2024-03-27,18.91
2024-03-28,18.99
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,18.8
2024-04-02,18.86
2024-04-03,19.13
2024-04-04,19.36
2024-04-05,19.38
2024-04-06,
2024-04-07,
2024-04-08,19.05
2024-04-09,19.27
2024-04-10,19.32
2024-04-11,19.48
2024-04-12,19.53
2024-04-13,
2024-04-14,
2024-04-15,19.04
2024-04-16,19.09
2024-04-17,19.03
2024-04-18,18.99
2024-04-19,18.99
2024-04-20,
2024-04-21,
2024-04-22,19.1
2024-04-23,19.21
2024-04-24,19.22
2024-04-25,19.25
2024-04-26,19.35
2024-04-27,
2024-04-28,
2024-04-29,19.49
2024-04-30,18.88
2024-05-01,18.52
2024-05-02,18.56
2024-05-03,18.64
2024-05-04,
2024-05-05,
2024-05-06,18.9
2024-05-07,18.88
2024-05-08,18.75
2024-05-09,19.94
2024-05-10,20.08
2024-05-11,
2024-05-12,
2024-05-13,19.67
2024-05-14,19.78
2024-05-15,19.68
2024-05-16,19.82
2024-05-17,19.85
2024-05-18,
2024-05-19,
2024-05-20,20.08
2024-05-21,20.1
2024-05-22,19.88
2024-05-23,19.9
2024-05-24,20.04
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,20.12
2024-05-29,20.01
2024-05-30,20.04
2024-05-31,20.05
2024-06-01,
2024-06-02,
2024-06-03,19.68
2024-06-04,19.39
2024-06-05,19.64
2024-06-06,19.64
2024-06-07,19.38
2024-06-08,
2024-06-09,
2024-06-10,22.44
2024-06-11,23.43
2024-06-12,23.73
2024-06-13,23.38
2024-06-14,23.01
2024-06-15,
2024-06-16,
2024-06-17,23.25
2024-06-18,23.39
2024-06-19,
2024-06-20,23.56
2024-06-21,23.13
2024-06-22,
2024-06-23,
2024-06-24,23.01
2024-06-25,23.07
2024-06-26,22.89
2024-06-27,22.72
2024-06-28,22.72
2024-06-29,
2024-06-30,
2024-07-01,22.68
2024-07-02,22.99
2024-07-03,23.29
2024-07-04,
2024-07-05,23.28
2024-07-06,
2024-07-07,
2024-07-08,23.35
2024-07-09,23.3
2024-07-10,23.91
2024-07-11,24.18
2024-07-12,24.59
2024-07-13,
2024-07-14,
2024-07-15,25.2
2024-07-16,25.39
2024-07-17,25.2
2024-07-18,25.15
2024-07-19,25.08
2024-07-20,
2024-07-21,
2024-07-22,24.97
2024-07-23,24.83
2024-07-24,24.63
2024-07-25,25.01
2024-07-26,25.32
2024-07-27,
