Date,Close
2024-01-01,
2024-01-02,218.6
2024-01-03,215.84
2024-01-04,216.81
2024-01-05,219.17
2024-01-06,
2024-01-07,
2024-01-08,224.9
2024-01-09,223.17
2024-01-10,223.46
2024-01-11,223.66
2024-01-12,222.21
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,223.03
2024-01-17,224.37
2024-01-18,229.28
2024-01-19,230.26
2024-01-20,
2024-01-21,
2024-01-22,233.91
2024-01-23,233.64
2024-01-24,234.39
2024-01-25,238.98
2024-01-26,238.07
2024-01-27,
2024-01-28,
2024-01-29,238.59
2024-01-30,239.64
2024-01-31,236.23
2024-02-01,240.11
2024-02-02,241.54
2024-02-03,
2024-02-04,
2024-02-05,240.66
2024-02-06,241.18
2024-02-07,244.32
2024-02-08,245.93
2024-02-09,243.41
2024-02-10,
2024-02-11,
2024-02-12,245.2
2024-02-13,231.51
2024-02-14,231.95
2024-02-15,236.98
2024-02-16,238.1
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,239.39
2024-02-21,240.31
2024-02-22,246.19
2024-02-23,248.34
2024-02-24,
2024-02-25,
2024-02-26,246.11
2024-02-27,245.92
2024-02-28,245.88
2024-02-29,246.75
2024-03-01,246.88
2024-03-02,
2024-03-03,
2024-03-04,244.33
2024-03-05,244.78
2024-03-06,244.01
2024-03-07,243.82
2024-03-08,247.15
2024-03-09,
2024-03-10,
2024-03-11,245.37
2024-03-12,247.56
2024-03-13,248.27
2024-03-14,244.9
2024-03-15,241.02
2024-03-16,
2024-03-17,
2024-03-18,245.41
2024-03-19,246.7
2024-03-20,250.88
2024-03-21,252.08
2024-03-22,251.97
2024-03-23,
2024-03-24,
2024-03-25,248.96
2024-03-26,249.03
2024-03-27,250.39
2024-03-28,249.16
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,248.19
2024-04-02,244.64
2024-04-03,247.46
2024-04-04,245.78
2024-04-05,250.76
2024-04-06,
2024-04-07,
2024-04-08,251.5
2024-04-09,251.75
2024-04-10,251.17
2024-04-11,255.32
