Date,Close
2024-01-01,
2024-01-02,33.4
2024-01-03,33.05
2024-01-04,33.06
2024-01-05,33.25
2024-01-06,
2024-01-07,
2024-01-08,33.41
2024-01-09,33.42
2024-01-10,33.55
2024-01-11,33.68
2024-01-12,33.66
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,33.83
2024-01-17,33.89
2024-01-18,34.23
2024-01-19,34.37
2024-01-20,
2024-01-21,
2024-01-22,34.61
2024-01-23,34.65
2024-01-24,34.66
2024-01-25,34.78
2024-01-26,34.92
2024-01-27,
2024-01-28,
2024-01-29,34.73
2024-01-30,34.78
2024-01-31,34.2
2024-02-01,34.05
2024-02-02,34.53
2024-02-03,
2024-02-04,
2024-02-05,35.02
2024-02-06,34.85
2024-02-07,34.95
2024-02-08,35.46
2024-02-09,35.78
2024-02-10,
2024-02-11,
2024-02-12,35.74
2024-02-13,36.27
2024-02-14,35.83
2024-02-15,35.91
2024-02-16,36.17
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,35.91
2024-02-21,36.12
2024-02-22,36.42
2024-02-23,35.97
2024-02-24,
2024-02-25,
2024-02-26,36.27
2024-02-27,36.48
2024-02-28,36.31
2024-02-29,36.2
2024-03-01,36.25
2024-03-02,
2024-03-03,
2024-03-04,36.32
2024-03-05,35.82
2024-03-06,35.84
2024-03-07,35.77
2024-03-08,35.58
2024-03-09,
2024-03-10,
2024-03-11,35.65
2024-03-12,35.81
2024-03-13,36.03
2024-03-14,36.47
2024-03-15,36.65
2024-03-16,
2024-03-17,
2024-03-18,36.92
2024-03-19,36.92
2024-03-20,36.73
2024-03-21,36.71
2024-03-22,36.41
2024-03-23,
2024-03-24,
2024-03-25,36.53
2024-03-26,36.45
2024-03-27,36.46
2024-03-28,36.64
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,36.77
2024-04-02,36.97
2024-04-03,36.91
2024-04-04,36.58
2024-04-05,36.96
2024-04-06,
2024-04-07,
2024-04-08,37.12
2024-04-09,36.84
2024-04-10,37.17
2024-04-11,37.32
2024-04-12,36.81
2024-04-13,
2024-04-14,
2024-04-15,37.17
2024-04-16,37.34
2024-04-17,36.83
2024-04-18,37.05
2024-04-19,36.85
2024-04-20,
2024-04-21,
2024-04-22,36.98
2024-04-23,37.22
2024-04-24,37.65
2024-04-25,37.88
2024-04-26,37.97
2024-04-27,
2024-04-28,
2024-04-29,37.67
2024-04-30,37.85
2024-05-01,37.42
2024-05-02,37.33
2024-05-03,37.2
2024-05-04,
2024-05-05,
2024-05-06,37.44
2024-05-07,37.37
2024-05-08,37.45
2024-05-09,37.49
2024-05-10,37.49
2024-05-11,
2024-05-12,
2024-05-13,37.6
2024-05-14,37.67
2024-05-15,37.51
2024-05-16,37.51
2024-05-17,37.77
2024-05-18,
2024-05-19,
2024-05-20,37.85
2024-05-21,37.79
2024-05-22,37.85
