Date,Close
2024-01-01,
2024-01-02,83.36
2024-01-03,81.45
2024-01-04,80.32
2024-01-05,80.89
2024-01-06,
2024-01-07,
2024-01-08,82.48
2024-01-09,82.19
2024-01-10,82.28
2024-01-11,82.53
2024-01-12,82.25
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,82.01
2024-01-17,80.26
2024-01-18,82.98
2024-01-19,86.14
2024-01-20,
2024-01-21,
2024-01-22,87.39
2024-01-23,88.59
2024-01-24,87.21
2024-01-25,86.34
2024-01-26,83.71
2024-01-27,
2024-01-28,
2024-01-29,84.01
2024-01-30,82.78
2024-01-31,82.03
2024-02-01,82.49
2024-02-02,81.18
2024-02-03,
2024-02-04,
2024-02-05,82.3
2024-02-06,80.17
2024-02-07,80.23
2024-02-08,81.23
2024-02-09,82.28
2024-02-10,
2024-02-11,
2024-02-12,80.85
2024-02-13,77.69
2024-02-14,77.6
2024-02-15,79.46
2024-02-16,78.59
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,79.36
2024-02-21,80.4
2024-02-22,81.24
2024-02-23,80.21
2024-02-24,
2024-02-25,
2024-02-26,80.27
2024-02-27,80.31
2024-02-28,79.57
2024-02-29,81.47
2024-03-01,84.24
2024-03-02,
2024-03-03,
2024-03-04,84.16
2024-03-05,82.92
2024-03-06,85.02
2024-03-07,90.38
2024-03-08,86.02
2024-03-09,
2024-03-10,
2024-03-11,87.7
2024-03-12,89.05
2024-03-13,87.67
2024-03-14,86.16
2024-03-15,85.83
2024-03-16,
2024-03-17,
2024-03-18,85.29
2024-03-19,84.51
2024-03-20,85.54
2024-03-21,86.05
2024-03-22,85.25
2024-03-23,
2024-03-24,
2024-03-25,84.87
2024-03-26,83.5
2024-03-27,86.36
2024-03-28,86.86
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,86.89
2024-04-02,85.19
2024-04-03,85.34
2024-04-04,83.52
2024-04-05,84.79
2024-04-06,
2024-04-07,
2024-04-08,86.32
2024-04-09,88.76
2024-04-10,85.29
2024-04-11,86.45
2024-04-12,82.92
2024-04-13,
2024-04-14,
2024-04-15,82.98
2024-04-16,83.2
2024-04-17,82.37
2024-04-18,81.54
2024-04-19,79.09
2024-04-20,
2024-04-21,
2024-04-22,80.88
2024-04-23,83.46
2024-04-24,87.8
2024-04-25,89.28
2024-04-26,90.63
2024-04-27,
2024-04-28,
2024-04-29,90.22
2024-04-30,89.06
2024-05-01,85.97
2024-05-02,86.62
2024-05-03,88.46
2024-05-04,
2024-05-05,
2024-05-06,90.78
2024-05-07,89.14
2024-05-08,89.07
2024-05-09,88.58
2024-05-10,88.6
2024-05-11,
2024-05-12,
2024-05-13,89.6
2024-05-14,90.88
2024-05-15,92.33
2024-05-16,91.25
2024-05-17,91.34
2024-05-18,
2024-05-19,
2024-05-20,93.4
2024-05-21,93.18
2024-05-22,96.79
2024-05-23,95.47
2024-05-24,95.56
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,96.13
2024-05-29,92.96
2024-05-30,93.71
2024-05-31,94.59
2024-06-01,
2024-06-02,
2024-06-03,93.02
2024-06-04,91.45
2024-06-05,91.74
2024-06-06,90.82
2024-06-07,90.33
2024-06-08,
2024-06-09,
2024-06-10,91.74
2024-06-11,90.99
2024-06-12,91.95
2024-06-13,90.29
2024-06-14,88.87
2024-06-15,
2024-06-16,
2024-06-17,88.55
2024-06-18,90.91
2024-06-19,
2024-06-20,86.6
2024-06-21,89.09
2024-06-22,
2024-06-23,
2024-06-24,86.76
2024-06-25,86.73
2024-06-26,87.6
2024-06-27,87.0
2024-06-28,89.01
2024-06-29,
2024-06-30,
2024-07-01,89.1
2024-07-02,89.56
2024-07-03,91.04
2024-07-04,
2024-07-05,89.64
2024-07-06,
2024-07-07,
2024-07-08,90.73
2024-07-09,89.83
2024-07-10,93.37
2024-07-11,89.59
2024-07-12,90.09
2024-07-13,
2024-07-14,
2024-07-15,89.59
2024-07-16,92.23
2024-07-17,89.03
2024-07-18,89.03
2024-07-19,86.36
2024-07-20,
2024-07-21,
2024-07-22,90.59
2024-07-23,87.27
2024-07-24,84.22
2024-07-25,82.72
2024-07-26,84.47
2024-07-27,
2024-07-28,
2024-07-29,85.57
2024-07-30,84.19
2024-07-31,86.37
2024-08-01,82.08
2024-08-02,73.38
2024-08-03,
2024-08-04,
2024-08-05,71.85
2024-08-06,72.64
2024-08-07,70.04
2024-08-08,75.18
2024-08-09,74.02
2024-08-10,
2024-08-11,
2024-08-12,74.34
2024-08-13,76.99
2024-08-14,75.98
2024-08-15,79.09
2024-08-16,78.65
2024-08-17,
2024-08-18,
2024-08-19,79.8
2024-08-20,78.1
2024-08-21,80.56
2024-08-22,78.04
2024-08-23,80.01
2024-08-24,
2024-08-25,
2024-08-26,78.55
2024-08-27,79.17
2024-08-28,77.67
2024-08-29,79.21
2024-08-30,80.37
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,74.73
2024-09-04,75.21
2024-09-05,75.08
2024-09-06,72.47
2024-09-07,
2024-09-08,
2024-09-09,73.77
2024-09-10,73.55
2024-09-11,75.76
2024-09-12,74.42
2024-09-13,75.93
2024-09-14,
2024-09-15,
2024-09-16,75.32
2024-09-17,75.32
2024-09-18,74.69
2024-09-19,77.11
2024-09-20,75.33
2024-09-21,
2024-09-22,
2024-09-23,75.38
2024-09-24,75.81
2024-09-25,74.45
2024-09-26,78.56
2024-09-27,78.83
2024-09-28,
2024-09-29,
2024-09-30,78.54
2024-10-01,75.8
2024-10-02,76.51
2024-10-03,75.64
2024-10-04,75.99
2024-10-05,
2024-10-06,
2024-10-07,74.78
2024-10-08,75.62
2024-10-09,76.48
2024-10-10,75.65
2024-10-11,76.28
2024-10-12,
2024-10-13,
2024-10-14,77.27
2024-10-15,73.59
2024-10-16,74.23
2024-10-17,74.91
2024-10-18,75.65
2024-10-19,
2024-10-20,
2024-10-21,73.54
2024-10-22,73.78
2024-10-23,73.63
2024-10-24,74.21
2024-10-25,74.63
2024-10-26,
2024-10-27,
2024-10-28,75.52
2024-10-29,77.33
2024-10-30,73.93
2024-10-31,71.77
2024-11-01,73.18
2024-11-02,
2024-11-03,
2024-11-04,72.85
2024-11-05,73.45
2024-11-06,72.14
2024-11-07,72.72
2024-11-08,71.28
2024-11-09,
2024-11-10,
2024-11-11,68.36
2024-11-12,65.83
2024-11-13,65.14
2024-11-14,64.17
2024-11-15,61.49
2024-11-16,
2024-11-17,
2024-11-18,63.83
2024-11-19,63.46
2024-11-20,63.7
2024-11-21,65.06
2024-11-22,65.68
2024-11-23,
