Date,Close
2024-01-01,
2024-01-02,376.67
2024-01-03,370.18
2024-01-04,369.45
2024-01-05,366.69
2024-01-06,
2024-01-07,
2024-01-08,370.64
2024-01-09,368.05
2024-01-10,371.52
2024-01-11,371.73
2024-01-12,374.68
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,376.59
2024-01-17,376.15
2024-01-18,378.04
2024-01-19,381.63
2024-01-20,
2024-01-21,
2024-01-22,383.56
2024-01-23,384.57
2024-01-24,384.69
2024-01-25,387.31
2024-01-26,384.05
2024-01-27,
2024-01-28,
2024-01-29,386.0
2024-01-30,391.17
2024-01-31,386.76
2024-02-01,397.12
2024-02-02,394.22
2024-02-03,
2024-02-04,
2024-02-05,391.65
2024-02-06,392.69
2024-02-07,399.4
2024-02-08,392.64
2024-02-09,399.71
2024-02-10,
2024-02-11,
2024-02-12,395.69
2024-02-13,364.26
2024-02-14,361.55
2024-02-15,368.21
2024-02-16,365.77
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,370.27
2024-02-21,370.8
2024-02-22,377.61
2024-02-23,381.18
2024-02-24,
2024-02-25,
2024-02-26,375.85
2024-02-27,373.43
2024-02-28,375.6
2024-02-29,375.16
2024-03-01,377.75
2024-03-02,
2024-03-03,
2024-03-04,378.21
2024-03-05,378.21
2024-03-06,384.66
2024-03-07,387.18
2024-03-08,382.66
2024-03-09,
2024-03-10,
2024-03-11,380.53
2024-03-12,384.56
2024-03-13,384.65
2024-03-14,379.11
2024-03-15,379.85
2024-03-16,
2024-03-17,
2024-03-18,379.77
2024-03-19,382.85
2024-03-20,385.83
2024-03-21,391.18
2024-03-22,383.29
2024-03-23,
2024-03-24,
2024-03-25,382.23
2024-03-26,386.53
2024-03-27,385.86
2024-03-28,388.62
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,389.47
2024-04-02,386.81
2024-04-03,388.03
2024-04-04,387.17
2024-04-05,388.06
2024-04-06,
2024-04-07,
2024-04-08,391.62
2024-04-09,393.42
2024-04-10,380.14
2024-04-11,379.24
2024-04-12,372.93
2024-04-13,
2024-04-14,
2024-04-15,369.35
2024-04-16,366.57
2024-04-17,371.2
2024-04-18,370.39
2024-04-19,370.46
2024-04-20,
2024-04-21,
2024-04-22,375.0
2024-04-23,377.88
2024-04-24,376.93
2024-04-25,370.97
2024-04-26,371.91
2024-04-27,
2024-04-28,
2024-04-29,370.41
2024-04-30,366.17
2024-05-01,368.7
2024-05-02,372.17
2024-05-03,376.29
2024-05-04,
2024-05-05,
2024-05-06,383.35
2024-05-07,389.55
2024-05-08,391.49
2024-05-09,397.02
2024-05-10,395.86
2024-05-11,
2024-05-12,
2024-05-13,393.02
2024-05-14,397.59
2024-05-15,405.3
2024-05-16,408.24
2024-05-17,410.12
2024-05-18,
2024-05-19,
2024-05-20,408.79
2024-05-21,409.16
2024-05-22,411.28
2024-05-23,403.29
2024-05-24,406.83
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,402.08
2024-05-29,396.21
2024-05-30,391.87
2024-05-31,393.35
2024-06-01,
2024-06-02,
2024-06-03,397.97
2024-06-04,402.77
2024-06-05,406.35
2024-06-06,403.09
2024-06-07,400.0
2024-06-08,
2024-06-09,
2024-06-10,398.17
2024-06-11,399.62
2024-06-12,408.28
2024-06-13,406.85
2024-06-14,404.38
2024-06-15,
2024-06-16,
2024-06-17,408.53
2024-06-18,416.23
2024-06-19,
2024-06-20,418.83
2024-06-21,418.02
2024-06-22,
2024-06-23,
2024-06-24,421.74
2024-06-25,423.61
2024-06-26,415.81
2024-06-27,415.55
2024-06-28,417.07
2024-06-29,
2024-06-30,
2024-07-01,417.62
2024-07-02,422.1
2024-07-03,422.08
2024-07-04,
2024-07-05,428.29
2024-07-06,
2024-07-07,
2024-07-08,428.53
2024-07-09,431.95
2024-07-10,433.28
2024-07-11,439.18
2024-07-12,441.89
2024-07-13,
2024-07-14,
2024-07-15,442.6
2024-07-16,448.21
2024-07-17,451.87
2024-07-18,444.71
2024-07-19,438.08
2024-07-20,
2024-07-21,
2024-07-22,446.23
2024-07-23,447.74
2024-07-24,429.83
2024-07-25,433.2
2024-07-26,444.63
2024-07-27,
2024-07-28,
2024-07-29,446.03
2024-07-30,453.86
2024-07-31,452.29
2024-08-01,456.65
2024-08-02,456.37
2024-08-03,
2024-08-04,
2024-08-05,436.13
2024-08-06,444.9
2024-08-07,446.91
2024-08-08,455.56
2024-08-09,460.67
2024-08-10,
2024-08-11,
2024-08-12,456.36
2024-08-13,460.21
2024-08-14,461.87
2024-08-15,462.84
2024-08-16,463.28
2024-08-17,
2024-08-18,
2024-08-19,466.62
2024-08-20,470.05
2024-08-21,471.97
2024-08-22,476.46
2024-08-23,475.85
2024-08-24,
2024-08-25,
2024-08-26,476.28
2024-08-27,480.61
2024-08-28,478.98
2024-08-29,479.5
2024-08-30,484.15
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,478.42
2024-09-04,480.92
2024-09-05,480.29
2024-09-06,471.94
2024-09-07,
2024-09-08,
2024-09-09,478.7
2024-09-10,480.57
2024-09-11,475.06
2024-09-12,475.22
2024-09-13,473.45
2024-09-14,
2024-09-15,
2024-09-16,481.27
2024-09-17,479.17
2024-09-18,481.1
2024-09-19,486.5
2024-09-20,491.02
2024-09-21,
2024-09-22,
2024-09-23,475.47
2024-09-24,475.85
2024-09-25,472.64
2024-09-26,470.54
2024-09-27,470.0
2024-09-28,
2024-09-29,
2024-09-30,471.09
2024-10-01,467.93
2024-10-02,466.73
2024-10-03,464.19
2024-10-04,457.14
2024-10-05,
2024-10-06,
2024-10-07,454.15
2024-10-08,467.53
2024-10-09,469.56
2024-10-10,465.94
2024-10-11,471.61
2024-10-12,
2024-10-13,
2024-10-14,475.91
2024-10-15,483.59
2024-10-16,486.43
2024-10-17,482.53
2024-10-18,484.86
2024-10-19,
2024-10-20,
2024-10-21,483.37
2024-10-22,464.28
2024-10-23,465.41
2024-10-24,463.5
2024-10-25,459.39
2024-10-26,
2024-10-27,
2024-10-28,458.74
2024-10-29,457.11
2024-10-30,455.58
2024-10-31,450.7
2024-11-01,453.0
2024-11-02,
2024-11-03,
2024-11-04,455.03
2024-11-05,458.8
2024-11-06,457.74
2024-11-07,462.14
2024-11-08,473.66
2024-11-09,
2024-11-10,
2024-11-11,474.93
2024-11-12,471.98
2024-11-13,475.89
2024-11-14,478.54
2024-11-15,469.82
2024-11-16,
2024-11-17,
2024-11-18,468.46
2024-11-19,465.33
2024-11-20,471.09
2024-11-21,474.4
2024-11-22,477.97
2024-11-23,
2024-11-24,
2024-11-25,491.26
2024-11-26,496.86
2024-11-27,498.08
2024-11-28,
2024-11-29,497.18
2024-11-30,
2024-12-01,
2024-12-02,494.63
2024-12-03,490.93
2024-12-04,495.41
2024-12-05,488.41
2024-12-06,491.99
2024-12-07,
2024-12-08,
2024-12-09,487.77
2024-12-10,488.71
2024-12-11,494.74
2024-12-12,491.97
2024-12-13,486.28
2024-12-14,
2024-12-15,
2024-12-16,486.46
2024-12-17,482.91
2024-12-18,467.46
2024-12-19,459.5
2024-12-20,463.74
2024-12-21,
2024-12-22,
2024-12-23,471.11
2024-12-24,477.69
2024-12-25,
2024-12-26,478.5
2024-12-27,474.09
2024-12-28,
2024-12-29,
2024-12-30,470.88
2024-12-31,470.72
2025-01-01,
2025-01-02,470.19
2025-01-03,476.47
2025-01-04,
2025-01-05,
2025-01-06,470.49
2025-01-07,461.4
2025-01-08,469.46
2025-01-09,
2025-01-10,450.28
2025-01-11,
2025-01-12,
2025-01-13,455.32
2025-01-14,459.99
2025-01-15,468.71
2025-01-16,476.32
2025-01-17,473.19
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,482.04
2025-01-22,481.92
