Date,Close
2024-01-01,
2024-01-02,34.26
2024-01-03,33.89
2024-01-04,33.93
2024-01-05,33.95
2024-01-06,
2024-01-07,
2024-01-08,34.24
2024-01-09,34.09
2024-01-10,34.22
2024-01-11,34.19
2024-01-12,34.24
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,34.1
2024-01-17,33.87
2024-01-18,34.13
2024-01-19,34.46
2024-01-20,
2024-01-21,
2024-01-22,34.72
2024-01-23,34.69
2024-01-24,34.52
2024-01-25,34.74
2024-01-26,34.81
2024-01-27,
2024-01-28,
2024-01-29,35.03
2024-01-30,35.2
2024-01-31,34.79
2024-02-01,35.11
2024-02-02,35.29
2024-02-03,
2024-02-04,
2024-02-05,34.97
2024-02-06,35.15
2024-02-07,35.44
2024-02-08,35.51
2024-02-09,35.65
2024-02-10,
2024-02-11,
2024-02-12,35.66
2024-02-13,35.06
2024-02-14,35.65
2024-02-15,35.93
2024-02-16,35.71
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,35.56
2024-02-21,35.67
2024-02-22,36.12
2024-02-23,36.27
2024-02-24,
2024-02-25,
2024-02-26,36.21
2024-02-27,36.25
2024-02-28,36.34
2024-02-29,36.4
2024-03-01,36.58
2024-03-02,
2024-03-03,
2024-03-04,36.56
2024-03-05,36.41
2024-03-06,36.68
2024-03-07,37.06
2024-03-08,36.78
2024-03-09,
2024-03-10,
2024-03-11,36.76
2024-03-12,36.97
2024-03-13,37.02
2024-03-14,36.74
2024-03-15,36.78
2024-03-16,
2024-03-17,
2024-03-18,36.83
2024-03-19,37.01
2024-03-20,37.39
2024-03-21,37.73
2024-03-22,37.52
2024-03-23,
2024-03-24,
2024-03-25,37.3
2024-03-26,37.22
2024-03-27,37.66
2024-03-28,37.74
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,37.47
2024-04-02,37.05
2024-04-03,37.08
2024-04-04,36.72
2024-04-05,37.15
2024-04-06,
2024-04-07,
2024-04-08,37.19
2024-04-09,37.21
2024-04-10,36.55
2024-04-11,36.57
2024-04-12,36.27
2024-04-13,
2024-04-14,
2024-04-15,36.13
2024-04-16,36.03
2024-04-17,35.98
2024-04-18,35.92
2024-04-19,35.96
2024-04-20,
2024-04-21,
2024-04-22,36.19
2024-04-23,36.46
2024-04-24,36.19
2024-04-25,36.07
2024-04-26,36.02
2024-04-27,
2024-04-28,
2024-04-29,36.09
2024-04-30,35.52
2024-05-01,35.69
2024-05-02,35.83
2024-05-03,36.14
2024-05-04,
2024-05-05,
2024-05-06,36.59
2024-05-07,36.76
2024-05-08,36.73
2024-05-09,37.0
2024-05-10,37.07
2024-05-11,
2024-05-12,
2024-05-13,36.81
2024-05-14,36.94
2024-05-15,37.09
2024-05-16,36.9
2024-05-17,37.01
2024-05-18,
2024-05-19,
2024-05-20,36.88
2024-05-21,36.87
2024-05-22,36.69
2024-05-23,36.26
2024-05-24,36.51
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,36.17
2024-05-29,35.72
2024-05-30,36.09
2024-05-31,36.62
2024-06-01,
2024-06-02,
2024-06-03,36.43
2024-06-04,36.44
2024-06-05,36.82
2024-06-06,36.65
2024-06-07,36.41
2024-06-08,
2024-06-09,
2024-06-10,36.4
2024-06-11,36.19
2024-06-12,36.43
2024-06-13,36.28
2024-06-14,36.22
2024-06-15,
2024-06-16,
2024-06-17,36.54
2024-06-18,36.55
2024-06-19,
2024-06-20,36.45
2024-06-21,36.49
2024-06-22,
2024-06-23,
2024-06-24,36.8
2024-06-25,36.53
2024-06-26,36.45
2024-06-27,36.53
2024-06-28,36.51
2024-06-29,
2024-06-30,
2024-07-01,36.14
2024-07-02,36.42
2024-07-03,36.5
2024-07-04,
2024-07-05,36.45
2024-07-06,
2024-07-07,
2024-07-08,36.5
2024-07-09,36.42
2024-07-10,36.81
2024-07-11,37.31
2024-07-12,37.6
2024-07-13,
2024-07-14,
