Date,Close
2024-01-01,
2024-01-02,1529.16
2024-01-03,1500.0
2024-01-04,1519.38
2024-01-05,1538.83
2024-01-06,
2024-01-07,
2024-01-08,1575.6
2024-01-09,1573.34
2024-01-10,1598.16
2024-01-11,1591.68
2024-01-12,1658.58
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,1672.67
2024-01-17,1635.28
2024-01-18,1661.98
2024-01-19,1726.19
2024-01-20,
2024-01-21,
2024-01-22,1756.3
2024-01-23,1759.91
2024-01-24,1762.7
2024-01-25,1738.8
2024-01-26,1795.8
2024-01-27,
2024-01-28,
2024-01-29,1777.43
2024-01-30,1735.3
2024-01-31,1711.81
2024-02-01,1748.28
2024-02-02,1772.9
2024-02-03,
2024-02-04,
2024-02-05,1774.75
2024-02-06,1710.39
2024-02-07,1713.87
2024-02-08,1732.83
2024-02-09,1742.26
2024-02-10,
2024-02-11,
2024-02-12,1733.23
2024-02-13,1706.24
2024-02-14,1746.37
2024-02-15,1771.83
2024-02-16,1768.78
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,1740.01
2024-02-21,1737.77
2024-02-22,1817.98
2024-02-23,1629.32
2024-02-24,
2024-02-25,
2024-02-26,1610.13
2024-02-27,1607.44
2024-02-28,1579.49
2024-02-29,1595.3
2024-03-01,1612.75
2024-03-02,
2024-03-03,
2024-03-04,1560.08
2024-03-05,1527.29
2024-03-06,1525.59
2024-03-07,1529.94
2024-03-08,1512.5
2024-03-09,
2024-03-10,
2024-03-11,1547.32
2024-03-12,1545.56
2024-03-13,1550.62
2024-03-14,1561.27
2024-03-15,1499.51
2024-03-16,
2024-03-17,
2024-03-18,1509.05
2024-03-19,1519.44
2024-03-20,1528.84
2024-03-21,1555.69
2024-03-22,1571.99
2024-03-23,
2024-03-24,
2024-03-25,1550.07
2024-03-26,1537.46
2024-03-27,1522.65
2024-03-28,1511.96
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,1528.95
2024-04-02,1512.51
2024-04-03,1504.98
2024-04-04,1487.81
2024-04-05,1501.72
2024-04-06,
2024-04-07,
2024-04-08,1488.58
2024-04-09,1495.01
2024-04-10,1478.0
2024-04-11,1507.56
2024-04-12,1444.14
2024-04-13,
2024-04-14,
2024-04-15,1415.88
2024-04-16,1397.88
2024-04-17,1397.86
2024-04-18,1370.25
2024-04-19,1356.43
2024-04-20,
2024-04-21,
2024-04-22,1368.23
2024-04-23,1395.0
2024-04-24,1370.0
2024-04-25,1363.83
2024-04-26,1406.0
2024-04-27,
2024-04-28,
2024-04-29,1438.36
2024-04-30,1458.7
2024-05-01,1456.51
2024-05-02,1505.99
2024-05-03,1630.56
2024-05-04,
2024-05-05,
2024-05-06,1653.85
2024-05-07,1688.69
2024-05-08,1716.78
2024-05-09,1695.4
2024-05-10,1693.97
2024-05-11,
2024-05-12,
2024-05-13,1677.34
2024-05-14,1683.91
2024-05-15,1718.5
2024-05-16,1739.15
2024-05-17,1749.17
2024-05-18,
2024-05-19,
2024-05-20,1787.73
2024-05-21,1772.07
2024-05-22,1736.78
2024-05-23,1707.4
2024-05-24,1693.57
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,1708.0
2024-05-29,1709.86
2024-05-30,1699.95
2024-05-31,1725.58
2024-06-01,
2024-06-02,
2024-06-03,1693.14
2024-06-04,1630.65
2024-06-05,1604.9
2024-06-06,1621.09
2024-06-07,1600.16
2024-06-08,
2024-06-09,
2024-06-10,1601.88
2024-06-11,1580.0
2024-06-12,1599.34
2024-06-13,1580.53
2024-06-14,1582.14
2024-06-15,
2024-06-16,
2024-06-17,1559.23
2024-06-18,1573.4
2024-06-19,
2024-06-20,1585.03
2024-06-21,1600.05
2024-06-22,
