Date,Close
2020-01-01,
2020-01-02,8.9
2020-01-03,8.88
2020-01-04,
2020-01-05,
2020-01-06,8.86
2020-01-07,8.86
2020-01-08,8.83
2020-01-09,8.83
2020-01-10,8.81
2020-01-11,
2020-01-12,
2020-01-13,8.87
2020-01-14,8.89
2020-01-15,8.9
2020-01-16,8.88
2020-01-17,8.86
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,8.83
2020-01-22,8.9
2020-01-23,8.91
2020-01-24,8.87
2020-01-25,
2020-01-26,
2020-01-27,8.76
2020-01-28,8.86
2020-01-29,8.87
2020-01-30,8.86
2020-01-31,8.72
2020-02-01,
2020-02-02,
2020-02-03,8.78
2020-02-04,8.79
2020-02-05,8.76
2020-02-06,8.64
2020-02-07,8.6
2020-02-08,
2020-02-09,
2020-02-10,8.6
2020-02-11,8.61
2020-02-12,8.58
2020-02-13,8.71
2020-02-14,8.67
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,8.72
2020-02-19,8.56
2020-02-20,8.7
2020-02-21,8.68
2020-02-22,
2020-02-23,
2020-02-24,8.56
2020-02-25,8.23
2020-02-26,8.28
2020-02-27,7.9
2020-02-28,7.7
2020-02-29,
2020-03-01,
2020-03-02,7.98
2020-03-03,7.92
2020-03-04,8.07
2020-03-05,7.91
2020-03-06,7.75
2020-03-07,
2020-03-08,
2020-03-09,6.6
2020-03-10,6.83
2020-03-11,6.36
2020-03-12,5.45
2020-03-13,5.65
2020-03-14,
2020-03-15,
2020-03-16,5.05
2020-03-17,5.11
2020-03-18,4.59
2020-03-19,4.13
2020-03-20,4.12
2020-03-21,
2020-03-22,
2020-03-23,3.3
2020-03-24,3.45
2020-03-25,4.06
2020-03-26,4.62
2020-03-27,4.13
2020-03-28,
2020-03-29,
2020-03-30,3.84
2020-03-31,3.59
2020-04-01,3.19
2020-04-02,3.21
2020-04-03,2.88
2020-04-04,
2020-04-05,
2020-04-06,3.18
2020-04-07,3.41
2020-04-08,3.9
2020-04-09,5.09
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,4.65
2020-04-14,4.6
2020-04-15,4.3
2020-04-16,4.09
2020-04-17,4.19
2020-04-18,
2020-04-19,
2020-04-20,4.01
2020-04-21,3.92
2020-04-22,3.88
2020-04-23,3.98
2020-04-24,4.28
2020-04-25,
2020-04-26,
2020-04-27,4.63
2020-04-28,4.44
2020-04-29,4.85
2020-04-30,4.68
2020-05-01,4.54
2020-05-02,
2020-05-03,
2020-05-04,4.3
2020-05-05,4.23
2020-05-06,4.41
2020-05-07,4.54
2020-05-08,4.66
2020-05-09,
2020-05-10,
2020-05-11,4.59
2020-05-12,4.4
2020-05-13,4.26
2020-05-14,4.33
2020-05-15,4.36
2020-05-16,
2020-05-17,
2020-05-18,4.7
2020-05-19,4.65
2020-05-20,4.86
2020-05-21,5.29
2020-05-22,5.03
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,5.28
2020-05-27,5.48
2020-05-28,5.36
2020-05-29,5.37
2020-05-30,
2020-05-31,
2020-06-01,5.51
2020-06-02,5.53
2020-06-03,5.74
2020-06-04,5.82
2020-06-05,6.06
2020-06-06,
2020-06-07,
2020-06-08,6.32
2020-06-09,6.22
2020-06-10,5.95
2020-06-11,5.41
2020-06-12,5.75
2020-06-13,
2020-06-14,
2020-06-15,5.9
2020-06-16,6.06
2020-06-17,5.8
2020-06-18,5.68
2020-06-19,5.59
2020-06-20,
2020-06-21,
2020-06-22,5.42
2020-06-23,5.4
2020-06-24,5.25
2020-06-25,5.3
2020-06-26,5.13
2020-06-27,
2020-06-28,
2020-06-29,5.23
2020-06-30,5.29
2020-07-01,5.22
2020-07-02,5.27
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,5.33
2020-07-07,5.09
2020-07-08,5.18
2020-07-09,4.99
2020-07-10,5.09
2020-07-11,
2020-07-12,
2020-07-13,5.09
2020-07-14,5.15
2020-07-15,5.3
2020-07-16,5.33
2020-07-17,5.28
2020-07-18,
2020-07-19,
2020-07-20,5.18
2020-07-21,5.28
2020-07-22,5.34
2020-07-23,5.38
2020-07-24,5.29
2020-07-25,
2020-07-26,
2020-07-27,5.21
2020-07-28,5.28
2020-07-29,5.37
2020-07-30,5.23
2020-07-31,5.24
2020-08-01,
2020-08-02,
2020-08-03,5.25
2020-08-04,5.33
2020-08-05,5.46
2020-08-06,5.39
2020-08-07,5.32
2020-08-08,
2020-08-09,
2020-08-10,5.49
2020-08-11,5.46
2020-08-12,5.42
2020-08-13,5.37
2020-08-14,5.41
2020-08-15,
2020-08-16,
2020-08-17,5.31
2020-08-18,5.16
2020-08-19,5.1
2020-08-20,5.08
2020-08-21,4.99
