Date,Close
2020-01-01,
2020-01-02,46.9
2020-01-03,45.75
2020-01-04,
2020-01-05,
2020-01-06,45.44
2020-01-07,45.87
2020-01-08,45.69
2020-01-09,45.61
2020-01-10,44.98
2020-01-11,
2020-01-12,
2020-01-13,44.83
2020-01-14,45.17
2020-01-15,44.94
2020-01-16,45.74
2020-01-17,46.33
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,45.42
2020-01-22,44.98
2020-01-23,45.46
2020-01-24,44.69
2020-01-25,
2020-01-26,
2020-01-27,43.62
2020-01-28,43.9
2020-01-29,43.62
2020-01-30,43.57
2020-01-31,42.82
2020-02-01,
2020-02-02,
2020-02-03,42.86
2020-02-04,43.59
2020-02-05,44.29
2020-02-06,43.63
2020-02-07,42.95
2020-02-08,
2020-02-09,
2020-02-10,42.93
2020-02-11,44.0
2020-02-12,44.58
2020-02-13,44.0
2020-02-14,43.28
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,42.93
2020-02-19,43.92
2020-02-20,44.33
2020-02-21,43.55
2020-02-22,
2020-02-23,
2020-02-24,41.97
2020-02-25,39.83
2020-02-26,39.57
2020-02-27,38.46
2020-02-28,38.71
2020-02-29,
2020-03-01,
2020-03-02,39.93
2020-03-03,39.56
2020-03-04,40.48
2020-03-05,39.1
2020-03-06,38.23
2020-03-07,
2020-03-08,
2020-03-09,34.09
2020-03-10,35.39
2020-03-11,34.61
2020-03-12,30.35
2020-03-13,32.26
2020-03-14,
2020-03-15,
2020-03-16,27.53
2020-03-17,27.05
2020-03-18,21.65
2020-03-19,23.17
2020-03-20,22.03
2020-03-21,
2020-03-22,
2020-03-23,20.63
2020-03-24,24.83
2020-03-25,26.04
2020-03-26,27.34
2020-03-27,27.27
2020-03-28,
2020-03-29,
2020-03-30,27.13
2020-03-31,27.19
2020-04-01,25.58
2020-04-02,25.22
2020-04-03,24.98
2020-04-04,
2020-04-05,
2020-04-06,27.63
2020-04-07,28.45
2020-04-08,29.8
2020-04-09,31.27
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,30.96
2020-04-14,30.83
2020-04-15,29.63
2020-04-16,29.19
2020-04-17,30.88
2020-04-18,
2020-04-19,
2020-04-20,30.31
2020-04-21,29.51
2020-04-22,29.78
2020-04-23,29.37
2020-04-24,29.98
2020-04-25,
2020-04-26,
2020-04-27,30.64
2020-04-28,31.85
2020-04-29,34.37
2020-04-30,33.25
2020-05-01,31.55
2020-05-02,
2020-05-03,
2020-05-04,31.11
2020-05-05,30.88
2020-05-06,31.05
2020-05-07,32.59
2020-05-08,33.81
2020-05-09,
2020-05-10,
2020-05-11,33.14
2020-05-12,31.98
2020-05-13,30.73
2020-05-14,31.37
2020-05-15,31.28
2020-05-16,
2020-05-17,
2020-05-18,33.89
2020-05-19,32.59
2020-05-20,33.79
2020-05-21,33.82
2020-05-22,33.99
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,35.11
2020-05-27,36.87
2020-05-28,36.28
2020-05-29,36.3
2020-05-30,
2020-05-31,
2020-06-01,37.67
2020-06-02,39.45
2020-06-03,39.03
2020-06-04,38.83
2020-06-05,40.29
2020-06-06,
2020-06-07,
2020-06-08,41.09
2020-06-09,40.31
2020-06-10,39.72
2020-06-11,37.01
2020-06-12,38.0
2020-06-13,
2020-06-14,
2020-06-15,38.13
2020-06-16,38.44
2020-06-17,38.27
2020-06-18,37.76
2020-06-19,37.9
2020-06-20,
2020-06-21,
2020-06-22,37.77
2020-06-23,37.82
2020-06-24,37.09
2020-06-25,37.64
2020-06-26,36.85
2020-06-27,
2020-06-28,
2020-06-29,37.71
2020-06-30,38.32
2020-07-01,37.72
2020-07-02,38.52
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,39.24
2020-07-07,38.86
2020-07-08,38.75
2020-07-09,38.31
2020-07-10,39.46
2020-07-11,
2020-07-12,
2020-07-13,39.37
2020-07-14,40.09
2020-07-15,40.76
2020-07-16,40.8
2020-07-17,41.03
2020-07-18,
2020-07-19,
2020-07-20,40.94
2020-07-21,41.19
2020-07-22,41.57
2020-07-23,41.55
2020-07-24,41.09
2020-07-25,
2020-07-26,
2020-07-27,41.87
2020-07-28,41.04
2020-07-29,41.34
2020-07-30,40.97
2020-07-31,39.73
