Date,Close
2020-01-01,
2020-01-02,19.73
2020-01-03,19.59
2020-01-04,
2020-01-05,
2020-01-06,19.64
2020-01-07,19.61
2020-01-08,19.72
2020-01-09,19.86
2020-01-10,19.8
2020-01-11,
2020-01-12,
2020-01-13,19.92
2020-01-14,19.92
2020-01-15,19.94
2020-01-16,20.1
2020-01-17,20.18
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,20.11
2020-01-22,20.11
2020-01-23,20.12
2020-01-24,19.88
2020-01-25,
2020-01-26,
2020-01-27,19.53
2020-01-28,19.77
2020-01-29,19.72
2020-01-30,19.76
2020-01-31,19.37
2020-02-01,
2020-02-02,
2020-02-03,19.51
2020-02-04,19.83
2020-02-05,20.11
2020-02-06,20.17
2020-02-07,20.03
2020-02-08,
2020-02-09,
2020-02-10,20.16
2020-02-11,20.22
2020-02-12,20.39
2020-02-13,20.33
2020-02-14,20.33
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,20.28
2020-02-19,20.39
2020-02-20,20.3
2020-02-21,20.07
2020-02-22,
2020-02-23,
2020-02-24,19.39
2020-02-25,18.8
2020-02-26,18.72
2020-02-27,17.89
2020-02-28,17.74
2020-02-29,
2020-03-01,
2020-03-02,18.57
2020-03-03,18.02
2020-03-04,18.82
2020-03-05,18.19
2020-03-06,17.87
2020-03-07,
2020-03-08,
2020-03-09,16.55
2020-03-10,17.37
2020-03-11,16.51
2020-03-12,14.9
2020-03-13,16.29
2020-03-14,
2020-03-15,
2020-03-16,14.27
2020-03-17,15.06
2020-03-18,14.17
2020-03-19,14.34
2020-03-20,13.74
2020-03-21,
2020-03-22,
2020-03-23,13.44
2020-03-24,14.62
2020-03-25,14.78
2020-03-26,15.72
2020-03-27,15.19
2020-03-28,
2020-03-29,
2020-03-30,15.75
2020-03-31,15.47
2020-04-01,14.83
2020-04-02,15.1
2020-04-03,14.88
2020-04-04,
2020-04-05,
2020-04-06,15.95
2020-04-07,15.91
2020-04-08,16.46
2020-04-09,16.63
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,16.52
2020-04-14,17.05
2020-04-15,16.7
2020-04-16,16.88
2020-04-17,17.27
2020-04-18,
2020-04-19,
2020-04-20,16.96
2020-04-21,16.43
2020-04-22,16.82
2020-04-23,16.82
2020-04-24,17.07
2020-04-25,
2020-04-26,
2020-04-27,17.29
2020-04-28,17.19
2020-04-29,17.67
2020-04-30,17.53
2020-05-01,17.05
2020-05-02,
2020-05-03,
2020-05-04,17.15
2020-05-05,17.33
2020-05-06,17.23
2020-05-07,17.42
2020-05-08,17.74
2020-05-09,
2020-05-10,
2020-05-11,17.77
2020-05-12,17.4
2020-05-13,17.11
2020-05-14,17.3
2020-05-15,17.38
2020-05-16,
2020-05-17,
2020-05-18,17.89
2020-05-19,17.74
2020-05-20,18.01
2020-05-21,17.86
2020-05-22,17.9
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,18.05
2020-05-27,18.32
2020-05-28,18.26
2020-05-29,18.35
2020-05-30,
2020-05-31,
2020-06-01,18.43
2020-06-02,18.57
2020-06-03,18.77
2020-06-04,18.71
2020-06-05,19.11
2020-06-06,
2020-06-07,
2020-06-08,19.33
2020-06-09,19.21
2020-06-10,19.12
2020-06-11,18.03
2020-06-12,18.25
2020-06-13,
2020-06-14,
2020-06-15,18.41
2020-06-16,18.76
2020-06-17,18.67
2020-06-18,18.67
2020-06-19,18.65
2020-06-20,
2020-06-21,
2020-06-22,18.79
2020-06-23,18.86
2020-06-24,18.39
2020-06-25,18.59
2020-06-26,18.19
2020-06-27,
2020-06-28,
2020-06-29,18.45
2020-06-30,18.73
2020-07-01,18.77
2020-07-02,18.86
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,19.13
2020-07-07,18.93
2020-07-08,19.09
2020-07-09,18.99
2020-07-10,19.17
2020-07-11,
2020-07-12,
2020-07-13,18.98
2020-07-14,19.23
2020-07-15,19.42
2020-07-16,19.34
2020-07-17,19.39
2020-07-18,
2020-07-19,
2020-07-20,19.58
2020-07-21,19.59
2020-07-22,19.72
2020-07-23,19.45
2020-07-24,19.3
2020-07-25,
2020-07-26,
2020-07-27,19.47
2020-07-28,19.3
2020-07-29,19.56
2020-07-30,19.54
2020-07-31,19.72
2020-08-01,
2020-08-02,
2020-08-03,19.93
2020-08-04,19.95
2020-08-05,20.06
2020-08-06,20.17
2020-08-07,20.18
2020-08-08,
2020-08-09,
2020-08-10,20.21
2020-08-11,20.03
2020-08-12,20.34
2020-08-13,20.29
2020-08-14,20.32
2020-08-15,
2020-08-16,
2020-08-17,20.42
2020-08-18,20.45
2020-08-19,20.38
2020-08-20,20.45
2020-08-21,20.52
2020-08-22,
2020-08-23,
2020-08-24,20.7
2020-08-25,20.76
2020-08-26,20.95
2020-08-27,20.96
2020-08-28,21.09
2020-08-29,
2020-08-30,
2020-08-31,21.05
2020-09-01,21.18
2020-09-02,21.5
2020-09-03,20.69
2020-09-04,20.48
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,19.86
2020-09-09,20.27
2020-09-10,19.9
2020-09-11,19.9
2020-09-12,
2020-09-13,
2020-09-14,20.17
2020-09-15,20.27
2020-09-16,20.16
2020-09-17,19.98
2020-09-18,19.79
2020-09-19,
2020-09-20,
2020-09-21,19.57
2020-09-22,19.79
2020-09-23,19.29
2020-09-24,19.36
2020-09-25,19.67
2020-09-26,
2020-09-27,
2020-09-28,19.99
2020-09-29,19.91
2020-09-30,20.1
2020-10-01,20.22
2020-10-02,20.05
2020-10-03,
2020-10-04,
2020-10-05,20.45
2020-10-06,20.12
2020-10-07,20.46
2020-10-08,20.61
2020-10-09,20.78
2020-10-10,
2020-10-11,
2020-10-12,21.12
2020-10-13,21.03
2020-10-14,20.91
2020-10-15,20.92
2020-10-16,20.9
2020-10-17,
2020-10-18,
2020-10-19,20.54
2020-10-20,20.59
2020-10-21,20.53
2020-10-22,20.57
2020-10-23,20.63
2020-10-24,
2020-10-25,
2020-10-26,20.23
2020-10-27,20.17
2020-10-28,19.45
2020-10-29,19.66
2020-10-30,19.45
2020-10-31,
2020-11-01,
2020-11-02,19.67
2020-11-03,20.02
2020-11-04,20.55
2020-11-05,20.99
2020-11-06,20.94
2020-11-07,
2020-11-08,
2020-11-09,20.98
2020-11-10,20.94
2020-11-11,21.11
2020-11-12,20.93
2020-11-13,21.24
2020-11-14,
2020-11-15,
2020-11-16,21.51
2020-11-17,21.4
2020-11-18,21.17
2020-11-19,21.25
2020-11-20,21.1
2020-11-21,
2020-11-22,
2020-11-23,21.24
2020-11-24,21.58
2020-11-25,21.54
2020-11-26,
2020-11-27,21.59
2020-11-28,
2020-11-29,
2020-11-30,21.47
2020-12-01,21.76
2020-12-02,21.81
2020-12-03,21.81
2020-12-04,22.01
2020-12-05,
2020-12-06,
2020-12-07,21.95
2020-12-08,21.99
2020-12-09,21.81
2020-12-10,21.82
2020-12-11,21.73
2020-12-12,
2020-12-13,
2020-12-14,21.69
2020-12-15,21.98
2020-12-16,22.02
2020-12-17,22.17
2020-12-18,22.07
2020-12-19,
2020-12-20,
2020-12-21,22.02
2020-12-22,22.0
2020-12-23,22.05
2020-12-24,22.1
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,22.3
2020-12-29,22.22
2020-12-30,22.24
2020-12-31,22.37
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,22.1
2021-01-05,22.27
2021-01-06,22.48
2021-01-07,22.88
2021-01-08,22.96
2021-01-09,
2021-01-10,
2021-01-11,22.84
2021-01-12,22.91
2021-01-13,22.9
2021-01-14,22.89
2021-01-15,22.73
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,22.9
2021-01-20,23.2
2021-01-21,23.24
2021-01-22,23.21
2021-01-23,
2021-01-24,
2021-01-25,23.28
2021-01-26,23.24
2021-01-27,22.61
2021-01-28,22.84
2021-01-29,22.4
2021-01-30,
2021-01-31,
2021-02-01,22.76
2021-02-02,23.04
2021-02-03,23.04
2021-02-04,23.4
2021-02-05,23.45
2021-02-06,
2021-02-07,
2021-02-08,23.63
2021-02-09,23.59
2021-02-10,23.56
2021-02-11,23.6
2021-02-12,23.68
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,23.68
2021-02-17,23.65
2021-02-18,23.49
2021-02-19,23.56
2021-02-20,
2021-02-21,
2021-02-22,23.4
2021-02-23,23.4
2021-02-24,23.66
2021-02-25,23.09
2021-02-26,22.99
2021-02-27,
2021-02-28,
2021-03-01,23.54
2021-03-02,23.31
2021-03-03,23.07
2021-03-04,22.71
2021-03-05,23.12
2021-03-06,
2021-03-07,
2021-03-08,23.28
2021-03-09,23.48
2021-03-10,23.69
2021-03-11,23.82
2021-03-12,23.95
2021-03-13,
2021-03-14,
2021-03-15,24.02
2021-03-16,23.89
2021-03-17,23.88
2021-03-18,23.82
2021-03-19,23.69
2021-03-20,
2021-03-21,
2021-03-22,23.76
2021-03-23,23.7
2021-03-24,23.8
2021-03-25,23.99
2021-03-26,24.41
2021-03-27,
2021-03-28,
2021-03-29,24.35
2021-03-30,24.34
2021-03-31,24.33
2021-04-01,24.59
2021-04-02,
2021-04-03,
2021-04-04,
2021-04-05,24.87
2021-04-06,24.81
2021-04-07,24.75
2021-04-08,24.8
2021-04-09,25.07
2021-04-10,
2021-04-11,
2021-04-12,25.24
2021-04-13,25.24
2021-04-14,25.18
2021-04-15,25.46
2021-04-16,25.6
2021-04-17,
2021-04-18,
2021-04-19,25.46
2021-04-20,25.3
2021-04-21,25.54
2021-04-22,25.47
2021-04-23,25.74
2021-04-24,
2021-04-25,
2021-04-26,25.74
