Date,Close
2024-01-01,
2024-01-02,105.28
2024-01-03,100.93
2024-01-04,100.71
2024-01-05,103.88
2024-01-06,
2024-01-07,
2024-01-08,105.75
2024-01-09,105.47
2024-01-10,106.34
2024-01-11,104.46
2024-01-12,101.85
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,101.5
2024-01-17,99.76
2024-01-18,100.26
2024-01-19,99.93
2024-01-20,
2024-01-21,
2024-01-22,100.95
2024-01-23,97.96
2024-01-24,97.57
2024-01-25,99.57
2024-01-26,100.97
2024-01-27,
2024-01-28,
2024-01-29,103.44
2024-01-30,103.67
2024-01-31,104.25
2024-02-01,110.02
2024-02-02,108.93
2024-02-03,
2024-02-04,
2024-02-05,106.35
2024-02-06,106.81
2024-02-07,108.96
2024-02-08,109.61
2024-02-09,110.01
2024-02-10,
2024-02-11,
2024-02-12,117.24
2024-02-13,115.28
2024-02-14,116.69
2024-02-15,116.45
2024-02-16,115.42
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,114.07
2024-02-21,113.74
2024-02-22,113.93
2024-02-23,114.94
2024-02-24,
2024-02-25,
2024-02-26,113.88
2024-02-27,115.05
2024-02-28,116.11
2024-02-29,118.62
2024-03-01,121.41
2024-03-02,
2024-03-03,
2024-03-04,120.83
2024-03-05,118.91
2024-03-06,119.97
2024-03-07,121.56
2024-03-08,121.66
2024-03-09,
2024-03-10,
2024-03-11,120.34
2024-03-12,119.65
2024-03-13,121.56
2024-03-14,116.95
2024-03-15,117.83
2024-03-16,
2024-03-17,
2024-03-18,119.24
2024-03-19,120.89
2024-03-20,123.58
2024-03-21,126.18
2024-03-22,125.12
2024-03-23,
2024-03-24,
2024-03-25,125.65
2024-03-26,125.1
2024-03-27,128.92
2024-03-28,130.89
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,128.47
2024-04-02,125.13
2024-04-03,126.42
2024-04-04,122.11
2024-04-05,122.36
2024-04-06,
2024-04-07,
2024-04-08,123.29
2024-04-09,125.15
2024-04-10,119.67
2024-04-11,117.68
2024-04-12,113.17
2024-04-13,
2024-04-14,
2024-04-15,111.72
2024-04-16,109.49
2024-04-17,108.27
2024-04-18,108.08
2024-04-19,108.88
2024-04-20,
2024-04-21,
2024-04-22,109.95
2024-04-23,113.44
2024-04-24,111.4
2024-04-25,110.27
2024-04-26,115.45
2024-04-27,
2024-04-28,
2024-04-29,118.43
2024-04-30,115.32
2024-05-01,114.87
2024-05-02,115.62
2024-05-03,116.37
2024-05-04,
2024-05-05,
2024-05-06,118.04
2024-05-07,118.11
2024-05-08,118.22
2024-05-09,119.72
2024-05-10,119.81
2024-05-11,
2024-05-12,
2024-05-13,121.07
2024-05-14,123.02
2024-05-15,123.28
2024-05-16,120.87
2024-05-17,120.36
2024-05-18,
2024-05-19,
2024-05-20,118.92
2024-05-21,119.56
2024-05-22,117.41
2024-05-23,115.76
2024-05-24,116.43
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,115.76
2024-05-29,116.02
2024-05-30,118.61
2024-05-31,121.93
2024-06-01,
2024-06-02,
2024-06-03,121.11
2024-06-04,115.66
2024-06-05,117.93
2024-06-06,115.97
2024-06-07,113.43
2024-06-08,
2024-06-09,
2024-06-10,118.08
2024-06-11,113.74
