Date,Close
2020-01-01,
2020-01-02,24.16
2020-01-03,23.98
2020-01-04,
2020-01-05,
2020-01-06,24.02
2020-01-07,23.97
2020-01-08,24.12
2020-01-09,24.3
2020-01-10,24.26
2020-01-11,
2020-01-12,
2020-01-13,24.45
2020-01-14,24.45
2020-01-15,24.53
2020-01-16,24.74
2020-01-17,24.94
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,24.87
2020-01-22,24.93
2020-01-23,24.9
2020-01-24,24.64
2020-01-25,
2020-01-26,
2020-01-27,24.23
2020-01-28,24.51
2020-01-29,24.53
2020-01-30,24.52
2020-01-31,24.04
2020-02-01,
2020-02-02,
2020-02-03,24.34
2020-02-04,24.75
2020-02-05,24.91
2020-02-06,24.99
2020-02-07,24.8
2020-02-08,
2020-02-09,
2020-02-10,24.99
2020-02-11,25.0
2020-02-12,25.16
2020-02-13,25.16
2020-02-14,25.22
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,25.1
2020-02-19,25.28
2020-02-20,25.12
2020-02-21,24.82
2020-02-22,
2020-02-23,
2020-02-24,23.95
2020-02-25,23.22
2020-02-26,23.21
2020-02-27,22.31
2020-02-28,22.23
2020-02-29,
2020-03-01,
2020-03-02,23.19
2020-03-03,22.59
2020-03-04,23.51
2020-03-05,22.65
2020-03-06,22.32
2020-03-07,
2020-03-08,
2020-03-09,20.79
2020-03-10,21.83
2020-03-11,20.81
2020-03-12,19.13
2020-03-13,20.66
2020-03-14,
2020-03-15,
2020-03-16,18.32
2020-03-17,19.24
2020-03-18,18.22
2020-03-19,18.43
2020-03-20,17.75
2020-03-21,
2020-03-22,
2020-03-23,17.09
2020-03-24,18.75
2020-03-25,19.02
2020-03-26,20.07
2020-03-27,19.38
2020-03-28,
2020-03-29,
2020-03-30,20.0
2020-03-31,19.7
2020-04-01,18.81
2020-04-02,19.18
2020-04-03,18.89
2020-04-04,
2020-04-05,
2020-04-06,20.32
2020-04-07,20.27
2020-04-08,20.95
2020-04-09,21.15
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,20.84
2020-04-14,21.52
2020-04-15,21.03
2020-04-16,21.24
2020-04-17,21.81
2020-04-18,
2020-04-19,
2020-04-20,21.42
2020-04-21,20.74
2020-04-22,21.32
2020-04-23,21.22
2020-04-24,21.55
2020-04-25,
2020-04-26,
2020-04-27,21.9
2020-04-28,21.71
2020-04-29,22.37
2020-04-30,22.09
2020-05-01,21.62
2020-05-02,
2020-05-03,
2020-05-04,21.63
2020-05-05,21.93
2020-05-06,21.83
2020-05-07,22.19
2020-05-08,22.45
2020-05-09,
2020-05-10,
2020-05-11,22.45
2020-05-12,22.04
2020-05-13,21.67
2020-05-14,21.82
2020-05-15,21.93
2020-05-16,
2020-05-17,
2020-05-18,22.68
2020-05-19,22.48
2020-05-20,22.82
2020-05-21,22.59
2020-05-22,22.63
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,22.86
2020-05-27,23.14
2020-05-28,23.23
2020-05-29,23.35
2020-05-30,
2020-05-31,
2020-06-01,23.47
2020-06-02,23.71
2020-06-03,23.99
2020-06-04,23.8
2020-06-05,24.36
2020-06-06,
2020-06-07,
2020-06-08,24.42
2020-06-09,24.22
2020-06-10,24.29
2020-06-11,23.01
2020-06-12,23.22
2020-06-13,
2020-06-14,
2020-06-15,23.38
2020-06-16,23.8
2020-06-17,23.83
2020-06-18,23.83
2020-06-19,23.62
2020-06-20,
2020-06-21,
2020-06-22,23.78
2020-06-23,23.99
2020-06-24,23.38
2020-06-25,23.66
2020-06-26,23.17
2020-06-27,
2020-06-28,
2020-06-29,23.45
2020-06-30,23.8
2020-07-01,23.86
2020-07-02,24.04
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,24.41
2020-07-07,24.17
2020-07-08,24.43
2020-07-09,24.38
2020-07-10,24.5
2020-07-11,
2020-07-12,
2020-07-13,24.24
2020-07-14,24.55
2020-07-15,24.88
2020-07-16,24.72
2020-07-17,24.89
2020-07-18,
2020-07-19,
2020-07-20,25.12
2020-07-21,25.17
2020-07-22,25.31
2020-07-23,25.05
2020-07-24,24.93
2020-07-25,
2020-07-26,
2020-07-27,25.17
2020-07-28,24.97
2020-07-29,25.37
2020-07-30,25.29
2020-07-31,25.34
2020-08-01,
2020-08-02,
2020-08-03,25.56
2020-08-04,25.57
2020-08-05,25.69
2020-08-06,25.79
2020-08-07,25.71
2020-08-08,
2020-08-09,
2020-08-10,25.62
2020-08-11,25.5
2020-08-12,25.89
2020-08-13,25.94
2020-08-14,25.85
2020-08-15,
2020-08-16,
2020-08-17,26.0
2020-08-18,26.09
2020-08-19,26.0
2020-08-20,26.06
2020-08-21,26.14
2020-08-22,
2020-08-23,
2020-08-24,26.31
2020-08-25,26.46
2020-08-26,26.72
2020-08-27,26.8
2020-08-28,26.99
2020-08-29,
2020-08-30,
2020-08-31,26.87
2020-09-01,27.11
2020-09-02,27.61
2020-09-03,26.6
2020-09-04,26.33
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,25.66
2020-09-09,26.26
2020-09-10,25.91
2020-09-11,25.97
2020-09-12,
2020-09-13,
2020-09-14,26.3
2020-09-15,26.5
2020-09-16,26.4
2020-09-17,26.21
2020-09-18,25.9
2020-09-19,
2020-09-20,
2020-09-21,25.62
2020-09-22,25.9
2020-09-23,25.47
2020-09-24,25.42
2020-09-25,25.76
2020-09-26,
2020-09-27,
2020-09-28,26.17
2020-09-29,26.11
2020-09-30,26.32
2020-10-01,26.5
2020-10-02,26.2
2020-10-03,
2020-10-04,
2020-10-05,26.6
2020-10-06,26.28
2020-10-07,26.68
2020-10-08,26.81
2020-10-09,27.16
2020-10-10,
2020-10-11,
2020-10-12,27.59
2020-10-13,27.4
2020-10-14,27.26
2020-10-15,27.21
2020-10-16,27.28
2020-10-17,
2020-10-18,
2020-10-19,26.82
2020-10-20,26.95
2020-10-21,26.95
2020-10-22,27.08
2020-10-23,27.16
2020-10-24,
2020-10-25,
2020-10-26,26.64
2020-10-27,26.64
2020-10-28,25.65
2020-10-29,25.82
2020-10-30,25.69
2020-10-31,
2020-11-01,
2020-11-02,25.95
2020-11-03,26.37
2020-11-04,27.03
2020-11-05,27.52
2020-11-06,27.59
2020-11-07,
2020-11-08,
2020-11-09,27.89
2020-11-10,27.73
2020-11-11,27.92
2020-11-12,27.71
2020-11-13,28.09
2020-11-14,
2020-11-15,
2020-11-16,28.35
2020-11-17,28.18
2020-11-18,27.83
2020-11-19,28.02
2020-11-20,27.91
2020-11-21,
2020-11-22,
2020-11-23,27.96
2020-11-24,28.36
2020-11-25,28.3
2020-11-26,
2020-11-27,28.41
2020-11-28,
2020-11-29,
2020-11-30,28.32
2020-12-01,28.64
2020-12-02,28.64
2020-12-03,28.66
2020-12-04,28.88
2020-12-05,
2020-12-06,
2020-12-07,28.8
2020-12-08,28.91
2020-12-09,28.68
2020-12-10,28.63
2020-12-11,28.61
2020-12-12,
2020-12-13,
2020-12-14,28.5
2020-12-15,28.88
2020-12-16,28.95
2020-12-17,29.22
2020-12-18,29.16
2020-12-19,
2020-12-20,
2020-12-21,29.03
2020-12-22,28.96
2020-12-23,28.92
2020-12-24,29.0
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,29.24
2020-12-29,29.21
2020-12-30,29.25
2020-12-31,29.45
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,28.97
2021-01-05,29.11
2021-01-06,29.19
2021-01-07,29.55
2021-01-08,29.78
2021-01-09,
2021-01-10,
2021-01-11,29.56
2021-01-12,29.35
2021-01-13,29.38
2021-01-14,29.19
2021-01-15,29.09
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,29.3
2021-01-20,29.85
2021-01-21,29.82
2021-01-22,29.66
2021-01-23,
2021-01-24,
2021-01-25,29.75
2021-01-26,29.68
2021-01-27,28.92
2021-01-28,29.33
2021-01-29,28.79
2021-01-30,
2021-01-31,
2021-02-01,29.38
2021-02-02,29.72
2021-02-03,29.78
2021-02-04,29.97
2021-02-05,30.19
2021-02-06,
2021-02-07,
2021-02-08,30.33
2021-02-09,30.37
2021-02-10,30.32
2021-02-11,30.5
2021-02-12,30.59
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,30.53
2021-02-17,30.51
2021-02-18,30.42
2021-02-19,30.22
2021-02-20,
2021-02-21,
2021-02-22,29.95
2021-02-23,29.97
2021-02-24,30.29
2021-02-25,29.69
2021-02-26,29.58
2021-02-27,
2021-02-28,
2021-03-01,30.19
2021-03-02,30.03
2021-03-03,29.59
2021-03-04,29.18
