Date,Close
2024-01-01,
2024-01-02,5.25
2024-01-03,5.15
2024-01-04,5.23
2024-01-05,5.32
2024-01-06,
2024-01-07,
2024-01-08,5.49
2024-01-09,5.47
2024-01-10,5.52
2024-01-11,5.43
2024-01-12,5.52
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,5.35
2024-01-17,5.4
2024-01-18,5.35
2024-01-19,5.27
2024-01-20,
2024-01-21,
2024-01-22,5.22
2024-01-23,5.39
2024-01-24,5.36
2024-01-25,5.43
2024-01-26,5.42
2024-01-27,
2024-01-28,
2024-01-29,5.45
2024-01-30,5.36
2024-01-31,5.28
2024-02-01,5.33
2024-02-02,5.26
2024-02-03,
2024-02-04,
2024-02-05,5.16
2024-02-06,5.18
2024-02-07,5.08
2024-02-08,5.12
2024-02-09,5.19
2024-02-10,
2024-02-11,
2024-02-12,5.2
2024-02-13,5.04
2024-02-14,5.13
2024-02-15,5.19
2024-02-16,5.13
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,5.01
2024-02-21,5.05
2024-02-22,4.94
2024-02-23,5.27
2024-02-24,
2024-02-25,
2024-02-26,5.26
2024-02-27,5.18
2024-02-28,4.97
2024-02-29,5.15
2024-03-01,5.14
2024-03-02,
2024-03-03,
2024-03-04,5.06
2024-03-05,5.13
2024-03-06,5.15
2024-03-07,5.11
2024-03-08,5.14
2024-03-09,
2024-03-10,
2024-03-11,5.11
2024-03-12,5.17
2024-03-13,5.06
2024-03-14,4.94
2024-03-15,4.92
2024-03-16,
2024-03-17,
2024-03-18,4.92
2024-03-19,4.99
2024-03-20,5.17
2024-03-21,5.2
2024-03-22,5.19
2024-03-23,
2024-03-24,
2024-03-25,5.22
2024-03-26,5.14
2024-03-27,5.25
2024-03-28,5.34
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,5.29
2024-04-02,5.21
2024-04-03,5.18
2024-04-04,5.15
2024-04-05,5.16
2024-04-06,
2024-04-07,
2024-04-08,5.18
2024-04-09,5.26
2024-04-10,4.99
2024-04-11,5.0
2024-04-12,4.93
2024-04-13,
2024-04-14,
2024-04-15,4.87
2024-04-16,4.77
2024-04-17,4.77
2024-04-18,4.8
2024-04-19,4.86
2024-04-20,
2024-04-21,
2024-04-22,4.86
2024-04-23,4.96
2024-04-24,4.91
2024-04-25,4.81
2024-04-26,4.93
2024-04-27,
2024-04-28,
2024-04-29,4.93
2024-04-30,4.84
2024-05-01,4.96
2024-05-02,5.03
2024-05-03,5.48
2024-05-04,
2024-05-05,
2024-05-06,5.89
2024-05-07,5.94
2024-05-08,5.9
2024-05-09,5.87
2024-05-10,5.95
2024-05-11,
2024-05-12,
2024-05-13,5.96
2024-05-14,5.95
2024-05-15,6.09
2024-05-16,6.1
2024-05-17,6.09
2024-05-18,
2024-05-19,
2024-05-20,6.01
2024-05-21,6.02
2024-05-22,5.97
2024-05-23,5.81
2024-05-24,5.83
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,5.83
2024-05-29,5.76
2024-05-30,5.93
2024-05-31,5.96
2024-06-01,
2024-06-02,
2024-06-03,6.01
2024-06-04,5.98
2024-06-05,6.07
2024-06-06,6.01
2024-06-07,5.94
2024-06-08,
2024-06-09,
2024-06-10,5.88
2024-06-11,5.84
2024-06-12,5.9
2024-06-13,5.92
2024-06-14,6.01
2024-06-15,
2024-06-16,
2024-06-17,6.03
2024-06-18,5.98
2024-06-19,
2024-06-20,5.96
2024-06-21,6.05
2024-06-22,
2024-06-23,
2024-06-24,5.97
2024-06-25,5.89
2024-06-26,5.93
2024-06-27,5.86
2024-06-28,5.97
2024-06-29,
2024-06-30,
2024-07-01,5.9
2024-07-02,5.89
2024-07-03,5.97
2024-07-04,
2024-07-05,6.0
2024-07-06,
2024-07-07,
2024-07-08,6.01
2024-07-09,5.99
2024-07-10,6.19
2024-07-11,6.43
2024-07-12,6.51
2024-07-13,
2024-07-14,
2024-07-15,6.62
2024-07-16,6.76
2024-07-17,6.8
2024-07-18,6.71
2024-07-19,6.75
2024-07-20,
2024-07-21,
2024-07-22,6.84
2024-07-23,6.75
2024-07-24,6.66
2024-07-25,6.64
2024-07-26,6.96
2024-07-27,
2024-07-28,
2024-07-29,6.85
2024-07-30,7.0
2024-07-31,6.94
2024-08-01,6.83
2024-08-02,6.2
2024-08-03,
2024-08-04,
2024-08-05,5.85
2024-08-06,5.91
2024-08-07,5.99
2024-08-08,6.13
2024-08-09,6.06
2024-08-10,
2024-08-11,
2024-08-12,5.93
2024-08-13,6.06
2024-08-14,6.06
2024-08-15,6.09
2024-08-16,6.17
2024-08-17,
2024-08-18,
2024-08-19,6.16
2024-08-20,6.1
2024-08-21,6.24
2024-08-22,6.28
2024-08-23,6.52
2024-08-24,
2024-08-25,
2024-08-26,6.58
2024-08-27,6.55
2024-08-28,6.63
2024-08-29,6.62
2024-08-30,6.69
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,6.61
2024-09-04,6.54
2024-09-05,6.66
2024-09-06,6.62
2024-09-07,
2024-09-08,
2024-09-09,6.67
2024-09-10,6.65
2024-09-11,6.61
2024-09-12,6.63
2024-09-13,6.82
2024-09-14,
2024-09-15,
2024-09-16,6.99
2024-09-17,7.07
2024-09-18,7.0
2024-09-19,7.11
2024-09-20,6.99
2024-09-21,
2024-09-22,
2024-09-23,6.88
2024-09-24,6.97
2024-09-25,6.98
2024-09-26,6.97
2024-09-27,7.0
2024-09-28,
2024-09-29,
2024-09-30,6.92
2024-10-01,6.79
2024-10-02,6.73
2024-10-03,6.68
2024-10-04,6.66
2024-10-05,
2024-10-06,
2024-10-07,6.67
2024-10-08,6.66
2024-10-09,6.71
2024-10-10,6.65
2024-10-11,6.7
2024-10-12,
2024-10-13,
2024-10-14,6.76
2024-10-15,6.83
2024-10-16,7.02
2024-10-17,6.95
2024-10-18,6.96
2024-10-19,
2024-10-20,
2024-10-21,6.85
2024-10-22,6.85
2024-10-23,6.83
2024-10-24,6.79
2024-10-25,6.69
2024-10-26,
2024-10-27,
2024-10-28,6.65
2024-10-29,6.67
2024-10-30,6.81
2024-10-31,6.72
2024-11-01,6.62
2024-11-02,
2024-11-03,
2024-11-04,6.57
2024-11-05,6.38
2024-11-06,6.3
2024-11-07,6.41
2024-11-08,6.55
2024-11-09,
2024-11-10,
2024-11-11,6.49
2024-11-12,6.31
2024-11-13,6.31
2024-11-14,6.25
2024-11-15,6.24
2024-11-16,
2024-11-17,
2024-11-18,6.21
2024-11-19,6.22
2024-11-20,6.13
2024-11-21,6.14
2024-11-22,6.19
2024-11-23,
2024-11-24,
2024-11-25,6.17
2024-11-26,6.19
2024-11-27,6.27
2024-11-28,
2024-11-29,6.29
2024-11-30,
2024-12-01,
2024-12-02,6.29
2024-12-03,6.25
2024-12-04,6.36
2024-12-05,6.32
2024-12-06,6.37
2024-12-07,
2024-12-08,
2024-12-09,6.43
2024-12-10,6.4
2024-12-11,6.49
2024-12-12,6.68
2024-12-13,6.56
2024-12-14,
2024-12-15,
2024-12-16,6.66
2024-12-17,6.57
2024-12-18,6.4
2024-12-19,6.53
2024-12-20,6.47
2024-12-21,
2024-12-22,
2024-12-23,6.56
2024-12-24,6.59
2024-12-25,
2024-12-26,6.53
2024-12-27,6.42
2024-12-28,
2024-12-29,
2024-12-30,6.3
2024-12-31,6.3
2025-01-01,
2025-01-02,6.34
2025-01-03,6.45
2025-01-04,
2025-01-05,
2025-01-06,6.3
2025-01-07,6.15
2025-01-08,6.15
2025-01-09,
2025-01-10,5.84
2025-01-11,
2025-01-12,
2025-01-13,5.88
2025-01-14,5.97
2025-01-15,6.13
2025-01-16,6.19
2025-01-17,6.19
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,6.24
2025-01-22,6.09
2025-01-23,6.2
2025-01-24,6.16
2025-01-25,
2025-01-26,
2025-01-27,6.26
2025-01-28,6.24
2025-01-29,6.24
2025-01-30,6.41
2025-01-31,6.51
2025-02-01,
2025-02-02,
2025-02-03,6.5
2025-02-04,6.53
2025-02-05,6.58
2025-02-06,6.63
2025-02-07,6.61
2025-02-08,
2025-02-09,
2025-02-10,6.67
2025-02-11,6.67
2025-02-12,6.65
2025-02-13,6.77
2025-02-14,6.84
2025-02-15,
2025-02-16,
2025-02-17,
2025-02-18,6.97
2025-02-19,6.9
2025-02-20,6.95
2025-02-21,7.03
2025-02-22,
2025-02-23,
2025-02-24,6.96
2025-02-25,7.03
2025-02-26,7.04
2025-02-27,7.1
2025-02-28,7.17
2025-03-01,
2025-03-02,
2025-03-03,7.29
2025-03-04,7.11
2025-03-05,7.15
2025-03-06,7.07
2025-03-07,7.1
2025-03-08,
2025-03-09,
2025-03-10,7.04
2025-03-11,6.97
2025-03-12,6.96
2025-03-13,6.95
2025-03-14,7.08
2025-03-15,
2025-03-16,
2025-03-17,7.12
2025-03-18,7.33
2025-03-19,7.38
2025-03-20,7.44
2025-03-21,7.27
2025-03-22,
2025-03-23,
2025-03-24,7.32
2025-03-25,7.25
2025-03-26,7.2
2025-03-27,7.24
2025-03-28,7.1
2025-03-29,
2025-03-30,
2025-03-31,7.11
2025-04-01,7.11
2025-04-02,7.0
2025-04-03,6.85
2025-04-04,6.52
2025-04-05,
2025-04-06,
2025-04-07,6.08
2025-04-08,5.93
2025-04-09,6.22
2025-04-10,5.74
2025-04-11,5.65
2025-04-12,
2025-04-13,
2025-04-14,5.86
2025-04-15,5.97
2025-04-16,5.97
2025-04-17,6.11
2025-04-18,
2025-04-19,
2025-04-20,
2025-04-21,5.94
2025-04-22,6.24
2025-04-23,6.17
2025-04-24,6.09
2025-04-25,6.14
2025-04-26,
2025-04-27,
2025-04-28,6.27
2025-04-29,6.39
2025-04-30,6.36
2025-05-01,6.36
2025-05-02,6.47
2025-05-03,
2025-05-04,
2025-05-05,6.45
2025-05-06,6.28
2025-05-07,6.59
2025-05-08,6.72
2025-05-09,6.65
2025-05-10,
2025-05-11,
2025-05-12,6.72
2025-05-13,6.86
2025-05-14,6.9
2025-05-15,7.09
2025-05-16,7.08
