Date,Close
2024-01-01,
2024-01-02,22.76
2024-01-03,22.61
2024-01-04,22.51
2024-01-05,22.5
2024-01-06,
2024-01-07,
2024-01-08,22.93
2024-01-09,22.9
2024-01-10,23.1
2024-01-11,23.17
2024-01-12,23.22
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,23.19
2024-01-17,23.07
2024-01-18,23.35
2024-01-19,23.72
2024-01-20,
2024-01-21,
2024-01-22,23.79
2024-01-23,23.84
2024-01-24,24.03
2024-01-25,24.26
2024-01-26,24.23
2024-01-27,
2024-01-28,
2024-01-29,24.41
2024-01-30,24.45
2024-01-31,23.93
2024-02-01,24.25
2024-02-02,24.53
2024-02-03,
2024-02-04,
2024-02-05,24.55
2024-02-06,24.52
2024-02-07,24.79
2024-02-08,24.86
2024-02-09,25.13
2024-02-10,
2024-02-11,
2024-02-12,25.07
2024-02-13,24.77
2024-02-14,25.07
2024-02-15,25.04
2024-02-16,24.99
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,24.74
2024-02-21,24.79
2024-02-22,25.48
2024-02-23,25.51
2024-02-24,
2024-02-25,
2024-02-26,25.48
2024-02-27,25.51
2024-02-28,25.43
2024-02-29,25.56
2024-03-01,25.71
2024-03-02,
2024-03-03,
2024-03-04,25.67
2024-03-05,25.45
2024-03-06,25.61
2024-03-07,25.88
2024-03-08,25.63
2024-03-09,
2024-03-10,
2024-03-11,25.54
2024-03-12,25.95
2024-03-13,25.95
2024-03-14,25.98
2024-03-15,25.88
2024-03-16,
2024-03-17,
2024-03-18,26.08
2024-03-19,26.29
2024-03-20,26.53
2024-03-21,26.64
2024-03-22,26.51
2024-03-23,
2024-03-24,
2024-03-25,26.37
2024-03-26,26.28
2024-03-27,26.45
2024-03-28,26.49
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,26.46
2024-04-02,26.29
2024-04-03,26.32
2024-04-04,25.94
2024-04-05,26.29
2024-04-06,
2024-04-07,
2024-04-08,26.28
2024-04-09,26.21
2024-04-10,26.07
2024-04-11,26.31
2024-04-12,25.93
2024-04-13,
2024-04-14,
2024-04-15,25.6
2024-04-16,25.57
2024-04-17,25.39
2024-04-18,25.27
2024-04-19,24.99
2024-04-20,
2024-04-21,
2024-04-22,25.22
2024-04-23,25.54
2024-04-24,25.45
2024-04-25,25.48
2024-04-26,25.87
2024-04-27,
2024-04-28,
2024-04-29,25.89
2024-04-30,25.43
2024-05-01,25.36
2024-05-02,25.64
2024-05-03,25.99
2024-05-04,
2024-05-05,
2024-05-06,26.36
2024-05-07,26.37
2024-05-08,26.36
2024-05-09,26.5
2024-05-10,26.58
2024-05-11,
2024-05-12,
2024-05-13,26.52
2024-05-14,26.65
2024-05-15,26.96
2024-05-16,26.86
2024-05-17,26.9
2024-05-18,
2024-05-19,
2024-05-20,26.93
2024-05-21,27.05
2024-05-22,26.98
2024-05-23,26.91
2024-05-24,27.19
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,27.26
2024-05-29,27.11
2024-05-30,26.98
2024-05-31,27.16
2024-06-01,
2024-06-02,
2024-06-03,27.16
2024-06-04,27.19
2024-06-05,27.56
2024-06-06,27.53
2024-06-07,27.54
2024-06-08,
2024-06-09,
2024-06-10,27.63
2024-06-11,27.68
2024-06-12,27.89
2024-06-13,27.98
2024-06-14,28.02
2024-06-15,
2024-06-16,
2024-06-17,28.3
2024-06-18,28.43
2024-06-19,
2024-06-20,28.34
2024-06-21,28.27
2024-06-22,
2024-06-23,
2024-06-24,28.08
2024-06-25,28.28
2024-06-26,28.35
2024-06-27,28.37
2024-06-28,28.25
2024-06-29,
2024-06-30,
2024-07-01,28.38
2024-07-02,28.55
2024-07-03,28.71
2024-07-04,
2024-07-05,28.81
2024-07-06,
2024-07-07,
2024-07-08,28.83
2024-07-09,28.89
2024-07-10,29.15
2024-07-11,28.74
2024-07-12,28.9
2024-07-13,
2024-07-14,
2024-07-15,29.02
2024-07-16,28.95
2024-07-17,28.42
2024-07-18,28.17
2024-07-19,27.89
2024-07-20,
2024-07-21,
2024-07-22,28.3
2024-07-23,28.35
2024-07-24,27.65
2024-07-25,27.47
2024-07-26,27.65
2024-07-27,
2024-07-28,
2024-07-29,27.6
2024-07-30,27.47
2024-07-31,27.96
2024-08-01,27.49
2024-08-02,26.88
2024-08-03,
2024-08-04,
2024-08-05,26.02
2024-08-06,26.31
2024-08-07,26.11
2024-08-08,26.77
2024-08-09,26.95
2024-08-10,
2024-08-11,
2024-08-12,27.04
2024-08-13,27.47
2024-08-14,27.72
2024-08-15,28.18
2024-08-16,28.24
2024-08-17,
2024-08-18,
2024-08-19,28.54
2024-08-20,28.52
2024-08-21,28.71
2024-08-22,28.4
2024-08-23,28.69
2024-08-24,
2024-08-25,
2024-08-26,28.61
2024-08-27,28.69
2024-08-28,28.47
2024-08-29,28.39
2024-08-30,28.7
2024-08-31,
2024-09-01,
