Date,Close
2020-01-01,
2020-01-02,48.75
2020-01-03,48.63
2020-01-04,
2020-01-05,
2020-01-06,48.66
2020-01-07,48.41
2020-01-08,48.43
2020-01-09,48.61
2020-01-10,48.86
2020-01-11,
2020-01-12,
2020-01-13,49.3
2020-01-14,49.56
2020-01-15,50.21
2020-01-16,50.52
2020-01-17,50.74
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,51.0
2020-01-22,51.1
2020-01-23,51.22
2020-01-24,51.53
2020-01-25,
2020-01-26,
2020-01-27,51.0
2020-01-28,51.42
2020-01-29,51.8
2020-01-30,51.67
2020-01-31,51.63
2020-02-01,
2020-02-02,
2020-02-03,52.15
2020-02-04,52.48
2020-02-05,52.93
2020-02-06,53.42
2020-02-07,53.39
2020-02-08,
2020-02-09,
2020-02-10,53.7
2020-02-11,54.23
2020-02-12,54.08
2020-02-13,54.17
2020-02-14,54.44
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,55.06
2020-02-19,55.72
2020-02-20,55.59
2020-02-21,55.8
2020-02-22,
2020-02-23,
2020-02-24,54.46
2020-02-25,53.35
2020-02-26,53.2
2020-02-27,51.63
2020-02-28,51.22
2020-02-29,
2020-03-01,
2020-03-02,52.77
2020-03-03,53.08
2020-03-04,54.76
2020-03-05,53.97
2020-03-06,52.93
2020-03-07,
2020-03-08,
2020-03-09,49.27
2020-03-10,49.1
2020-03-11,46.77
2020-03-12,40.91
2020-03-13,43.5
2020-03-14,
2020-03-15,
2020-03-16,39.06
2020-03-17,42.34
2020-03-18,38.9
2020-03-19,38.76
2020-03-20,39.3
2020-03-21,
2020-03-22,
2020-03-23,36.63
2020-03-24,39.64
2020-03-25,42.23
2020-03-26,43.8
2020-03-27,42.87
2020-03-28,
2020-03-29,
2020-03-30,43.3
2020-03-31,43.49
2020-04-01,41.49
2020-04-02,41.71
2020-04-03,41.2
2020-04-04,
2020-04-05,
2020-04-06,43.04
2020-04-07,43.16
2020-04-08,44.19
2020-04-09,45.27
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,44.85
2020-04-14,45.62
2020-04-15,44.2
2020-04-16,44.25
2020-04-17,45.44
2020-04-18,
2020-04-19,
2020-04-20,44.65
2020-04-21,43.66
2020-04-22,44.2
2020-04-23,44.2
2020-04-24,44.52
2020-04-25,
2020-04-26,
2020-04-27,45.41
2020-04-28,46.11
2020-04-29,46.62
2020-04-30,46.05
2020-05-01,45.31
2020-05-02,
2020-05-03,
2020-05-04,44.74
2020-05-05,45.42
2020-05-06,44.98
2020-05-07,45.46
2020-05-08,46.23
2020-05-09,
2020-05-10,
2020-05-11,46.16
2020-05-12,45.83
2020-05-13,45.18
2020-05-14,44.86
2020-05-15,44.65
2020-05-16,
2020-05-17,
2020-05-18,46.57
2020-05-19,45.98
2020-05-20,46.62
2020-05-21,46.59
2020-05-22,46.59
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,48.08
2020-05-27,48.23
2020-05-28,48.83
2020-05-29,49.32
2020-05-30,
2020-05-31,
2020-06-01,49.71
2020-06-02,50.39
2020-06-03,51.44
2020-06-04,51.36
2020-06-05,51.73
2020-06-06,
2020-06-07,
2020-06-08,52.18
2020-06-09,51.74
2020-06-10,51.63
2020-06-11,48.9
2020-06-12,49.27
2020-06-13,
2020-06-14,
2020-06-15,50.27
2020-06-16,50.63
2020-06-17,50.7
2020-06-18,50.34
2020-06-19,50.22
2020-06-20,
2020-06-21,
2020-06-22,50.85
2020-06-23,50.97
2020-06-24,49.9
2020-06-25,50.16
2020-06-26,49.66
2020-06-27,
2020-06-28,
2020-06-29,50.34
2020-06-30,50.84
2020-07-01,51.17
2020-07-02,52.11
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,52.38
2020-07-07,52.27
2020-07-08,53.24
2020-07-09,52.69
2020-07-10,53.07
2020-07-11,
2020-07-12,
2020-07-13,53.43
2020-07-14,54.18
2020-07-15,55.42
2020-07-16,55.49
2020-07-17,56.35
2020-07-18,
2020-07-19,
2020-07-20,56.75
2020-07-21,57.31
2020-07-22,57.51
2020-07-23,57.64
2020-07-24,57.23
2020-07-25,
2020-07-26,
2020-07-27,57.6
2020-07-28,57.5
2020-07-29,58.11
2020-07-30,57.64
2020-07-31,57.56
2020-08-01,
2020-08-02,
2020-08-03,58.46
2020-08-04,58.38
2020-08-05,58.78
2020-08-06,58.73
2020-08-07,59.3
2020-08-08,
2020-08-09,
2020-08-10,59.39
2020-08-11,59.42
2020-08-12,60.33
2020-08-13,60.08
2020-08-14,59.78
2020-08-15,
2020-08-16,
2020-08-17,60.1
2020-08-18,59.92
2020-08-19,60.03
2020-08-20,60.22
2020-08-21,60.32
2020-08-22,
2020-08-23,
2020-08-24,61.03
2020-08-25,61.1
2020-08-26,61.17
2020-08-27,60.85
2020-08-28,60.89
2020-08-29,
2020-08-30,
2020-08-31,60.75
2020-09-01,60.41
2020-09-02,61.13
2020-09-03,59.99
2020-09-04,59.18
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,58.74
2020-09-09,59.9
2020-09-10,59.19
2020-09-11,59.39
2020-09-12,
2020-09-13,
2020-09-14,59.63
