Date,Close
2024-01-01,
2024-01-02,41.73
2024-01-03,41.4
2024-01-04,41.26
2024-01-05,41.34
2024-01-06,
2024-01-07,
2024-01-08,41.92
2024-01-09,41.86
2024-01-10,42.1
2024-01-11,42.08
2024-01-12,42.11
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,41.96
2024-01-17,41.72
2024-01-18,42.09
2024-01-19,42.61
2024-01-20,
2024-01-21,
2024-01-22,42.7
2024-01-23,42.83
2024-01-24,42.86
2024-01-25,43.09
2024-01-26,43.06
2024-01-27,
2024-01-28,
2024-01-29,43.39
2024-01-30,43.36
2024-01-31,42.66
2024-02-01,43.2
2024-02-02,43.66
2024-02-03,
2024-02-04,
2024-02-05,43.52
2024-02-06,43.63
2024-02-07,43.98
2024-02-08,44.01
2024-02-09,44.27
2024-02-10,
2024-02-11,
2024-02-12,44.23
2024-02-13,43.63
2024-02-14,44.05
2024-02-15,44.32
2024-02-16,44.11
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,43.85
2024-02-21,43.91
2024-02-22,44.83
2024-02-23,44.84
2024-02-24,
2024-02-25,
2024-02-26,44.68
2024-02-27,44.75
2024-02-28,44.68
2024-02-29,44.93
2024-03-01,45.29
2024-03-02,
2024-03-03,
2024-03-04,45.23
2024-03-05,44.77
2024-03-06,45.01
2024-03-07,45.48
2024-03-08,45.18
2024-03-09,
2024-03-10,
2024-03-11,45.13
2024-03-12,45.63
2024-03-13,45.55
2024-03-14,45.43
2024-03-15,45.13
2024-03-16,
2024-03-17,
2024-03-18,45.42
2024-03-19,45.67
2024-03-20,46.09
2024-03-21,46.23
2024-03-22,46.18
2024-03-23,
2024-03-24,
2024-03-25,46.03
2024-03-26,45.9
2024-03-27,46.3
2024-03-28,46.36
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,46.26
2024-04-02,45.92
2024-04-03,45.98
2024-04-04,45.41
2024-04-05,45.92
2024-04-06,
2024-04-07,
2024-04-08,45.9
2024-04-09,45.97
2024-04-10,45.53
2024-04-11,45.88
2024-04-12,45.21
2024-04-13,
2024-04-14,
2024-04-15,44.67
2024-04-16,44.58
2024-04-17,44.32
2024-04-18,44.23
2024-04-19,43.84
2024-04-20,
2024-04-21,
2024-04-22,44.22
2024-04-23,44.74
2024-04-24,44.76
2024-04-25,44.55
2024-04-26,45.01
2024-04-27,
2024-04-28,
2024-04-29,45.15
2024-04-30,44.44
2024-05-01,44.29
2024-05-02,44.69
2024-05-03,45.25
2024-05-04,
2024-05-05,
2024-05-06,45.72
2024-05-07,45.79
2024-05-08,45.79
2024-05-09,46.03
2024-05-10,46.11
2024-05-11,
2024-05-12,
2024-05-13,46.1
2024-05-14,46.32
2024-05-15,46.87
2024-05-16,46.79
2024-05-17,46.84
2024-05-18,
2024-05-19,
2024-05-20,46.89
2024-05-21,47.01
2024-05-22,46.88
2024-05-23,46.54
2024-05-24,46.86
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,46.87
2024-05-29,46.53
2024-05-30,46.25
2024-05-31,46.63
2024-06-01,
2024-06-02,
2024-06-03,46.69
2024-06-04,46.76
2024-06-05,47.31
2024-06-06,47.3
2024-06-07,47.25
2024-06-08,
2024-06-09,
2024-06-10,47.38
2024-06-11,47.51
2024-06-12,47.91
2024-06-13,48.03
2024-06-14,48.02
2024-06-15,
2024-06-16,
2024-06-17,48.39
2024-06-18,48.51
2024-06-19,
2024-06-20,48.39
2024-06-21,48.32
2024-06-22,
2024-06-23,
2024-06-24,48.17
2024-06-25,48.36
2024-06-26,48.44
2024-06-27,48.48
2024-06-28,48.29
2024-06-29,
2024-06-30,
2024-07-01,48.41
2024-07-02,48.71
2024-07-03,48.96
2024-07-04,
2024-07-05,49.24
2024-07-06,
2024-07-07,
2024-07-08,49.29
2024-07-09,49.32
2024-07-10,49.83
2024-07-11,49.39
2024-07-12,49.67
2024-07-13,
2024-07-14,
2024-07-15,49.81
2024-07-16,50.13
2024-07-17,49.43
2024-07-18,49.04
2024-07-19,48.69
2024-07-20,
2024-07-21,
2024-07-22,49.22
2024-07-23,49.14
2024-07-24,48.0
2024-07-25,47.76
2024-07-26,48.29
2024-07-27,
2024-07-28,
2024-07-29,48.33
2024-07-30,48.09
2024-07-31,48.85
2024-08-01,48.19
2024-08-02,47.29
2024-08-03,
2024-08-04,
2024-08-05,45.88
2024-08-06,46.35
2024-08-07,46.0
2024-08-08,47.06
2024-08-09,47.29
2024-08-10,
2024-08-11,
2024-08-12,47.29
2024-08-13,48.09
2024-08-14,48.27
2024-08-15,49.06
2024-08-16,49.17
2024-08-17,
2024-08-18,
2024-08-19,49.65
2024-08-20,49.55
2024-08-21,49.76
2024-08-22,49.32
2024-08-23,49.89
2024-08-24,
2024-08-25,
2024-08-26,49.73
2024-08-27,49.81
2024-08-28,49.51
2024-08-29,49.51
2024-08-30,50.02
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,48.96
2024-09-04,48.89
2024-09-05,48.74
2024-09-06,47.9
2024-09-07,
2024-09-08,
2024-09-09,48.46
2024-09-10,48.68
2024-09-11,49.2
2024-09-12,49.57
2024-09-13,49.84
2024-09-14,
2024-09-15,
2024-09-16,49.92
2024-09-17,49.93
2024-09-18,49.79
2024-09-19,50.63
2024-09-20,50.53
2024-09-21,
2024-09-22,
2024-09-23,50.68
2024-09-24,50.8
2024-09-25,50.71
2024-09-26,50.91
2024-09-27,50.85
2024-09-28,
2024-09-29,
2024-09-30,51.07
2024-10-01,50.59
2024-10-02,50.6
2024-10-03,50.52
2024-10-04,50.98
2024-10-05,
2024-10-06,
2024-10-07,50.49
2024-10-08,50.98
2024-10-09,51.34
2024-10-10,51.24
2024-10-11,51.55
2024-10-12,
2024-10-13,
2024-10-14,51.95
2024-10-15,51.56
2024-10-16,51.8
2024-10-17,51.79
2024-10-18,51.99
2024-10-19,
2024-10-20,
2024-10-21,51.9
2024-10-22,51.88
2024-10-23,51.4
2024-10-24,51.51
2024-10-25,51.49
2024-10-26,
