Date,Close
2024-01-01,
2024-01-02,19.09
2024-01-03,18.76
2024-01-04,18.77
2024-01-05,18.91
2024-01-06,
2024-01-07,
2024-01-08,18.97
2024-01-09,19.09
2024-01-10,19.42
2024-01-11,19.26
2024-01-12,19.26
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,19.26
2024-01-17,19.67
2024-01-18,19.76
2024-01-19,19.76
2024-01-20,
2024-01-21,
2024-01-22,19.56
2024-01-23,19.72
2024-01-24,19.76
2024-01-25,19.89
2024-01-26,20.41
2024-01-27,
2024-01-28,
2024-01-29,20.29
2024-01-30,20.22
2024-01-31,20.09
2024-02-01,20.19
2024-02-02,20.27
2024-02-03,
2024-02-04,
2024-02-05,20.25
2024-02-06,20.27
2024-02-07,20.39
2024-02-08,20.32
2024-02-09,21.08
2024-02-10,
2024-02-11,
2024-02-12,21.32
2024-02-13,21.28
2024-02-14,21.23
2024-02-15,21.94
2024-02-16,21.6
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,21.9
2024-02-21,21.97
2024-02-22,21.92
2024-02-23,21.98
2024-02-24,
2024-02-25,
2024-02-26,21.98
2024-02-27,22.06
2024-02-28,22.21
2024-02-29,22.21
2024-03-01,22.07
2024-03-02,
2024-03-03,
2024-03-04,22.06
2024-03-05,22.21
2024-03-06,21.93
2024-03-07,22.14
2024-03-08,22.24
2024-03-09,
2024-03-10,
2024-03-11,22.24
2024-03-12,22.27
2024-03-13,22.27
2024-03-14,22.22
2024-03-15,22.32
2024-03-16,
2024-03-17,
2024-03-18,22.22
2024-03-19,22.36
2024-03-20,22.44
2024-03-21,22.42
2024-03-22,22.51
2024-03-23,
2024-03-24,
2024-03-25,22.46
2024-03-26,22.4
2024-03-27,22.44
2024-03-28,22.67
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,22.67
2024-04-02,22.56
2024-04-03,22.48
2024-04-04,22.6
2024-04-05,22.56
2024-04-06,
2024-04-07,
2024-04-08,22.55
2024-04-09,22.45
2024-04-10,23.14
2024-04-11,21.21
2024-04-12,21.29
2024-04-13,
2024-04-14,
2024-04-15,21.18
2024-04-16,21.06
2024-04-17,20.94
2024-04-18,20.79
2024-04-19,20.62
2024-04-20,
2024-04-21,
2024-04-22,20.71
2024-04-23,20.7
2024-04-24,20.69
2024-04-25,20.7
2024-04-26,20.62
2024-04-27,
2024-04-28,
2024-04-29,20.71
2024-04-30,20.79
2024-05-01,20.71
2024-05-02,20.78
2024-05-03,20.72
2024-05-04,
2024-05-05,
2024-05-06,20.71
2024-05-07,20.72
2024-05-08,20.62
2024-05-09,20.71
2024-05-10,20.66
2024-05-11,
2024-05-12,
2024-05-13,20.62
2024-05-14,20.62
2024-05-15,20.62
2024-05-16,20.74
2024-05-17,20.75
2024-05-18,
2024-05-19,
2024-05-20,20.79
2024-05-21,20.75
2024-05-22,20.78
2024-05-23,20.74
2024-05-24,20.78
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,20.75
2024-05-29,20.73
2024-05-30,20.74
2024-05-31,20.79
2024-06-01,
2024-06-02,
2024-06-03,20.76
2024-06-04,20.75
2024-06-05,20.78
2024-06-06,20.79
2024-06-07,20.74
2024-06-08,
2024-06-09,
2024-06-10,20.78
2024-06-11,20.77
2024-06-12,20.76
2024-06-13,20.75
2024-06-14,20.77
2024-06-15,
2024-06-16,
2024-06-17,20.73
2024-06-18,20.71
2024-06-19,
2024-06-20,20.78
2024-06-21,20.86
2024-06-22,
2024-06-23,
2024-06-24,20.83
2024-06-25,20.94
2024-06-26,20.99
2024-06-27,21.05
2024-06-28,21.05
2024-06-29,
2024-06-30,
2024-07-01,21.29
2024-07-02,21.26
2024-07-03,21.34
2024-07-04,
2024-07-05,21.29
2024-07-06,
2024-07-07,
2024-07-08,21.33
2024-07-09,21.23
2024-07-10,21.25
2024-07-11,21.26
2024-07-12,21.27
2024-07-13,
2024-07-14,
2024-07-15,21.27
2024-07-16,21.27
2024-07-17,21.26
2024-07-18,21.26
2024-07-19,21.27
2024-07-20,
2024-07-21,
2024-07-22,21.25
2024-07-23,20.95
2024-07-24,21.0
2024-07-25,21.08
2024-07-26,21.01
2024-07-27,
2024-07-28,
2024-07-29,21.0
2024-07-30,21.03
2024-07-31,20.74
2024-08-01,20.86
2024-08-02,20.69
2024-08-03,
2024-08-04,
2024-08-05,20.44
2024-08-06,20.46
2024-08-07,20.65
2024-08-08,20.79
2024-08-09,20.71
2024-08-10,
2024-08-11,
2024-08-12,20.7
2024-08-13,20.7
2024-08-14,20.69
2024-08-15,20.69
2024-08-16,20.8
2024-08-17,
2024-08-18,
2024-08-19,20.74
2024-08-20,20.73
2024-08-21,20.68
2024-08-22,20.8
2024-08-23,20.76
2024-08-24,
2024-08-25,
2024-08-26,20.77
2024-08-27,20.8
2024-08-28,20.79
2024-08-29,20.8
2024-08-30,20.42
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,20.56
2024-09-04,20.7
2024-09-05,20.33
2024-09-06,20.2
2024-09-07,
2024-09-08,
2024-09-09,20.49
2024-09-10,20.31
2024-09-11,20.26
2024-09-12,20.34
2024-09-13,20.25
2024-09-14,
2024-09-15,
2024-09-16,20.24
2024-09-17,20.47
2024-09-18,20.54
2024-09-19,21.03
2024-09-20,20.9
2024-09-21,
2024-09-22,
2024-09-23,20.94
2024-09-24,21.24
2024-09-25,21.03
2024-09-26,20.94
2024-09-27,21.16
2024-09-28,
2024-09-29,
2024-09-30,20.61
2024-10-01,20.9
2024-10-02,20.82
2024-10-03,20.96
2024-10-04,20.82
2024-10-05,
2024-10-06,
2024-10-07,20.75
2024-10-08,20.76
2024-10-09,21.05
2024-10-10,21.05
2024-10-11,21.08
2024-10-12,
2024-10-13,
2024-10-14,21.05
2024-10-15,21.05
2024-10-16,21.05
2024-10-17,21.07
2024-10-18,21.32
2024-10-19,
2024-10-20,
2024-10-21,20.87
2024-10-22,20.88
2024-10-23,20.91
2024-10-24,20.96
2024-10-25,21.32
2024-10-26,
2024-10-27,
2024-10-28,20.86
2024-10-29,21.09
2024-10-30,20.96
2024-10-31,20.86
2024-11-01,21.04
2024-11-02,
2024-11-03,
2024-11-04,21.06
2024-11-05,21.06
2024-11-06,21.05
2024-11-07,20.96
2024-11-08,20.87
2024-11-09,
2024-11-10,
2024-11-11,21.06
2024-11-12,21.08
2024-11-13,21.21
2024-11-14,21.1
2024-11-15,21.22
2024-11-16,
2024-11-17,
2024-11-18,21.23
2024-11-19,21.23
2024-11-20,21.27
2024-11-21,21.27
2024-11-22,21.31
2024-11-23,
2024-11-24,
2024-11-25,21.27
2024-11-26,21.32
2024-11-27,21.57
2024-11-28,
2024-11-29,21.23
2024-11-30,
2024-12-01,
2024-12-02,21.46
2024-12-03,21.66
2024-12-04,21.67
2024-12-05,21.69
2024-12-06,21.74
2024-12-07,
2024-12-08,
2024-12-09,21.62
2024-12-10,21.7
2024-12-11,21.56
2024-12-12,21.51
2024-12-13,21.35
2024-12-14,
2024-12-15,
2024-12-16,21.64
2024-12-17,21.64
2024-12-18,21.57
2024-12-19,21.6
2024-12-20,21.61
2024-12-21,
2024-12-22,
2024-12-23,21.64
2024-12-24,21.64
2024-12-25,
2024-12-26,21.59
2024-12-27,21.48
2024-12-28,
2024-12-29,
2024-12-30,21.64
2024-12-31,22.48
2025-01-01,
2025-01-02,22.16
2025-01-03,22.39
