Date,Close
2024-01-01,
2024-01-02,192.76
2024-01-03,192.14
2024-01-04,194.25
2024-01-05,194.6
2024-01-06,
2024-01-07,
2024-01-08,206.72
2024-01-09,207.67
2024-01-10,211.76
2024-01-11,212.57
2024-01-12,208.04
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,205.71
2024-01-17,204.63
2024-01-18,203.15
2024-01-19,212.22
2024-01-20,
2024-01-21,
2024-01-22,213.58
2024-01-23,216.5
2024-01-24,216.81
2024-01-25,217.86
2024-01-26,214.0
2024-01-27,
2024-01-28,
2024-01-29,215.39
2024-01-30,213.39
2024-01-31,208.1
2024-02-01,211.71
2024-02-02,213.82
2024-02-03,
2024-02-04,
2024-02-05,211.36
2024-02-06,214.99
2024-02-07,217.14
2024-02-08,218.37
2024-02-09,221.1
2024-02-10,
2024-02-11,
2024-02-12,221.37
2024-02-13,218.04
2024-02-14,224.7
2024-02-15,224.53
2024-02-16,224.6
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,228.41
2024-02-21,225.89
2024-02-22,245.5
2024-02-23,238.2
2024-02-24,
2024-02-25,
2024-02-26,243.43
2024-02-27,248.89
2024-02-28,245.26
2024-02-29,245.15
2024-03-01,248.75
2024-03-02,
2024-03-03,
2024-03-04,245.98
2024-03-05,239.01
2024-03-06,237.05
2024-03-07,238.97
2024-03-08,239.03
2024-03-09,
2024-03-10,
2024-03-11,238.77
2024-03-12,241.04
2024-03-13,240.61
2024-03-14,240.53
2024-03-15,237.8
2024-03-16,
2024-03-17,
2024-03-18,238.84
2024-03-19,244.92
2024-03-20,248.46
2024-03-21,256.4
2024-03-22,261.21
2024-03-23,
2024-03-24,
2024-03-25,260.3
2024-03-26,261.57
2024-03-27,255.59
2024-03-28,260.62
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,254.61
2024-04-02,251.58
2024-04-03,251.84
2024-04-04,249.97
2024-04-05,244.11
2024-04-06,
2024-04-07,
2024-04-08,242.05
2024-04-09,243.59
2024-04-10,242.68
2024-04-11,240.19
2024-04-12,231.98
2024-04-13,
2024-04-14,
2024-04-15,231.57
2024-04-16,231.46
2024-04-17,230.54
2024-04-18,230.95
2024-04-19,224.19
2024-04-20,
2024-04-21,
2024-04-22,224.42
2024-04-23,228.43
2024-04-24,230.71
2024-04-25,227.0
2024-04-26,225.48
2024-04-27,
2024-04-28,
2024-04-29,225.35
2024-04-30,223.51
2024-05-01,220.94
2024-05-02,219.52
2024-05-03,221.48
2024-05-04,
2024-05-05,
2024-05-06,222.1
2024-05-07,223.43
2024-05-08,222.02
2024-05-09,222.85
2024-05-10,225.15
2024-05-11,
2024-05-12,
2024-05-13,225.55
2024-05-14,224.0
2024-05-15,228.1
2024-05-16,198.6
2024-05-17,193.55
2024-05-18,
2024-05-19,
2024-05-20,200.68
2024-05-21,199.85
2024-05-22,196.58
2024-05-23,190.1
2024-05-24,189.66
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,191.33
2024-05-29,190.31
2024-05-30,186.48
2024-05-31,183.57
2024-06-01,
2024-06-02,
2024-06-03,178.37
2024-06-04,170.9
2024-06-05,161.78
2024-06-06,168.82
2024-06-07,168.75
2024-06-08,
2024-06-09,
2024-06-10,175.08
2024-06-11,174.94
2024-06-12,174.18
2024-06-13,168.15
2024-06-14,167.9
2024-06-15,
2024-06-16,
2024-06-17,167.06
2024-06-18,166.65
2024-06-19,
2024-06-20,164.64
2024-06-21,164.67
2024-06-22,
2024-06-23,
2024-06-24,162.29
2024-06-25,162.2
2024-06-26,162.57
2024-06-27,168.69
2024-06-28,171.97
2024-06-29,
2024-06-30,
2024-07-01,168.6
2024-07-02,169.54
2024-07-03,169.89
2024-07-04,
2024-07-05,171.19
2024-07-06,
2024-07-07,
2024-07-08,173.72
2024-07-09,172.72
2024-07-10,171.56
2024-07-11,170.51
2024-07-12,174.19
2024-07-13,
2024-07-14,
2024-07-15,178.32
2024-07-16,181.73
2024-07-17,180.79
2024-07-18,178.14
2024-07-19,176.9
2024-07-20,
2024-07-21,
2024-07-22,181.43
2024-07-23,184.0
2024-07-24,180.94
2024-07-25,181.8
2024-07-26,180.99
2024-07-27,
2024-07-28,
2024-07-29,179.92
2024-07-30,180.11
2024-07-31,181.0
2024-08-01,176.73
2024-08-02,171.76
2024-08-03,
2024-08-04,
2024-08-05,169.05
2024-08-06,168.1
2024-08-07,164.51
2024-08-08,171.0
2024-08-09,157.57
2024-08-10,
2024-08-11,
2024-08-12,154.95
2024-08-13,160.06
2024-08-14,166.78
2024-08-15,174.37
2024-08-16,177.3
2024-08-17,
2024-08-18,
2024-08-19,184.96
2024-08-20,178.63
2024-08-21,179.02
2024-08-22,176.13
2024-08-23,178.26
2024-08-24,
2024-08-25,
2024-08-26,180.59
2024-08-27,181.4
2024-08-28,174.75
2024-08-29,174.32
2024-08-30,173.74
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,166.23
2024-09-04,165.51
2024-09-05,162.44
2024-09-06,159.14
2024-09-07,
2024-09-08,
2024-09-09,161.68
2024-09-10,160.66
2024-09-11,162.12
2024-09-12,163.55
2024-09-13,164.93
2024-09-14,
2024-09-15,
2024-09-16,161.46
2024-09-17,162.75
2024-09-18,162.98
2024-09-19,165.83
2024-09-20,164.89
2024-09-21,
2024-09-22,
2024-09-23,166.94
2024-09-24,170.89
2024-09-25,170.32
2024-09-26,168.97
2024-09-27,171.44
2024-09-28,
2024-09-29,
2024-09-30,173.67
2024-10-01,164.71
2024-10-02,166.18
2024-10-03,166.98
2024-10-04,171.03
2024-10-05,
2024-10-06,
2024-10-07,170.39
2024-10-08,166.65
2024-10-09,165.6
2024-10-10,165.67
2024-10-11,171.09
2024-10-12,
2024-10-13,
2024-10-14,173.29
2024-10-15,177.72
2024-10-16,177.88
2024-10-17,178.7
2024-10-18,179.71
2024-10-19,
2024-10-20,
2024-10-21,178.1
2024-10-22,177.55
2024-10-23,175.5
2024-10-24,177.8
2024-10-25,174.33
2024-10-26,
2024-10-27,
2024-10-28,179.9
2024-10-29,180.04
2024-10-30,178.54
2024-10-31,173.7
2024-11-01,171.91
2024-11-02,
2024-11-03,
2024-11-04,169.49
2024-11-05,171.5
2024-11-06,175.28
2024-11-07,185.31
2024-11-08,189.99
2024-11-09,
2024-11-10,
2024-11-11,192.07
2024-11-12,192.89
2024-11-13,199.17
2024-11-14,182.19
2024-11-15,172.62
2024-11-16,
2024-11-17,
2024-11-18,173.83
2024-11-19,172.67
2024-11-20,170.97
2024-11-21,171.31
2024-11-22,176.16
2024-11-23,
2024-11-24,
2024-11-25,183.7
2024-11-26,182.51
2024-11-27,179.84
2024-11-28,
2024-11-29,182.44
2024-11-30,
2024-12-01,
2024-12-02,184.51
2024-12-03,185.37
2024-12-04,192.39
2024-12-05,190.65
2024-12-06,189.81
2024-12-07,
2024-12-08,
2024-12-09,186.44
2024-12-10,181.46
2024-12-11,183.22
2024-12-12,192.33
2024-12-13,186.67
2024-12-14,
2024-12-15,
2024-12-16,186.3
2024-12-17,189.87
2024-12-18,181.75
2024-12-19,175.56
2024-12-20,176.02
2024-12-21,
2024-12-22,
2024-12-23,173.67
2024-12-24,175.42
2024-12-25,
2024-12-26,176.02
2024-12-27,173.45
2024-12-28,
2024-12-29,
2024-12-30,170.52
2024-12-31,169.84
2025-01-01,
2025-01-02,169.62
2025-01-03,169.8
2025-01-04,
2025-01-05,
2025-01-06,170.13
2025-01-07,166.33
2025-01-08,165.72
2025-01-09,
2025-01-10,161.66
2025-01-11,
2025-01-12,
2025-01-13,165.62
2025-01-14,169.34
2025-01-15,167.14
2025-01-16,164.2
2025-01-17,162.4
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,165.52
2025-01-22,164.98
2025-01-23,161.04
2025-01-24,161.88
2025-01-25,
2025-01-26,
2025-01-27,170.58
2025-01-28,167.22
2025-01-29,166.0
2025-01-30,165.0
2025-01-31,166.14
2025-02-01,
2025-02-02,
2025-02-03,162.81
2025-02-04,169.44
2025-02-05,173.15
2025-02-06,173.87
2025-02-07,169.47
2025-02-08,
2025-02-09,
2025-02-10,173.84
2025-02-11,172.22
2025-02-12,171.9
2025-02-13,178.23
2025-02-14,176.49
2025-02-15,
2025-02-16,
2025-02-17,
2025-02-18,176.46
2025-02-19,178.5
2025-02-20,153.59
2025-02-21,155.39
2025-02-22,
2025-02-23,
2025-02-24,160.99
2025-02-25,151.56
2025-02-26,144.89
2025-02-27,142.99
2025-02-28,139.18
2025-03-01,
2025-03-02,
2025-03-03,140.62
2025-03-04,144.62
2025-03-05,148.26
2025-03-06,146.62
2025-03-07,149.8
2025-03-08,
2025-03-09,
2025-03-10,146.05
2025-03-11,143.61
2025-03-12,140.59
2025-03-13,141.34
2025-03-14,144.61
2025-03-15,
2025-03-16,
2025-03-17,151.05
2025-03-18,151.02
2025-03-19,151.98
2025-03-20,154.0
2025-03-21,156.78
2025-03-22,
2025-03-23,
2025-03-24,156.17
2025-03-25,159.0
2025-03-26,159.06
2025-03-27,158.83
2025-03-28,155.48
2025-03-29,
2025-03-30,
2025-03-31,154.17
2025-04-01,155.09
2025-04-02,157.7
2025-04-03,150.34
2025-04-04,141.3
2025-04-05,
2025-04-06,
2025-04-07,147.1
2025-04-08,142.24
2025-04-09,153.44
2025-04-10,149.03
2025-04-11,152.61
2025-04-12,
2025-04-13,
2025-04-14,152.62
2025-04-15,154.94
2025-04-16,150.68
2025-04-17,149.75
2025-04-18,
2025-04-19,
2025-04-20,
2025-04-21,143.8
2025-04-22,147.07
2025-04-23,151.4
2025-04-24,154.52
2025-04-25,155.01
2025-04-26,
2025-04-27,
2025-04-28,156.17
2025-04-29,156.68
2025-04-30,155.85
2025-05-01,156.04
2025-05-02,157.39
2025-05-03,
2025-05-04,
2025-05-05,158.01
2025-05-06,156.9
2025-05-07,160.44
2025-05-08,163.77
2025-05-09,164.42
2025-05-10,
2025-05-11,
2025-05-12,164.0
2025-05-13,166.82
2025-05-14,169.46
2025-05-15,161.11
2025-05-16,163.43
2025-05-17,
2025-05-18,
2025-05-19,168.0
2025-05-20,166.48
2025-05-21,162.02
2025-05-22,161.61
2025-05-23,159.94
2025-05-24,
2025-05-25,
2025-05-26,
2025-05-27,162.88
2025-05-28,164.81
2025-05-29,167.49
2025-05-30,165.93
2025-05-31,
2025-06-01,
2025-06-02,165.4
2025-06-03,170.47
2025-06-04,176.79
2025-06-05,175.96
2025-06-06,176.7
2025-06-07,
2025-06-08,
2025-06-09,175.42
2025-06-10,177.18
2025-06-11,178.32
2025-06-12,171.44
2025-06-13,165.68
2025-06-14,
2025-06-15,
2025-06-16,167.64
2025-06-17,165.76
2025-06-18,165.33
2025-06-19,
2025-06-20,162.61
2025-06-21,
2025-06-22,
2025-06-23,162.56
2025-06-24,165.21
2025-06-25,165.53
2025-06-26,165.69
2025-06-27,165.09
2025-06-28,
2025-06-29,
2025-06-30,168.91
2025-07-01,167.7
2025-07-02,168.4
2025-07-03,170.19
2025-07-04,
2025-07-05,
2025-07-06,
2025-07-07,169.51
2025-07-08,171.98
2025-07-09,171.94
2025-07-10,163.01
2025-07-11,154.84
2025-07-12,
2025-07-13,
