Date,Close
2024-01-01,
2024-01-02,33.02
2024-01-03,32.55
2024-01-04,31.69
2024-01-05,32.26
2024-01-06,
2024-01-07,
2024-01-08,32.78
2024-01-09,32.76
2024-01-10,32.62
2024-01-11,32.36
2024-01-12,32.07
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,31.87
2024-01-17,32.27
2024-01-18,33.12
2024-01-19,33.23
2024-01-20,
2024-01-21,
2024-01-22,33.61
2024-01-23,33.83
2024-01-24,33.91
2024-01-25,34.71
2024-01-26,34.48
2024-01-27,
2024-01-28,
2024-01-29,35.22
2024-01-30,34.65
2024-01-31,34.03
2024-02-01,34.94
2024-02-02,35.07
2024-02-03,
2024-02-04,
2024-02-05,41.67
2024-02-06,42.54
2024-02-07,42.97
2024-02-08,44.69
2024-02-09,44.07
2024-02-10,
2024-02-11,
2024-02-12,45.16
2024-02-13,42.5
2024-02-14,44.53
2024-02-15,44.19
2024-02-16,43.06
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,43.04
2024-02-21,42.97
2024-02-22,43.41
2024-02-23,43.82
2024-02-24,
2024-02-25,
2024-02-26,43.77
2024-02-27,44.09
2024-02-28,43.52
2024-02-29,44.2
2024-03-01,44.32
2024-03-02,
2024-03-03,
2024-03-04,43.82
2024-03-05,43.25
2024-03-06,40.39
2024-03-07,40.14
2024-03-08,40.01
2024-03-09,
2024-03-10,
2024-03-11,39.13
2024-03-12,39.72
2024-03-13,39.64
2024-03-14,38.71
2024-03-15,38.28
2024-03-16,
2024-03-17,
2024-03-18,37.68
2024-03-19,38.07
2024-03-20,38.28
2024-03-21,38.53
2024-03-22,38.66
2024-03-23,
2024-03-24,
2024-03-25,39.02
2024-03-26,38.91
2024-03-27,39.52
2024-03-28,39.42
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,38.99
2024-04-02,38.63
2024-04-03,39.02
2024-04-04,39.67
2024-04-05,40.07
2024-04-06,
2024-04-07,
2024-04-08,40.45
2024-04-09,39.87
2024-04-10,38.68
2024-04-11,38.4
2024-04-12,38.06
2024-04-13,
2024-04-14,
2024-04-15,38.24
2024-04-16,38.14
2024-04-17,38.29
2024-04-18,39.0
2024-04-19,39.28
2024-04-20,
2024-04-21,
2024-04-22,40.65
2024-04-23,42.52
2024-04-24,43.19
2024-04-25,42.58
2024-04-26,43.05
2024-04-27,
2024-04-28,
2024-04-29,42.33
2024-04-30,39.95
2024-05-01,39.46
2024-05-02,40.98
2024-05-03,41.69
2024-05-04,
2024-05-05,
2024-05-06,44.47
2024-05-07,44.9
2024-05-08,43.63
2024-05-09,43.81
2024-05-10,43.58
2024-05-11,
2024-05-12,
2024-05-13,43.6
2024-05-14,42.79
2024-05-15,44.81
2024-05-16,43.99
