Date,Close
2024-01-01,
2024-01-02,8.13
2024-01-03,8.09
2024-01-04,8.24
2024-01-05,8.57
2024-01-06,
2024-01-07,
2024-01-08,8.89
2024-01-09,8.93
2024-01-10,9.08
2024-01-11,9.07
2024-01-12,9.26
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,9.17
2024-01-17,9.09
2024-01-18,9.05
2024-01-19,9.17
2024-01-20,
2024-01-21,
2024-01-22,8.92
2024-01-23,8.95
2024-01-24,9.0
2024-01-25,9.33
2024-01-26,9.5
2024-01-27,
2024-01-28,
2024-01-29,9.37
2024-01-30,8.78
2024-01-31,8.61
2024-02-01,9.01
2024-02-02,9.37
2024-02-03,
2024-02-04,
2024-02-05,9.27
2024-02-06,9.38
2024-02-07,9.56
2024-02-08,9.64
2024-02-09,9.89
2024-02-10,
2024-02-11,
2024-02-12,9.88
2024-02-13,9.92
2024-02-14,10.37
2024-02-15,10.46
2024-02-16,10.36
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,10.26
2024-02-21,10.09
2024-02-22,10.36
2024-02-23,10.22
2024-02-24,
2024-02-25,
2024-02-26,10.72
2024-02-27,11.14
2024-02-28,11.07
2024-02-29,11.08
2024-03-01,11.27
2024-03-02,
2024-03-03,
2024-03-04,11.14
2024-03-05,11.1
2024-03-06,11.25
2024-03-07,11.51
2024-03-08,11.07
2024-03-09,
2024-03-10,
2024-03-11,11.55
2024-03-12,11.41
2024-03-13,11.59
2024-03-14,11.62
2024-03-15,11.61
2024-03-16,
2024-03-17,
2024-03-18,11.79
2024-03-19,11.85
2024-03-20,12.13
2024-03-21,12.24
2024-03-22,12.25
2024-03-23,
2024-03-24,
2024-03-25,12.17
2024-03-26,12.23
2024-03-27,11.95
2024-03-28,11.93
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,11.82
2024-04-02,11.86
2024-04-03,11.91
2024-04-04,11.79
2024-04-05,11.98
2024-04-06,
2024-04-07,
2024-04-08,11.99
2024-04-09,11.82
2024-04-10,11.57
2024-04-11,11.55
2024-04-12,11.29
2024-04-13,
2024-04-14,
2024-04-15,10.95
2024-04-16,10.84
2024-04-17,10.79
2024-04-18,10.66
2024-04-19,10.48
2024-04-20,
2024-04-21,
