Date,Close
2024-01-01,
2024-01-02,17.36
2024-01-03,17.17
2024-01-04,17.11
2024-01-05,17.14
2024-01-06,
2024-01-07,
2024-01-08,17.38
2024-01-09,17.35
2024-01-10,17.46
2024-01-11,17.45
2024-01-12,17.47
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,17.42
2024-01-17,17.32
2024-01-18,17.49
2024-01-19,17.49
2024-01-20,
2024-01-21,
2024-01-22,17.75
2024-01-23,17.76
2024-01-24,17.74
2024-01-25,17.85
2024-01-26,17.85
2024-01-27,
2024-01-28,
2024-01-29,17.98
2024-01-30,17.99
2024-01-31,17.67
2024-02-01,17.85
2024-02-02,17.98
2024-02-03,
2024-02-04,
2024-02-05,17.92
2024-02-06,17.96
2024-02-07,18.08
2024-02-08,18.11
2024-02-09,18.25
2024-02-10,
2024-02-11,
2024-02-12,18.25
2024-02-13,17.93
2024-02-14,18.1
2024-02-15,18.21
2024-02-16,18.1
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,17.98
2024-02-21,18.02
2024-02-22,18.36
2024-02-23,18.36
2024-02-24,
2024-02-25,
2024-02-26,18.3
2024-02-27,18.33
2024-02-28,18.31
2024-02-29,18.4
2024-03-01,18.53
2024-03-02,
2024-03-03,
2024-03-04,18.47
2024-03-05,18.31
2024-03-06,18.38
2024-03-07,18.57
2024-03-08,18.48
2024-03-09,
2024-03-10,
2024-03-11,18.47
2024-03-12,18.66
2024-03-13,18.65
2024-03-14,18.59
2024-03-15,18.47
2024-03-16,
2024-03-17,
2024-03-18,18.56
2024-03-19,18.71
2024-03-20,18.89
2024-03-21,18.97
2024-03-22,18.92
2024-03-23,
2024-03-24,
2024-03-25,18.84
2024-03-26,18.79
2024-03-27,18.96
2024-03-28,19.0
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,18.91
2024-04-02,18.77
2024-04-03,18.78
2024-04-04,18.55
2024-04-05,18.74
2024-04-06,
2024-04-07,
2024-04-08,18.74
2024-04-09,18.78
2024-04-10,18.53
2024-04-11,18.64
2024-04-12,18.64
2024-04-13,
2024-04-14,
2024-04-15,18.16
2024-04-16,18.11
2024-04-17,17.99
2024-04-18,17.95
2024-04-19,17.84
