Date,Close
2024-01-01,
2024-01-02,135.65
2024-01-03,132.1
2024-01-04,131.96
2024-01-05,129.32
2024-01-06,
2024-01-07,
2024-01-08,131.46
2024-01-09,130.95
2024-01-10,131.0
2024-01-11,133.44
2024-01-12,133.8
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,133.6
2024-01-17,132.36
2024-01-18,137.71
2024-01-19,144.43
2024-01-20,
2024-01-21,
2024-01-22,142.73
2024-01-23,145.82
2024-01-24,149.04
2024-01-25,147.98
2024-01-26,145.71
2024-01-27,
2024-01-28,
2024-01-29,146.57
2024-01-30,146.25
2024-01-31,144.81
2024-02-01,144.99
2024-02-02,146.75
2024-02-03,
2024-02-04,
2024-02-05,148.83
2024-02-06,146.0
2024-02-07,148.0
2024-02-08,149.99
2024-02-09,160.66
2024-02-10,
2024-02-11,
2024-02-12,157.24
2024-02-13,153.23
2024-02-14,157.43
2024-02-15,166.95
2024-02-16,168.95
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,161.64
2024-02-21,158.28
2024-02-22,164.65
2024-02-23,161.82
2024-02-24,
2024-02-25,
2024-02-26,167.1
2024-02-27,165.28
2024-02-28,167.4
2024-02-29,173.45
2024-03-01,183.66
2024-03-02,
2024-03-03,
2024-03-04,187.67
2024-03-05,182.91
2024-03-06,184.28
2024-03-07,182.04
2024-03-08,175.33
2024-03-09,
2024-03-10,
2024-03-11,168.25
2024-03-12,172.07
2024-03-13,169.66
2024-03-14,169.65
2024-03-15,168.93
2024-03-16,
2024-03-17,
2024-03-18,170.33
2024-03-19,176.46
2024-03-20,181.03
2024-03-21,183.76
2024-03-22,183.14
2024-03-23,
2024-03-24,
2024-03-25,180.87
2024-03-26,178.93
2024-03-27,179.74
2024-03-28,177.38
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,178.1
2024-04-02,177.37
2024-04-03,178.93
2024-04-04,176.05
2024-04-05,179.11
2024-04-06,
2024-04-07,
2024-04-08,180.33
2024-04-09,174.95
2024-04-10,174.31
2024-04-11,174.8
2024-04-12,170.48
2024-04-13,
2024-04-14,
2024-04-15,170.47
2024-04-16,175.99
2024-04-17,170.12
2024-04-18,170.0
2024-04-19,159.92
2024-04-20,
2024-04-21,
2024-04-22,162.78
2024-04-23,168.18
2024-04-24,166.57
2024-04-25,170.92
2024-04-26,174.34
2024-04-27,
2024-04-28,
2024-04-29,174.09
2024-04-30,169.9
2024-05-01,167.34
2024-05-02,174.22
2024-05-03,178.29
2024-05-04,
2024-05-05,
2024-05-06,182.1
2024-05-07,183.53
2024-05-08,181.12
2024-05-09,193.14
2024-05-10,193.5
2024-05-11,
2024-05-12,
2024-05-13,193.5
2024-05-14,200.0
2024-05-15,202.15
2024-05-16,194.52
2024-05-17,196.23
2024-05-18,
2024-05-19,
2024-05-20,203.41
2024-05-21,204.09
2024-05-22,207.88
2024-05-23,210.77
2024-05-24,213.61
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,219.11
2024-05-29,215.99
2024-05-30,211.64
2024-05-31,208.65
2024-06-01,
2024-06-02,
2024-06-03,213.11
2024-06-04,207.59
2024-06-05,218.52
2024-06-06,219.8
2024-06-07,219.5
2024-06-08,
2024-06-09,
2024-06-10,225.23
2024-06-11,224.83
2024-06-12,234.88
2024-06-13,237.31
2024-06-14,237.98
2024-06-15,
2024-06-16,
2024-06-17,239.09
2024-06-18,241.11
2024-06-19,
2024-06-20,232.77
2024-06-21,228.9
2024-06-22,
2024-06-23,
2024-06-24,224.14
2024-06-25,234.15
2024-06-26,230.52
2024-06-27,235.17
2024-06-28,234.53
2024-06-29,
2024-06-30,
2024-07-01,232.85
2024-07-02,235.54
2024-07-03,238.59
2024-07-04,
2024-07-05,238.53
2024-07-06,
2024-07-07,
2024-07-08,239.89
2024-07-09,244.49
2024-07-10,242.44
2024-07-11,231.74
2024-07-12,235.92
2024-07-13,
2024-07-14,
2024-07-15,240.25
2024-07-16,241.71
2024-07-17,209.83
2024-07-18,206.46
2024-07-19,203.58
2024-07-20,
2024-07-21,
2024-07-22,215.32
2024-07-23,216.98
2024-07-24,205.67
2024-07-25,197.18
2024-07-26,198.6
2024-07-27,
2024-07-28,
2024-07-29,201.38
2024-07-30,197.62
2024-07-31,206.47
2024-08-01,189.23
2024-08-02,172.87
2024-08-03,
2024-08-04,
2024-08-05,176.21
2024-08-06,182.49
2024-08-07,180.96
2024-08-08,216.22
2024-08-09,225.44
2024-08-10,
2024-08-11,
2024-08-12,223.64
2024-08-13,229.03
2024-08-14,226.72
2024-08-15,236.41
2024-08-16,232.93
2024-08-17,
2024-08-18,
2024-08-19,234.04
2024-08-20,230.68
2024-08-21,230.13
2024-08-22,223.35
2024-08-23,223.01
2024-08-24,
2024-08-25,
2024-08-26,218.61
2024-08-27,224.95
2024-08-28,219.89
2024-08-29,220.35
2024-08-30,223.55
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,201.66
2024-09-04,207.37
2024-09-05,199.83
2024-09-06,197.2
2024-09-07,
2024-09-08,
2024-09-09,196.01
2024-09-10,198.02
2024-09-11,201.68
2024-09-12,204.84
2024-09-13,206.71
2024-09-14,
2024-09-15,
2024-09-16,189.27
2024-09-17,194.71
2024-09-18,192.34
2024-09-19,205.3
2024-09-20,200.39
2024-09-21,
2024-09-22,
2024-09-23,201.17
2024-09-24,203.15
2024-09-25,200.62
2024-09-26,211.79
2024-09-27,209.61
2024-09-28,
2024-09-29,
2024-09-30,208.34
2024-10-01,197.88
2024-10-02,200.11
2024-10-03,199.69
2024-10-04,202.6
2024-10-05,
2024-10-06,
2024-10-07,200.57
2024-10-08,208.76
2024-10-09,210.72
2024-10-10,210.08
2024-10-11,216.49
2024-10-12,
2024-10-13,
2024-10-14,221.56
2024-10-15,198.74
2024-10-16,188.57
2024-10-17,187.2
2024-10-18,184.21
2024-10-19,
2024-10-20,
2024-10-21,186.03
2024-10-22,182.45
2024-10-23,182.88
2024-10-24,183.56
2024-10-25,184.24
2024-10-26,
2024-10-27,
2024-10-28,189.06
2024-10-29,199.67
2024-10-30,197.58
2024-10-31,185.3
2024-11-01,184.99
2024-11-02,
2024-11-03,
2024-11-04,182.52
2024-11-05,181.29
2024-11-06,191.31
2024-11-07,206.37
2024-11-08,197.68
2024-11-09,
2024-11-10,
2024-11-11,199.28
2024-11-12,203.83
2024-11-13,189.47
2024-11-14,190.26
2024-11-15,178.67
2024-11-16,
2024-11-17,
2024-11-18,177.21
2024-11-19,176.96
2024-11-20,174.18
2024-11-21,179.72
2024-11-22,179.76
2024-11-23,
2024-11-24,
2024-11-25,176.1
2024-11-26,174.53
2024-11-27,172.39
2024-11-28,
2024-11-29,183.76
2024-11-30,
2024-12-01,
2024-12-02,190.5
2024-12-03,189.91
2024-12-04,189.76
2024-12-05,185.89
2024-12-06,195.18
2024-12-07,
2024-12-08,
2024-12-09,198.5
2024-12-10,190.3
2024-12-11,192.0
2024-12-12,189.55
2024-12-13,188.33
2024-12-14,
2024-12-15,
2024-12-16,190.41
2024-12-17,197.65
2024-12-18,196.58
2024-12-19,194.88
2024-12-20,193.53
2024-12-21,
2024-12-22,
2024-12-23,199.17
2024-12-24,203.15
2024-12-25,
2024-12-26,202.44
2024-12-27,200.05
2024-12-28,
2024-12-29,
2024-12-30,197.18
2024-12-31,196.95
2025-01-01,
2025-01-02,202.83
2025-01-03,204.64
2025-01-04,
2025-01-05,
2025-01-06,214.62
2025-01-07,216.41
2025-01-08,219.71
2025-01-09,
2025-01-10,217.72
2025-01-11,
2025-01-12,
2025-01-13,217.85
2025-01-14,228.92
2025-01-15,232.66
2025-01-16,242.33
2025-01-17,244.91
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,258.49
2025-01-22,256.88
2025-01-23,251.81
2025-01-24,252.38
2025-01-25,
2025-01-26,
2025-01-27,222.42
2025-01-28,229.09
2025-01-29,232.38
2025-01-30,242.01
2025-01-31,245.18
2025-02-01,
2025-02-02,
2025-02-03,242.16
2025-02-04,241.51
2025-02-05,248.6
2025-02-06,253.76
2025-02-07,251.37
2025-02-08,
2025-02-09,
2025-02-10,253.3
2025-02-11,249.09
2025-02-12,245.43
2025-02-13,269.0
2025-02-14,267.97
2025-02-15,
2025-02-16,
2025-02-17,
2025-02-18,273.07
2025-02-19,273.08
2025-02-20,273.65
2025-02-21,268.83
2025-02-22,
2025-02-23,
2025-02-24,259.15
2025-02-25,250.43
2025-02-26,252.65
2025-02-27,239.15
2025-02-28,239.18
2025-03-01,
2025-03-02,
2025-03-03,228.07
2025-03-04,223.52
2025-03-05,227.33
2025-03-06,215.62
2025-03-07,226.02
2025-03-08,
2025-03-09,
2025-03-10,212.69
2025-03-11,211.64
2025-03-12,224.75
2025-03-13,215.22
2025-03-14,219.13
2025-03-15,
2025-03-16,
2025-03-17,206.27
2025-03-18,198.25
2025-03-19,195.47
2025-03-20,200.96
2025-03-21,196.76
2025-03-22,
2025-03-23,
2025-03-24,203.74
2025-03-25,201.37
2025-03-26,201.04
2025-03-27,192.83
2025-03-28,186.43
2025-03-29,
2025-03-30,
2025-03-31,184.33
2025-04-01,184.9
2025-04-02,191.68
2025-04-03,172.19
2025-04-04,162.03
2025-04-05,
2025-04-06,
2025-04-07,170.61
2025-04-08,166.72
2025-04-09,191.73
2025-04-10,177.98
2025-04-11,179.78
2025-04-12,
2025-04-13,
2025-04-14,184.16
2025-04-15,186.78
2025-04-16,174.54
2025-04-17,175.62
2025-04-18,
2025-04-19,
2025-04-20,
2025-04-21,172.87
2025-04-22,174.13
2025-04-23,181.86
2025-04-24,196.75
2025-04-25,196.65
2025-04-26,
2025-04-27,
2025-04-28,196.04
2025-04-29,194.63
2025-04-30,196.21
2025-05-01,195.65
2025-05-02,202.19
2025-05-03,
2025-05-04,
2025-05-05,196.07
2025-05-06,193.88
2025-05-07,200.72
2025-05-08,186.75
2025-05-09,183.52
2025-05-10,
2025-05-11,
2025-05-12,195.64
2025-05-13,202.49
2025-05-14,199.16
2025-05-15,195.13
2025-05-16,191.77
2025-05-17,
2025-05-18,
2025-05-19,190.17
2025-05-20,188.85
2025-05-21,184.2
2025-05-22,184.71
2025-05-23,183.0
2025-05-24,
2025-05-25,
2025-05-26,
2025-05-27,198.09
2025-05-28,200.89
2025-05-29,217.85
2025-05-30,213.62
2025-05-31,
2025-06-01,
2025-06-02,211.8
2025-06-03,209.72
2025-06-04,222.61
2025-06-05,216.46
2025-06-06,217.0
2025-06-07,
2025-06-08,
2025-06-09,220.89
2025-06-10,226.24
2025-06-11,232.85
2025-06-12,228.58
2025-06-13,222.19
2025-06-14,
2025-06-15,
2025-06-16,230.44
2025-06-17,228.04
2025-06-18,232.05
2025-06-19,
2025-06-20,231.17
2025-06-21,
2025-06-22,
2025-06-23,234.1
2025-06-24,248.52
2025-06-25,255.35
2025-06-26,268.88
2025-06-27,267.64
2025-06-28,
2025-06-29,
2025-06-30,275.2
2025-07-01,268.43
2025-07-02,276.43
2025-07-03,284.96
2025-07-04,
2025-07-05,
2025-07-06,
2025-07-07,286.38
2025-07-08,282.36
2025-07-09,282.07
2025-07-10,283.41
2025-07-11,284.16
2025-07-12,
2025-07-13,
2025-07-14,281.94
2025-07-15,285.91
2025-07-16,275.46
2025-07-17,276.22
2025-07-18,278.21
2025-07-19,
2025-07-20,
2025-07-21,284.92
2025-07-22,274.61
2025-07-23,268.63
2025-07-24,261.58
2025-07-25,258.62
2025-07-26,
2025-07-27,
2025-07-28,269.13
2025-07-29,270.5
2025-07-30,273.84
2025-07-31,262.59
2025-08-01,263.55
2025-08-02,
2025-08-03,
2025-08-04,272.75
2025-08-05,263.49
2025-08-06,257.71
2025-08-07,262.57
2025-08-08,270.31
2025-08-09,
2025-08-10,
2025-08-11,272.31
2025-08-12,271.5
2025-08-13,274.43
2025-08-14,270.83
2025-08-15,254.36
2025-08-16,
2025-08-17,
