Date,Close
2020-01-01,
2020-01-02,23.42
2020-01-03,22.62
2020-01-04,
2020-01-05,
2020-01-06,22.24
2020-01-07,22.1
2020-01-08,21.96
2020-01-09,21.5
2020-01-10,20.56
2020-01-11,
2020-01-12,
2020-01-13,20.34
2020-01-14,19.97
2020-01-15,19.53
2020-01-16,20.2
2020-01-17,19.95
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,19.6
2020-01-22,19.38
2020-01-23,19.44
2020-01-24,15.8
2020-01-25,
2020-01-26,
2020-01-27,14.36
2020-01-28,14.81
2020-01-29,14.94
2020-01-30,15.08
2020-01-31,14.9
2020-02-01,
2020-02-02,
2020-02-03,14.72
2020-02-04,14.8
2020-02-05,15.4
2020-02-06,15.26
2020-02-07,13.67
2020-02-08,
2020-02-09,
2020-02-10,13.53
2020-02-11,14.37
2020-02-12,15.76
2020-02-13,15.81
2020-02-14,15.54
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,15.45
2020-02-19,15.6
2020-02-20,15.48
2020-02-21,15.1
2020-02-22,
2020-02-23,
2020-02-24,14.09
2020-02-25,12.55
2020-02-26,11.84
2020-02-27,10.66
2020-02-28,11.99
2020-02-29,
2020-03-01,
2020-03-02,12.18
2020-03-03,11.4
2020-03-04,11.68
2020-03-05,10.66
2020-03-06,10.29
2020-03-07,
2020-03-08,
2020-03-09,8.3
2020-03-10,8.05
2020-03-11,7.7
2020-03-12,6.63
2020-03-13,7.31
2020-03-14,
2020-03-15,
2020-03-16,6.37
2020-03-17,6.11
2020-03-18,4.57
2020-03-19,5.9
2020-03-20,6.26
2020-03-21,
2020-03-22,
2020-03-23,6.5
2020-03-24,7.37
2020-03-25,7.07
2020-03-26,7.57
2020-03-27,6.33
2020-03-28,
2020-03-29,
2020-03-30,6.85
2020-03-31,6.97
2020-04-01,6.21
2020-04-02,6.37
2020-04-03,6.13
2020-04-04,
2020-04-05,
2020-04-06,6.6
2020-04-07,7.7
2020-04-08,8.9
2020-04-09,8.31
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,8.17
2020-04-14,8.02
2020-04-15,7.52
2020-04-16,7.43
2020-04-17,7.94
2020-04-18,
2020-04-19,
2020-04-20,7.87
2020-04-21,7.53
2020-04-22,7.55
2020-04-23,8.1
2020-04-24,8.2
2020-04-25,
2020-04-26,
2020-04-27,8.72
2020-04-28,9.1
2020-04-29,10.09
2020-04-30,9.98
2020-05-01,8.59
2020-05-02,
2020-05-03,
2020-05-04,8.72
2020-05-05,8.36
2020-05-06,7.71
2020-05-07,8.1
2020-05-08,9.95
2020-05-09,
2020-05-10,
2020-05-11,9.02
2020-05-12,8.21
2020-05-13,7.73
2020-05-14,8.38
2020-05-15,8.39
2020-05-16,
2020-05-17,
2020-05-18,9.3
2020-05-19,9.27
2020-05-20,9.95
2020-05-21,9.61
2020-05-22,9.38
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,10.57
2020-05-27,11.46
2020-05-28,11.29
2020-05-29,11.16
2020-05-30,
2020-05-31,
2020-06-01,11.43
2020-06-02,12.01
2020-06-03,12.39
2020-06-04,12.64
2020-06-05,13.28
2020-06-06,
2020-06-07,
2020-06-08,14.15
2020-06-09,13.67
2020-06-10,13.15
2020-06-11,11.44
2020-06-12,12.23
2020-06-13,
2020-06-14,
2020-06-15,12.64
2020-06-16,13.54
2020-06-17,12.85
2020-06-18,12.81
2020-06-19,12.54
2020-06-20,
2020-06-21,
2020-06-22,12.45
2020-06-23,13.06
2020-06-24,12.58
2020-06-25,13.09
2020-06-26,12.7
2020-06-27,
2020-06-28,
2020-06-29,13.15
2020-06-30,13.51
2020-07-01,12.85
2020-07-02,12.89
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,13.04
2020-07-07,12.43
2020-07-08,12.42
2020-07-09,12.16
2020-07-10,12.92
2020-07-11,
2020-07-12,
2020-07-13,13.26
2020-07-14,13.71
2020-07-15,14.32
2020-07-16,14.26
2020-07-17,14.3
2020-07-18,
2020-07-19,
2020-07-20,14.29
2020-07-21,14.81
2020-07-22,14.93
2020-07-23,15.42
2020-07-24,15.32
2020-07-25,
2020-07-26,
2020-07-27,15.4
2020-07-28,15.19
2020-07-29,15.72
2020-07-30,15.83
2020-07-31,15.96
2020-08-01,
2020-08-02,
2020-08-03,16.86
2020-08-04,16.6
2020-08-05,16.31
2020-08-06,15.15
2020-08-07,15.66
2020-08-08,
2020-08-09,
2020-08-10,16.95
2020-08-11,16.34
2020-08-12,16.06
2020-08-13,15.63
2020-08-14,15.34
2020-08-15,
2020-08-16,
2020-08-17,14.87
2020-08-18,14.65
2020-08-19,14.76
2020-08-20,14.54
2020-08-21,14.44
2020-08-22,
2020-08-23,
2020-08-24,14.71
2020-08-25,14.31
2020-08-26,14.2
2020-08-27,14.41
2020-08-28,14.54
2020-08-29,
2020-08-30,
2020-08-31,14.15
2020-09-01,14.5
2020-09-02,14.55
2020-09-03,14.19
2020-09-04,14.35
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,13.53
2020-09-09,13.68
2020-09-10,13.48
2020-09-11,13.2
2020-09-12,
2020-09-13,
2020-09-14,13.61
2020-09-15,13.74
2020-09-16,14.56
2020-09-17,15.37
2020-09-18,15.34
2020-09-19,
2020-09-20,
2020-09-21,14.0
2020-09-22,13.45
2020-09-23,12.89
2020-09-24,13.07
2020-09-25,13.09
2020-09-26,
2020-09-27,
2020-09-28,13.97
2020-09-29,13.78
2020-09-30,13.91
2020-10-01,14.03
2020-10-02,14.43
2020-10-03,
2020-10-04,
2020-10-05,14.85
2020-10-06,14.68
2020-10-07,14.89
2020-10-08,15.25
2020-10-09,15.11
2020-10-10,
2020-10-11,
2020-10-12,15.41
2020-10-13,14.98
2020-10-14,14.63
2020-10-15,15.3
2020-10-16,15.17
2020-10-17,
2020-10-18,
2020-10-19,14.89
2020-10-20,15.23
2020-10-21,15.28
2020-10-22,15.77
2020-10-23,15.76
2020-10-24,
2020-10-25,
2020-10-26,14.82
2020-10-27,14.61
2020-10-28,13.54
2020-10-29,13.39
2020-10-30,12.9
2020-10-31,
2020-11-01,
2020-11-02,13.41
2020-11-03,13.53
2020-11-04,12.76
2020-11-05,13.11
2020-11-06,12.76
2020-11-07,
2020-11-08,
2020-11-09,14.92
2020-11-10,15.56
2020-11-11,15.11
2020-11-12,14.97
2020-11-13,15.31
2020-11-14,
2020-11-15,
2020-11-16,16.23
2020-11-17,15.97
2020-11-18,16.73
2020-11-19,17.11
2020-11-20,17.01
2020-11-21,
2020-11-22,
2020-11-23,17.84
2020-11-24,18.5
2020-11-25,18.02
2020-11-26,
2020-11-27,18.01
2020-11-28,
2020-11-29,
2020-11-30,16.95
2020-12-01,17.58
2020-12-02,17.9
2020-12-03,18.03
2020-12-04,19.13
2020-12-05,
2020-12-06,
2020-12-07,19.15
2020-12-08,19.16
2020-12-09,18.41
2020-12-10,18.2
2020-12-11,17.52
2020-12-12,
2020-12-13,
2020-12-14,17.64
2020-12-15,17.56
2020-12-16,17.08
2020-12-17,17.43
2020-12-18,17.06
2020-12-19,
2020-12-20,
2020-12-21,16.64
2020-12-22,16.79
2020-12-23,17.21
2020-12-24,17.44
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,17.09
2020-12-29,16.83
2020-12-30,17.59
2020-12-31,17.98
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,17.07
2021-01-05,18.22
2021-01-06,19.52
2021-01-07,19.35
2021-01-08,18.93
2021-01-09,
2021-01-10,
2021-01-11,18.89
2021-01-12,19.34
2021-01-13,18.52
2021-01-14,18.93
2021-01-15,18.61
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,18.72
2021-01-20,18.34
2021-01-21,17.61
2021-01-22,18.18
2021-01-23,
2021-01-24,
2021-01-25,17.98
2021-01-26,17.69
2021-01-27,17.91
2021-01-28,17.55
2021-01-29,16.63
2021-01-30,
2021-01-31,
2021-02-01,17.36
2021-02-02,17.63
2021-02-03,17.54
2021-02-04,17.68
2021-02-05,17.81
2021-02-06,
2021-02-07,
2021-02-08,18.92
2021-02-09,19.13
2021-02-10,19.15
2021-02-11,19.15
2021-02-12,18.79
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,19.22
2021-02-17,19.38
2021-02-18,19.15
2021-02-19,19.75
2021-02-20,
2021-02-21,
2021-02-22,20.55
2021-02-23,21.77
2021-02-24,21.59
2021-02-25,18.28
2021-02-26,16.36
2021-02-27,
2021-02-28,
2021-03-01,18.58
2021-03-02,17.02
2021-03-03,16.55
2021-03-04,16.29
2021-03-05,16.95
2021-03-06,
2021-03-07,
2021-03-08,17.27
2021-03-09,17.25
2021-03-10,18.1
2021-03-11,17.93
2021-03-12,17.79
2021-03-13,
2021-03-14,
2021-03-15,17.44
2021-03-16,18.1
2021-03-17,18.25
2021-03-18,17.91
2021-03-19,18.5
2021-03-20,
2021-03-21,
2021-03-22,18.21
2021-03-23,16.61
2021-03-24,16.3
2021-03-25,16.65
2021-03-26,17.03
2021-03-27,
2021-03-28,
2021-03-29,16.55
2021-03-30,16.78
2021-03-31,17.15
2021-04-01,17.84
2021-04-02,
2021-04-03,
2021-04-04,
2021-04-05,17.74
2021-04-06,17.71
2021-04-07,17.38
2021-04-08,17.52
2021-04-09,17.76
2021-04-10,
2021-04-11,
2021-04-12,18.0
2021-04-13,17.53
2021-04-14,18.15
2021-04-15,18.39
2021-04-16,18.57
2021-04-17,
2021-04-18,
2021-04-19,18.38
2021-04-20,17.09
2021-04-21,17.93
2021-04-22,17.54
2021-04-23,17.98
2021-04-24,
2021-04-25,
2021-04-26,18.68
2021-04-27,18.47
2021-04-28,18.64
2021-04-29,18.35
2021-04-30,17.93
2021-05-01,
2021-05-02,
2021-05-03,18.83
2021-05-04,19.16
2021-05-05,20.84
2021-05-06,21.67
2021-05-07,22.55
2021-05-08,
2021-05-09,
2021-05-10,21.53
2021-05-11,21.72
2021-05-12,21.14
2021-05-13,22.5
2021-05-14,22.78
2021-05-15,
2021-05-16,
2021-05-17,22.87
2021-05-18,22.87
2021-05-19,22.54
2021-05-20,22.27
2021-05-21,22.5
2021-05-22,
2021-05-23,
2021-05-24,22.47
2021-05-25,21.92
2021-05-26,21.86
2021-05-27,22.29
2021-05-28,22.42
2021-05-29,
2021-05-30,
2021-05-31,
2021-06-01,23.18
2021-06-02,22.86
2021-06-03,22.76
2021-06-04,23.08
2021-06-05,
2021-06-06,
2021-06-07,22.75
2021-06-08,23.53
2021-06-09,23.29
2021-06-10,23.11
2021-06-11,23.06
2021-06-12,
2021-06-13,
2021-06-14,22.55
2021-06-15,22.23
2021-06-16,22.34
2021-06-17,21.27
2021-06-18,20.64
2021-06-19,
2021-06-20,
2021-06-21,21.19
2021-06-22,21.51
2021-06-23,21.08
2021-06-24,21.9
2021-06-25,20.98
2021-06-26,
2021-06-27,
2021-06-28,20.25
2021-06-29,20.24
2021-06-30,20.42
2021-07-01,20.97
2021-07-02,21.22
2021-07-03,
2021-07-04,
2021-07-05,
2021-07-06,19.65
2021-07-07,19.37
2021-07-08,19.29
2021-07-09,19.85
2021-07-10,
2021-07-11,
2021-07-12,19.94
2021-07-13,19.4
2021-07-14,19.48
2021-07-15,19.59
2021-07-16,19.01
2021-07-17,
2021-07-18,
2021-07-19,18.36
2021-07-20,19.01
2021-07-21,19.26
2021-07-22,18.68
2021-07-23,18.71
2021-07-24,
2021-07-25,
2021-07-26,19.24
2021-07-27,19.4
2021-07-28,19.8
2021-07-29,20.1
2021-07-30,20.12
2021-07-31,
2021-08-01,
2021-08-02,20.04
2021-08-03,20.2
2021-08-04,18.92
2021-08-05,18.48
2021-08-06,18.75
2021-08-07,
2021-08-08,
2021-08-09,18.92
2021-08-10,19.2
2021-08-11,19.69
2021-08-12,19.4
2021-08-13,18.93
2021-08-14,
2021-08-15,
2021-08-16,18.7
2021-08-17,18.32
2021-08-18,18.0
2021-08-19,17.72
2021-08-20,18.24
2021-08-21,
2021-08-22,
2021-08-23,18.64
2021-08-24,19.15
2021-08-25,19.06
2021-08-26,18.23
2021-08-27,18.7
2021-08-28,
2021-08-29,
2021-08-30,18.36
2021-08-31,18.24
2021-09-01,18.09
2021-09-02,18.41
2021-09-03,18.25
2021-09-04,
2021-09-05,
2021-09-06,
2021-09-07,18.29
2021-09-08,17.88
2021-09-09,17.69
2021-09-10,17.22
2021-09-11,
2021-09-12,
2021-09-13,17.39
2021-09-14,16.63
2021-09-15,16.99
2021-09-16,16.43
2021-09-17,16.4
2021-09-18,
2021-09-19,
2021-09-20,15.82
2021-09-21,15.62
2021-09-22,16.25
2021-09-23,16.51
2021-09-24,16.53
2021-09-25,
2021-09-26,
2021-09-27,17.36
2021-09-28,17.11
2021-09-29,17.21
2021-09-30,16.95
2021-10-01,17.53
2021-10-02,
2021-10-03,
2021-10-04,17.55
2021-10-05,17.62
2021-10-06,16.83
2021-10-07,17.04
2021-10-08,16.97
2021-10-09,
2021-10-10,
2021-10-11,16.73
2021-10-12,16.84
2021-10-13,17.09
2021-10-14,16.86
2021-10-15,17.02
2021-10-16,
2021-10-17,
2021-10-18,16.98
2021-10-19,16.97
2021-10-20,17.35
2021-10-21,17.22
2021-10-22,17.25
2021-10-23,
2021-10-24,
2021-10-25,17.59
2021-10-26,17.11
2021-10-27,16.74
2021-10-28,17.17
2021-10-29,17.1
2021-10-30,
2021-10-31,
2021-11-01,18.15
2021-11-02,14.49
2021-11-03,13.95
2021-11-04,14.31
2021-11-05,15.43
2021-11-06,
2021-11-07,
2021-11-08,14.99
2021-11-09,14.91
2021-11-10,15.09
2021-11-11,15.28
2021-11-12,15.07
2021-11-13,
2021-11-14,
2021-11-15,14.98
2021-11-16,14.94
2021-11-17,14.7
2021-11-18,14.58
2021-11-19,14.39
2021-11-20,
2021-11-21,
2021-11-22,14.38
2021-11-23,14.99
2021-11-24,15.11
2021-11-25,
2021-11-26,14.72
2021-11-27,
2021-11-28,
2021-11-29,14.5
2021-11-30,14.58
2021-12-01,14.57
2021-12-02,15.39
2021-12-03,15.48
2021-12-04,
2021-12-05,
2021-12-06,16.3
2021-12-07,16.15
2021-12-08,16.31
2021-12-09,16.2
2021-12-10,16.12
2021-12-11,
2021-12-12,
2021-12-13,15.84
2021-12-14,15.76
2021-12-15,15.89
2021-12-16,15.88
2021-12-17,16.39
2021-12-18,
2021-12-19,
2021-12-20,16.0
2021-12-21,16.68
2021-12-22,16.73
2021-12-23,17.12
2021-12-24,
2021-12-25,
2021-12-26,
2021-12-27,17.48
2021-12-28,17.42
2021-12-29,17.38
2021-12-30,16.86
2021-12-31,16.71
2022-01-01,
2022-01-02,
2022-01-03,16.88
2022-01-04,17.03
2022-01-05,16.62
2022-01-06,16.82
2022-01-07,16.35
2022-01-08,
2022-01-09,
2022-01-10,16.34
2022-01-11,16.53
2022-01-12,16.71
2022-01-13,17.23
2022-01-14,17.39
2022-01-15,
2022-01-16,
2022-01-17,
2022-01-18,17.06
2022-01-19,16.78
2022-01-20,16.12
2022-01-21,15.93
2022-01-22,
2022-01-23,
2022-01-24,16.31
2022-01-25,16.07
2022-01-26,15.53
2022-01-27,15.2
2022-01-28,15.46
2022-01-29,
2022-01-30,
2022-01-31,15.7
2022-02-01,15.95
2022-02-02,15.81
2022-02-03,15.42
2022-02-04,15.25
2022-02-05,
2022-02-06,
2022-02-07,15.13
2022-02-08,15.83
2022-02-09,15.98
2022-02-10,15.76
2022-02-11,15.59
2022-02-12,
2022-02-13,
2022-02-14,15.72
2022-02-15,16.24
2022-02-16,16.74
2022-02-17,16.41
2022-02-18,16.16
2022-02-19,
2022-02-20,
2022-02-21,
2022-02-22,15.81
2022-02-23,15.55
2022-02-24,11.02
2022-02-25,11.63
2022-02-26,
2022-02-27,
2022-02-28,11.91
2022-03-01,12.01
2022-03-02,12.77
2022-03-03,12.96
2022-03-04,12.65
2022-03-05,
2022-03-06,
2022-03-07,12.68
2022-03-08,13.0
2022-03-09,13.31
2022-03-10,13.46
2022-03-11,13.54
2022-03-12,
2022-03-13,
2022-03-14,13.7
2022-03-15,13.4
2022-03-16,13.51
2022-03-17,13.61
2022-03-18,13.41
2022-03-19,
2022-03-20,
2022-03-21,13.0
2022-03-22,12.72
2022-03-23,12.34
2022-03-24,12.21
2022-03-25,12.27
2022-03-26,
2022-03-27,
2022-03-28,11.94
2022-03-29,12.22
2022-03-30,12.14
2022-03-31,12.24
2022-04-01,12.4
2022-04-02,
2022-04-03,
2022-04-04,12.33
2022-04-05,11.93
2022-04-06,11.35
2022-04-07,11.39
2022-04-08,11.22
2022-04-09,
2022-04-10,
2022-04-11,11.19
2022-04-12,11.32
2022-04-13,11.45
2022-04-14,11.33
2022-04-15,
2022-04-16,
2022-04-17,
2022-04-18,11.16
2022-04-19,11.52
2022-04-20,11.6
2022-04-21,11.62
2022-04-22,11.0
2022-04-23,
2022-04-24,
2022-04-25,10.88
2022-04-26,10.41
2022-04-27,10.43
2022-04-28,10.65
2022-04-29,10.22
2022-04-30,
2022-05-01,
2022-05-02,10.28
2022-05-03,8.56
2022-05-04,9.04
2022-05-05,8.5
2022-05-06,8.39
2022-05-07,
2022-05-08,
2022-05-09,7.85
2022-05-10,7.81
2022-05-11,7.81
2022-05-12,7.9
2022-05-13,8.01
2022-05-14,
2022-05-15,
2022-05-16,7.89
2022-05-17,8.2
2022-05-18,8.02
2022-05-19,7.82
2022-05-20,7.52
2022-05-21,
2022-05-22,
2022-05-23,7.86
2022-05-24,7.59
2022-05-25,7.62
2022-05-26,7.84
2022-05-27,8.35
2022-05-28,
2022-05-29,
2022-05-30,
2022-05-31,8.3
2022-06-01,8.23
2022-06-02,8.32
2022-06-03,8.34
2022-06-04,
2022-06-05,
2022-06-06,8.52
2022-06-07,8.76
2022-06-08,8.56
2022-06-09,8.35
2022-06-10,7.86
2022-06-11,
2022-06-12,
2022-06-13,7.59
2022-06-14,7.49
2022-06-15,7.57
2022-06-16,7.19
2022-06-17,7.36
2022-06-18,
2022-06-19,
2022-06-20,
2022-06-21,7.21
2022-06-22,7.17
2022-06-23,7.27
2022-06-24,7.5
2022-06-25,
2022-06-26,
2022-06-27,7.48
2022-06-28,7.35
2022-06-29,7.06
2022-06-30,7.11
2022-07-01,7.24
2022-07-02,
2022-07-03,
2022-07-04,
2022-07-05,6.8
2022-07-06,6.5
2022-07-07,6.53
2022-07-08,6.56
2022-07-09,
2022-07-10,
2022-07-11,6.38
2022-07-12,6.01
2022-07-13,5.92
2022-07-14,5.8
2022-07-15,4.91
2022-07-16,
2022-07-17,
2022-07-18,5.01
2022-07-19,5.22
2022-07-20,5.23
2022-07-21,4.91
2022-07-22,4.67
2022-07-23,
2022-07-24,
2022-07-25,4.72
2022-07-26,4.54
2022-07-27,4.83
2022-07-28,4.82
2022-07-29,4.81
2022-07-30,
2022-07-31,
2022-08-01,4.8
2022-08-02,5.25
2022-08-03,5.47
2022-08-04,5.86
2022-08-05,6.39
2022-08-06,
2022-08-07,
2022-08-08,6.49
2022-08-09,6.28
2022-08-10,6.52
2022-08-11,6.56
2022-08-12,6.6
2022-08-13,
2022-08-14,
2022-08-15,6.57
2022-08-16,6.55
2022-08-17,6.17
2022-08-18,6.19
2022-08-19,6.04
2022-08-20,
2022-08-21,
2022-08-22,5.75
2022-08-23,5.85
2022-08-24,6.13
2022-08-25,6.28
2022-08-26,5.9
2022-08-27,
2022-08-28,
2022-08-29,5.85
2022-08-30,5.78
2022-08-31,5.67
2022-09-01,5.33
2022-09-02,5.24
2022-09-03,
2022-09-04,
2022-09-05,
2022-09-06,5.46
2022-09-07,5.69
2022-09-08,5.73
2022-09-09,5.95
2022-09-10,
2022-09-11,
2022-09-12,5.93
2022-09-13,5.62
2022-09-14,5.2
2022-09-15,5.15
2022-09-16,5.02
2022-09-17,
2022-09-18,
2022-09-19,5.2
2022-09-20,4.99
2022-09-21,4.87
2022-09-22,4.6
2022-09-23,4.22
2022-09-24,
2022-09-25,
2022-09-26,4.15
2022-09-27,4.11
2022-09-28,4.15
2022-09-29,3.89
2022-09-30,3.74
2022-10-01,
2022-10-02,
2022-10-03,4.21
2022-10-04,4.51
2022-10-05,4.74
2022-10-06,4.61
2022-10-07,4.41
2022-10-08,
2022-10-09,
2022-10-10,4.44
2022-10-11,4.47
2022-10-12,4.45
2022-10-13,4.6
2022-10-14,4.37
2022-10-15,
2022-10-16,
2022-10-17,4.6
2022-10-18,4.67
2022-10-19,4.51
2022-10-20,4.44
2022-10-21,4.7
2022-10-22,
2022-10-23,
2022-10-24,4.58
2022-10-25,4.78
2022-10-26,4.82
2022-10-27,4.84
2022-10-28,5.26
2022-10-29,
2022-10-30,
2022-10-31,5.29
2022-11-01,6.48
2022-11-02,5.51
2022-11-03,5.66
2022-11-04,6.06
2022-11-05,
2022-11-06,
2022-11-07,6.15
2022-11-08,6.43
2022-11-09,6.25
2022-11-10,6.58
2022-11-11,6.66
2022-11-12,
2022-11-13,
2022-11-14,6.51
2022-11-15,6.89
2022-11-16,6.86
2022-11-17,6.81
2022-11-18,6.78
2022-11-19,
2022-11-20,
2022-11-21,6.6
2022-11-22,7.19
2022-11-23,7.22
2022-11-24,
