Date,Close
2024-01-01,
2024-01-02,53.57
2024-01-03,52.8
2024-01-04,52.77
2024-01-05,52.98
2024-01-06,
2024-01-07,
2024-01-08,54.4
2024-01-09,54.23
2024-01-10,54.07
2024-01-11,54.21
2024-01-12,53.87
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,53.36
2024-01-17,52.33
2024-01-18,51.33
2024-01-19,51.7
2024-01-20,
2024-01-21,
2024-01-22,50.84
2024-01-23,51.21
2024-01-24,50.3
2024-01-25,50.69
2024-01-26,50.28
2024-01-27,
2024-01-28,
2024-01-29,50.23
2024-01-30,50.47
2024-01-31,49.98
2024-02-01,50.77
2024-02-02,49.8
2024-02-03,
2024-02-04,
2024-02-05,48.38
2024-02-06,49.39
2024-02-07,49.03
2024-02-08,48.85
2024-02-09,48.48
2024-02-10,
2024-02-11,
2024-02-12,48.4
2024-02-13,47.34
2024-02-14,47.22
2024-02-15,47.8
2024-02-16,48.09
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,48.22
2024-02-21,48.42
2024-02-22,48.54
2024-02-23,48.65
2024-02-24,
2024-02-25,
2024-02-26,48.23
2024-02-27,48.07
2024-02-28,47.8
2024-02-29,48.12
2024-03-01,48.24
2024-03-02,
2024-03-03,
2024-03-04,48.68
2024-03-05,48.25
2024-03-06,48.17
2024-03-07,48.24
2024-03-08,48.86
2024-03-09,
2024-03-10,
2024-03-11,49.03
2024-03-12,48.83
2024-03-13,48.28
2024-03-14,47.71
2024-03-15,48.2
2024-03-16,
2024-03-17,
2024-03-18,48.22
2024-03-19,48.11
2024-03-20,48.43
2024-03-21,48.47
2024-03-22,48.1
2024-03-23,
2024-03-24,
2024-03-25,48.18
2024-03-26,48.58
2024-03-27,49.66
2024-03-28,50.2
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,49.61
2024-04-02,49.06
2024-04-03,48.97
2024-04-04,48.83
2024-04-05,49.19
2024-04-06,
2024-04-07,
2024-04-08,49.77
2024-04-09,50.46
2024-04-10,48.38
2024-04-11,48.48
2024-04-12,48.27
2024-04-13,
2024-04-14,
2024-04-15,47.93
2024-04-16,47.14
2024-04-17,47.58
2024-04-18,48.28
2024-04-19,49.22
2024-04-20,
2024-04-21,
2024-04-22,49.49
2024-04-23,49.54
2024-04-24,49.8
2024-04-25,49.92
2024-04-26,49.84
2024-04-27,
2024-04-28,
2024-04-29,50.4
2024-04-30,49.92
2024-05-01,50.27
2024-05-02,51.19
2024-05-03,51.52
2024-05-04,
2024-05-05,
2024-05-06,51.7
2024-05-07,51.3
2024-05-08,51.08
2024-05-09,50.93
2024-05-10,51.29
2024-05-11,
2024-05-12,
2024-05-13,51.24
2024-05-14,51.16
2024-05-15,51.38
2024-05-16,51.46
2024-05-17,51.4
2024-05-18,
2024-05-19,
2024-05-20,51.26
2024-05-21,51.35
2024-05-22,50.09
2024-05-23,48.77
2024-05-24,48.65
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,48.08
2024-05-29,47.71
2024-05-30,48.25
2024-05-31,49.47
2024-06-01,
2024-06-02,
2024-06-03,49.95
2024-06-04,51.0
2024-06-05,50.63
2024-06-06,50.84
2024-06-07,49.96
2024-06-08,
2024-06-09,
2024-06-10,49.39
2024-06-11,48.95
2024-06-12,49.37
2024-06-13,49.87
2024-06-14,50.01
2024-06-15,
2024-06-16,
2024-06-17,49.73
