Date,Close
2020-01-01,
2020-01-02,16.48
2020-01-03,15.81
2020-01-04,
2020-01-05,
2020-01-06,16.16
2020-01-07,16.21
2020-01-08,16.45
2020-01-09,16.57
2020-01-10,16.48
2020-01-11,
2020-01-12,
2020-01-13,16.7
2020-01-14,16.63
2020-01-15,16.72
2020-01-16,17.44
2020-01-17,17.09
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,17.27
2020-01-22,16.57
2020-01-23,16.56
2020-01-24,16.63
2020-01-25,
2020-01-26,
2020-01-27,16.48
2020-01-28,16.27
2020-01-29,16.1
2020-01-30,16.13
2020-01-31,16.08
2020-02-01,
2020-02-02,
2020-02-03,16.24
2020-02-04,16.38
2020-02-05,16.53
2020-02-06,16.3
2020-02-07,16.24
2020-02-08,
2020-02-09,
2020-02-10,16.19
2020-02-11,16.1
2020-02-12,16.26
2020-02-13,16.38
2020-02-14,16.43
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,16.59
2020-02-19,16.64
2020-02-20,16.7
2020-02-21,16.64
2020-02-22,
2020-02-23,
2020-02-24,15.93
2020-02-25,15.49
2020-02-26,15.2
2020-02-27,14.44
2020-02-28,13.92
2020-02-29,
2020-03-01,
2020-03-02,14.26
2020-03-03,13.74
2020-03-04,14.54
2020-03-05,13.8
2020-03-06,14.69
2020-03-07,
2020-03-08,
2020-03-09,14.25
2020-03-10,14.46
2020-03-11,14.12
2020-03-12,13.66
2020-03-13,14.12
2020-03-14,
2020-03-15,
2020-03-16,13.23
2020-03-17,16.41
2020-03-18,14.42
2020-03-19,14.16
2020-03-20,14.5
2020-03-21,
2020-03-22,
2020-03-23,14.01
2020-03-24,14.73
2020-03-25,15.13
2020-03-26,14.93
2020-03-27,15.02
2020-03-28,
2020-03-29,
2020-03-30,15.25
2020-03-31,15.3
2020-04-01,14.84
2020-04-02,15.19
2020-04-03,14.82
2020-04-04,
2020-04-05,
2020-04-06,15.22
2020-04-07,15.15
2020-04-08,15.11
2020-04-09,15.18
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,14.91
