Date,Close
2020-01-01,
2020-01-02,37.03
2020-01-03,36.51
2020-01-04,
2020-01-05,
2020-01-06,35.94
2020-01-07,36.15
2020-01-08,36.76
2020-01-09,36.64
2020-01-10,36.48
2020-01-11,
2020-01-12,
2020-01-13,36.54
2020-01-14,38.08
2020-01-15,37.93
2020-01-16,40.13
2020-01-17,40.15
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,39.5
2020-01-22,38.96
2020-01-23,39.26
2020-01-24,38.55
2020-01-25,
2020-01-26,
2020-01-27,38.02
2020-01-28,38.63
2020-01-29,37.94
2020-01-30,38.25
2020-01-31,37.94
2020-02-01,
2020-02-02,
2020-02-03,38.24
2020-02-04,39.98
2020-02-05,41.08
2020-02-06,41.47
2020-02-07,38.45
2020-02-08,
2020-02-09,
2020-02-10,37.8
2020-02-11,38.71
2020-02-12,39.05
2020-02-13,39.27
2020-02-14,39.63
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,38.7
2020-02-19,38.51
2020-02-20,38.18
2020-02-21,37.18
2020-02-22,
2020-02-23,
2020-02-24,34.88
2020-02-25,33.26
2020-02-26,33.16
2020-02-27,31.31
2020-02-28,30.57
2020-02-29,
2020-03-01,
2020-03-02,31.73
2020-03-03,31.24
2020-03-04,32.94
2020-03-05,32.55
2020-03-06,31.54
2020-03-07,
2020-03-08,
2020-03-09,28.43
2020-03-10,29.34
2020-03-11,27.16
2020-03-12,24.77
2020-03-13,27.98
2020-03-14,
2020-03-15,
2020-03-16,25.43
2020-03-17,28.33
2020-03-18,20.82
2020-03-19,21.54
2020-03-20,21.53
2020-03-21,
2020-03-22,
2020-03-23,24.04
2020-03-24,27.94
2020-03-25,29.48
2020-03-26,30.5
2020-03-27,28.52
2020-03-28,
2020-03-29,
2020-03-30,29.83
2020-03-31,29.67
2020-04-01,28.66
2020-04-02,27.91
2020-04-03,27.9
2020-04-04,
2020-04-05,
2020-04-06,30.49
2020-04-07,31.13
2020-04-08,32.0
2020-04-09,32.11
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,31.18
2020-04-14,32.83
2020-04-15,31.69
2020-04-16,33.03
2020-04-17,33.89
2020-04-18,
2020-04-19,
2020-04-20,32.52
2020-04-21,30.9
2020-04-22,32.71
2020-04-23,31.9
2020-04-24,32.44
2020-04-25,
2020-04-26,
2020-04-27,33.36
2020-04-28,33.64
2020-04-29,35.94
2020-04-30,32.46
2020-05-01,30.52
2020-05-02,
2020-05-03,
2020-05-04,30.45
2020-05-05,31.09
2020-05-06,30.72
2020-05-07,31.57
2020-05-08,33.28
2020-05-09,
2020-05-10,
2020-05-11,32.26
2020-05-12,31.34
2020-05-13,30.38
2020-05-14,31.67
2020-05-15,30.79
2020-05-16,
