Date,Close
2020-01-01,
2020-01-02,24.51
2020-01-03,24.68
2020-01-04,
2020-01-05,
2020-01-06,24.65
2020-01-07,24.55
2020-01-08,24.52
2020-01-09,24.25
2020-01-10,23.95
2020-01-11,
2020-01-12,
2020-01-13,23.97
2020-01-14,23.61
2020-01-15,23.42
2020-01-16,23.89
2020-01-17,24.16
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,23.77
2020-01-22,23.64
2020-01-23,23.46
2020-01-24,23.03
2020-01-25,
2020-01-26,
2020-01-27,22.44
2020-01-28,22.61
2020-01-29,22.73
2020-01-30,22.68
2020-01-31,23.96
2020-02-01,
2020-02-02,
2020-02-03,23.49
2020-02-04,23.83
2020-02-05,24.31
2020-02-06,24.25
2020-02-07,24.3
2020-02-08,
2020-02-09,
2020-02-10,24.16
2020-02-11,23.91
2020-02-12,23.69
2020-02-13,23.62
2020-02-14,23.5
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,23.48
2020-02-19,23.82
2020-02-20,24.18
2020-02-21,24.02
2020-02-22,
2020-02-23,
2020-02-24,23.49
2020-02-25,22.38
2020-02-26,22.23
2020-02-27,21.24
2020-02-28,20.73
2020-02-29,
2020-03-01,
2020-03-02,21.45
2020-03-03,20.9
2020-03-04,21.31
2020-03-05,20.25
2020-03-06,19.84
2020-03-07,
2020-03-08,
2020-03-09,17.88
2020-03-10,18.55
2020-03-11,17.18
2020-03-12,14.77
2020-03-13,17.6
2020-03-14,
2020-03-15,
2020-03-16,14.8
2020-03-17,16.34
2020-03-18,13.0
2020-03-19,14.46
2020-03-20,13.98
2020-03-21,
2020-03-22,
2020-03-23,13.81
2020-03-24,16.03
2020-03-25,16.24
2020-03-26,16.66
2020-03-27,17.32
2020-03-28,
2020-03-29,
2020-03-30,17.45
2020-03-31,17.26
2020-04-01,15.75
2020-04-02,16.33
2020-04-03,15.03
2020-04-04,
2020-04-05,
2020-04-06,16.51
2020-04-07,16.56
2020-04-08,17.07
2020-04-09,17.86
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,17.55
2020-04-14,17.29
2020-04-15,16.45
2020-04-16,16.06
2020-04-17,17.17
2020-04-18,
2020-04-19,
2020-04-20,16.67
2020-04-21,16.28
2020-04-22,16.28
2020-04-23,16.47
2020-04-24,16.86
2020-04-25,
2020-04-26,
2020-04-27,17.7
2020-04-28,18.41
2020-04-29,18.79
2020-04-30,17.98
2020-05-01,18.47
2020-05-02,
2020-05-03,
2020-05-04,16.89
2020-05-05,15.95
2020-05-06,15.92
2020-05-07,16.46
2020-05-08,17.38
2020-05-09,
2020-05-10,
2020-05-11,17.16
2020-05-12,16.43
2020-05-13,15.49
2020-05-14,15.92
2020-05-15,17.15
2020-05-16,
2020-05-17,
2020-05-18,18.4
2020-05-19,18.06
2020-05-20,18.34
2020-05-21,18.08
2020-05-22,17.85
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,18.54
2020-05-27,18.97
2020-05-28,18.77
2020-05-29,18.63
2020-05-30,
2020-05-31,
2020-06-01,18.87
2020-06-02,18.9
2020-06-03,19.25
2020-06-04,19.75
2020-06-05,20.62
2020-06-06,
2020-06-07,
2020-06-08,21.48
2020-06-09,20.77
2020-06-10,19.76
2020-06-11,18.41
2020-06-12,19.01
2020-06-13,
2020-06-14,
2020-06-15,18.9
2020-06-16,18.96
2020-06-17,18.66
2020-06-18,17.99
2020-06-19,17.6
2020-06-20,
2020-06-21,
2020-06-22,17.59
2020-06-23,18.01
2020-06-24,17.36
2020-06-25,17.52
2020-06-26,17.04
2020-06-27,
2020-06-28,
2020-06-29,17.99
2020-06-30,19.16
2020-07-01,18.86
2020-07-02,19.21
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,19.93
2020-07-07,19.13
2020-07-08,18.69
2020-07-09,17.92
2020-07-10,18.72
2020-07-11,
2020-07-12,
2020-07-13,19.28
2020-07-14,19.54
2020-07-15,20.0
2020-07-16,19.53
2020-07-17,19.38
2020-07-18,
2020-07-19,
2020-07-20,18.99
2020-07-21,19.33
2020-07-22,19.0
2020-07-23,19.39
2020-07-24,18.87
2020-07-25,
2020-07-26,
2020-07-27,18.91
2020-07-28,17.88
2020-07-29,18.12
2020-07-30,18.68
2020-07-31,18.64
2020-08-01,
2020-08-02,
2020-08-03,19.18
2020-08-04,19.67
2020-08-05,20.77
2020-08-06,20.65
2020-08-07,20.93
2020-08-08,
2020-08-09,
2020-08-10,21.85
2020-08-11,22.24
2020-08-12,22.53
2020-08-13,22.28
2020-08-14,22.62
2020-08-15,
2020-08-16,
2020-08-17,22.23
2020-08-18,22.46
2020-08-19,23.01
2020-08-20,22.83
2020-08-21,22.19
2020-08-22,
2020-08-23,
2020-08-24,22.53
2020-08-25,22.5
2020-08-26,22.14
2020-08-27,22.14
2020-08-28,22.18
2020-08-29,
2020-08-30,
2020-08-31,21.59
2020-09-01,21.73
2020-09-02,22.52
2020-09-03,23.07
2020-09-04,22.81
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,21.49
2020-09-09,21.3
2020-09-10,21.13
2020-09-11,20.78
2020-09-12,
2020-09-13,
2020-09-14,20.88
2020-09-15,20.45
2020-09-16,21.22
2020-09-17,20.92
2020-09-18,20.46
2020-09-19,
2020-09-20,
2020-09-21,18.99
2020-09-22,19.25
2020-09-23,18.71
2020-09-24,19.09
2020-09-25,19.4
2020-09-26,
2020-09-27,
2020-09-28,19.65
2020-09-29,19.72
2020-09-30,19.72
2020-10-01,19.7
2020-10-02,19.84
2020-10-03,
2020-10-04,
2020-10-05,20.18
2020-10-06,20.59
2020-10-07,21.52
2020-10-08,21.69
2020-10-09,21.74
2020-10-10,
2020-10-11,
2020-10-12,22.77
2020-10-13,22.3
2020-10-14,22.12
2020-10-15,22.48
2020-10-16,22.49
2020-10-17,
2020-10-18,
2020-10-19,22.1
2020-10-20,22.2
2020-10-21,22.22
2020-10-22,22.64
2020-10-23,23.27
2020-10-24,
2020-10-25,
2020-10-26,23.7
2020-10-27,23.99
2020-10-28,23.39
2020-10-29,23.07
2020-10-30,22.15
2020-10-31,
2020-11-01,
2020-11-02,22.27
2020-11-03,22.75
2020-11-04,22.59
2020-11-05,22.91
2020-11-06,22.5
2020-11-07,
2020-11-08,
2020-11-09,23.9
2020-11-10,24.71
2020-11-11,24.64
2020-11-12,24.61
2020-11-13,25.03
2020-11-14,
2020-11-15,
2020-11-16,26.19
2020-11-17,26.49
2020-11-18,25.66
2020-11-19,25.87
2020-11-20,25.88
2020-11-21,
2020-11-22,
2020-11-23,26.02
2020-11-24,26.91
2020-11-25,26.31
2020-11-26,
2020-11-27,26.66
2020-11-28,
2020-11-29,
2020-11-30,26.18
2020-12-01,27.28
2020-12-02,26.92
2020-12-03,27.18
2020-12-04,27.54
2020-12-05,
2020-12-06,
2020-12-07,27.2
2020-12-08,27.19
2020-12-09,27.09
2020-12-10,27.95
2020-12-11,27.73
2020-12-12,
2020-12-13,
2020-12-14,27.83
2020-12-15,28.57
2020-12-16,28.71
2020-12-17,29.48
2020-12-18,29.24
2020-12-19,
2020-12-20,
2020-12-21,29.08
2020-12-22,28.78
2020-12-23,28.74
2020-12-24,29.04
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,28.86
2020-12-29,28.67
2020-12-30,28.76
2020-12-31,28.78
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,28.76
2021-01-05,28.72
2021-01-06,29.47
2021-01-07,29.37
2021-01-08,29.35
2021-01-09,
2021-01-10,
2021-01-11,29.45
2021-01-12,29.53
2021-01-13,29.61
2021-01-14,29.47
2021-01-15,29.83
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,29.88
2021-01-20,29.71
2021-01-21,29.69
2021-01-22,29.65
2021-01-23,
2021-01-24,
2021-01-25,29.27
2021-01-26,29.1
2021-01-27,27.71
2021-01-28,28.06
2021-01-29,31.74
2021-01-30,
2021-01-31,
2021-02-01,33.77
2021-02-02,33.74
2021-02-03,32.93
2021-02-04,33.45
2021-02-05,34.38
2021-02-06,
2021-02-07,
2021-02-08,34.66
2021-02-09,34.23
2021-02-10,34.09
2021-02-11,33.82
2021-02-12,34.08
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,34.29
2021-02-17,34.0
2021-02-18,33.94
2021-02-19,33.94
2021-02-20,
2021-02-21,
2021-02-22,34.57
2021-02-23,34.02
2021-02-24,34.72
2021-02-25,35.17
2021-02-26,34.81
2021-02-27,
2021-02-28,
2021-03-01,36.95
2021-03-02,36.23
2021-03-03,36.3
2021-03-04,35.69
2021-03-05,36.33
2021-03-06,
2021-03-07,
2021-03-08,37.86
2021-03-09,38.31
2021-03-10,39.42
2021-03-11,39.46
2021-03-12,39.67
2021-03-13,
2021-03-14,
2021-03-15,39.42
2021-03-16,39.04
2021-03-17,38.8
2021-03-18,39.76
2021-03-19,38.79
2021-03-20,
2021-03-21,
2021-03-22,37.73
2021-03-23,37.22
2021-03-24,36.37
2021-03-25,36.68
2021-03-26,36.85
2021-03-27,
2021-03-28,
2021-03-29,36.16
2021-03-30,37.0
2021-03-31,36.79
2021-04-01,37.51
2021-04-02,
2021-04-03,
2021-04-04,
2021-04-05,38.17
2021-04-06,38.85
2021-04-07,38.75
2021-04-08,38.46
2021-04-09,38.94
2021-04-10,
2021-04-11,
2021-04-12,39.41
2021-04-13,40.21
2021-04-14,40.51
2021-04-15,40.86
2021-04-16,41.02
2021-04-17,
2021-04-18,
2021-04-19,41.51
2021-04-20,40.68
2021-04-21,41.74
2021-04-22,41.38
2021-04-23,43.55
2021-04-24,
2021-04-25,
2021-04-26,43.14
2021-04-27,43.4
2021-04-28,43.5
2021-04-29,43.65
2021-04-30,47.0
2021-05-01,
2021-05-02,
2021-05-03,46.62
2021-05-04,45.0
2021-05-05,46.24
2021-05-06,46.06
2021-05-07,46.8
2021-05-08,
2021-05-09,
2021-05-10,46.85
2021-05-11,46.02
2021-05-12,43.67
2021-05-13,44.4
2021-05-14,45.0
2021-05-15,
2021-05-16,
2021-05-17,45.56
2021-05-18,44.43
2021-05-19,43.81
2021-05-20,43.91
2021-05-21,44.15
2021-05-22,
2021-05-23,
2021-05-24,45.33
2021-05-25,44.59
2021-05-26,44.82
2021-05-27,45.55
2021-05-28,46.02
2021-05-29,
2021-05-30,
2021-05-31,
2021-06-01,47.11
2021-06-02,45.96
2021-06-03,45.81
2021-06-04,44.87
2021-06-05,
2021-06-06,
2021-06-07,44.88
2021-06-08,45.62
2021-06-09,44.71
2021-06-10,45.65
2021-06-11,46.89
2021-06-12,
2021-06-13,
2021-06-14,47.07
2021-06-15,50.62
2021-06-16,50.76
2021-06-17,48.94
2021-06-18,45.15
2021-06-19,
2021-06-20,
2021-06-21,46.15
2021-06-22,46.0
2021-06-23,46.6
2021-06-24,47.56
2021-06-25,48.2
2021-06-26,
2021-06-27,
2021-06-28,46.64
2021-06-29,46.93
2021-06-30,46.82
2021-07-01,47.39
2021-07-02,46.63
2021-07-03,
2021-07-04,
2021-07-05,
2021-07-06,44.85
2021-07-07,43.35
2021-07-08,40.6
2021-07-09,41.15
2021-07-10,
2021-07-11,
2021-07-12,41.98
2021-07-13,40.35
2021-07-14,40.33
2021-07-15,41.01
2021-07-16,39.75
2021-07-17,
2021-07-18,
2021-07-19,37.84
2021-07-20,39.05
2021-07-21,40.07
2021-07-22,39.4
2021-07-23,40.01
2021-07-24,
2021-07-25,
2021-07-26,40.27
2021-07-27,39.68
2021-07-28,40.06
2021-07-29,41.58
2021-07-30,41.39
2021-07-31,
2021-08-01,
2021-08-02,41.27
2021-08-03,41.05
2021-08-04,40.32
2021-08-05,40.43
2021-08-06,41.43
2021-08-07,
2021-08-08,
2021-08-09,42.03
2021-08-10,42.27
2021-08-11,42.15
2021-08-12,42.25
2021-08-13,41.66
2021-08-14,
2021-08-15,
2021-08-16,41.29
2021-08-17,40.79
2021-08-18,41.02
2021-08-19,40.49
2021-08-20,41.21
2021-08-21,
2021-08-22,
2021-08-23,41.89
2021-08-24,43.15
2021-08-25,42.91
2021-08-26,42.79
2021-08-27,43.93
2021-08-28,
2021-08-29,
2021-08-30,42.96
2021-08-31,43.04
2021-09-01,43.72
2021-09-02,42.98
2021-09-03,42.3
2021-09-04,
2021-09-05,
2021-09-06,
2021-09-07,42.22
2021-09-08,40.77
2021-09-09,40.9
2021-09-10,40.33
2021-09-11,
2021-09-12,
2021-09-13,40.61
2021-09-14,40.16
2021-09-15,40.35
2021-09-16,40.43
2021-09-17,40.8
2021-09-18,
2021-09-19,
2021-09-20,39.85
2021-09-21,39.93
2021-09-22,40.29
2021-09-23,41.36
2021-09-24,41.23
2021-09-25,
2021-09-26,
2021-09-27,42.36
2021-09-28,42.06
2021-09-29,42.56
2021-09-30,41.84
2021-10-01,42.79
2021-10-02,
2021-10-03,
2021-10-04,43.02
2021-10-05,44.05
2021-10-06,44.56
2021-10-07,45.9
2021-10-08,46.31
2021-10-09,
2021-10-10,
2021-10-11,46.59
2021-10-12,46.29
2021-10-13,46.08
2021-10-14,46.29
2021-10-15,46.76
2021-10-16,
2021-10-17,
2021-10-18,46.68
2021-10-19,46.37
2021-10-20,46.6
2021-10-21,46.87
2021-10-22,47.4
2021-10-23,
2021-10-24,
2021-10-25,48.37
2021-10-26,48.16
2021-10-27,46.92
2021-10-28,47.86
2021-10-29,48.09
2021-10-30,
2021-10-31,
2021-11-01,48.65
2021-11-02,48.42
2021-11-03,50.08
2021-11-04,48.61
2021-11-05,49.11
2021-11-06,
2021-11-07,
2021-11-08,49.59
2021-11-09,48.89
2021-11-10,48.59
2021-11-11,49.05
2021-11-12,48.93
2021-11-13,
2021-11-14,
2021-11-15,48.46
2021-11-16,48.89
2021-11-17,48.21
2021-11-18,48.04
2021-11-19,48.35
2021-11-20,
2021-11-21,
2021-11-22,49.55
2021-11-23,49.62
2021-11-24,49.74
2021-11-25,
2021-11-26,47.53
2021-11-27,
2021-11-28,
2021-11-29,47.02
2021-11-30,45.44
2021-12-01,44.59
2021-12-02,45.34
2021-12-03,43.79
2021-12-04,
2021-12-05,
2021-12-06,43.72
2021-12-07,44.34
2021-12-08,43.82
2021-12-09,42.8
2021-12-10,41.1
2021-12-11,
2021-12-12,
2021-12-13,39.3
2021-12-14,39.52
2021-12-15,40.85
2021-12-16,40.8
2021-12-17,40.54
2021-12-18,
2021-12-19,
2021-12-20,39.64
2021-12-21,41.26
2021-12-22,41.65
2021-12-23,41.86
2021-12-24,
2021-12-25,
2021-12-26,
2021-12-27,42.89
2021-12-28,43.06
2021-12-29,44.12
2021-12-30,43.89
2021-12-31,43.94
2022-01-01,
2022-01-02,
2022-01-03,44.39
2022-01-04,44.31
2022-01-05,44.03
2022-01-06,45.36
2022-01-07,46.97
2022-01-08,
2022-01-09,
2022-01-10,46.98
2022-01-11,46.91
2022-01-12,45.32
2022-01-13,45.37
2022-01-14,44.04
2022-01-15,
2022-01-16,
2022-01-17,
2022-01-18,42.48
2022-01-19,41.7
2022-01-20,40.41
2022-01-21,39.47
2022-01-22,
2022-01-23,
2022-01-24,40.22
2022-01-25,39.55
2022-01-26,39.4
2022-01-27,39.04
2022-01-28,39.23
2022-01-29,
2022-01-30,
2022-01-31,40.17
2022-02-01,40.46
2022-02-02,40.21
2022-02-03,39.87
2022-02-04,41.17
2022-02-05,
2022-02-06,
2022-02-07,40.84
2022-02-08,41.43
2022-02-09,41.37
2022-02-10,40.83
2022-02-11,41.11
2022-02-12,
2022-02-13,
2022-02-14,41.0
2022-02-15,41.71
2022-02-16,41.52
2022-02-17,40.58
2022-02-18,40.93
2022-02-19,
2022-02-20,
2022-02-21,
2022-02-22,39.95
2022-02-23,40.05
2022-02-24,39.82
2022-02-25,40.9
2022-02-26,
2022-02-27,
2022-02-28,41.07
2022-03-01,40.16
2022-03-02,41.5
2022-03-03,41.5
2022-03-04,41.29
2022-03-05,
2022-03-06,
2022-03-07,39.77
2022-03-08,39.78
2022-03-09,40.85
2022-03-10,40.62
2022-03-11,40.55
2022-03-12,
2022-03-13,
2022-03-14,41.14
2022-03-15,41.31
2022-03-16,42.07
2022-03-17,41.8
2022-03-18,42.05
2022-03-19,
2022-03-20,
2022-03-21,42.16
2022-03-22,41.8
2022-03-23,40.75
2022-03-24,41.36
2022-03-25,41.76
2022-03-26,
2022-03-27,
2022-03-28,41.72
2022-03-29,42.65
2022-03-30,41.94
2022-03-31,41.44
2022-04-01,40.92
2022-04-02,
2022-04-03,
2022-04-04,40.6
2022-04-05,39.22
2022-04-06,36.37
2022-04-07,34.32
2022-04-08,33.82
2022-04-09,
2022-04-10,
2022-04-11,33.34
2022-04-12,32.65
2022-04-13,33.07
2022-04-14,32.87
2022-04-15,
2022-04-16,
2022-04-17,
2022-04-18,32.75
2022-04-19,33.53
2022-04-20,33.59
2022-04-21,33.07
2022-04-22,31.87
2022-04-23,
2022-04-24,
2022-04-25,31.77
2022-04-26,30.94
2022-04-27,30.57
2022-04-28,31.45
2022-04-29,30.64
2022-04-30,
2022-05-01,
2022-05-02,30.76
2022-05-03,30.97
2022-05-04,31.86
2022-05-05,31.25
2022-05-06,30.73
2022-05-07,
2022-05-08,
2022-05-09,29.76
2022-05-10,29.91
2022-05-11,30.21
2022-05-12,30.34
2022-05-13,30.9
2022-05-14,
2022-05-15,
2022-05-16,30.77
2022-05-17,32.24
2022-05-18,31.42
2022-05-19,31.77
2022-05-20,31.94
2022-05-21,
2022-05-22,
2022-05-23,31.42
2022-05-24,31.47
2022-05-25,33.03
2022-05-26,33.98
2022-05-27,33.58
2022-05-28,
2022-05-29,
2022-05-30,
2022-05-31,34.12
2022-06-01,33.72
2022-06-02,34.19
2022-06-03,33.66
2022-06-04,
2022-06-05,
2022-06-06,34.03
2022-06-07,34.6
2022-06-08,33.55
2022-06-09,33.41
2022-06-10,33.1
2022-06-11,
2022-06-12,
2022-06-13,32.27
2022-06-14,33.21
2022-06-15,33.15
2022-06-16,30.51
2022-06-17,29.95
2022-06-18,
2022-06-19,
2022-06-20,
2022-06-21,31.15
2022-06-22,31.73
2022-06-23,32.65
2022-06-24,33.91
2022-06-25,
2022-06-26,
2022-06-27,33.96
2022-06-28,33.65
2022-06-29,32.78
2022-06-30,31.57
2022-07-01,32.28
2022-07-02,
2022-07-03,
2022-07-04,
2022-07-05,33.1
2022-07-06,32.12
2022-07-07,33.15
2022-07-08,32.92
2022-07-09,
2022-07-10,
2022-07-11,33.22
2022-07-12,33.6
2022-07-13,33.46
2022-07-14,33.19
2022-07-15,33.89
2022-07-16,
2022-07-17,
2022-07-18,33.72
2022-07-19,33.72
2022-07-20,33.92
2022-07-21,34.44
2022-07-22,34.34
2022-07-23,
2022-07-24,
2022-07-25,34.3
2022-07-26,34.17
2022-07-27,34.72
2022-07-28,35.63
2022-07-29,32.09
2022-07-30,
2022-07-31,
2022-08-01,34.58
2022-08-02,34.39
2022-08-03,34.93
2022-08-04,35.21
2022-08-05,35.46
2022-08-06,
2022-08-07,
2022-08-08,35.67
2022-08-09,36.06
2022-08-10,35.87
2022-08-11,35.38
2022-08-12,37.04
2022-08-13,
2022-08-14,
2022-08-15,36.81
2022-08-16,37.14
2022-08-17,36.65
2022-08-18,36.71
2022-08-19,36.24
2022-08-20,
2022-08-21,
2022-08-22,35.17
2022-08-23,34.92
2022-08-24,35.26
2022-08-25,35.49
2022-08-26,35.14
2022-08-27,
2022-08-28,
2022-08-29,34.92
2022-08-30,34.76
2022-08-31,34.82
2022-09-01,34.8
2022-09-02,34.26
2022-09-03,
2022-09-04,
2022-09-05,
2022-09-06,33.45
2022-09-07,28.93
2022-09-08,29.78
2022-09-09,31.3
2022-09-10,
2022-09-11,
2022-09-12,31.43
2022-09-13,29.29
2022-09-14,29.49
2022-09-15,30.73
2022-09-16,31.23
2022-09-17,
2022-09-18,
2022-09-19,32.19
2022-09-20,31.74
2022-09-21,31.82
2022-09-22,30.98
2022-09-23,30.32
2022-09-24,
2022-09-25,
2022-09-26,30.83
2022-09-27,30.36
2022-09-28,30.83
2022-09-29,30.1
2022-09-30,29.72
2022-10-01,
2022-10-02,
2022-10-03,29.6
2022-10-04,30.34
2022-10-05,29.53
2022-10-06,29.37
2022-10-07,27.87
2022-10-08,
2022-10-09,
2022-10-10,27.63
2022-10-11,27.56
2022-10-12,27.7
2022-10-13,28.76
2022-10-14,28.16
2022-10-15,
2022-10-16,
2022-10-17,28.55
2022-10-18,28.99
2022-10-19,28.31
2022-10-20,27.88
2022-10-21,28.57
2022-10-22,
2022-10-23,
2022-10-24,28.61
2022-10-25,29.39
2022-10-26,30.16
2022-10-27,30.06
2022-10-28,31.46
2022-10-29,
2022-10-30,
2022-10-31,33.02
2022-11-01,33.92
2022-11-02,34.16
2022-11-03,34.8
2022-11-04,35.56
2022-11-05,
2022-11-06,
2022-11-07,36.78
2022-11-08,35.08
2022-11-09,35.21
2022-11-10,36.67
2022-11-11,36.85
2022-11-12,
2022-11-13,
2022-11-14,36.06
2022-11-15,36.67
2022-11-16,36.59
2022-11-17,36.86
2022-11-18,37.52
2022-11-19,
2022-11-20,
2022-11-21,38.44
2022-11-22,39.14
2022-11-23,39.25
2022-11-24,
2022-11-25,39.52
2022-11-26,
2022-11-27,
2022-11-28,39.15
2022-11-29,39.61
2022-11-30,40.13
2022-12-01,41.17
2022-12-02,40.91
2022-12-03,
2022-12-04,
2022-12-05,39.62
2022-12-06,39.65
2022-12-07,39.29
2022-12-08,38.95
2022-12-09,38.83
2022-12-10,
2022-12-11,
2022-12-12,38.94
2022-12-13,38.81
2022-12-14,39.8
2022-12-15,40.3
2022-12-16,40.38
2022-12-17,
2022-12-18,
2022-12-19,39.45
2022-12-20,39.4
2022-12-21,40.09
2022-12-22,40.4
2022-12-23,41.18
2022-12-24,
2022-12-25,
2022-12-26,
2022-12-27,41.44
2022-12-28,41.03
2022-12-29,41.14
2022-12-30,40.77
2022-12-31,
2023-01-01,
2023-01-02,
2023-01-03,42.12
2023-01-04,42.21
2023-01-05,42.97
2023-01-06,43.66
2023-01-07,
2023-01-08,
2023-01-09,42.89
2023-01-10,43.63
2023-01-11,43.38
2023-01-12,43.92
2023-01-13,43.8
2023-01-14,
2023-01-15,
2023-01-16,
2023-01-17,44.9
2023-01-18,44.28
2023-01-19,45.53
2023-01-20,45.37
2023-01-21,
2023-01-22,
2023-01-23,46.15
2023-01-24,46.54
2023-01-25,46.0
2023-01-26,46.19
2023-01-27,45.49
2023-01-28,
2023-01-29,
2023-01-30,45.38
2023-01-31,45.86
2023-02-01,45.06
2023-02-02,44.97
2023-02-03,45.36
2023-02-04,
2023-02-05,
2023-02-06,44.77
2023-02-07,44.85
2023-02-08,44.91
2023-02-09,44.51
2023-02-10,44.26
2023-02-11,
2023-02-12,
2023-02-13,44.94
2023-02-14,44.94
2023-02-15,45.11
2023-02-16,45.08
2023-02-17,46.28
2023-02-18,
2023-02-19,
2023-02-20,
2023-02-21,42.93
2023-02-22,43.1
2023-02-23,42.84
2023-02-24,43.1
2023-02-25,
2023-02-26,
2023-02-27,42.64
2023-02-28,42.6
2023-03-01,42.19
2023-03-02,43.12
2023-03-03,43.04
2023-03-04,
2023-03-05,
2023-03-06,42.85
2023-03-07,42.24
2023-03-08,40.87
2023-03-09,39.52
2023-03-10,38.15
2023-03-11,
2023-03-12,
2023-03-13,36.84
2023-03-14,38.53
2023-03-15,37.84
2023-03-16,39.27
2023-03-17,37.86
2023-03-18,
2023-03-19,
2023-03-20,38.01
2023-03-21,38.4
2023-03-22,37.54
2023-03-23,36.92
2023-03-24,37.02
2023-03-25,
2023-03-26,
2023-03-27,37.26
2023-03-28,37.32
2023-03-29,37.53
2023-03-30,37.11
2023-03-31,37.83
2023-04-01,
2023-04-02,
2023-04-03,37.22
2023-04-04,36.07
2023-04-05,35.46
2023-04-06,35.53
