Date,Close
2020-01-01,
2020-01-02,86.55
2020-01-03,86.2
2020-01-04,
2020-01-05,
2020-01-06,85.61
2020-01-07,86.54
2020-01-08,86.17
2020-01-09,85.56
2020-01-10,84.42
2020-01-11,
2020-01-12,
2020-01-13,84.22
2020-01-14,83.55
2020-01-15,83.6
2020-01-16,84.02
2020-01-17,83.89
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,82.64
2020-01-22,82.05
2020-01-23,81.93
2020-01-24,81.64
2020-01-25,
2020-01-26,
2020-01-27,80.33
2020-01-28,81.48
2020-01-29,79.58
2020-01-30,79.82
2020-01-31,78.66
2020-02-01,
2020-02-02,
2020-02-03,80.71
2020-02-04,82.53
2020-02-05,84.62
2020-02-06,82.58
2020-02-07,79.74
2020-02-08,
2020-02-09,
2020-02-10,79.5
2020-02-11,77.7
2020-02-12,78.15
2020-02-13,78.14
2020-02-14,77.18
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,77.98
2020-02-19,77.26
2020-02-20,77.69
2020-02-21,77.69
2020-02-22,
2020-02-23,
2020-02-24,74.1
2020-02-25,70.35
2020-02-26,70.37
2020-02-27,67.78
2020-02-28,66.19
2020-02-29,
2020-03-01,
2020-03-02,70.15
2020-03-03,68.53
2020-03-04,69.38
2020-03-05,64.78
2020-03-06,63.57
2020-03-07,
2020-03-08,
2020-03-09,57.49
2020-03-10,60.55
2020-03-11,57.36
2020-03-12,53.57
2020-03-13,55.04
2020-03-14,
2020-03-15,
2020-03-16,49.31
2020-03-17,53.58
2020-03-18,48.48
2020-03-19,49.04
2020-03-20,46.51
2020-03-21,
2020-03-22,
2020-03-23,44.75
2020-03-24,50.46
2020-03-25,54.02
2020-03-26,57.15
2020-03-27,53.14
2020-03-28,
2020-03-29,
2020-03-30,56.62
2020-03-31,59.02
2020-04-01,58.82
2020-04-02,58.6
2020-04-03,56.95
2020-04-04,
2020-04-05,
2020-04-06,59.46
2020-04-07,57.84
2020-04-08,58.62
2020-04-09,60.31
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,58.25
2020-04-14,60.71
2020-04-15,56.47
2020-04-16,55.25
2020-04-17,58.58
2020-04-18,
2020-04-19,
2020-04-20,59.63
2020-04-21,56.96
2020-04-22,57.3
2020-04-23,58.19
2020-04-24,58.23
2020-04-25,
2020-04-26,
2020-04-27,61.27
2020-04-28,61.76
2020-04-29,66.46
2020-04-30,61.95
2020-05-01,58.39
2020-05-02,
2020-05-03,
2020-05-04,57.36
2020-05-05,58.39
2020-05-06,57.45
2020-05-07,58.08
2020-05-08,61.14
2020-05-09,
2020-05-10,
2020-05-11,58.99
2020-05-12,55.81
2020-05-13,54.37
2020-05-14,55.01
2020-05-15,56.25
2020-05-16,
2020-05-17,
2020-05-18,60.68
2020-05-19,59.29
2020-05-20,60.94
2020-05-21,60.79
2020-05-22,60.54
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,64.76
2020-05-27,69.22
2020-05-28,67.48
2020-05-29,66.22
2020-05-30,
2020-05-31,
2020-06-01,66.63
2020-06-02,67.2
2020-06-03,69.76
2020-06-04,74.63
2020-06-05,77.0
2020-06-06,
2020-06-07,
