Date,Close
2020-01-01,
2020-01-02,38.71
2020-01-03,38.51
2020-01-04,
2020-01-05,
2020-01-06,38.78
2020-01-07,38.92
2020-01-08,39.2
2020-01-09,40.07
2020-01-10,39.91
2020-01-11,
2020-01-12,
2020-01-13,40.06
2020-01-14,39.76
2020-01-15,40.47
2020-01-16,40.79
2020-01-17,40.9
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,40.65
2020-01-22,40.73
2020-01-23,40.42
2020-01-24,40.43
2020-01-25,
2020-01-26,
2020-01-27,40.51
2020-01-28,41.01
2020-01-29,40.6
2020-01-30,40.43
2020-01-31,39.2
2020-02-01,
2020-02-02,
2020-02-03,39.72
2020-02-04,40.66
2020-02-05,40.43
2020-02-06,41.18
2020-02-07,40.52
2020-02-08,
2020-02-09,
2020-02-10,40.76
2020-02-11,40.88
2020-02-12,41.37
2020-02-13,41.11
2020-02-14,41.65
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,41.41
2020-02-19,41.37
2020-02-20,41.21
2020-02-21,40.42
2020-02-22,
2020-02-23,
2020-02-24,39.17
2020-02-25,38.09
2020-02-26,38.07
2020-02-27,36.6
2020-02-28,36.67
2020-02-29,
2020-03-01,
2020-03-02,37.37
2020-03-03,36.75
2020-03-04,38.03
2020-03-05,37.5
2020-03-06,36.35
2020-03-07,
2020-03-08,
2020-03-09,32.94
2020-03-10,34.54
2020-03-11,32.95
2020-03-12,29.33
2020-03-13,32.21
2020-03-14,
2020-03-15,
2020-03-16,28.4
2020-03-17,29.44
2020-03-18,28.24
2020-03-19,28.14
2020-03-20,26.8
2020-03-21,
2020-03-22,
2020-03-23,25.56
2020-03-24,28.06
2020-03-25,28.47
2020-03-26,31.08
2020-03-27,28.75
2020-03-28,
2020-03-29,
2020-03-30,30.01
2020-03-31,30.55
2020-04-01,29.8
2020-04-02,30.19
2020-04-03,29.75
2020-04-04,
2020-04-05,
2020-04-06,32.05
2020-04-07,31.34
2020-04-08,31.87
2020-04-09,32.22
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,31.49
2020-04-14,32.8
2020-04-15,32.17
2020-04-16,33.15
2020-04-17,34.23
2020-04-18,
2020-04-19,
2020-04-20,33.75
2020-04-21,31.74
2020-04-22,32.35
2020-04-23,32.28
2020-04-24,32.3
2020-04-25,
2020-04-26,
2020-04-27,32.43
2020-04-28,31.91
2020-04-29,33.23
2020-04-30,33.2
2020-05-01,33.1
2020-05-02,
2020-05-03,
2020-05-04,33.38
2020-05-05,33.82
2020-05-06,33.83
2020-05-07,34.2
2020-05-08,34.61
2020-05-09,
2020-05-10,
2020-05-11,34.82
2020-05-12,34.09
2020-05-13,33.34
2020-05-14,33.24
2020-05-15,33.45
2020-05-16,
2020-05-17,
2020-05-18,35.03
2020-05-19,34.76
2020-05-20,34.58
2020-05-21,34.22
2020-05-22,34.7
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,35.51
2020-05-27,35.62
2020-05-28,35.93
2020-05-29,36.5
2020-05-30,
2020-05-31,
2020-06-01,36.98
2020-06-02,37.72
2020-06-03,38.28
2020-06-04,37.41
2020-06-05,37.9
2020-06-06,
2020-06-07,
2020-06-08,38.2
2020-06-09,37.96
2020-06-10,38.39
2020-06-11,36.19
