Date,Close
2020-01-01,
2020-01-02,38.16
2020-01-03,38.09
2020-01-04,
2020-01-05,
2020-01-06,38.13
2020-01-07,38.07
2020-01-08,38.23
2020-01-09,38.33
2020-01-10,38.25
2020-01-11,
2020-01-12,
2020-01-13,38.47
2020-01-14,38.52
2020-01-15,38.63
2020-01-16,38.96
2020-01-17,38.97
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,38.79
2020-01-22,38.73
2020-01-23,38.84
2020-01-24,38.44
2020-01-25,
2020-01-26,
2020-01-27,38.09
2020-01-28,38.41
2020-01-29,38.2
2020-01-30,38.15
2020-01-31,37.48
2020-02-01,
2020-02-02,
2020-02-03,37.93
2020-02-04,38.44
2020-02-05,38.84
2020-02-06,38.67
2020-02-07,38.38
2020-02-08,
2020-02-09,
2020-02-10,38.63
2020-02-11,38.86
2020-02-12,39.11
2020-02-13,39.25
2020-02-14,39.26
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,39.16
2020-02-19,39.27
2020-02-20,39.17
2020-02-21,38.82
2020-02-22,
2020-02-23,
2020-02-24,37.83
2020-02-25,36.7
2020-02-26,36.41
2020-02-27,35.24
2020-02-28,34.73
2020-02-29,
2020-03-01,
2020-03-02,35.71
2020-03-03,35.05
2020-03-04,36.11
2020-03-05,35.09
2020-03-06,34.38
2020-03-07,
2020-03-08,
2020-03-09,31.55
2020-03-10,32.46
2020-03-11,30.62
2020-03-12,27.49
2020-03-13,29.28
2020-03-14,
2020-03-15,
2020-03-16,25.38
2020-03-17,27.02
2020-03-18,24.53
2020-03-19,25.75
2020-03-20,24.82
2020-03-21,
2020-03-22,
2020-03-23,24.46
2020-03-24,26.56
2020-03-25,27.01
2020-03-26,28.51
2020-03-27,27.6
2020-03-28,
2020-03-29,
2020-03-30,28.3
2020-03-31,28.11
2020-04-01,26.48
2020-04-02,26.88
2020-04-03,26.25
2020-04-04,
2020-04-05,
2020-04-06,28.07
2020-04-07,28.13
2020-04-08,29.32
2020-04-09,30.39
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,29.64
2020-04-14,30.33
2020-04-15,29.28
