Date,Close
2024-01-01,
2024-01-02,58.47
2024-01-03,59.01
2024-01-04,57.56
2024-01-05,57.39
2024-01-06,
2024-01-07,
2024-01-08,56.73
2024-01-09,55.94
2024-01-10,55.3
2024-01-11,55.62
2024-01-12,56.53
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,55.13
2024-01-17,54.74
2024-01-18,54.98
2024-01-19,54.93
2024-01-20,
2024-01-21,
2024-01-22,55.24
2024-01-23,55.23
2024-01-24,55.8
2024-01-25,56.48
2024-01-26,56.86
2024-01-27,
2024-01-28,
2024-01-29,56.68
2024-01-30,57.35
2024-01-31,56.05
2024-02-01,55.81
2024-02-02,55.54
2024-02-03,
2024-02-04,
2024-02-05,55.48
2024-02-06,56.05
2024-02-07,56.1
2024-02-08,56.52
2024-02-09,55.95
2024-02-10,
2024-02-11,
2024-02-12,56.5
2024-02-13,56.09
2024-02-14,55.79
2024-02-15,58.52
2024-02-16,58.92
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,57.99
2024-02-21,58.88
2024-02-22,58.93
2024-02-23,58.44
2024-02-24,
2024-02-25,
2024-02-26,58.88
2024-02-27,59.0
2024-02-28,58.67
2024-02-29,59.01
2024-03-01,59.74
2024-03-02,
2024-03-03,
2024-03-04,59.08
2024-03-05,58.98
2024-03-06,59.48
2024-03-07,59.65
2024-03-08,59.41
2024-03-09,
2024-03-10,
2024-03-11,60.11
2024-03-12,59.74
2024-03-13,60.64
2024-03-14,61.15
2024-03-15,61.22
2024-03-16,
2024-03-17,
2024-03-18,61.76
2024-03-19,62.6
2024-03-20,62.33
2024-03-21,62.47
2024-03-22,62.35
2024-03-23,
2024-03-24,
2024-03-25,63.07
2024-03-26,61.87
2024-03-27,62.73
2024-03-28,63.5
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,64.86
2024-04-02,65.72
2024-04-03,66.16
2024-04-04,66.08
2024-04-05,67.67
2024-04-06,
2024-04-07,
2024-04-08,67.16
2024-04-09,66.98
2024-04-10,67.36
2024-04-11,67.68
2024-04-12,67.43
2024-04-13,
2024-04-14,
2024-04-15,66.78
2024-04-16,65.29
2024-04-17,64.47
2024-04-18,64.53
2024-04-19,65.11
