Date,Close
2024-01-01,
2024-01-02,46.06
2024-01-03,45.71
2024-01-04,45.58
2024-01-05,45.67
2024-01-06,
2024-01-07,
2024-01-08,46.32
2024-01-09,46.28
2024-01-10,46.57
2024-01-11,46.59
2024-01-12,46.64
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,46.46
2024-01-17,46.2
2024-01-18,46.63
2024-01-19,47.22
2024-01-20,
2024-01-21,
2024-01-22,47.34
2024-01-23,47.45
2024-01-24,47.56
2024-01-25,47.77
2024-01-26,47.77
2024-01-27,
2024-01-28,
2024-01-29,48.17
2024-01-30,48.14
2024-01-31,47.4
2024-02-01,47.96
2024-02-02,48.55
2024-02-03,
2024-02-04,
2024-02-05,48.44
2024-02-06,48.5
2024-02-07,48.94
2024-02-08,48.98
2024-02-09,49.32
2024-02-10,
2024-02-11,
2024-02-12,49.23
2024-02-13,48.6
2024-02-14,49.12
2024-02-15,49.41
2024-02-16,49.18
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,48.83
2024-02-21,48.9
2024-02-22,50.02
2024-02-23,50.04
2024-02-24,
2024-02-25,
2024-02-26,49.88
2024-02-27,49.93
2024-02-28,49.83
2024-02-29,50.12
2024-03-01,50.56
2024-03-02,
2024-03-03,
2024-03-04,50.51
2024-03-05,49.99
2024-03-06,50.27
2024-03-07,50.84
2024-03-08,50.44
2024-03-09,
2024-03-10,
2024-03-11,50.31
2024-03-12,50.91
2024-03-13,50.81
2024-03-14,50.68
2024-03-15,50.33
2024-03-16,
2024-03-17,
2024-03-18,50.66
2024-03-19,50.96
2024-03-20,51.44
2024-03-21,51.6
2024-03-22,51.55
2024-03-23,
2024-03-24,
2024-03-25,51.41
2024-03-26,51.26
2024-03-27,51.63
2024-03-28,51.67
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,51.57
2024-04-02,51.21
2024-04-03,51.31
2024-04-04,50.66
2024-04-05,51.28
2024-04-06,
2024-04-07,
2024-04-08,51.25
2024-04-09,51.28
2024-04-10,50.86
2024-04-11,51.27
2024-04-12,50.53
2024-04-13,
2024-04-14,
2024-04-15,49.88
2024-04-16,49.81
2024-04-17,49.5
2024-04-18,49.38
2024-04-19,48.9
2024-04-20,
2024-04-21,
2024-04-22,49.34
2024-04-23,49.97
2024-04-24,49.9
2024-04-25,49.72
2024-04-26,50.27
2024-04-27,
2024-04-28,
2024-04-29,50.41
2024-04-30,49.63
2024-05-01,49.48
2024-05-02,49.95
2024-05-03,50.6
2024-05-04,
2024-05-05,
2024-05-06,51.13
2024-05-07,51.22
2024-05-08,51.21
2024-05-09,51.46
2024-05-10,51.54
2024-05-11,
2024-05-12,
2024-05-13,51.5
2024-05-14,51.76
2024-05-15,52.39
2024-05-16,52.3
2024-05-17,52.34
2024-05-18,
2024-05-19,
2024-05-20,52.4
2024-05-21,52.56
2024-05-22,52.41
2024-05-23,52.07
2024-05-24,52.45
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,52.51
2024-05-29,52.16
2024-05-30,51.79
2024-05-31,52.18
2024-06-01,
2024-06-02,
2024-06-03,52.27
2024-06-04,52.35
2024-06-05,53.01
2024-06-06,52.99
2024-06-07,52.9
2024-06-08,
2024-06-09,
2024-06-10,53.09
2024-06-11,53.23
2024-06-12,53.71
2024-06-13,53.84
2024-06-14,53.85
2024-06-15,
2024-06-16,
2024-06-17,54.28
2024-06-18,54.44
2024-06-19,
2024-06-20,54.26
2024-06-21,54.16
2024-06-22,
2024-06-23,
2024-06-24,53.97
2024-06-25,54.26
2024-06-26,54.38
2024-06-27,54.41
2024-06-28,54.16
2024-06-29,
2024-06-30,
2024-07-01,54.33
2024-07-02,54.66
2024-07-03,54.96
2024-07-04,
2024-07-05,55.26
2024-07-06,
2024-07-07,
2024-07-08,55.29
2024-07-09,55.32
2024-07-10,55.89
2024-07-11,55.33
2024-07-12,55.61
2024-07-13,
2024-07-14,
2024-07-15,55.77
2024-07-16,56.08
2024-07-17,55.16
2024-07-18,54.69
2024-07-19,54.33
2024-07-20,
2024-07-21,
2024-07-22,54.97
2024-07-23,54.94
2024-07-24,53.61
2024-07-25,53.28
2024-07-26,53.81
2024-07-27,
2024-07-28,
2024-07-29,53.85
2024-07-30,53.59
2024-07-31,54.49
2024-08-01,53.7
2024-08-02,52.68
2024-08-03,
2024-08-04,
2024-08-05,51.1
2024-08-06,51.64
2024-08-07,51.3
2024-08-08,52.49
2024-08-09,52.76
2024-08-10,
2024-08-11,
2024-08-12,52.78
2024-08-13,53.64
2024-08-14,53.86
2024-08-15,54.76
2024-08-16,54.87
2024-08-17,
2024-08-18,
2024-08-19,55.37
2024-08-20,55.26
2024-08-21,55.49
2024-08-22,55.01
2024-08-23,55.64
2024-08-24,
2024-08-25,
2024-08-26,55.46
2024-08-27,55.56
2024-08-28,55.22
2024-08-29,55.2
2024-08-30,55.74
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,54.57
2024-09-04,54.51
2024-09-05,54.31
2024-09-06,53.37
2024-09-07,
2024-09-08,
2024-09-09,53.97
2024-09-10,54.21
2024-09-11,54.81
2024-09-12,55.24
2024-09-13,55.53
2024-09-14,
2024-09-15,
2024-09-16,55.58
2024-09-17,55.57
2024-09-18,55.41
2024-09-19,56.43
2024-09-20,56.3
2024-09-21,
2024-09-22,
2024-09-23,56.44
2024-09-24,56.57
2024-09-25,56.47
2024-09-26,56.65
2024-09-27,56.57
2024-09-28,
2024-09-29,
2024-09-30,56.82
2024-10-01,56.3
2024-10-02,56.33
2024-10-03,56.22
2024-10-04,56.77
2024-10-05,
2024-10-06,
2024-10-07,56.2
2024-10-08,56.75
2024-10-09,57.15
2024-10-10,57.06
2024-10-11,57.43
2024-10-12,
2024-10-13,
2024-10-14,57.86
2024-10-15,57.42
2024-10-16,57.68
2024-10-17,57.66
2024-10-18,57.89
2024-10-19,
2024-10-20,
2024-10-21,57.82
2024-10-22,57.84
2024-10-23,57.25
2024-10-24,57.37
2024-10-25,57.35
2024-10-26,
2024-10-27,
2024-10-28,57.5
2024-10-29,57.63
2024-10-30,57.43
2024-10-31,56.34
2024-11-01,56.58
2024-11-02,
2024-11-03,
2024-11-04,56.43
2024-11-05,57.09
2024-11-06,58.57
2024-11-07,59.0
2024-11-08,59.23
2024-11-09,
2024-11-10,
2024-11-11,59.32
2024-11-12,59.19
2024-11-13,59.18
2024-11-14,58.84
2024-11-15,58.0
2024-11-16,
2024-11-17,
2024-11-18,58.19
2024-11-19,58.48
2024-11-20,58.5
2024-11-21,58.81
2024-11-22,58.97
2024-11-23,
2024-11-24,
2024-11-25,59.11
2024-11-26,59.5
2024-11-27,59.25
2024-11-28,
2024-11-29,59.62
2024-11-30,
2024-12-01,
2024-12-02,59.79
2024-12-03,59.84
2024-12-04,60.34
2024-12-05,60.2
2024-12-06,60.37
2024-12-07,
2024-12-08,
2024-12-09,59.94
2024-12-10,59.74
2024-12-11,60.28
2024-12-12,59.94
2024-12-13,60.01
2024-12-14,
2024-12-15,
2024-12-16,60.3
2024-12-17,60.04
2024-12-18,58.24
2024-12-19,58.24
2024-12-20,58.84
2024-12-21,
2024-12-22,
2024-12-23,59.3
2024-12-24,59.97
2024-12-25,
2024-12-26,59.95
2024-12-27,59.27
2024-12-28,
2024-12-29,
2024-12-30,58.65
2024-12-31,58.37
2025-01-01,
2025-01-02,58.28
2025-01-03,59.03
2025-01-04,
2025-01-05,
2025-01-06,59.39
2025-01-07,58.7
2025-01-08,58.81
2025-01-09,
2025-01-10,57.92
2025-01-11,
2025-01-12,
2025-01-13,57.97
2025-01-14,57.99
2025-01-15,59.09
2025-01-16,58.98
2025-01-17,59.56
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,60.12
2025-01-22,60.53
2025-01-23,60.85
2025-01-24,60.67
2025-01-25,
2025-01-26,
2025-01-27,59.63
2025-01-28,60.24
2025-01-29,59.96
2025-01-30,60.31
2025-01-31,60.0
