Date,Close
2024-01-01,
2024-01-02,49.21
2024-01-03,48.05
2024-01-04,47.98
2024-01-05,47.94
2024-01-06,
2024-01-07,
2024-01-08,48.76
2024-01-09,48.5
2024-01-10,48.55
2024-01-11,48.31
2024-01-12,48.33
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,47.98
2024-01-17,47.65
2024-01-18,48.06
2024-01-19,48.59
2024-01-20,
2024-01-21,
2024-01-22,49.26
2024-01-23,49.16
2024-01-24,48.85
2024-01-25,49.12
2024-01-26,49.16
2024-01-27,
2024-01-28,
2024-01-29,49.79
2024-01-30,49.46
2024-01-31,48.45
2024-02-01,49.05
2024-02-02,49.05
2024-02-03,
2024-02-04,
2024-02-05,48.65
2024-02-06,49.04
2024-02-07,49.08
2024-02-08,49.72
2024-02-09,50.2
2024-02-10,
2024-02-11,
2024-02-12,50.7
2024-02-13,49.25
2024-02-14,50.16
2024-02-15,51.09
2024-02-16,50.91
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,50.32
2024-02-21,50.15
2024-02-22,50.52
2024-02-23,50.63
2024-02-24,
2024-02-25,
2024-02-26,50.58
2024-02-27,50.92
2024-02-28,50.52
2024-02-29,50.74
2024-03-01,50.99
2024-03-02,
2024-03-03,
2024-03-04,50.88
2024-03-05,50.5
2024-03-06,50.79
2024-03-07,51.29
2024-03-08,51.11
2024-03-09,
2024-03-10,
2024-03-11,50.86
2024-03-12,50.97
2024-03-13,50.99
2024-03-14,50.22
2024-03-15,50.34
2024-03-16,
2024-03-17,
2024-03-18,50.19
2024-03-19,50.73
2024-03-20,51.39
2024-03-21,51.92
2024-03-22,51.43
2024-03-23,
2024-03-24,
2024-03-25,51.28
2024-03-26,51.22
2024-03-27,52.14
2024-03-28,52.38
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,51.91
2024-04-02,51.11
2024-04-03,51.15
2024-04-04,50.77
2024-04-05,51.13
2024-04-06,
2024-04-07,
2024-04-08,51.43
2024-04-09,51.56
2024-04-10,50.55
2024-04-11,50.78
2024-04-12,49.89
2024-04-13,
2024-04-14,
2024-04-15,49.25
2024-04-16,48.95
2024-04-17,48.49
2024-04-18,48.32
2024-04-19,48.42
2024-04-20,
2024-04-21,
2024-04-22,48.79
2024-04-23,49.69
2024-04-24,49.6
2024-04-25,49.32
2024-04-26,49.52
2024-04-27,
2024-04-28,
2024-04-29,49.74
2024-04-30,48.84
2024-05-01,48.79
2024-05-02,49.44
2024-05-03,49.98
2024-05-04,
2024-05-05,
2024-05-06,50.58
2024-05-07,50.78
2024-05-08,50.45
2024-05-09,50.8
2024-05-10,50.63
2024-05-11,
2024-05-12,
2024-05-13,50.37
2024-05-14,50.76
2024-05-15,51.23
2024-05-16,50.97
2024-05-17,51.03
2024-05-18,
2024-05-19,
2024-05-20,51.19
2024-05-21,51.04
2024-05-22,50.68
2024-05-23,49.93
2024-05-24,50.4
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,50.34
2024-05-29,49.66
2024-05-30,50.0
2024-05-31,50.38
2024-06-01,
2024-06-02,
2024-06-03,49.92
2024-06-04,49.35
2024-06-05,49.99
2024-06-06,49.73
2024-06-07,49.3
2024-06-08,
2024-06-09,
2024-06-10,49.59
2024-06-11,49.49
2024-06-12,50.31
2024-06-13,49.85
2024-06-14,49.23
2024-06-15,
2024-06-16,
2024-06-17,49.51
2024-06-18,49.5
2024-06-19,
2024-06-20,49.34
2024-06-21,49.51
2024-06-22,
2024-06-23,
2024-06-24,49.81
2024-06-25,49.58
2024-06-26,49.5
2024-06-27,49.79
2024-06-28,49.93
2024-06-29,
2024-06-30,
2024-07-01,49.44
2024-07-02,49.72
2024-07-03,49.82
2024-07-04,
2024-07-05,49.63
2024-07-06,
2024-07-07,
2024-07-08,49.72
2024-07-09,49.45
2024-07-10,49.91
2024-07-11,51.17
2024-07-12,51.68
2024-07-13,
2024-07-14,
2024-07-15,52.29
2024-07-16,53.77
2024-07-17,52.95
2024-07-18,52.17
2024-07-19,51.93
2024-07-20,
2024-07-21,
2024-07-22,52.65
2024-07-23,52.96
2024-07-24,51.93
2024-07-25,52.41
2024-07-26,53.09
2024-07-27,
2024-07-28,
2024-07-29,52.78
2024-07-30,52.97
2024-07-31,53.37
2024-08-01,52.18
2024-08-02,50.8
2024-08-03,
2024-08-04,
2024-08-05,49.44
2024-08-06,50.01
2024-08-07,49.51
2024-08-08,50.61
2024-08-09,50.73
2024-08-10,
2024-08-11,
2024-08-12,50.4
2024-08-13,51.14
2024-08-14,51.08
2024-08-15,52.05
2024-08-16,52.2
2024-08-17,
2024-08-18,
2024-08-19,52.69
2024-08-20,52.19
2024-08-21,52.84
2024-08-22,52.41
2024-08-23,53.7
2024-08-24,
2024-08-25,
2024-08-26,53.7
2024-08-27,53.47
2024-08-28,53.17
2024-08-29,53.38
2024-08-30,53.78
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,52.48
2024-09-04,52.49
2024-09-05,52.32
2024-09-06,51.45
2024-09-07,
2024-09-08,
2024-09-09,51.71
2024-09-10,51.66
2024-09-11,51.9
2024-09-12,52.38
2024-09-13,53.38
2024-09-14,
2024-09-15,
2024-09-16,53.6
2024-09-17,53.91
2024-09-18,54.0
2024-09-19,54.84
2024-09-20,54.47
2024-09-21,
2024-09-22,
2024-09-23,54.4
2024-09-24,54.51
2024-09-25,53.98
2024-09-26,54.23
2024-09-27,54.42
2024-09-28,
2024-09-29,
2024-09-30,54.54
2024-10-01,53.96
2024-10-02,53.95
2024-10-03,53.61
2024-10-04,54.21
2024-10-05,
2024-10-06,
2024-10-07,53.62
2024-10-08,53.79
2024-10-09,53.98
2024-10-10,53.67
2024-10-11,54.55
2024-10-12,
2024-10-13,
2024-10-14,54.83
2024-10-15,54.8
2024-10-16,55.49
2024-10-17,55.35
2024-10-18,55.26
2024-10-19,
2024-10-20,
2024-10-21,54.5
2024-10-22,54.3
2024-10-23,54.0
2024-10-24,54.27
2024-10-25,54.11
2024-10-26,
2024-10-27,
2024-10-28,54.77
2024-10-29,54.73
2024-10-30,54.82
2024-10-31,53.96
2024-11-01,54.26
2024-11-02,
2024-11-03,
2024-11-04,54.39
2024-11-05,55.27
2024-11-06,57.74
2024-11-07,57.77
2024-11-08,58.27
2024-11-09,
2024-11-10,
2024-11-11,58.8
2024-11-12,58.18
2024-11-13,57.78
2024-11-14,57.15
2024-11-15,56.32
2024-11-16,
2024-11-17,
2024-11-18,56.57
2024-11-19,56.95
2024-11-20,57.19
2024-11-21,58.14
2024-11-22,59.04
2024-11-23,
2024-11-24,
2024-11-25,59.7
2024-11-26,59.38
2024-11-27,59.42
2024-11-28,
2024-11-29,59.53
2024-11-30,
2024-12-01,
2024-12-02,59.54
2024-12-03,59.2
2024-12-04,59.41
2024-12-05,58.86
2024-12-06,58.96
2024-12-07,
2024-12-08,
2024-12-09,58.68
2024-12-10,58.39
2024-12-11,58.77
2024-12-12,58.15
2024-12-13,57.81
2024-12-14,
2024-12-15,
2024-12-16,58.1
2024-12-17,57.46
2024-12-18,55.28
2024-12-19,55.11
2024-12-20,55.38
2024-12-21,
2024-12-22,
2024-12-23,55.33
2024-12-24,55.79
2024-12-25,
2024-12-26,56.07
2024-12-27,55.41
2024-12-28,
2024-12-29,
2024-12-30,55.11
2024-12-31,55.21
2025-01-01,
2025-01-02,54.98
2025-01-03,55.73
2025-01-04,
2025-01-05,
2025-01-06,55.73
2025-01-07,55.28
2025-01-08,55.19
2025-01-09,
2025-01-10,55.19
2025-01-11,
2025-01-12,
2025-01-13,54.36
2025-01-14,55.01
2025-01-15,55.85
2025-01-16,56.06
2025-01-17,56.27
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,57.16
2025-01-22,56.93
2025-01-23,56.94
2025-01-24,56.82
2025-01-25,
2025-01-26,
2025-01-27,56.28
2025-01-28,56.52
2025-01-29,56.34
2025-01-30,56.96
2025-01-31,56.58
2025-02-01,
2025-02-02,
2025-02-03,56.05
2025-02-04,56.7
2025-02-05,57.35
2025-02-06,57.07
2025-02-07,56.71
2025-02-08,
2025-02-09,
2025-02-10,56.88
2025-02-11,56.62
2025-02-12,56.23
2025-02-13,56.84
2025-02-14,56.8
2025-02-15,
2025-02-16,
2025-02-17,
2025-02-18,57.25
2025-02-19,57.17
2025-02-20,56.81
2025-02-21,55.38
2025-02-22,
2025-02-23,
2025-02-24,55.14
2025-02-25,55.03
2025-02-26,55.18
2025-02-27,54.51
2025-02-28,55.15
2025-03-01,
2025-03-02,
2025-03-03,54.01
2025-03-04,53.48
2025-03-05,54.13
2025-03-06,53.16
2025-03-07,53.29
2025-03-08,
2025-03-09,
2025-03-10,51.84
2025-03-11,51.93
2025-03-12,52.03
2025-03-13,51.17
2025-03-14,52.38
2025-03-15,
2025-03-16,
2025-03-17,53.13
2025-03-18,52.62
2025-03-19,53.29
2025-03-20,53.05
2025-03-21,52.77
2025-03-22,
2025-03-23,
2025-03-24,54.04
2025-03-25,53.83
2025-03-26,53.29
2025-03-27,53.19
2025-03-28,52.16
2025-03-29,
2025-03-30,
2025-03-31,51.96
2025-04-01,51.96
2025-04-02,52.75
2025-04-03,49.65
2025-04-04,47.16
2025-04-05,
2025-04-06,
2025-04-07,46.7
2025-04-08,45.62
2025-04-09,49.58
2025-04-10,47.85
2025-04-11,48.69
2025-04-12,
2025-04-13,
2025-04-14,49.26
2025-04-15,49.34
2025-04-16,48.88
2025-04-17,49.21
2025-04-18,
2025-04-19,
2025-04-20,
2025-04-21,48.06
2025-04-22,49.16
2025-04-23,50.01
2025-04-24,51.04
2025-04-25,50.93
2025-04-26,
2025-04-27,
2025-04-28,51.13
2025-04-29,51.45
2025-04-30,51.26
2025-05-01,51.28
2025-05-02,52.48
2025-05-03,
2025-05-04,
2025-05-05,52.19
2025-05-06,51.48
2025-05-07,51.48
2025-05-08,52.62
2025-05-09,52.54
2025-05-10,
2025-05-11,
2025-05-12,54.08
2025-05-13,54.17
2025-05-14,53.73
2025-05-15,53.9
2025-05-16,54.45
2025-05-17,
2025-05-18,
2025-05-19,54.37
2025-05-20,54.38
2025-05-21,52.96
2025-05-22,52.91
2025-05-23,52.84
2025-05-24,
2025-05-25,
2025-05-26,
2025-05-27,53.74
2025-05-28,53.18
2025-05-29,53.39
2025-05-30,53.23
2025-05-31,
2025-06-01,
2025-06-02,53.49
2025-06-03,54.09
2025-06-04,54.07
2025-06-05,54.1
2025-06-06,54.71
2025-06-07,
2025-06-08,
2025-06-09,54.82
2025-06-10,54.99
2025-06-11,54.75
2025-06-12,54.67
2025-06-13,53.67
2025-06-14,
2025-06-15,
2025-06-16,53.95
2025-06-17,53.45
2025-06-18,53.89
2025-06-19,
2025-06-20,53.94
2025-06-21,
2025-06-22,
2025-06-23,54.51
2025-06-24,54.51
2025-06-25,54.48
2025-06-26,55.18
2025-06-27,55.2
2025-06-28,
2025-06-29,
2025-06-30,55.29
