Date,Close
2024-01-01,
2024-01-02,36.61
2024-01-03,36.0
2024-01-04,35.96
2024-01-05,35.92
2024-01-06,
2024-01-07,
2024-01-08,36.41
2024-01-09,36.34
2024-01-10,36.6
2024-01-11,36.59
2024-01-12,36.67
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,36.62
2024-01-17,36.46
2024-01-18,36.91
2024-01-19,37.34
2024-01-20,
2024-01-21,
2024-01-22,37.63
2024-01-23,37.63
2024-01-24,37.38
2024-01-25,37.72
2024-01-26,37.67
2024-01-27,
2024-01-28,
2024-01-29,38.0
2024-01-30,38.1
2024-01-31,37.57
2024-02-01,38.01
2024-02-02,38.06
2024-02-03,
2024-02-04,
2024-02-05,37.78
2024-02-06,38.12
2024-02-07,38.37
2024-02-08,38.32
2024-02-09,38.52
2024-02-10,
2024-02-11,
2024-02-12,38.5
2024-02-13,37.84
2024-02-14,38.35
2024-02-15,38.86
2024-02-16,38.68
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,38.45
2024-02-21,38.57
2024-02-22,39.14
2024-02-23,39.4
2024-02-24,
2024-02-25,
2024-02-26,39.29
2024-02-27,39.31
2024-02-28,39.42
2024-02-29,39.71
2024-03-01,39.97
2024-03-02,
2024-03-03,
2024-03-04,39.94
2024-03-05,39.61
2024-03-06,39.91
2024-03-07,40.26
2024-03-08,40.06
2024-03-09,
2024-03-10,
2024-03-11,39.99
2024-03-12,40.35
2024-03-13,40.36
2024-03-14,40.04
2024-03-15,40.1
2024-03-16,
2024-03-17,
2024-03-18,40.1
2024-03-19,40.34
2024-03-20,40.82
2024-03-21,41.19
2024-03-22,41.0
2024-03-23,
2024-03-24,
2024-03-25,40.8
2024-03-26,40.82
2024-03-27,41.17
2024-03-28,41.23
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,40.87
2024-04-02,40.44
2024-04-03,40.61
2024-04-04,39.99
2024-04-05,40.56
2024-04-06,
2024-04-07,
2024-04-08,40.61
2024-04-09,40.58
2024-04-10,39.85
2024-04-11,39.9
2024-04-12,39.27
2024-04-13,
2024-04-14,
2024-04-15,38.84
2024-04-16,38.68
2024-04-17,38.55
2024-04-18,38.35
2024-04-19,38.26
2024-04-20,
2024-04-21,
2024-04-22,38.59
2024-04-23,39.09
2024-04-24,39.25
2024-04-25,39.15
2024-04-26,39.19
2024-04-27,
2024-04-28,
2024-04-29,39.26
2024-04-30,38.62
2024-05-01,38.8
2024-05-02,39.09
2024-05-03,39.48
2024-05-04,
2024-05-05,
2024-05-06,39.95
2024-05-07,40.09
2024-05-08,40.06
2024-05-09,40.46
2024-05-10,40.67
2024-05-11,
2024-05-12,
2024-05-13,40.29
2024-05-14,40.42
2024-05-15,40.87
2024-05-16,40.72
2024-05-17,40.78
2024-05-18,
2024-05-19,
2024-05-20,40.94
2024-05-21,40.95
2024-05-22,40.78
2024-05-23,40.24
2024-05-24,40.61
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,39.99
2024-05-29,39.45
2024-05-30,39.57
2024-05-31,39.57
2024-06-01,
2024-06-02,
2024-06-03,39.91
2024-06-04,39.91
2024-06-05,40.25
2024-06-06,39.86
2024-06-07,39.59
2024-06-08,
2024-06-09,
2024-06-10,39.87
2024-06-11,39.75
2024-06-12,40.19
2024-06-13,39.96
2024-06-14,39.74
2024-06-15,
2024-06-16,
2024-06-17,40.19
2024-06-18,40.37
2024-06-19,
2024-06-20,40.24
2024-06-21,40.3
2024-06-22,
2024-06-23,
2024-06-24,40.47
2024-06-25,40.26
2024-06-26,39.98
2024-06-27,40.15
2024-06-28,40.12
2024-06-29,
2024-06-30,
2024-07-01,39.62
2024-07-02,40.02
2024-07-03,40.09
2024-07-04,
2024-07-05,40.04
2024-07-06,
2024-07-07,
2024-07-08,40.04
2024-07-09,39.89
2024-07-10,40.41
2024-07-11,40.86
2024-07-12,41.32
2024-07-13,
2024-07-14,
2024-07-15,41.4
2024-07-16,42.07
2024-07-17,41.54
2024-07-18,41.14
2024-07-19,40.93
2024-07-20,
2024-07-21,
2024-07-22,41.5
2024-07-23,41.69
2024-07-24,40.96
2024-07-25,41.33
2024-07-26,42.02
2024-07-27,
2024-07-28,
2024-07-29,42.12
2024-07-30,42.51
2024-07-31,42.65
2024-08-01,42.12
2024-08-02,41.17
2024-08-03,
2024-08-04,
2024-08-05,40.13
2024-08-06,40.49
2024-08-07,40.08
2024-08-08,40.82
2024-08-09,41.0
2024-08-10,
2024-08-11,
2024-08-12,40.68
2024-08-13,41.16
2024-08-14,41.48
2024-08-15,41.92
2024-08-16,41.97
2024-08-17,
2024-08-18,
2024-08-19,42.22
2024-08-20,42.15
2024-08-21,42.51
2024-08-22,42.37
2024-08-23,43.0
2024-08-24,
2024-08-25,
2024-08-26,42.88
2024-08-27,42.95
2024-08-28,42.88
2024-08-29,43.16
2024-08-30,43.44
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,42.66
2024-09-04,42.71
2024-09-05,42.39
2024-09-06,41.96
2024-09-07,
2024-09-08,
2024-09-09,42.47
2024-09-10,42.45
2024-09-11,42.48
2024-09-12,42.8
2024-09-13,43.21
2024-09-14,
2024-09-15,
2024-09-16,43.6
2024-09-17,43.6
2024-09-18,43.49
2024-09-19,44.18
2024-09-20,44.04
2024-09-21,
2024-09-22,
2024-09-23,44.21
2024-09-24,44.31
2024-09-25,44.07
2024-09-26,44.45
2024-09-27,44.44
2024-09-28,
2024-09-29,
2024-09-30,44.48
2024-10-01,44.33
2024-10-02,44.38
2024-10-03,44.02
2024-10-04,44.27
2024-10-05,
2024-10-06,
2024-10-07,43.73
2024-10-08,44.13
2024-10-09,44.57
2024-10-10,44.29
