Date,Close
2020-01-01,
2020-01-02,107.75
2020-01-03,107.02
2020-01-04,
2020-01-05,
2020-01-06,107.17
2020-01-07,106.51
2020-01-08,106.96
2020-01-09,108.13
2020-01-10,108.24
2020-01-11,
2020-01-12,
2020-01-13,109.03
2020-01-14,108.87
2020-01-15,109.97
2020-01-16,110.07
2020-01-17,110.37
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,110.09
2020-01-22,110.28
2020-01-23,109.78
2020-01-24,109.91
2020-01-25,
2020-01-26,
2020-01-27,110.39
2020-01-28,110.69
2020-01-29,109.84
2020-01-30,110.62
2020-01-31,109.45
2020-02-01,
2020-02-02,
2020-02-03,109.88
2020-02-04,110.36
2020-02-05,111.37
2020-02-06,111.66
2020-02-07,110.73
2020-02-08,
2020-02-09,
2020-02-10,110.81
2020-02-11,109.05
2020-02-12,108.42
2020-02-13,109.75
2020-02-14,110.79
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,109.67
2020-02-19,110.17
2020-02-20,111.17
2020-02-21,111.28
2020-02-22,
2020-02-23,
2020-02-24,108.29
2020-02-25,106.65
2020-02-26,105.53
2020-02-27,99.68
2020-02-28,99.45
2020-02-29,
2020-03-01,
2020-03-02,105.01
2020-03-03,103.79
2020-03-04,109.35
2020-03-05,106.83
2020-03-06,106.85
2020-03-07,
2020-03-08,
2020-03-09,101.93
2020-03-10,105.88
2020-03-11,98.01
2020-03-12,89.44
2020-03-13,100.19
2020-03-14,
2020-03-15,
2020-03-16,95.29
2020-03-17,103.85
2020-03-18,103.15
2020-03-19,97.34
2020-03-20,89.96
2020-03-21,
2020-03-22,
2020-03-23,85.81
2020-03-24,90.7
2020-03-25,88.64
2020-03-26,94.31
2020-03-27,96.76
2020-03-28,
2020-03-29,
2020-03-30,101.0
2020-03-31,96.61
2020-04-01,96.02
2020-04-02,100.48
2020-04-03,101.07
2020-04-04,
2020-04-05,
2020-04-06,103.47
2020-04-07,99.04
2020-04-08,101.09
2020-04-09,100.7
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,101.84
2020-04-14,106.24
2020-04-15,106.46
2020-04-16,106.71
2020-04-17,109.51
2020-04-18,
2020-04-19,
2020-04-20,105.92
2020-04-21,105.11
2020-04-22,104.87
2020-04-23,105.57
2020-04-24,105.02
2020-04-25,
2020-04-26,
2020-04-27,103.84
2020-04-28,103.35
2020-04-29,103.51
2020-04-30,104.21
2020-05-01,103.28
2020-05-02,
2020-05-03,
2020-05-04,102.36
2020-05-05,102.57
2020-05-06,100.0
2020-05-07,99.17
2020-05-08,102.52
2020-05-09,
2020-05-10,
2020-05-11,101.95
2020-05-12,101.28
2020-05-13,100.72
2020-05-14,100.62
2020-05-15,101.33
2020-05-16,
2020-05-17,
2020-05-18,102.75
2020-05-19,99.41
2020-05-20,100.15
2020-05-21,98.69
2020-05-22,99.55
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,99.05
2020-05-27,100.69
2020-05-28,102.61
2020-05-29,102.49
2020-05-30,
2020-05-31,
2020-06-01,103.66
2020-06-02,104.38
2020-06-03,104.8
2020-06-04,102.6
2020-06-05,104.62
2020-06-06,
2020-06-07,
2020-06-08,105.26
2020-06-09,104.63
2020-06-10,105.42
2020-06-11,102.79
2020-06-12,102.22
2020-06-13,
2020-06-14,
2020-06-15,103.17
2020-06-16,104.44
2020-06-17,104.27
2020-06-18,105.46
2020-06-19,105.14
2020-06-20,
2020-06-21,
2020-06-22,104.11
2020-06-23,104.09
2020-06-24,102.93
2020-06-25,104.23
2020-06-26,101.88
2020-06-27,
2020-06-28,
2020-06-29,104.03
2020-06-30,105.72
2020-07-01,106.08
2020-07-02,106.87
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,107.54
2020-07-07,108.06
2020-07-08,108.65
2020-07-09,108.29
2020-07-10,109.54
2020-07-11,
2020-07-12,
2020-07-13,109.68
2020-07-14,110.6
2020-07-15,110.07
2020-07-16,110.3
2020-07-17,111.07
2020-07-18,
2020-07-19,
2020-07-20,110.73
2020-07-21,110.58
2020-07-22,111.52
2020-07-23,112.25
2020-07-24,112.07
2020-07-25,
2020-07-26,
2020-07-27,112.39
2020-07-28,113.78
2020-07-29,114.16
2020-07-30,116.93
2020-07-31,116.66
2020-08-01,
2020-08-02,
2020-08-03,116.81
2020-08-04,119.04
2020-08-05,118.72
2020-08-06,118.07
2020-08-07,118.82
