Date,Close
2024-01-01,
2024-01-02,33.01
2024-01-03,32.2
2024-01-04,32.18
2024-01-05,32.08
2024-01-06,
2024-01-07,
2024-01-08,32.41
2024-01-09,32.17
2024-01-10,32.38
2024-01-11,32.37
2024-01-12,32.5
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,32.36
2024-01-17,32.21
2024-01-18,32.58
2024-01-19,32.7
2024-01-20,
2024-01-21,
2024-01-22,33.25
2024-01-23,32.9
2024-01-24,32.71
2024-01-25,32.65
2024-01-26,32.8
2024-01-27,
2024-01-28,
2024-01-29,33.21
2024-01-30,33.33
2024-01-31,32.85
2024-02-01,33.33
2024-02-02,33.42
2024-02-03,
2024-02-04,
2024-02-05,33.42
2024-02-06,33.05
2024-02-07,33.22
2024-02-08,33.55
2024-02-09,33.95
2024-02-10,
2024-02-11,
2024-02-12,34.12
2024-02-13,33.11
2024-02-14,33.72
2024-02-15,34.29
2024-02-16,34.07
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,33.75
2024-02-21,33.78
2024-02-22,34.47
2024-02-23,34.65
2024-02-24,
2024-02-25,
2024-02-26,34.66
2024-02-27,34.82
2024-02-28,35.19
2024-02-29,35.09
2024-03-01,35.13
2024-03-02,
2024-03-03,
2024-03-04,35.29
2024-03-05,35.11
2024-03-06,35.21
2024-03-07,35.4
2024-03-08,35.24
2024-03-09,
2024-03-10,
2024-03-11,35.0
2024-03-12,34.91
2024-03-13,34.91
2024-03-14,34.67
2024-03-15,34.81
2024-03-16,
2024-03-17,
2024-03-18,34.67
2024-03-19,35.0
2024-03-20,35.31
2024-03-21,35.74
2024-03-22,35.47
2024-03-23,
2024-03-24,
2024-03-25,35.25
2024-03-26,35.36
2024-03-27,35.87
2024-03-28,36.02
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,35.64
2024-04-02,35.16
2024-04-03,35.29
2024-04-04,34.95
2024-04-05,35.11
2024-04-06,
2024-04-07,
2024-04-08,35.16
2024-04-09,35.02
2024-04-10,34.26
2024-04-11,34.18
2024-04-12,34.18
2024-04-13,
2024-04-14,
2024-04-15,33.59
2024-04-16,33.49
2024-04-17,33.09
2024-04-18,33.07
2024-04-19,33.37
2024-04-20,
2024-04-21,
2024-04-22,33.62
2024-04-23,33.75
2024-04-24,33.6
2024-04-25,33.36
2024-04-26,33.4
2024-04-27,
2024-04-28,
2024-04-29,33.61
2024-04-30,33.14
2024-05-01,33.23
2024-05-02,33.66
2024-05-03,33.95
2024-05-04,
2024-05-05,
2024-05-06,34.41
2024-05-07,34.46
2024-05-08,34.49
2024-05-09,34.79
2024-05-10,34.84
2024-05-11,
2024-05-12,
2024-05-13,34.7
2024-05-14,34.97
2024-05-15,35.33
2024-05-16,34.93
2024-05-17,35.12
2024-05-18,
2024-05-19,
2024-05-20,35.39
2024-05-21,35.28
2024-05-22,35.18
2024-05-23,34.74
2024-05-24,35.02
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,34.37
2024-05-29,33.92
2024-05-30,34.14
2024-05-31,34.14
2024-06-01,
2024-06-02,
2024-06-03,33.95
2024-06-04,33.7
2024-06-05,34.02
2024-06-06,34.08
2024-06-07,33.95
2024-06-08,
2024-06-09,
2024-06-10,33.89
2024-06-11,33.71
2024-06-12,34.18
2024-06-13,34.01
2024-06-14,33.67
2024-06-15,
